,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,4.01,4.1,3.93,4.03,66700,4.03,82252.0,4.05666666667,4.2225,4.0074,4.4452,4.70763400211,4.2225,3.73736599789,0.0707921535364,0.11583721293,-0.0450450593935,45.0243808122,22.2399111592,40.2246938926
1,2014-11-17,4.37,4.37,3.95,3.98,106400,3.98,82210.0,4.04,4.219,4.0048,4.45153333333,4.71060553292,4.219,3.72739446708,0.097525935366,0.127098477778,-0.0295725424123,43.0246947405,31.7482953055,53.4585836177
2,2014-11-14,4.3,4.4,4.3,4.36,45200,4.36,81518.0,4.027,4.2165,4.0062,4.4566,4.71342152298,4.2165,3.71957847702,0.135320312387,0.134491613381,0.000828699005461,57.8831084621,48.1856767097,67.0801398223
3,2014-11-13,4.37,4.37,4.26,4.27,19000,4.27,81390.0,4.007,4.1905,4.0004,4.45973333333,4.70863029249,4.1905,3.67236970751,0.142900476331,0.13428443863,0.00861603770137,54.4214054342,58.724892396,78.3633816689
4,2014-11-12,4.41,4.41,4.33,4.38,38600,4.38,82300.0,3.98633333333,4.1725,3.9968,4.46346666667,4.70319294324,4.1725,3.64180705676,0.159660605928,0.132130429205,0.0275301767238,60.0202269547,75.1754700597,87.2043966247
5,2014-11-11,4.44,4.5,4.42,4.42,28500,4.42,82578.0,3.957,4.1465,3.9914,4.4678,4.68487811991,4.1465,3.60812188009,0.167530289801,0.125247885024,0.0422824047771,62.180268405,86.2345201238,91.5004363375
6,2014-11-10,4.47,4.5,4.29,4.46,74600,4.46,84402.0,3.93633333333,4.109,3.9854,4.47173333333,4.66995989161,4.109,3.54804010839,0.171065336637,0.114677283829,0.0563880528076,64.3300465024,93.318644096,91.5626827256
7,2014-11-07,4.53,4.53,4.38,4.5,30400,4.5,84142.0,3.91933333333,4.065,3.9812,4.47553333333,4.64660123796,4.065,3.48339876204,0.169016391521,0.100580270627,0.0684361208931,66.4637861935,94.0889522193,89.7566287375
8,2014-11-06,4.53,4.57,4.36,4.55,49100,4.55,84532.0,3.90166666667,4.0125,3.9732,4.4778,4.61668126419,4.0125,3.40831873581,0.159870044968,0.0834712404042,0.0763988045638,69.1250527474,92.359628911,88.4772437503
9,2014-11-05,4.42,4.55,4.38,4.54,43800,4.54,84746.0,3.87966666667,3.9575,3.9648,4.4794,4.55619441287,3.9575,3.35880558713,0.14077968926,0.0643715392633,0.0764081499963,68.893741695,86.4835056761,88.523046733
10,2014-11-04,4.34,4.41,4.26,4.35,33100,4.35,85716.0,3.86033333333,3.9105,3.9572,4.48373333333,4.4648455601,3.9105,3.3561544399,0.115383930675,0.0452695017642,0.070114428911,64.1559476133,86.0944281435,89.4750287421
11,2014-11-03,4.21,4.46,4.21,4.34,94900,4.34,89818.0,3.84433333333,3.8695,3.9514,4.48873333333,4.40885053537,3.8695,3.33014946463,0.100636850727,0.0277408945364,0.0728959561903,63.8871334883,88.9714122705,88.0520350686
12,2014-10-31,4.44,4.44,4.16,4.23,209000,4.23,93068.0,3.83233333333,3.832,3.9432,4.49286666667,4.33858069446,3.832,3.32541930554,0.0813685872184,0.00951690548884,0.0718516817296,60.8913097675,92.5428408419,83.9869428889
13,2014-10-30,4.25,4.38,4.17,4.36,100600,4.36,90672.0,3.82766666667,3.8085,3.9402,4.4974,4.28154439538,3.8085,3.33545560462,0.0667917332536,-0.00844601494355,0.0752377481972,66.9899023486,90.2914337125,76.8231112135
14,2014-10-29,4.07,4.25,4.06,4.24,82400,4.24,89416.0,3.82066666667,3.773,3.9362,4.5004,4.17663845208,3.773,3.36936154792,0.033978487164,-0.0272554519928,0.0612339391569,63.8899454135,80.4024534493,71.3745634472
15,2014-10-28,3.92,4.07,3.89,4.07,110200,4.07,90430.0,3.81766666667,3.736,3.9362,4.50486666667,4.09479799331,3.736,3.37720200669,0.00382080234177,-0.0425639367821,0.0463847391238,58.8003217906,72.711043552,70.4099794966
16,2014-10-27,3.75,3.91,3.62,3.89,35400,3.89,90250.0,3.81966666667,3.7225,3.9386,4.50973333333,4.04886635856,3.7225,3.39613364144,-0.0174178543199,-0.054160121563,0.0367422672431,52.1724418777,63.8875141403,71.8278068439
17,2014-10-24,3.87,3.87,3.73,3.8,43800,3.8,91902.0,3.83066666667,3.7255,3.945,4.51493333333,4.0589951274,3.7255,3.3920048726,-0.0259454800326,-0.0633456883738,0.0374002083412,48.3118190294,68.4972426471,76.8240655637
18,2014-10-23,3.85,3.95,3.77,3.85,56600,3.85,92662.0,3.84266666667,3.734,3.9554,4.5208,4.08296418154,3.734,3.38503581846,-0.0272888062327,-0.0726957404591,0.0454069342264,50.4109869464,76.5441176471,81.3039215686
19,2014-10-22,3.95,3.97,3.78,3.83,62800,3.83,92806.0,3.853,3.736,3.9664,4.52706666667,4.08804545161,3.736,3.38395454839,-0.0336973599465,-0.0840474740157,0.0503501140692,49.5975559938,78.3823529412,82.4153515065
20,2014-10-21,3.94,4.07,3.85,3.96,67600,3.96,93416.0,3.864,3.7425,3.9782,4.53366666667,4.10586620646,3.7425,3.37913379354,-0.0393504978146,-0.096635002533,0.0572845047183,55.0476317936,83.8725490196,80.5787966948
21,2014-10-20,3.82,3.97,3.82,3.93,52900,3.93,94844.0,3.862,3.738,3.9896,4.539,4.09260400449,3.738,3.38339599551,-0.05922995018,-0.110956128713,0.0517261785326,53.9636132408,86.4166666667,72.5780261969
22,2014-10-17,3.98,3.98,3.84,3.84,51700,3.84,98612.0,3.866,3.7405,4.0014,4.54593333333,4.10113693654,3.7405,3.37986306346,-0.0806872882873,-0.123887673346,0.0432003850584,50.6483142462,80.9898373984,58.5958873042
23,2014-10-16,3.79,3.99,3.72,3.91,97000,3.91,98786.0,3.87366666667,3.753,4.0112,4.55313333333,4.14272297854,3.753,3.36327702146,-0.0977373847329,-0.13468776961,0.0369503848774,53.4270922852,71.0361336947,43.8208071134
24,2014-10-15,3.61,3.89,3.55,3.86,132900,3.86,98622.0,3.87966666667,3.765,4.021,4.56006666667,4.18678193418,3.765,3.34321806582,-0.125205145873,-0.14392536583,0.0187202199569,51.6683266325,51.869467028,30.6247613142
