,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,37.2,37.22,36.67,36.8,671000,36.8,1573426.0,34.6873333333,35.5695,34.1098,34.6996666667,38.0493183401,35.5695,33.0896816599,0.871529564433,0.800849449112,0.0706801153211,67.2508050376,71.7289386833,79.0216121443
1,2014-11-17,36.59,37.55,36.42,37.1,1766900,37.1,1574544.0,34.5946666667,35.378,34.0342,34.7020666667,38.0334592823,35.378,32.7225407177,0.887306112198,0.783179420281,0.104126691917,72.0305806261,78.3134614309,83.7378197612
2,2014-11-14,36.38,36.7,36.08,36.66,511600,36.66,1559136.0,34.512,35.1705,33.9622,34.7000666667,37.9027552955,35.1705,32.4382447045,0.863990998805,0.757147747302,0.106843251503,69.0331144834,82.3997175141,87.3150066387
3,2014-11-13,36.74,36.91,36.27,36.45,576400,36.45,1581592.0,34.4333333333,34.9845,33.8954,34.6998666667,37.791302273,34.9845,32.177697727,0.866465294091,0.730436934427,0.136028359665,67.488986555,83.6443309489,89.7326712771
4,2014-11-12,36.49,36.94,36.35,36.63,907900,36.63,1624342.0,34.3303333333,34.7765,33.8368,34.6982666667,37.7307530359,34.7765,31.8222469641,0.878402081252,0.69642984451,0.181972236741,70.2781542298,90.5937691511,92.0696958647
5,2014-11-11,36.67,36.85,36.34,36.71,685400,36.71,1628318.0,34.2146666667,34.559,33.798,34.7028,37.5752552942,34.559,31.5427447058,0.862533732046,0.650936785325,0.211596946721,71.497609962,92.6222089409,92.1015749946
6,2014-11-10,36.37,36.63,36.12,36.27,593900,36.27,1645536.0,34.1323333333,34.3375,33.756,34.7146666667,37.3399914654,34.3375,31.3350085346,0.821588548411,0.598037548645,0.223550999766,68.7261749358,92.0703760674,91.0681157826
7,2014-11-07,36.33,36.47,36.04,36.41,660600,36.41,1654658.0,34.0473333333,34.1365,33.7118,34.7246,37.1328262506,34.1365,31.1401737494,0.80217722605,0.542149798703,0.260027427346,70.7589796544,92.9924292994,90.5178182774
8,2014-11-06,35.97,36.54,35.95,36.31,898300,36.31,1671308.0,33.8983333333,33.954,33.6548,34.7312666667,36.8158064225,33.954,31.0921935775,0.75147874222,0.477142941867,0.274335800354,70.1738419511,90.7212856708,89.9060804125
9,2014-11-05,35.92,35.98,35.65,35.91,1284100,35.91,1678374.0,33.744,33.838,33.5942,34.7402,36.4887025484,33.838,31.1872974516,0.686020259337,0.408558991778,0.277461267559,67.7789819773,88.488372093,90.486205605
10,2014-11-04,35.56,35.99,35.53,35.83,727300,35.83,1667606.0,33.6293333333,33.7685,33.5388,34.7569333333,36.2667575928,33.7685,31.2702424072,0.633220228321,0.339193674889,0.294026553432,67.2912376416,89.8691860465,90.8432130618
11,2014-11-03,35.82,35.86,35.44,35.66,1203200,35.66,1669956.0,33.5146666667,33.678,33.4726,34.7801333333,35.9955901277,33.678,31.3604098723,0.56476316723,0.265687036531,0.299076130699,66.2841641646,90.5454778398,90.0099365884
12,2014-10-31,35.99,36.26,35.53,35.66,1201100,35.66,1667892.0,33.4293333333,33.626,33.4132,34.8076666667,35.8059577978,33.626,31.4460422022,0.486481417733,0.190918003856,0.295563413877,66.2841641646,93.0417864408,86.5739594239
13,2014-10-30,34.65,35.4,34.58,35.31,1565800,35.31,1661602.0,33.3513333333,33.558,33.357,34.8218,35.5572858725,33.558,31.5587141275,0.379489345934,0.117027150387,0.262462195547,64.3348071763,89.9164019201,79.0509834822
14,2014-10-29,34.87,34.98,34.49,34.8,1031800,34.8,1643100.0,33.308,33.4605,33.3104,34.8351333333,35.2916359862,33.4605,31.6293640138,0.273045074717,0.0514116015,0.221633473216,61.3079143991,86.5360801531,70.7490144149
