,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,102.91,103.28,100.01,100.25,892300,100.25,505250.0,106.174,107.341,111.2144,112.941533333,113.706786361,107.341,100.975213639,-2.03313209162,-1.64709217873,-0.386039912886,32.063879258,12.1488474467,20.319226478
1,2014-11-17,104.4,105.11,102.16,103.0,616600,103.0,490958.0,106.535,107.835,111.6288,112.939133333,113.406924264,107.835,102.263075736,-1.70768944528,-1.55058220051,-0.15710724477,36.9235437959,19.2377462902,23.9469184607
2,2014-11-14,105.09,106.13,104.39,104.75,683400,104.75,484018.0,106.906333333,107.9385,112.022,112.907933333,113.216481717,107.9385,102.660518283,-1.54746716657,-1.51130538932,-0.0361617772505,40.5556842218,23.5845275258,25.3678071768
3,2014-11-13,106.27,106.73,104.33,105.24,394300,105.24,473896.0,107.250666667,107.9205,112.3662,112.8554,113.244113341,107.9205,102.596886659,-1.49863848113,-1.502264945,0.00362646386982,41.6201614192,26.3057846493,25.4331128609
4,2014-11-12,105.54,106.69,105.4,106.25,471900,106.25,471422.0,107.519333333,107.7475,112.6622,112.8082,113.606277603,107.7475,101.888722397,-1.46440785382,-1.50317156097,0.0387637071518,43.8216368113,26.6596153777,23.4345504491
5,2014-11-11,105.83,106.26,105.07,106.04,388500,106.04,468544.0,107.748,107.391,112.9438,112.755666667,114.337593122,107.391,100.444406878,-1.50225301163,-1.51286248776,0.0106094761314,43.2420075003,24.9213011542,24.2456494448
6,2014-11-10,105.52,106.68,105.5,105.9,399700,105.9,469480.0,108.141666667,107.0705,113.2356,112.7194,114.785800318,107.0705,99.3551996818,-1.50732442379,-1.51551485679,0.0081904330033,42.8771568453,23.8457502623,28.7573166506
7,2014-11-07,105.88,106.0,104.68,105.53,424700,105.53,464522.0,108.594333333,106.767,113.5034,112.6674,115.095767256,106.767,98.4382327443,-1.47761812551,-1.51756246504,0.039944339533,41.9615845214,18.3115350022,35.5556644659
8,2014-11-06,105.68,106.23,105.23,105.83,455500,105.83,459368.0,109.038666667,106.648,113.783,112.613666667,115.110991433,106.648,98.1850085667,-1.38053673206,-1.52754854993,0.147011817863,42.4741416754,29.9040113605,49.397622722
9,2014-11-05,106.56,106.56,103.45,105.63,573700,105.63,454338.0,109.413333333,106.618,114.0704,112.569133333,115.096616868,106.618,98.1393831317,-1.26709049196,-1.56430150439,0.297211012431,42.0358390913,42.9679699772,62.2421720147
10,2014-11-04,110.74,110.74,105.14,105.42,707100,105.42,447662.0,109.827333333,106.84,114.3642,112.538333333,115.435221928,106.84,98.2447780715,-1.08349779289,-1.6386042575,0.555106464607,41.6020152657,51.0391415239,72.6000094446
11,2014-11-03,110.58,112.22,109.41,110.9,419600,110.9,436566.0,110.239666667,107.123,114.6856,112.520266667,115.883691982,107.123,98.3623080182,-0.812024961821,-1.77738087365,0.96535591183,50.818161984,73.6793680265,83.7314641601
12,2014-10-31,109.85,110.7,107.13,110.58,551800,110.58,431366.0,110.500666667,107.285,114.8914,112.4566,116.430450235,107.285,98.1395497651,-1.01167927617,-2.01871985161,1.00704057544,50.2202009468,81.2822085312,89.2582588354
13,2014-10-30,111.0,111.0,106.44,108.07,1039700,108.07,423722.0,110.870333333,107.51,115.1022,112.3944,117.175286338,107.51,97.8447136618,-1.21921362975,-2.27047999547,1.05126636572,45.3837221214,84.3993196969,91.3836050766
14,2014-10-29,112.36,112.98,109.78,112.04,404000,112.04,407480.0,111.359,107.7715,115.3602,112.344333333,117.760810837,107.7715,97.7821891629,-1.21080527915,-2.5332965869,1.32249130775,52.9376515759,95.5649603857,92.8536610013
15,2014-10-28,110.58,112.26,110.38,112.02,402600,112.02,402542.0,111.732333333,107.825,115.5372,112.261066667,117.916123822,107.825,97.7338761776,-1.58667963487,-2.86391941383,1.27723977896,52.900979162,95.7865467278,88.6454379117
16,2014-10-27,111.27,111.27,107.61,110.18,474000,110.18,398402.0,112.104666667,108.1165,115.7132,112.1728,118.982566952,108.1165,97.2504330483,-2.04131665421,-3.18322935857,1.14191270436,49.5420681989,89.783593496,81.1896296129
17,2014-10-24,110.72,111.92,109.51,111.89,491800,111.89,393788.0,112.516666667,108.5815,115.8954,112.121533333,120.505456181,108.5815,96.6575438193,-2.40456148029,-3.46870753466,1.06414605437,52.7909961023,90.2795433957,72.5529891907
18,2014-10-23,108.78,111.06,108.16,110.29,464300,110.29,388974.0,112.875666667,108.93,116.046,112.060333333,121.604194254,108.93,96.2558057455,-3.00732761859,-3.73474404826,0.727416429663,49.9386119334,78.7320680272,59.2623633033
19,2014-10-22,110.53,111.09,106.82,107.01,464600,107.01,384164.0,113.307666667,109.269,116.2092,112.026333333,122.424132687,109.269,96.1138673135,-3.57002436067,-3.91659815567,0.346573795009,43.4325370235,65.9633135326,46.3211427066
20,2014-10-21,106.81,110.22,106.81,110.13,775900,110.13,379082.0,113.796666667,109.821,116.4034,112.016133333,123.467951161,109.821,96.1740488387,-3.90233875712,-4.00324160443,0.100902847309,49.0647904429,55.2370318074,33.9019258057
21,2014-10-20,103.91,105.8,102.44,105.07,576700,105.07,370612.0,114.158,110.204,116.556,111.9836,124.287125221,110.204,96.1208747787,-4.58740420485,-4.02846731625,-0.558936888595,36.703708199,37.1170398459,22.4354900281
22,2014-10-17,102.92,105.19,102.03,104.39,598600,104.39,361976.0,114.744333333,110.887,116.7848,111.987,125.230479494,110.887,96.5435205058,-4.87987095152,-3.8887330941,-0.991137857413,34.7269853497,26.9671856406,14.6752022972
23,2014-10-16,96.96,102.67,96.96,101.78,718500,101.78,354088.0,115.33,111.751,116.996,111.989333333,126.500977492,111.751,97.0010225085,-5.11294856706,-3.64094862975,-1.47199993731,26.5518428923,16.2864459289,9.82394314124
24,2014-10-15,97.63,99.9,95.03,99.12,1210500,99.12,342830.0,115.938666667,112.7985,117.2724,111.988933333,127.542866077,112.7985,98.0541339234,-5.07032474447,-3.27294864542,-1.79737609905,16.6756377467,9.37128869719,8.1871868034
25,2014-10-14,100.4,100.7,96.91,99.63,822000,99.63,324568.0,116.645666667,114.0045,117.608,112.010733333,128.003189189,114.0045,100.005810811,-4.67133470554,-2.82360462066,-1.84773008488,17.0846334259,6.07588892211,10.5662418784
26,2014-10-13,103.43,105.07,99.58,99.83,585500,99.83,312832.0,117.345666667,115.1825,117.9486,112.040666667,128.065123762,115.1825,102.299876238,-4.14605891468,-2.36167209944,-1.78438681524,17.2385953319,7.56214901676,16.1528352222
27,2014-10-10,105.4,105.65,102.44,103.15,696700,103.15,309498.0,117.994333333,116.318,118.2682,112.061533333,127.475565326,116.318,105.160434674,-3.43567332104,-1.91557539563,-1.52009792541,20.0194861994,9.73942057753,21.6778171668
28,2014-10-09,110.07,110.07,104.28,105.23,694100,105.23,307580.0,118.539666667,117.2935,118.5344,112.069666667,126.991428181,117.2935,107.595571819,-2.81702591503,-1.53555091428,-1.28147500075,22.0928440515,18.8875089972,26.6723871521
29,2014-10-08,111.05,111.5,107.73,110.07,771400,110.07,299634.0,119.038666667,118.1945,118.7846,112.0726,126.488653302,118.1945,109.900346698,-2.19821375805,-1.21518216409,-0.983031593954,28.4620418234,28.4222622975,28.0017827184
30,2014-10-07,113.75,113.75,111.02,111.08,322600,111.08,289314.0,119.380333333,118.775,118.933,112.034,126.303167108,118.775,111.246832892,-1.86921040484,-0.969424265604,-0.899786139234,30.1460937629,29.6620767948,26.6713004412
