,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,18.48,18.48,18.0,18.02,84800,18.02,102786.0,18.9063333333,18.943,18.9764,18.4939333333,19.4838918561,18.943,18.4021081439,-0.0950782513586,0.000137022538704,-0.0952152738973,30.287521622,27.1860549078,35.7559698971
1,2014-11-17,18.91,18.93,18.33,18.44,38000,18.44,102988.0,18.9353333333,18.9945,18.9934,18.4967333333,19.3319299927,18.9945,18.6570700073,-0.0252802603101,0.023940841013,-0.0492211013231,36.9131905967,38.3454751976,38.5935407822
2,2014-11-14,19.07,19.07,18.85,18.98,42100,18.98,103038.0,18.958,19.025,18.9936,18.4940666667,19.2469459394,19.025,18.8030540606,0.0214114338689,0.0362461163438,-0.0148346824749,49.9617848938,40.4265992697,38.2243235173
3,2014-11-13,18.93,19.05,18.84,19.0,40000,19.0,102770.0,18.963,19.0135,18.977,18.4884666667,19.2653948193,19.0135,18.7616051807,0.0257137572194,0.0399547869625,-0.0142410297431,50.5766556015,37.0657502131,39.3768648764
4,2014-11-12,18.88,19.05,18.82,19.03,25700,19.03,102344.0,18.9636666667,19.0105,18.964,18.4826666667,19.2643877705,19.0105,18.7566122295,0.0287947043726,0.0435150443983,-0.0147203400257,51.4587429789,38.5363384484,42.3197874185
5,2014-11-11,19.0,19.05,18.71,18.86,53200,18.86,103768.0,18.959,18.9965,18.9508,18.4818,19.2742966882,18.9965,18.7187033118,0.0292537357663,0.0471951294047,-0.0179413936384,46.5539572764,36.8686061381,45.1558935854
6,2014-11-10,19.0,19.05,18.89,19.05,35400,19.05,107656.0,18.9603333333,19.0035,18.9322,18.4858666667,19.2741492195,19.0035,18.7328507805,0.0467232087705,0.0516804778143,-0.00495726904385,52.007728283,45.0367647059,48.714477345
7,2014-11-07,19.0,19.05,18.84,19.05,178000,19.05,107738.0,18.9626666667,18.9835,18.9232,18.4821333333,19.2936789806,18.9835,18.6733210194,0.0489955440046,0.0529197950753,-0.00392425107071,52.007728283,48.8374403816,50.4620429253
8,2014-11-06,18.9,19.1,18.86,18.99,61800,18.99,105270.0,18.963,18.9515,18.9112,18.4789333333,19.3477461356,18.9515,18.5552538644,0.0511832076088,0.053900857843,-0.00271765023421,50.4264112932,49.8807631161,52.9809527665
9,2014-11-05,19.09,19.15,19.0,19.09,175300,19.09,104730.0,18.9643333333,18.9315,18.9056,18.4798,19.3572358336,18.9315,18.5057641664,0.0593400697711,0.0545802704015,0.00475979936953,53.1359814621,51.1029411765,57.9400109643
10,2014-11-04,19.02,19.07,19.02,19.05,53500,19.05,102198.0,18.9636666667,18.934,18.8978,18.4816,19.3639953488,18.934,18.5040046512,0.0587062455525,0.0533903205591,0.00531592499331,52.1816208664,52.027027027,63.435394743
11,2014-11-03,19.01,19.24,18.91,19.05,65100,19.05,102258.0,18.9833333333,18.926,18.8936,18.4827333333,19.3530081966,18.926,18.4989918034,0.0611160736145,0.0520613393108,0.00905473430367,52.1816208664,58.9130797464,68.6298282592
12,2014-10-31,19.39,19.39,18.85,18.99,454000,18.99,102694.0,18.9906666667,18.9295,18.8854,18.4846,19.3616330814,18.9295,18.4973669186,0.063302929452,0.0497976557349,0.0135052737171,50.8880750294,69.7169959075,70.3998164969
13,2014-10-30,19.4,19.4,18.91,19.09,65800,19.09,95208.0,18.9953333333,18.9365,18.8756,18.4838666667,19.3767851349,18.9365,18.4962148651,0.0712824737471,0.0464213373056,0.0248611364415,53.1115915125,73.0844762911,66.9114277351
14,2014-10-29,19.31,19.31,18.96,19.22,30600,19.22,94312.0,19.0056666667,18.933,18.8592,18.4805333333,19.3694447273,18.933,18.4965552727,0.0702486197566,0.0402060531953,0.0300425665613,56.0689604244,72.804761092,63.4521366193
15,2014-10-28,19.05,19.38,18.86,19.34,59700,19.34,94822.0,19.0046666667,18.9165,18.8428,18.4754666667,19.3327823561,18.9165,18.5002176439,0.0546708843758,0.0326954115549,0.0219754728209,58.8791181414,65.9930326969,61.0009463463
