,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,16.48,16.56,16.46,16.55,11300,16.55,21504.0,16.5286666667,16.5825,16.4412,16.4382,16.7545319738,16.5825,16.4104680262,0.00739753017329,0.0272877557606,-0.0198902255873,52.0466981796,32.1501014199,28.2057901531
1,2014-11-17,16.39,16.47,16.35,16.47,37000,16.47,21960.0,16.5253333333,16.58,16.4368,16.4366,16.7552712184,16.58,16.4047287816,0.00564445486718,0.0322603121575,-0.0266158572903,47.0214898873,29.5131845842,29.5718698138
2,2014-11-14,16.46,16.47,16.45,16.45,8500,16.45,22022.0,16.5243333333,16.5795,16.435,16.4357333333,16.7560757628,16.5795,16.4029242372,0.0114702466784,0.03891427648,-0.0274440298016,45.7005398576,25.2351097179,30.5799373041
3,2014-11-13,16.5,16.52,16.44,16.45,16600,16.45,22312.0,16.5243333333,16.579,16.4338,16.4350666667,16.757089865,16.579,16.400910135,0.020775599184,0.0457752839304,-0.0249996847465,45.7005398576,25.9247648903,33.0211598746
4,2014-11-12,16.46,16.54,16.46,16.54,4800,16.54,22656.0,16.521,16.577,16.4326,16.4346,16.7616185256,16.577,16.3923814744,0.032350422212,0.0520252051171,-0.019674782905,50.5954067572,37.6144200627,37.039968652
5,2014-11-11,16.62,16.62,16.4,16.46,16400,16.46,23162.0,16.5156666667,16.5685,16.4288,16.4333333333,16.7736609125,16.5685,16.3633390875,0.0374899174629,0.0569439008433,-0.0194539833804,45.8041628506,33.5454545455,38.0946969697
6,2014-11-10,16.61,16.63,16.55,16.55,9100,16.55,23006.0,16.511,16.5645,16.4264,16.4325333333,16.7807845348,16.5645,16.3482154652,0.0516499289655,0.0618073966884,-0.0101574677229,50.9676539718,35.0,41.5595238095
7,2014-11-07,16.54,16.66,16.54,16.66,18400,16.66,23052.0,16.4986666667,16.555,16.4232,16.4312,16.7889658095,16.555,16.3210341905,0.0598083446802,0.0643467636191,-0.00453841893891,58.4450762269,42.0,45.125
8,2014-11-06,16.58,16.68,16.55,16.58,51800,16.58,23088.0,16.4836666667,16.5405,16.4178,16.4288,16.7824483416,16.5405,16.2985516584,0.0581515102698,0.0654813683539,-0.00732985808402,53.8752007053,41.8333333333,49.7217261905
9,2014-11-05,16.67,16.69,16.55,16.56,8800,16.56,22328.0,16.4733333333,16.5325,16.414,16.4264666667,16.7792285958,16.5325,16.2857714042,0.063336401473,0.0673138328749,-0.00397743140183,52.6668225512,47.4047619048,56.6517857143
