,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,78.17,79.63,78.17,78.45,249500,78.45,263452.0,74.2893333333,76.234,75.383,77.3711333333,80.1352890177,76.234,72.3327109823,1.14413689734,0.868353304987,0.275783592351,64.0340142097,71.0401157982,78.0358849094
1,2014-11-17,77.97,78.41,77.26,78.02,219400,78.02,261884.0,74.1113333333,75.9205,75.4222,77.3348,80.059555327,75.9205,71.781444673,1.12297786475,0.799407406899,0.323570457849,62.1816048022,75.711909969,82.8696379431
2,2014-11-14,77.86,78.6,77.66,77.99,140100,77.99,261420.0,74.0023333333,75.539,75.4802,77.2930666667,80.2064742634,75.539,70.8715257366,1.12341883966,0.718514792437,0.404904047226,62.0549948802,80.6850282486,86.8060198239
3,2014-11-13,78.51,78.68,77.67,77.98,149900,77.98,262202.0,73.8753333333,75.1455,75.545,77.2433333333,80.2285678728,75.1455,70.0624321272,1.1106955918,0.617288780631,0.493406811166,62.01563411,84.7064856219,88.6623735009
4,2014-11-12,77.59,79.07,77.59,78.57,199800,78.57,264314.0,73.746,74.727,75.6154,77.1934666667,80.1729603377,74.727,69.2810396623,1.07931871046,0.493937077839,0.585381632618,65.7523272002,90.375127933,88.4601408829
5,2014-11-11,77.73,78.55,77.27,78.2,223700,78.2,263482.0,73.615,74.219,75.6684,77.1454,80.0201547126,74.219,68.4178452874,0.963498491577,0.347591669685,0.615906821892,64.5069687833,91.4574374921,86.3848759045
6,2014-11-10,77.83,78.47,77.66,77.89,163500,77.89,265786.0,73.544,73.7905,75.7312,77.1074,79.618111775,73.7905,67.962888225,0.839327979601,0.193614964212,0.64571301539,63.4736242078,88.1104429565,84.2747152433
7,2014-11-07,77.33,77.97,77.16,77.64,218500,77.64,266542.0,73.5096666667,73.2835,75.7946,77.0632666667,79.3555022233,73.2835,67.2114977767,0.700196482795,0.0321867103642,0.668009772431,62.6595284292,83.8975551499,83.9806703572
8,2014-11-06,76.27,77.46,76.27,77.18,187200,77.18,264680.0,73.4733333333,72.888,75.8564,77.0155333333,78.8018129832,72.888,66.9741870168,0.537883968939,-0.134815732744,0.672699701683,61.1812947052,82.0740680196,86.0853550012
9,2014-11-05,76.14,76.99,75.6,76.11,171900,76.11,263092.0,73.4216666667,72.6235,75.9296,76.9777333333,78.2099381318,72.6235,67.0370618682,0.369726775343,-0.302990658164,0.672717433507,57.5516384081,83.0167948472,89.4158254204
10,2014-11-04,76.12,76.31,75.35,75.4,196800,75.4,263364.0,73.437,72.5325,76.0342,76.9487333333,77.945398946,72.5325,67.119601054,0.258664658784,-0.471170016541,0.729834675325,54.9565891045,86.934263412,92.3886535295
11,2014-11-03,76.84,77.17,75.93,76.19,246400,76.19,266448.0,73.4653333333,72.418,76.149,76.9230666667,77.6781543703,72.418,67.1578456297,0.185437525884,-0.653628685372,0.839066211256,58.6619019331,92.316293726,94.7429682122
12,2014-10-31,76.26,76.73,75.81,76.55,269400,76.55,268470.0,73.487,72.346,76.2324,76.8889333333,77.4342743637,72.346,67.2577256363,0.00883943951584,-0.863395238186,0.872234677702,60.3846525235,95.3959496965,95.8285006303
13,2014-10-30,75.19,75.84,74.35,75.59,192000,75.59,267010.0,73.5506666667,72.2275,76.2974,76.8485333333,77.0204484662,72.2275,67.4345515338,-0.253347055296,-1.08145390761,0.828106852315,57.2779289352,94.9081072834,93.8365153514
14,2014-10-29,75.51,75.99,74.93,75.23,209200,75.23,266742.0,73.677,72.153,76.3802,76.8051333333,76.7779458375,72.153,67.5280541625,-0.486561860598,-1.28848062069,0.801918760093,56.0785330161,96.3515221431,90.4316044116
15,2014-10-28,74.23,75.51,73.99,75.37,175500,75.37,265236.0,73.8013333333,72.1235,76.4684,76.7624666667,76.6765309685,72.1235,67.5704690315,-0.740496948665,-1.48896031071,0.748463362049,56.6528783541,96.6584233983,83.3984695442
16,2014-10-27,73.42,73.95,72.99,73.65,170000,73.65,264980.0,73.934,72.1585,76.5528,76.7208666667,76.8202819554,72.1585,67.4967180446,-1.06809414182,-1.67607615123,0.60798200941,50.9181461594,87.4280085809,72.9594966536
17,2014-10-24,73.4,73.97,73.11,73.95,177100,73.95,265504.0,74.12,72.319,76.639,76.6986,77.3791458477,72.319,67.2588541523,-1.29556409901,-1.82807165358,0.532507554565,52.0330575383,81.2884635241,63.0889261569
18,2014-10-23,72.33,73.87,72.29,73.37,182000,73.37,264328.0,74.3,72.449,76.7176,76.6746666667,77.7955611378,72.449,67.1024388622,-1.59759936658,-1.96119854222,0.363599175643,50.0703840993,68.2189826736,51.5303609427
19,2014-10-22,72.49,72.79,71.23,71.35,157400,71.35,264236.0,74.517,72.562,76.7958,76.6644,78.0745986612,72.562,67.0494013388,-1.90081384457,-2.05209833613,0.151284491559,42.4557985745,54.9025318359,41.6824476612
20,2014-10-21,70.79,72.24,70.13,72.18,276200,72.18,263142.0,74.8156666667,72.823,76.8964,76.6626,78.5706329041,72.823,67.0753670959,-2.05450484965,-2.08991945902,0.0354146093659,45.0788250314,47.945726594,32.7542921285
21,2014-10-20,69.78,70.65,69.51,70.39,250200,70.39,261168.0,75.09,73.0265,76.9826,76.6536,78.9540467944,73.0265,67.0989532056,-2.30529584378,-2.09877311136,-0.206522732422,37.3243019755,35.0542026672,24.6450530366
22,2014-10-17,70.48,71.39,69.38,70.12,1052700,70.12,259118.0,75.441,73.349,77.0928,76.6573333333,79.368810296,73.349,67.329189704,-2.40961022765,-2.04714242826,-0.362467799397,36.0598124762,28.8273295476,18.8004788092
23,2014-10-16,66.88,69.77,66.8,69.61,538100,69.61,241514.0,75.8113333333,73.766,77.1804,76.6632,79.9854642856,73.766,67.5465357144,-2.48021352884,-1.95652547841,-0.523688050438,33.7141887152,19.1899097054,15.4576289507
