,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,204.95,208.75,204.35,208.5,901500,208.5,980532.0,195.536333333,200.8005,196.4024,200.253,211.949351914,200.8005,189.651648086,3.53099325341,2.95698431205,0.574008941363,63.5647925207,81.1945444348,80.3942302494
1,2014-11-17,204.0,206.37,203.41,205.33,546600,205.33,970870.0,194.800333333,200.1775,196.2616,200.140533333,210.920888432,200.1775,189.434111568,3.33467424769,2.81348207671,0.521192170984,59.7266085115,76.5103223134,82.2417640988
2,2014-11-14,205.11,206.35,203.47,203.9,803200,203.9,966498.0,194.331666667,199.47,196.2334,200.028533333,210.618969459,199.47,188.321030541,3.35835909133,2.68318403396,0.675175057372,57.8674591258,78.4577540984,86.5344753547
3,2014-11-13,204.23,206.99,203.01,205.23,990000,205.23,961026.0,193.93,198.6375,196.2346,199.926266667,210.781140105,198.6375,186.493859895,3.48534070498,2.51439026962,0.970950435363,60.2703308062,85.414300151,91.0850026958
4,2014-11-12,205.24,205.59,203.16,203.9,1038300,203.9,949216.0,193.461333333,197.4675,196.2024,199.8102,211.244241088,197.4675,183.690758912,3.46130137251,2.27165266078,1.18964871173,58.6770100274,88.5846798324,91.5357428227
5,2014-11-11,206.25,207.01,204.71,205.26,704800,205.26,940194.0,193.037,196.2975,196.195,199.717266667,211.582355086,196.2975,181.012644914,3.51569042273,1.97424048284,1.54144993989,60.9998518408,93.681167337,89.445814271
6,2014-11-10,206.57,207.33,205.34,206.27,616000,206.27,934678.0,192.753,194.9135,196.1936,199.653466667,211.645763774,194.9135,178.181236226,3.39550058615,1.58887799787,1.80662258828,62.7118328203,96.6598634628,85.8648677992
7,2014-11-07,203.06,207.49,203.06,206.9,909700,206.9,930128.0,192.526,193.4295,196.1854,199.561666667,211.10761469,193.4295,175.75138531,3.0898691862,1.1372223508,1.9526468354,63.7481003615,87.2172606586,79.0402708145
8,2014-11-06,205.0,206.26,203.16,206.09,995100,206.09,919514.0,192.244333333,192.262,196.1562,199.469466667,209.300002935,192.262,175.223997065,2.59068337483,0.649060641951,1.94162273287,63.0185314138,80.2249656257,75.8969079702
9,2014-11-05,200.42,205.46,199.65,205.25,1481700,204.58,908202.0,191.955,191.259,196.1392,199.413933333,207.252572334,191.259,175.265427666,1.9983308174,0.163654958733,1.83467585867,62.287681176,79.3573814497,75.7488581195
10,2014-11-04,200.25,200.79,197.27,198.47,856300,197.82,887284.0,191.798,190.473,196.1634,199.3614,205.128082531,190.473,175.817917469,1.29873419586,-0.295014005935,1.59374820179,55.7305461366,69.3614755239,74.7344548281
11,2014-11-03,204.05,204.78,199.88,200.37,1204600,199.72,879368.0,191.791666667,189.8705,196.3186,199.353333333,204.146857344,189.8705,175.594142656,1.07723110151,-0.693451056383,1.77068215789,58.3715646743,74.6438092815,78.1926197259
12,2014-10-31,194.79,204.5,193.55,203.69,2699100,203.03,861724.0,191.768666667,189.4155,196.4022,199.328466667,202.881386491,189.4155,175.949613509,0.585389245068,-1.13612159586,1.72151084092,63.2336939633,79.6327662228,80.991392721
13,2014-10-30,191.34,193.44,190.78,192.35,684100,191.72,817032.0,191.739333333,188.8235,196.43,199.260266667,200.670918748,188.8235,176.976081252,-0.38893093163,-1.56649930609,1.17756837446,50.0329186969,75.2997682842,82.1531714697
