,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,20.58,21.03,20.43,20.8,8900,20.8,14926.0,20.008,20.6495,19.7916,20.1491333333,22.2038548501,20.6495,19.0951451499,0.386645197128,0.441773998924,-0.0551288017959,56.3411386465,32.0153028943,50.650935865
1,2014-11-17,21.26,21.26,20.66,20.67,9700,20.67,14966.0,19.924,20.574,19.801,20.1423333333,22.2348238919,20.574,18.9131761081,0.420815734201,0.455556199373,-0.0347404651721,54.4909860156,44.0176925895,60.6687266828
2,2014-11-14,20.79,21.18,20.79,20.99,10900,20.99,14944.0,19.859,20.5,19.8026,20.1337333333,22.2656953305,20.5,18.7343046695,0.471545172658,0.464241315666,0.00730385699205,60.3352259692,58.9681785605,67.5909628561
3,2014-11-13,21.49,21.49,21.03,21.05,9700,21.05,14858.0,19.7866666667,20.397,19.7954,20.1234,22.2732206693,20.397,18.5207793307,0.496853726141,0.462415351418,0.0344383747231,61.4833194957,67.6025694157,71.2654623658
4,2014-11-12,21.36,21.36,20.78,21.14,17900,21.14,14842.0,19.7076666667,20.293,19.7822,20.1139333333,22.2420828612,20.293,18.3439171388,0.515820589297,0.453805757737,0.0620148315603,63.1572448064,72.0864661654,73.3705775799
5,2014-11-11,20.81,21.08,20.73,21.08,10100,21.08,14610.0,19.6156666667,20.1785,19.7718,20.1062,22.1833568527,20.1785,18.1736431473,0.523362722427,0.438302049847,0.0850606725801,62.5256523887,71.7066372829,75.5314692704
6,2014-11-10,20.85,21.19,20.85,21.1,11100,21.1,14678.0,19.5336666667,20.063,19.765,20.099,22.1124691996,20.063,18.0135308004,0.531485769114,0.417036881702,0.114448887412,62.8591921893,73.6661765994,78.8233657517
7,2014-11-07,21.0,21.0,20.49,20.75,8300,20.75,14508.0,19.4543333333,19.947,19.7568,20.0926,22.0111327477,19.947,17.8828672523,0.532086664789,0.388424659849,0.14366200494,59.3340759394,76.023030272,82.51002265
8,2014-11-06,21.2,21.2,20.62,21.04,11200,21.04,14730.0,19.3956666667,19.8105,19.7578,20.0869333333,22.0013489222,19.8105,17.6196510778,0.560750547417,0.352509158614,0.208241388803,64.0082318996,80.7300329272,86.0862810144
9,2014-11-05,21.4,21.72,21.21,21.23,16900,21.23,14652.0,19.3196666667,19.66,19.752,20.0803333333,21.905199323,19.66,17.414800677,0.559652440554,0.300448811414,0.259203629141,67.2303021015,84.8742232083,89.4427966499
10,2014-11-04,21.15,21.7,20.95,21.3,11900,21.3,14626.0,19.253,19.5195,19.7446,20.0730666667,21.7050203042,19.5195,17.3339796958,0.530765003205,0.235647904128,0.295117099077,68.4083640487,88.4128041925,90.1315053853
11,2014-11-03,21.61,21.61,20.73,21.18,14100,21.18,14550.0,19.1713333333,19.3685,19.7216,20.0682666667,21.4562095104,19.3685,17.2807904896,0.479046637669,0.161868629359,0.31717800831,67.5018807309,90.3280637297,88.9087831604
12,2014-10-31,21.71,21.76,20.97,21.51,24500,21.51,14428.0,19.1116666667,19.2455,19.706,20.0634,21.1757380682,19.2455,17.3152619318,0.418285427292,0.0825741272819,0.33571130001,72.8389042189,94.1560954691,85.2160112951
13,2014-10-30,20.67,21.35,19.1,21.25,19500,21.25,14190.0,19.0533333333,19.111,19.6772,20.0562,20.7431997427,19.111,17.4788002573,0.301047876195,-0.00135369772059,0.302401573916,71.1713405954,87.6290581499,78.0191348637
14,2014-10-29,20.22,21.01,19.21,20.82,13800,20.82,14150.0,19.0123333333,18.9825,19.6532,20.0491333333,20.2940315475,18.9825,17.6709684525,0.173503978232,-0.0769540911995,0.250458069432,68.1702525051,83.5219152928,72.8306203262
15,2014-10-28,19.35,20.37,19.18,20.28,13400,20.28,13972.0,18.9843333333,18.8605,19.6382,20.0478,19.8890421722,18.8605,17.8319578278,0.0519697087856,-0.139568608557,0.191538317343,63.7724712158,75.5569762684,67.887641503
16,2014-10-27,19.31,19.47,19.18,19.3,14100,19.3,13826.0,18.9843333333,18.7775,19.632,20.0490666667,19.5768215873,18.7775,17.9781784127,-0.0489263181632,-0.187453187893,0.13852686973,52.7774028176,65.3685897436,67.1039117133
17,2014-10-24,18.94,19.71,18.86,19.58,8200,19.58,13980.0,19.0253333333,18.7485,19.6378,20.0595333333,19.5111342505,18.7485,17.9858657495,-0.0772128642955,-0.222084905326,0.14487204103,57.3992168223,66.875,70.0579922073
18,2014-10-23,19.04,19.23,18.77,19.02,10700,19.02,13992.0,19.073,18.719,19.6302,20.0676666667,19.3909494029,18.719,18.0470505971,-0.140702777878,-0.258302915583,0.117600137705,49.1252892514,63.75,72.4116226194
19,2014-10-22,19.37,19.39,18.8,18.9,12900,18.9,13890.0,19.139,18.706,19.6336,20.0802,19.3640699051,18.706,18.0479300949,-0.162674227173,-0.28770295001,0.125028722837,47.0801578977,72.4220571096,75.3171147337
20,2014-10-21,19.19,19.34,18.73,19.29,12500,19.29,13720.0,19.2196666667,18.7225,19.6374,20.0952,19.4148546779,18.7225,18.0301453221,-0.176133433696,-0.318960130719,0.142826697023,53.5803037704,77.1849117195,74.1331430095
21,2014-10-20,18.76,19.97,18.76,19.19,24300,19.19,13670.0,19.2856666667,18.7005,19.6352,20.1056,19.3456813699,18.7005,18.0553186301,-0.230459425531,-0.354666804974,0.124207379443,52.0024942541,76.2895216486,68.6002129519
22,2014-10-17,19.0,19.0,18.55,18.93,19300,18.93,13310.0,19.3376666667,18.7105,19.6348,20.119,19.3909549948,18.7105,18.0300450052,-0.286265190738,-0.385718649835,0.0994534590969,47.711616332,75.3719684571,59.165121608
23,2014-10-16,18.83,18.99,18.57,18.97,16000,18.97,13048.0,19.3943333333,18.752,19.6394,20.1346,19.5685684295,18.752,17.9354315705,-0.326857055556,-0.410582014609,0.0837249590535,48.3288302822,67.6861702128,47.1511592221
24,2014-10-15,18.34,19.0,18.02,18.85,18300,18.85,12882.0,19.4416666667,18.8045,19.642,20.1474666667,19.7882779221,18.8045,17.8207220779,-0.37798547857,-0.431513254373,0.0535277758031,46.3971462636,55.0531914894,33.3888625949
25,2014-10-14,18.79,18.84,18.24,18.77,10700,18.77,12832.0,19.5006666667,18.861,19.6494,20.1482,19.9705025913,18.861,17.7514974087,-0.425527786073,-0.444895198324,0.0193674122502,45.127249007,38.5491562729,23.3049290425
26,2014-10-13,18.22,18.95,18.09,18.78,20800,18.78,12942.0,19.5663333333,18.9365,19.6602,20.1508666667,20.2050625724,18.9365,17.6679374276,-0.471874108944,-0.449737051386,-0.0221370575583,45.2516834889,27.3161189132,19.2208990775
27,2014-10-10,17.91,18.48,17.57,18.02,51100,18.02,12718.0,19.63,19.024,19.665,20.1536,20.4667667864,19.024,17.5812332136,-0.525183428552,-0.444202786997,-0.0809806415549,32.0239015224,12.6369837039,18.035212531
28,2014-10-09,18.49,18.85,18.0,18.03,27000,18.03,12054.0,19.7226666667,19.1735,19.6826,20.1621333333,20.7795544823,19.1735,17.5674455177,-0.508204655707,-0.423957626608,-0.0842470290995,32.1187163288,14.7174572797,20.3539872062
29,2014-10-08,18.21,18.76,18.18,18.42,16700,18.42,11842.0,19.8133333333,19.322,19.7162,20.1690666667,21.024029377,19.322,17.619970623,-0.480159681558,-0.402895869333,-0.0772638122249,35.9761307282,22.2130364133,20.5810751246
30,2014-10-07,18.55,18.74,18.21,18.28,18200,18.28,11728.0,19.8946666667,19.467,19.7298,20.1732666667,21.3240094238,19.467,17.6099905762,-0.477089046457,-0.383579916277,-0.0935091301804,33.3061850653,22.5733727271,17.335157959
31,2014-10-06,18.82,18.82,18.69,18.72,6200,18.72,11694.0,19.957,19.6165,19.758,20.1786666667,21.5471607677,19.6165,17.6858392323,-0.45197577698,-0.360202633732,-0.0917731432484,37.9213140269,21.9120824046,13.2754155297
32,2014-10-03,18.91,19.45,18.7,18.82,12700,18.82,11722.0,20.013,19.718,19.7746,20.1817333333,21.6628557787,19.718,17.7731442213,-0.45814791991,-0.33725934792,-0.12088857199,39.0636515098,15.6258089534,9.21630590007
33,2014-10-02,18.46,18.72,18.46,18.68,3700,18.68,11692.0,20.0546666667,19.8085,19.806,20.1823333333,21.7462231484,19.8085,17.8707768516,-0.469543667141,-0.307037204922,-0.162506462219,36.5800596307,9.22936775088,7.20401528453
34,2014-10-01,18.52,18.71,18.32,18.38,12500,18.38,12324.0,20.1003333333,19.894,19.8402,20.1837333333,21.7750784141,19.894,18.0129215859,-0.463004512994,-0.266410589367,-0.196593923627,30.982881006,6.33440301007,6.41032504767
35,2014-09-30,18.63,18.75,18.45,18.62,20500,18.62,12280.0,20.1566666667,20.006,19.8824,20.1872666667,21.7766654116,20.006,18.2353345884,-0.417378108786,-0.217262108461,-0.200116000325,33.1566815835,5.67564388598,6.31148969251
36,2014-09-29,18.9,18.92,18.57,18.72,8300,18.72,12214.0,20.2016666667,20.112,19.9132,20.1886,21.7894576001,20.112,18.4345423999,-0.377507634922,-0.167233108379,-0.210274526543,34.0818594991,7.57664649117,6.39045343963
37,2014-09-26,18.85,19.11,18.85,18.99,9300,18.99,12486.0,20.2306666667,20.2105,19.9578,20.1880666667,21.7771330138,20.2105,18.6438669862,-0.331309209955,-0.114664476744,-0.216644733212,36.6454797356,6.05460680347,5.35844612378
38,2014-09-25,18.93,19.21,18.75,18.76,13400,18.76,12522.0,20.2376666667,20.301,19.9656,20.1857333333,21.7819307884,20.301,18.8200692116,-0.295015086308,-0.0605032934406,-0.234511792867,32.6374756904,5.93906158943,4.80511707095
39,2014-09-24,18.92,19.36,18.88,19.23,11100,19.23,12418.0,20.252,20.4005,19.9904,20.1837333333,21.71158314,20.4005,19.08941686,-0.220981276324,-0.00187534522375,-0.2191059311,37.0898417492,5.99149887444,3.76211536967
40,2014-09-23,19.11,19.56,18.84,18.85,14200,18.85,12530.0,20.2473333333,20.482,20.002,20.1801333333,21.6905462341,20.482,19.2734537659,-0.171127485744,0.0529011375514,-0.224028623295,29.9115369707,3.44861722779,3.83533904419
41,2014-09-22,19.75,19.88,19.2,19.39,33900,19.39,12708.0,20.2583333333,20.547,20.0292,20.1764,21.5129420272,20.547,19.5810579728,-0.0663158841562,0.108908293375,-0.175224177531,35.2134869825,3.84129059216,7.9995084606
42,2014-09-19,19.96,20.09,19.75,19.76,23600,19.76,12436.0,20.251,20.5975,20.0516,20.1762666667,21.4095560326,20.5975,19.7854439674,0.0134446092764,0.152714337758,-0.139269728482,39.6895518931,1.7670547843,15.661428703
43,2014-09-18,20.09,20.32,19.95,20.02,14100,19.95,12318.0,20.231,20.613,20.0664,20.1662666667,21.3705249171,20.613,19.8554750829,0.0773797174862,0.187531769878,-0.110152052392,43.2792147027,6.28439357253,29.3310383321
44,2014-09-17,20.33,20.84,19.95,19.98,16700,19.91,12324.0,20.2003333333,20.6145,20.0814,20.1572,21.3674269553,20.6145,19.8615730447,0.131385914256,0.215069782977,-0.0836838687204,42.5367607498,20.1052948934,46.0355163912
45,2014-09-16,20.87,20.89,20.28,20.28,4900,20.21,12340.0,20.175,20.619,20.1,20.1452,21.3576447049,20.619,19.8803552951,0.202479119381,0.235990750157,-0.0335116307761,46.8033497116,34.4889715616,60.1802843414
