,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,59.69,60.09,59.06,59.68,254300,59.68,303644.0,58.1136666667,59.2615,57.184,57.6911333333,61.7030755159,59.2615,56.8199244841,0.912506433545,0.984887873439,-0.0723814398937,58.6831663066,51.8920140977,69.4720158944
1,2014-11-17,60.52,60.78,59.55,59.61,307500,59.61,303546.0,57.9843333333,59.1745,57.1286,57.6828666667,61.6735516201,59.1745,56.6754483799,0.996289493855,1.00298323341,-0.00669373955755,58.1337547839,65.6740951478,77.0986722563
2,2014-11-14,60.18,60.96,60.17,60.6,271900,60.6,304010.0,57.8806666667,59.035,57.0824,57.6748666667,61.7253940232,59.035,56.3446059768,1.09586293456,1.0046566683,0.0912062662558,70.4337181468,80.6630070342,81.1288362156
3,2014-11-13,60.68,60.87,59.44,60.33,638000,60.33,302986.0,57.7153333333,58.8115,57.014,57.6634666667,61.6814078382,58.8115,55.9415921618,1.10621502892,0.981855101738,0.124359927178,68.7598044078,79.6589472981,80.9458328405
4,2014-11-12,60.14,60.74,60.14,60.57,264800,60.57,297482.0,57.54,58.551,56.9428,57.6535333333,61.7493114295,58.551,55.3526885705,1.13082857438,0.950765119944,0.180063454441,72.1304883166,82.3986395451,82.0061362724
5,2014-11-11,60.04,60.63,59.89,60.53,340000,60.53,299088.0,57.3513333333,58.304,56.8778,57.6498666667,61.6019290471,58.304,55.0060709529,1.12135962952,0.905749256333,0.215610373186,71.9174370095,81.794750985,83.3431793258
6,2014-11-10,60.01,60.58,59.75,60.09,425000,60.09,299338.0,57.167,58.0415,56.8272,57.6533333333,61.4236015656,58.0415,54.6593984344,1.09703585437,0.851846663037,0.245189191335,69.538908824,79.9309935339,85.0016902042
7,2014-11-07,60.47,60.74,59.94,60.21,373400,60.21,302322.0,56.9956666667,57.7725,56.78,57.6624,61.3122280969,57.7725,54.2327719031,1.09483298712,0.790549365203,0.304283621916,71.0631722788,83.9001610255,87.2252887173
8,2014-11-06,60.33,60.42,59.33,60.37,246000,60.37,303498.0,56.8173333333,57.51,56.7966,57.6696666667,61.0663745584,57.51,53.9536254416,1.06387830219,0.714478459724,0.34939984247,73.0455198501,87.7468117587,88.0827248077
9,2014-11-05,61.0,61.0,59.1,60.12,340800,60.12,308190.0,56.6363333333,57.267,56.785,57.6845333333,60.6693056888,57.267,53.8646943112,0.992603365405,0.627128499106,0.365474866298,71.9085615585,88.4287944987,87.6292314234
10,2014-11-04,60.11,60.33,59.6,60.0,276800,60.0,307662.0,56.4933333333,57.065,56.7892,57.7010666667,60.2377495962,57.065,53.8922504038,0.912647306224,0.535759782532,0.376887523692,71.3703081351,88.8253875862,86.5788335584
11,2014-11-03,59.72,60.13,59.2,60.0,365100,60.0,309424.0,56.3386666667,56.855,56.7902,57.7229333333,59.7682696408,56.855,53.9417303592,0.809537611687,0.441537901609,0.367999710078,71.3703081351,87.3299053872,85.7317958849
12,2014-10-31,59.09,59.71,58.78,59.24,335700,59.24,312598.0,56.197,56.68,56.79,57.7348,59.21212164,56.68,54.14787836,0.666157054491,0.349537974089,0.316619080401,68.0245678569,85.9328382213,84.6805695381
13,2014-10-30,57.69,59.39,57.67,58.61,144700,58.61,313564.0,56.0836666667,56.5,56.7958,57.7484,58.7776391286,56.5,54.2223608714,0.550843586149,0.270383203989,0.28046038216,64.8639598229,84.2272030388,83.137263829
14,2014-10-29,58.01,58.4,57.44,57.82,154100,57.82,326150.0,56.0006666667,56.323,56.7972,57.7578666667,58.463299979,56.323,54.182700021,0.459794852577,0.200268108449,0.259526744128,60.2940019994,85.4372368925,83.1686579626
15,2014-10-28,57.73,57.97,57.37,57.94,127300,57.94,331444.0,55.9536666667,56.1775,56.7896,57.7704,58.2863658089,56.1775,54.0686341911,0.417331998416,0.135386422417,0.281945575999,61.4207953731,83.125,82.8792286145
16,2014-10-27,57.58,57.61,56.89,57.42,194700,57.42,334926.0,55.9126666667,56.0305,56.7838,57.7862666667,58.0347202973,56.0305,54.0262797027,0.344845490037,0.0649000284174,0.27994546162,58.2838121035,79.7596153846,82.7597769877
17,2014-10-24,57.17,57.78,57.1,57.69,136700,57.69,336600.0,55.8863333333,55.907,56.7772,57.8084666667,57.8571907599,55.907,53.9568092401,0.30025586676,-0.00508633698756,0.305342203748,60.662029809,84.3527795734,81.4744599763
18,2014-10-23,57.81,57.81,56.74,57.16,345800,57.16,338638.0,55.8463333333,55.7655,56.7656,57.8300666667,57.583900121,55.7655,53.947099879,0.211485025898,-0.0814218879245,0.292906913823,57.5011478237,84.2795195001,76.4279317496
19,2014-10-22,58.01,58.43,57.19,57.24,168000,57.24,341834.0,55.8186666667,55.6545,56.7624,57.8516666667,57.3878952232,55.6545,53.9211047768,0.149068643184,-0.15464861638,0.303717259564,58.1561174699,82.6471934928,68.8646600263
20,2014-10-21,57.04,57.99,56.91,57.94,200000,57.94,348124.0,55.799,55.584,56.7572,57.8696,57.1613953214,55.584,54.0066046786,0.0590889162559,-0.230577931271,0.289666847527,64.0872806575,74.6183473389,58.6916631059
21,2014-10-20,56.24,56.9,55.98,56.82,159500,56.82,349970.0,55.7646666667,55.455,56.737,57.8805333333,56.6045651352,55.455,54.3054348648,-0.127890137624,-0.302994643153,0.175104505529,57.6738825361,64.1666666667,50.008299599
22,2014-10-17,55.4,56.4,55.3,56.13,268300,56.13,352400.0,55.7806666667,55.4015,56.7254,57.9014666667,56.3786443087,55.4015,54.4243556913,-0.250646818937,-0.346770769535,0.0961239505983,52.8577726006,54.0264326069,44.0041230012
23,2014-10-16,54.68,55.8,54.41,55.12,440100,55.12,351878.0,55.8156666667,55.387,56.7088,57.9264,56.3284265771,55.387,54.4455734229,-0.33342866572,-0.370801757185,0.0373730914651,44.232878133,41.9552058111,42.7570984035
24,2014-10-15,54.66,57.43,53.23,55.63,908300,55.63,349048.0,55.8706666667,55.437,56.7232,57.9534666667,56.421623786,55.437,54.452376214,-0.331402169567,-0.380145030051,0.0487428604844,48.3834155544,39.8848933111,47.5759141382
25,2014-10-14,55.06,55.85,54.79,55.28,284600,55.28,340814.0,55.927,55.476,56.7126,57.9732666667,56.5461850307,55.476,54.4058149693,-0.375922501101,-0.392330745172,0.016408244071,45.100652777,40.1499602754,56.6720736229
26,2014-10-13,55.02,55.45,54.61,54.71,293400,54.71,345392.0,56.0176666667,55.5475,56.675,57.9966,56.7398569096,55.5475,54.3551430904,-0.391642306062,-0.39643280619,0.00479050012797,39.2587237285,49.0383342161,67.1779074177
27,2014-10-10,55.75,56.13,54.9,54.96,370500,54.96,347366.0,56.1183333333,55.6435,56.6426,58.0284,56.8596130704,55.6435,54.4273869296,-0.347973514488,-0.397630431222,0.0496569167345,41.0371966305,61.23046875,72.9467186684
