,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,9.27,9.49,9.22,9.42,237600,9.42,364960.0,9.01433333333,9.307,9.0922,11.3321333333,10.0057159652,9.307,8.60828403482,0.136522439755,0.147929144323,-0.0114067045674,54.1054314915,29.3565705691,37.1162311659
1,2014-11-17,9.46,9.51,9.15,9.24,288400,9.24,367566.0,8.982,9.263,9.0878,11.3908666667,10.0347279313,9.263,8.49127206867,0.144035950656,0.150780820465,-0.00674486980832,50.2092937618,33.5687745764,43.246271002
2,2014-11-14,9.41,9.5,9.29,9.46,172300,9.46,366250.0,8.96266666667,9.2175,9.0884,11.4503333333,10.0900107449,9.2175,8.34498925508,0.169858127106,0.152467037917,0.017391089189,55.5625860054,41.4937514619,49.0711230841
3,2014-11-13,9.62,9.65,9.35,9.4,154900,9.4,368230.0,8.945,9.17,9.0858,11.5086,10.0868424074,9.17,8.2531575926,0.17794595047,0.148119265619,0.0298266848511,54.3294325215,44.0458280565,54.677267818
4,2014-11-12,9.4,9.66,9.39,9.64,286700,9.64,376830.0,8.92866666667,9.1335,9.082,11.5658,10.0687491647,9.1335,8.19825083534,0.191789740286,0.140662594407,0.051127145879,60.5728387297,53.8767299133,61.7827979833
5,2014-11-11,9.34,9.46,9.29,9.44,133300,9.44,376564.0,8.89133333333,9.057,9.0794,11.6257333333,10.0617308097,9.057,8.05226919028,0.182233417609,0.127880807937,0.0543526096723,56.7246041008,56.8681829047,67.8809231973
6,2014-11-10,9.49,9.54,9.25,9.35,152600,9.35,377588.0,8.863,9.0065,9.082,11.6902,10.0304975586,9.0065,7.98250244141,0.187749043319,0.114292655519,0.0734563877999,54.8846005045,63.9183303973,72.8305441378
7,2014-11-07,9.63,9.63,9.44,9.49,158700,9.49,379364.0,8.84433333333,8.962,9.0892,11.7552,9.99968203222,8.962,7.92431796778,0.201221728594,0.0959285585688,0.105293170025,58.4759330856,72.4679487179,76.5090811966
8,2014-11-06,9.57,9.76,9.5,9.64,324700,9.64,383166.0,8.827,8.9075,9.0956,11.8186666667,9.94302643617,8.9075,7.87197356383,0.201236367203,0.0696052660625,0.13163110114,62.5478212804,78.2692307692,78.6550523849
9,2014-11-05,9.75,9.76,9.39,9.58,366200,9.58,382980.0,8.80033333333,8.8455,9.103,11.8824666667,9.84606933793,8.8455,7.84493066207,0.183055249686,0.0366974907774,0.146357758908,61.5534434323,76.6666666667,79.8614557486
10,2014-11-04,9.8,9.82,9.6,9.7,371700,9.7,381772.0,8.784,8.7885,9.1106,11.9488666667,9.74407888214,8.7885,7.83292111786,0.163296001514,0.000108051050368,0.163187950463,64.7459536665,78.6324786325,82.5494749806
11,2014-11-03,9.48,9.84,9.48,9.82,442300,9.82,381014.0,8.76233333333,8.726,9.1102,12.0142666667,9.59447913043,8.726,7.85752086957,0.123482619279,-0.0406889365655,0.164171555845,68.0219573878,81.0518334712,84.8009718776
12,2014-10-31,10.0,10.06,9.19,9.46,839800,9.46,381940.0,8.746,8.668,9.1126,12.0777333333,9.37673408271,8.668,7.95926591729,0.0586519733111,-0.0817318255267,0.140383798838,62.7750633591,83.0948442239,86.2883359096
13,2014-10-30,9.19,9.43,8.98,9.21,317700,9.21,370636.0,8.764,8.6415,9.113,12.1400666667,9.26421261429,8.6415,8.01878738571,0.0117059201179,-0.116827775236,0.128533695354,58.3704821524,87.4187435949,85.6073298789
14,2014-10-29,9.31,9.34,8.93,9.24,261700,9.24,369842.0,8.791,8.6265,9.1124,12.2022666667,9.20671633896,8.6265,8.04628366104,-0.0229300375232,-0.148961199075,0.126031161551,59.1503564054,87.6384662203,82.8675094761
15,2014-10-28,8.75,9.4,8.75,9.32,269300,9.32,372872.0,8.80966666667,8.5905,9.1114,12.2629333333,9.09888863087,8.5905,8.08211136913,-0.069859132003,-0.180468989462,0.11060985746,61.1742323049,87.0012895994,77.9133384656
16,2014-10-27,8.67,8.76,8.5,8.74,103400,8.74,382614.0,8.82633333333,8.554,9.1036,12.3268,8.93700913827,8.554,8.17099086173,-0.136887043401,-0.208121453827,0.0712344104266,49.5542864041,80.3708201009,71.1985580815
17,2014-10-24,8.75,8.91,8.55,8.72,176600,8.72,390008.0,8.86166666667,8.5565,9.103,12.3982666667,8.94494690757,8.5565,8.16805309243,-0.161393402408,-0.225930056434,0.064536654026,49.0661878112,76.4594619839,65.9715930918
18,2014-10-23,8.64,8.85,8.26,8.73,224600,8.73,391536.0,8.89866666667,8.569,9.1008,12.4698666667,8.99222098247,8.569,8.14577901753,-0.18828852387,-0.242064219941,0.0537756960709,49.287602434,67.8217821782,58.7127462963
19,2014-10-22,8.58,8.78,8.4,8.54,170200,8.54,397660.0,8.93066666667,8.5745,9.1002,12.5432666667,9.00866471529,8.5745,8.14033528471,-0.220895918552,-0.255508143958,0.0346122254066,44.9009084546,60.142168063,53.6468983916
20,2014-10-21,8.35,8.69,8.35,8.54,207700,8.54,415124.0,8.949,8.602,9.1014,12.62,9.09024583972,8.602,8.11375416028,-0.239956325312,-0.26416120031,0.0242048749977,44.9009084546,59.4629601422,50.1245377962
21,2014-10-20,8.44,8.63,8.31,8.33,227800,8.33,415974.0,8.971,8.6275,9.112,12.6962,9.15205218997,8.6275,8.10294781003,-0.260794061573,-0.270212419059,0.0094183574864,39.9506505124,47.424074802,45.5305063128
22,2014-10-17,8.8,8.86,8.36,8.51,270300,8.51,419134.0,9.00233333333,8.6775,9.1258,12.7735333333,9.26584938599,8.6775,8.08915061401,-0.26221540405,-0.272567008431,0.0103516043808,43.0274372717,47.5583905592,45.544642651
23,2014-10-16,8.01,8.73,7.85,8.67,300200,8.67,421382.0,9.02966666667,8.752,9.1376,12.85,9.5694007585,8.752,7.9345992415,-0.278542784389,-0.275154909526,-0.00338787486333,45.9482614888,46.0527256814,45.4597569168
24,2014-10-15,8.29,8.29,7.86,8.11,908500,8.11,422950.0,9.04766666667,8.8195,9.1472,12.9254,9.80445634421,8.8195,7.83454365579,-0.311621836613,-0.27430794081,-0.0373138958029,30.6478445744,41.0868342086,45.1020625959
25,2014-10-14,8.5,8.65,8.36,8.43,312800,8.43,411116.0,9.09433333333,8.904,9.1648,13.0017333333,9.92045265507,8.904,7.88754734493,-0.292291872919,-0.26497946686,-0.0273124060594,36.0647872588,47.480620155,46.3666432796
26,2014-10-13,8.4,8.58,8.3,8.46,312900,8.46,414514.0,9.13233333333,8.9735,9.177,13.0762,10.0396758767,8.9735,7.90732412333,-0.295950110198,-0.258151365345,-0.037798744853,36.6283710602,47.2188476224,46.3852595193
27,2014-10-10,8.35,8.65,8.28,8.4,235800,8.4,415990.0,9.174,9.0405,9.1942,13.1485333333,10.1371581053,9.0405,7.94384189466,-0.299369167812,-0.248701679131,-0.050667488681,34.7342588046,44.6219483975,46.3717951472
28,2014-10-09,8.41,8.48,8.2,8.4,365100,8.4,422896.0,9.221,9.112,9.2162,13.2221333333,10.2187176695,9.112,8.00528233049,-0.293269577091,-0.236034806961,-0.0572347701295,34.7342588046,46.1451569436,46.2825555813
29,2014-10-08,8.46,8.58,8.3,8.44,360200,8.44,422866.0,9.27466666667,9.1765,9.2432,13.2965333333,10.2598332821,9.1765,8.09316671795,-0.281218541994,-0.221726114429,-0.0594924275648,35.3414629684,47.5550851137,42.783858768
30,2014-10-07,8.6,8.73,8.39,8.45,328500,8.45,420134.0,9.32533333333,9.209,9.2652,13.3686666667,10.2397259578,9.209,8.17827404224,-0.265819314768,-0.206853007538,-0.0589663072303,35.4854696316,47.1649901341,36.2140949802
31,2014-10-06,8.96,9.02,8.65,8.66,166500,8.66,421974.0,9.36633333333,9.2465,9.2866,13.4426666667,10.2168458146,9.2465,8.27615418535,-0.243316020167,-0.19211143073,-0.0512045894369,38.5484146238,44.2649901341,28.0751882706
32,2014-10-03,9.0,9.1,8.9,8.93,201600,8.93,431326.0,9.409,9.277,9.3042,13.5176,10.2092896546,9.277,8.34471034544,-0.23243630931,-0.179310283371,-0.0531260259393,42.9772217054,32.1503696901,19.2468584842
33,2014-10-02,8.53,8.97,8.53,8.91,261100,8.91,463140.0,9.42733333333,9.297,9.3118,13.5868666667,10.2157186729,9.297,8.37828132706,-0.242659859317,-0.166028776886,-0.0766310824315,42.5230126525,21.2760299625,14.2278889617
34,2014-10-01,8.58,8.62,7.81,8.52,611300,8.52,464668.0,9.43633333333,9.312,9.351,13.6551333333,10.2146095501,9.312,8.40939044986,-0.250142865191,-0.146871006278,-0.103271858913,32.8358950503,14.6093632959,11.6273878211
35,2014-09-30,8.78,8.85,8.53,8.59,396000,8.59,460468.0,9.45866666667,9.3615,9.4006,13.7263333333,10.1905301563,9.3615,8.53246984373,-0.216346369195,-0.12105304155,-0.0952933276449,33.7849078364,8.95167098819,11.0577724613
36,2014-09-29,8.88,8.92,8.69,8.79,284700,8.79,460794.0,9.47,9.4105,9.4462,13.7973333333,10.1637190916,9.4105,8.65728090837,-0.177190167116,-0.0972297096386,-0.0799604574777,36.5905999223,12.0744916004,16.30161864
37,2014-09-26,8.85,8.99,8.66,8.97,333400,8.97,459378.0,9.46733333333,9.4565,9.4904,13.8656,10.1634731254,9.4565,8.74952687463,-0.144998939487,-0.0772395952692,-0.0677593442181,39.3194692614,10.8740253999,24.629149586
38,2014-09-25,9.05,9.15,8.75,8.84,370600,8.84,457426.0,9.45533333333,9.4985,9.5298,13.9342666667,10.1843651471,9.4985,8.8126348529,-0.120129424375,-0.0602997592146,-0.0598296651609,36.1247555113,12.3309018568,37.8120855438
39,2014-09-24,9.06,9.41,8.86,9.09,319500,9.09,453270.0,9.45066666667,9.557,9.5792,14.0026666667,10.2068646013,9.557,8.90713539872,-0.0734031789146,-0.0453423429244,-0.0280608359902,39.8734339907,29.9270557029,53.9601293103
40,2014-09-23,9.32,9.45,9.01,9.05,434100,9.05,451576.0,9.43433333333,9.6005,9.627,14.0669333333,10.2358101605,9.6005,8.96518983953,-0.0381503611967,-0.0383271339269,0.000176772730177,38.9319286672,45.3846153846,65.8870192308
41,2014-09-22,9.97,9.99,9.3,9.33,300400,9.33,451502.0,9.435,9.632,9.6758,14.1324666667,10.2153558091,9.632,9.04864419091,0.0114726950352,-0.0383713271094,0.0498440221446,43.3435046104,63.6057692308,74.21875
42,2014-09-19,10.0,10.23,9.77,10.0,2867900,10.0,449822.0,9.42466666667,9.6625,9.7202,14.1997333333,10.2432882575,9.6625,9.08171174254,0.0461337930616,-0.0508323326456,0.0969661257072,57.9287655214,76.9230769231,77.7212803644
43,2014-09-18,9.81,10.31,9.81,10.02,417500,10.02,397892.0,9.39466666667,9.6365,9.7504,14.2633333333,10.2008500687,9.6365,9.07214993134,0.0214847393708,-0.0750738640724,0.0965586034432,58.4741776748,77.6346153846,73.2792205967
44,2014-09-17,9.81,10.04,9.69,9.8,244100,9.8,393304.0,9.36566666667,9.5945,9.786,14.3248,10.1634455158,9.5945,9.02555448416,-0.0123252853673,-0.0992135149332,0.0868882295659,54.0557279912,78.7115384615,64.6687459105
45,2014-09-16,9.78,10.05,9.7,9.82,396100,9.82,392488.0,9.33866666667,9.564,9.8242,14.3877333333,10.1507333295,9.564,8.97726667045,-0.0328998946094,-0.120935572325,0.0880356777152,54.5456585095,77.6158906883,51.8238342696
46,2014-09-15,9.8,9.88,9.54,9.8,331800,9.8,388148.0,9.31266666667,9.5195,9.8658,14.4489333333,10.1548101605,9.5195,8.88418983953,-0.0607183973932,-0.142944491753,0.0822260943602,54.159865842,59.1548378522,36.325542114
47,2014-09-12,9.7,10.01,9.69,9.83,315100,9.83,388558.0,9.29666666667,9.465,9.9096,14.5063333333,10.177081456,9.465,8.75291854399,-0.0933053824389,-0.163501015343,0.0701956329046,54.8077949697,43.1927166401,26.3804641054
48,2014-09-11,9.04,9.77,9.01,9.69,381300,9.69,387120.0,9.28566666667,9.404,9.9494,14.5644666667,10.1861355381,9.404,8.62186446187,-0.136595601425,-0.18104992357,0.0444543221443,52.3368998682,27.3318918978,22.4551371791
49,2014-09-10,9.21,9.3,9.08,9.09,332500,9.09,388280.0,9.28766666667,9.3545,9.9936,14.6233333333,10.1819654071,9.3545,8.52703459287,-0.175608272184,-0.192163504106,0.0165552319221,39.0820587864,15.622722066,25.0749767222
50,2014-09-09,9.24,9.31,9.05,9.2,367900,9.2,387290.0,9.30266666667,9.33,10.05,14.6875333333,10.2143981004,9.33,8.44560189959,-0.161757415265,-0.196302312086,0.0345448968211,41.024238992,19.3745258178,33.7172610884
51,2014-09-08,9.33,9.33,9.14,9.27,222600,9.27,387990.0,9.31333333333,9.3235,10.104,14.7512666667,10.2135174156,9.3235,8.43348258444,-0.152925850031,-0.204938536292,0.0520126862606,42.2653694423,27.4914089347,45.4984139236
52,2014-09-05,9.18,9.39,9.09,9.33,271300,9.33,392404.0,9.32233333333,9.311,10.159,14.8133333333,10.2106421511,9.311,8.41135784892,-0.14655645804,-0.217941707857,0.0713852498162,43.3082044518,37.8112500704,58.327614623
53,2014-09-04,9.52,9.73,9.1,9.21,584900,9.21,394004.0,9.32166666667,9.2995,10.2072,14.8781333333,10.2037449889,9.2995,8.39525501107,-0.142404158328,-0.235788020311,0.0933838619822,40.5857089898,50.1918595307,70.694019179
54,2014-09-03,9.59,9.75,9.46,9.51,273400,9.51,392170.0,9.377,9.2965,10.251,14.9445333333,10.2023095826,9.2965,8.39069041736,-0.122814798939,-0.259133985806,0.136319186868,45.6779491057,66.4991371587,80.0800165604
55,2014-09-02,9.76,9.82,9.53,9.57,184500,9.57,393914.0,9.42666666667,9.2705,10.2956,15.0074,10.180147734,9.2705,8.36085226598,-0.126570710424,-0.293213782523,0.1666430721,46.7676995561,78.808211732,85.9738097655
56,2014-08-29,9.81,9.88,9.66,9.71,241400,9.71,436846.0,9.47,9.244,10.3414,15.0718,10.1480663692,9.244,8.33993363075,-0.135632681658,-0.334874550548,0.19924186889,49.3169269064,87.2768682945,88.9256006979
57,2014-08-28,9.92,9.96,9.74,9.81,348800,9.81,439278.0,9.513,9.2245,10.3852,15.1354,10.1040106594,9.2245,8.3449893406,-0.159480758665,-0.38468501777,0.225204259106,51.1667830451,87.7358490566,89.7421250401
58,2014-08-27,9.97,10.04,9.83,10.01,315400,10.01,444998.0,9.55066666667,9.209,10.4304,15.196,10.0570542435,9.209,8.36094575645,-0.197781675009,-0.440986082547,0.243204407538,54.9979754562,90.0743099788,91.3838174153
59,2014-08-26,9.72,9.96,9.69,9.96,305800,9.96,451796.0,9.594,9.196,10.4698,15.2467333333,10.0014414938,9.196,8.39055850616,-0.26415438387,-0.501787184431,0.237632800562,54.2019104412,90.6153754616,90.2282242382
60,2014-08-25,9.95,10.06,9.55,9.68,333800,9.68,462882.0,9.64466666667,9.175,10.5034,15.2998666667,9.91924458345,9.175,8.43075541655,-0.339936941232,-0.561195384572,0.22125844334,49.5623754539,90.5429656635,84.3615424261
