,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,54.0,54.65,53.74,54.06,732000,54.06,972196.0,56.1903333333,55.87,58.2038,58.2960666667,59.5643524466,55.87,52.1756475534,-1.26327288575,-1.17796956552,-0.0853033202297,41.9901321314,22.5889285971,18.6375270948
1,2014-11-17,53.65,54.61,53.5,54.08,628800,54.08,962560.0,56.581,56.0975,58.3314,58.3066666667,59.8773829347,56.0975,52.3176170653,-1.29188708894,-1.15664373546,-0.135243353477,42.0512774924,18.8521892489,17.9795421443
2,2014-11-14,53.5,54.46,53.34,54.21,865900,54.21,954984.0,56.9916666667,56.2585,58.4648,58.3172666667,59.9543045132,56.2585,52.5626954868,-1.31165449608,-1.12283289709,-0.188821598989,42.4241480351,17.3476968796,17.2023500799
3,2014-11-13,54.3,54.48,52.85,53.5,802200,53.5,946220.0,57.422,56.424,58.6064,58.3276,60.0334897146,56.424,52.8145102854,-1.33104264853,-1.07562749735,-0.255415151181,39.7131331128,15.7612936537,16.6669800448
4,2014-11-12,53.85,54.51,53.75,54.24,749900,54.24,935546.0,57.8673333333,56.552,58.7522,58.3428666667,59.9104853729,56.552,53.1935146271,-1.26413745185,-1.01177370955,-0.252363742301,41.6092728919,19.9569887951,16.383384199
5,2014-11-11,54.04,54.64,52.82,54.0,591900,54.0,928422.0,58.2273333333,56.451,58.8846,58.3614666667,60.1823263058,56.451,52.7196736942,-1.23570009243,-0.948682773975,-0.287017318456,40.7574192078,15.7434209912,17.3870605382
6,2014-11-10,55.19,55.96,54.03,54.1,578000,54.1,924290.0,58.6393333333,56.3275,59.0204,58.3804,60.5112250149,56.3275,52.1437749851,-1.15699349779,-0.876928444361,-0.280065053429,40.9887802287,15.2062167392,24.116102715
7,2014-11-07,54.07,56.26,53.96,54.9,787000,54.9,917068.0,58.7813333333,56.3075,59.1648,58.3968,60.5371991619,56.3075,52.0778008381,-1.0498880843,-0.806912181004,-0.242975903295,42.7933128097,14.6269102706,33.5445532612
8,2014-11-06,54.84,55.16,53.19,53.46,1291900,53.46,911182.0,58.8826666667,56.4375,59.2854,58.3984666667,60.6459385465,56.4375,52.2290614535,-0.979366075308,-0.74616820518,-0.233197870128,38.2494141473,23.9716941519,47.6189754097
9,2014-11-05,55.85,56.14,55.5,55.81,799100,55.81,892342.0,59.01,56.771,59.4236,58.4134,61.039474669,56.771,52.502525331,-0.728490840918,-0.687868737648,-0.0406221032702,43.4833106089,42.6595896981,61.0618263364
