Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,52.74,53.61,52.74,53.31,4818400,53.31
2014-12-01,52.66,52.93,51.87,52.46,4437600,52.46
2014-11-28,53.38,53.41,52.66,52.68,3007600,52.68
2014-11-26,53.03,53.37,52.93,53.18,1875600,53.18
2014-11-25,52.86,53.33,52.62,52.93,2929900,52.93
2014-11-24,52.74,53.33,52.61,52.95,2709500,52.95
2014-11-21,53.06,53.54,52.41,52.71,3666000,52.71
2014-11-20,51.94,52.63,51.82,52.57,2226300,52.57
2014-11-19,52.00,52.28,51.79,52.22,2031600,52.22
2014-11-18,51.91,52.25,51.78,52.01,2484500,52.01
2014-11-17,51.26,52.15,51.15,51.99,2893900,51.75
2014-11-14,50.92,51.36,50.78,51.35,2735800,51.11
2014-11-13,51.00,51.16,50.33,50.81,2555500,50.58
2014-11-12,50.98,51.00,50.46,50.71,2241900,50.48
2014-11-11,50.91,51.38,50.81,51.12,2019900,50.88
2014-11-10,50.69,50.78,50.37,50.77,2058900,50.54
2014-11-07,49.89,50.67,49.89,50.55,2311500,50.32
2014-11-06,50.35,50.66,49.94,49.97,3388400,49.74
2014-11-05,50.45,50.52,49.85,50.31,4307000,50.08
2014-11-04,49.05,49.75,48.60,49.54,5273600,49.31
2014-11-03,47.24,47.60,47.05,47.25,3445200,47.03
2014-10-31,47.00,47.26,46.67,47.00,3010500,46.78
2014-10-30,45.73,46.62,45.62,46.58,2983100,46.36
2014-10-29,45.77,46.20,45.44,45.82,2588600,45.61
2014-10-28,44.98,45.73,44.81,45.69,3096000,45.48
2014-10-27,45.51,45.51,44.42,44.62,3594200,44.41
2014-10-24,45.58,45.78,45.18,45.58,2213700,45.37
2014-10-23,46.27,46.54,45.41,45.54,2949900,45.33
2014-10-22,45.84,46.23,45.69,45.76,2982500,45.55
2014-10-21,45.61,45.97,45.48,45.70,3397900,45.49
2014-10-20,44.45,45.61,44.42,45.40,4476400,45.19
2014-10-17,43.67,44.99,43.41,44.50,6526100,44.29
2014-10-16,42.53,43.47,42.37,43.17,4996100,42.97
2014-10-15,42.31,43.12,41.63,42.98,8480600,42.78
2014-10-14,44.87,45.04,43.00,43.08,8969400,42.88
2014-10-13,46.36,46.46,44.69,44.76,5230300,44.55
2014-10-10,47.08,47.42,46.14,46.36,5243000,46.15
2014-10-09,47.89,48.16,47.06,47.13,6596600,46.91
2014-10-08,49.50,49.65,47.08,48.02,12130100,47.80
2014-10-07,50.40,50.67,49.53,49.57,5138700,49.34
2014-10-06,51.20,51.25,50.43,50.59,3065300,50.36
2014-10-03,50.72,51.30,50.47,51.11,3701200,50.87
2014-10-02,50.50,51.09,50.43,50.53,2719000,50.30
2014-10-01,51.17,51.32,50.38,50.40,4005600,50.17
2014-09-30,51.25,51.39,50.99,51.10,1956200,50.86
2014-09-29,50.49,51.46,50.48,51.30,2144100,51.06
2014-09-26,50.58,51.04,50.38,50.87,1681400,50.64
2014-09-25,51.34,51.34,50.40,50.48,2087700,50.25
2014-09-24,50.79,51.54,50.79,51.46,1756300,51.22
2014-09-23,51.20,51.31,50.75,50.77,1828100,50.54
2014-09-22,51.56,51.80,51.22,51.46,2017300,51.22
2014-09-19,52.32,52.32,51.69,51.69,3592900,51.45
2014-09-18,51.30,52.36,51.25,52.06,3509400,51.82
2014-09-17,51.17,51.39,50.87,51.20,2165800,50.96
2014-09-16,50.44,51.41,50.40,51.26,2388500,51.02
2014-09-15,50.45,50.58,50.32,50.56,1630700,50.33
2014-09-12,50.84,50.84,50.19,50.41,2087700,50.18
2014-09-11,50.62,50.94,50.52,50.92,2940100,50.68
2014-09-10,50.50,50.71,50.38,50.67,1878100,50.44
2014-09-09,50.53,50.59,50.31,50.46,2722200,50.23
2014-09-08,50.29,50.57,50.26,50.53,1930800,50.30
2014-09-05,50.06,50.37,49.97,50.36,2660900,50.13
2014-09-04,49.92,50.29,49.81,50.20,3258300,49.97
2014-09-03,50.32,50.41,49.51,49.93,3214300,49.70
2014-09-02,49.98,50.56,49.71,50.06,3554500,49.83
2014-08-29,49.76,49.92,49.64,49.86,2009700,49.63
2014-08-28,49.49,49.90,49.41,49.75,1830000,49.52
2014-08-27,49.37,49.76,49.31,49.58,2132600,49.35
2014-08-26,49.50,49.66,49.03,49.20,2120300,48.97
2014-08-25,49.35,49.60,49.25,49.46,1371900,49.23
2014-08-22,49.68,49.79,49.06,49.14,1895900,48.91
2014-08-21,49.85,49.94,49.49,49.57,1898200,49.34
2014-08-20,49.69,49.89,49.53,49.80,1678800,49.57
2014-08-19,49.56,49.94,49.53,49.69,2184100,49.46
2014-08-18,49.86,50.01,49.71,49.79,2269800,49.32
2014-08-15,50.09,50.30,49.56,49.74,3038200,49.27
2014-08-14,50.10,50.15,49.83,49.97,2034200,49.50
2014-08-13,49.67,50.24,49.57,50.04,3189900,49.57
2014-08-12,49.70,49.90,49.38,49.64,2787000,49.17
2014-08-11,49.21,50.00,49.18,49.81,2980800,49.34
2014-08-08,48.70,49.09,48.39,49.04,2627500,48.58
2014-08-07,48.77,48.95,48.43,48.52,2308100,48.06
2014-08-06,48.21,49.15,48.21,48.64,4574200,48.18
2014-08-05,48.39,49.17,48.19,48.56,6292800,48.10
2014-08-04,46.68,47.05,46.53,46.95,2858200,46.51
2014-08-01,46.33,46.75,46.12,46.57,3256300,46.13
2014-07-31,46.48,46.86,46.19,46.40,3677400,45.96
2014-07-30,47.68,47.85,46.60,46.74,4206300,46.30
2014-07-29,48.08,48.30,47.54,47.57,2460300,47.12
2014-07-28,48.23,48.40,47.96,48.07,1882900,47.62
2014-07-25,48.29,48.49,47.89,48.12,2040300,47.67
2014-07-24,48.36,48.84,48.35,48.43,2213500,47.97
2014-07-23,48.18,48.39,48.09,48.29,2250600,47.84
2014-07-22,48.06,48.38,47.94,48.20,2598900,47.75
2014-07-21,47.88,48.20,47.75,48.08,2357900,47.63
2014-07-18,47.49,48.20,47.43,48.10,2395000,47.65
2014-07-17,47.75,47.90,47.31,47.32,2564800,46.87
2014-07-16,47.87,47.97,47.68,47.76,2747500,47.31
2014-07-15,47.96,48.22,47.49,47.54,4049300,47.09
2014-07-14,48.06,48.33,47.90,48.07,3462900,47.62
2014-07-11,47.15,48.04,46.84,47.85,4814900,47.40
