Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,327.5,327.93,323.25,326.31,0.682754171705,326.31
2014-12-01,338.12,340.64,325.93,326.0,1.2044147589,326.0
2014-11-28,336.03,341.26,336.03,338.64,0.740232989777,338.64
2014-11-26,333.78,334.65,331.75,333.57,0.482245460897,333.57
2014-11-25,335.27,336.33,331.28,335.04,0.616220268671,335.04
2014-11-24,334.78,337.39,333.6,335.64,0.660315374507,335.64
2014-11-21,335.42,338.33,331.47,332.63,1.06454640931,332.63
2014-11-20,324.0,332.67,323.33,330.54,0.822856978594,330.54
2014-11-19,327.25,328.4,324.02,326.54,0.78861896493,326.54
2014-11-18,323.99,329.56,323.25,324.93,0.851093725573,324.93
2014-11-17,326.44,328.0,318.03,323.05,1.14123872798,323.05
2014-11-14,317.12,332.88,316.4,327.82,2.1358433216,327.82
2014-11-13,312.0,317.89,311.51,316.48,0.916729055414,316.48
2014-11-12,310.75,312.58,308.79,311.51,0.541890788279,311.51
2014-11-11,305.94,312.38,303.65,312.01,0.945621540561,312.01
2014-11-10,300.0,305.8,300.0,305.11,0.70236847747,305.11
2014-11-07,297.82,299.99,296.29,299.86,0.665932499186,299.86
2014-11-06,296.69,297.0,292.29,296.64,0.947201117859,296.64
2014-11-05,303.01,304.0,294.16,296.52,1.18292239148,296.52
2014-11-04,303.99,304.25,300.17,302.81,0.871832884028,302.81
2014-11-03,306.24,308.01,303.24,305.72,0.831013074777,305.72
2014-10-31,305.15,305.72,301.5,305.46,1.17248671687,305.46
2014-10-30,293.98,299.74,292.36,299.07,1.05706898236,299.07
2014-10-29,299.11,299.61,293.07,294.12,1.28983865326,294.12
2014-10-28,289.76,298.0,289.76,295.59,1.49739488866,295.59
2014-10-27,285.7,290.42,285.02,289.97,1.62594206328,289.97
2014-10-24,284.4,293.81,284.0,287.06,5.47187007075,287.06
2014-10-23,313.4,316.8,311.4,313.18,2.74626005821,313.18
2014-10-22,315.43,318.98,312.64,312.97,0.974033662883,312.97
2014-10-21,309.9,315.64,307.07,315.33,1.11750909725,315.33
2014-10-20,302.95,306.53,302.02,306.21,1.0225352932,306.21
2014-10-17,307.15,309.2,302.72,303.64,1.39727162344,303.64
2014-10-16,293.83,306.82,293.83,302.86,1.51486238391,302.86
2014-10-15,304.35,307.9,299.1,305.97,1.73809897072,305.97
2014-10-14,308.0,312.24,305.75,308.31,1.11937263822,308.31
2014-10-13,309.87,313.2,303.47,306.45,1.43500627419,306.45
2014-10-10,314.02,317.77,311.38,311.39,1.18672048847,311.39
2014-10-09,321.49,322.27,314.52,315.37,1.14527452561,315.37
2014-10-08,316.58,324.11,314.14,322.7,1.09947497268,322.7
2014-10-07,319.43,322.0,316.67,316.98,0.75595360604,316.98
2014-10-06,323.5,324.13,319.6,322.2,0.715638240698,322.2
2014-10-03,320.36,325.16,319.53,322.74,0.864990414309,322.74
2014-10-02,316.92,318.53,311.31,318.41,0.989252639519,318.41
2014-10-01,322.04,322.17,315.55,317.46,0.864040895306,317.46
2014-09-30,321.36,323.43,318.51,322.44,0.738188618085,322.44
2014-09-29,320.5,323.75,319.0,321.82,0.540008496029,321.82
2014-09-26,320.6,323.5,317.64,323.21,1.01233445215,323.21
2014-09-25,327.99,328.54,321.4,321.93,0.81499674146,321.93
2014-09-24,324.17,329.44,319.56,328.21,0.732900061856,328.21
2014-09-23,322.46,327.6,321.25,323.63,0.647082380744,323.63
2014-09-22,328.49,329.49,321.06,324.5,0.840266425281,324.5
2014-09-19,327.6,332.76,325.57,331.32,1.8099326302,331.32
2014-09-18,325.44,327.1,323.71,325.0,0.692668875838,325.0
2014-09-17,327.76,328.0,321.52,324.0,1.10824344486,324.0
2014-09-16,321.07,329.48,320.1,327.76,0.872857684489,327.76
2014-09-15,330.91,331.33,319.0,323.89,1.07765796617,323.89
2014-09-12,329.56,332.89,328.79,331.19,0.934159120589,331.19
2014-09-11,329.94,333.01,326.39,330.52,0.74402865175,330.52
2014-09-10,334.3,334.98,328.82,331.33,1.03609441463,331.33
2014-09-09,341.61,341.76,329.18,329.75,1.27568640758,329.75
2014-09-08,344.54,345.81,339.04,342.34,0.821378463892,342.34
2014-09-05,346.3,346.83,342.5,346.38,0.586440885534,346.38
2014-09-04,343.69,349.38,343.58,345.95,1.10238969709,345.95
2014-09-03,342.54,343.27,337.55,339.0,0.558381804657,339.0
2014-09-02,339.98,342.5,337.16,342.38,0.649227765066,342.38
2014-08-29,341.76,341.82,337.68,339.04,0.530312434548,339.04
2014-08-28,340.0,341.79,338.8,340.02,0.604767913233,340.02
2014-08-27,342.09,346.67,341.34,343.18,0.777756418539,343.18
2014-08-26,337.0,344.36,334.55,341.83,0.959962974695,341.83
2014-08-25,333.21,336.77,332.71,334.02,0.517495508889,334.02
2014-08-22,332.99,334.08,330.8,331.59,0.58202186267,331.59
2014-08-21,336.48,336.58,332.23,332.91,0.5132442054,332.91
2014-08-20,334.68,337.16,334.02,335.78,0.465449770244,335.78
2014-08-19,334.87,335.81,333.01,335.13,0.436431903075,335.13
2014-08-18,335.48,337.8,333.77,334.53,0.628131940562,334.53
2014-08-15,334.0,335.0,328.32,333.63,0.971265089791,333.63
2014-08-14,327.8,334.09,326.71,333.21,0.83628689012,333.21
2014-08-13,327.6,331.72,326.14,326.28,1.21689054211,326.28
2014-08-12,318.89,321.31,316.95,319.32,0.477469843485,319.32
2014-08-11,318.48,320.38,316.88,318.33,0.61436202513,318.33
2014-08-08,311.94,317.32,310.66,316.8,0.667466867161,316.8
2014-08-07,315.21,315.88,309.65,311.45,0.725345277794,311.45
2014-08-06,310.83,315.78,310.2,313.89,0.568119982666,313.89
2014-08-05,313.3,314.55,310.06,312.32,0.696604635531,312.32
2014-08-04,308.84,316.18,308.5,313.65,1.02503377007,313.65
2014-08-01,313.69,315.83,304.59,307.06,1.8302572026,307.06
2014-07-31,320.01,320.68,311.86,312.99,1.30283089697,312.99
2014-07-30,321.45,322.73,318.5,322.51,1.00145285097,322.51
2014-07-29,321.98,322.9,319.5,320.0,0.733876127166,320.0
2014-07-28,324.25,324.82,316.5,320.41,1.50382573063,320.41
2014-07-25,317.3,324.87,314.76,324.01,4.56214268989,324.01
2014-07-24,359.98,364.85,358.52,358.61,1.95744523395,358.61
2014-07-23,359.05,360.63,356.62,358.14,0.757022593771,358.14
2014-07-22,355.25,362.93,355.25,360.84,0.809062938818,360.84
2014-07-21,358.1,361.71,356.72,359.76,0.633917949026,359.76
2014-07-18,354.4,359.68,352.08,358.66,0.939829300476,358.66
2014-07-17,353.44,356.96,351.38,352.45,0.983311824514,352.45
2014-07-16,355.62,359.32,353.0,355.9,0.942173927308,355.9
2014-07-15,353.72,355.59,349.4,354.44,1.1275872137,354.44
2014-07-14,347.03,355.77,345.36,355.32,1.51805845252,355.32
2014-07-11,334.71,347.0,334.71,346.2,2.26191053616,346.2
2014-07-10,324.34,329.98,322.65,327.92,0.743256170421,327.92
2014-07-09,324.71,330.2,323.15,329.97,0.864473605172,329.97
2014-07-08,333.1,333.74,321.4,323.81,1.09845517847,323.81
2014-07-07,337.5,337.55,332.52,333.55,0.515858611754,333.55
2014-07-03,334.83,338.3,333.08,337.49,0.455318038819,337.49
2014-07-02,333.2,336.76,331.66,332.85,0.623064324833,332.85
2014-07-01,325.86,333.2,325.1,332.39,0.73394766992,332.39
2014-06-30,324.98,326.98,322.24,324.78,0.618280627608,324.78
2014-06-27,325.88,326.52,323.27,324.57,0.555054251143,324.57
2014-06-26,328.49,328.65,322.13,325.69,0.614855566453,325.69
2014-06-25,324.33,328.15,321.74,327.44,0.523755052376,327.44
2014-06-24,327.54,329.73,322.74,324.16,0.585803248079,324.16
2014-06-23,323.33,327.55,321.41,327.24,0.56910938576,327.24
2014-06-20,327.76,328.22,320.42,324.2,1.30265993088,324.2
2014-06-19,335.26,338.9,325.98,327.0,1.14978694603,327.0
2014-06-18,328.0,335.75,325.0,334.38,1.37589557336,334.38
2014-06-17,327.54,331.34,325.23,325.62,0.626665729415,325.62
2014-06-16,324.86,328.69,323.52,327.62,0.504246929091,327.62
2014-06-13,327.05,329.3,323.53,326.27,0.559979454458,326.27
2014-06-12,335.55,335.55,324.66,325.91,0.86015635403,325.91
2014-06-11,336.0,340.72,333.88,335.2,0.894874439645,335.2
2014-06-10,327.65,335.5,327.5,332.41,0.739299987811,332.41
2014-06-09,331.57,333.0,325.65,327.5,0.647399598847,327.5
2014-06-06,325.0,330.88,324.93,329.67,1.04612610168,329.67
2014-06-05,308.1,327.94,306.9,323.57,1.56236661661,323.57
2014-06-04,306.85,309.5,303.84,306.78,0.427985816,306.78
2014-06-03,305.75,307.92,305.07,307.19,0.477883237571,307.19
2014-06-02,312.59,312.6,307.0,308.84,0.437241532588,308.84
2014-05-30,314.43,314.65,307.57,312.55,0.844202090115,312.55
2014-05-29,310.42,314.87,310.2,313.78,0.471764717145,313.78
2014-05-28,309.5,313.82,307.42,310.16,0.543405457816,310.16
2014-05-27,314.41,314.63,307.38,310.82,0.97085653264,310.82
2014-05-23,305.46,312.35,304.9,312.24,0.610719977019,312.24
2014-05-22,305.05,308.54,303.01,304.91,0.507806280023,304.91
2014-05-21,302.21,305.96,301.52,305.01,0.672722378479,305.01
2014-05-20,297.1,304.46,296.75,301.19,0.812007649609,301.19
2014-05-19,295.76,299.0,293.81,296.76,0.456463873768,296.76
2014-05-16,292.8,298.88,291.55,297.7,0.726773929503,297.7
2014-05-15,298.02,299.2,290.38,295.19,0.860771152833,295.19
2014-05-14,302.5,304.64,296.66,297.62,0.667209809006,297.62
2014-05-13,302.6,305.6,300.75,304.64,0.706428521687,304.64
2014-05-12,294.3,303.34,294.16,302.86,0.752803332552,302.86
2014-05-09,290.57,293.68,284.38,292.24,0.81959441877,292.24
2014-05-08,290.82,295.88,287.23,288.32,0.779276849228,288.32
2014-05-07,295.56,296.4,286.68,292.71,1.42190988166,292.71
2014-05-06,309.53,309.81,297.04,297.38,0.961839086127,297.38
2014-05-05,306.37,310.23,305.0,310.05,0.51985448448,310.05
2014-05-02,310.42,313.29,304.31,308.01,0.818480184876,308.01
2014-05-01,304.13,310.48,304.0,307.89,0.888633594973,307.89
2014-04-30,298.1,304.56,298.1,304.13,0.839916645165,304.13
2014-04-29,296.44,301.84,290.45,300.38,1.33222077866,300.38
2014-04-28,304.0,304.39,288.0,296.58,3.00020512736,296.58
2014-04-25,316.25,316.49,302.71,303.83,3.50207589584,303.83
2014-04-24,329.67,337.4,322.95,337.15,2.09869467546,337.15
2014-04-23,333.06,333.13,323.39,324.58,0.836937633913,324.58
2014-04-22,332.0,337.5,328.94,329.32,0.862401871465,329.32
2014-04-21,323.97,331.15,322.31,330.87,0.69492133307,330.87
2014-04-17,319.76,328.66,319.76,324.91,0.994518029341,324.91
2014-04-16,321.17,324.0,314.71,323.68,0.990585862565,323.68
2014-04-15,316.7,318.28,305.5,316.08,1.24501231729,316.08
2014-04-14,317.67,320.48,311.28,315.91,0.968351035877,315.91
2014-04-11,314.0,316.5,309.5,311.73,1.56014105602,311.73
2014-04-10,330.6,331.0,316.5,317.11,1.29397775609,317.11
2014-04-09,328.47,332.18,322.5,331.81,1.08049501997,331.81
2014-04-08,321.88,328.0,318.44,327.07,1.41861041916,327.07
2014-04-07,320.99,324.94,313.13,317.76,1.54399134,317.76
2014-04-04,335.15,335.44,315.61,323.0,2.76613201855,323.0
2014-04-03,341.82,342.5,328.46,333.62,1.47406173769,333.62
2014-04-02,345.99,348.3,340.38,341.96,1.05194648294,341.96
2014-04-01,338.09,344.43,338.0,342.99,0.851605681566,342.99
2014-03-31,342.4,346.29,334.06,336.37,1.01224206376,336.37
2014-03-28,340.05,347.0,336.08,338.29,0.946623610979,338.29
2014-03-27,343.15,344.0,330.88,338.47,1.37773179817,338.47
2014-03-26,357.13,357.6,343.4,343.41,1.00092205211,343.41
2014-03-25,354.03,358.97,348.84,354.71,1.08659946209,354.71
2014-03-24,360.09,361.5,348.6,351.85,1.20153429532,351.85
2014-03-21,371.0,372.84,358.4,360.62,1.35330373484,360.62
2014-03-20,370.64,373.0,366.22,368.97,0.649579480753,368.97
2014-03-19,378.77,379.0,369.42,373.23,0.674172128751,373.23
2014-03-18,377.32,379.0,375.0,378.77,0.630917631398,378.77
2014-03-17,375.72,378.85,374.88,375.04,0.585876285722,375.04
2014-03-14,372.8,378.57,371.55,373.74,1.12084856756,373.74
2014-03-13,376.62,383.11,368.08,371.51,1.76030288861,371.51
2014-03-12,366.4,371.16,363.61,370.64,0.584452703786,370.64
2014-03-11,370.99,372.8,367.28,368.82,0.592949234084,368.82
2014-03-10,372.69,372.73,367.0,370.53,0.55702186664,370.53
2014-03-07,374.58,374.99,369.53,372.06,0.605371175537,372.06
2014-03-06,374.05,375.33,368.9,372.16,0.775556584943,372.16
2014-03-05,364.13,372.73,363.9,372.37,1.0085452345,372.37
2014-03-04,363.9,365.68,362.46,363.9,0.714075989261,363.9
2014-03-03,358.74,360.96,354.48,359.78,0.735820409649,359.78
2014-02-28,360.6,365.87,357.08,362.1,1.0232274206,362.1
2014-02-27,357.22,360.59,355.5,360.13,0.825492014404,360.13
2014-02-26,359.86,364.75,357.17,359.8,0.963407997608,359.8
2014-02-25,353.0,361.08,351.58,358.32,1.00179477953,358.32
2014-02-24,345.19,353.0,343.29,351.78,0.983989218154,351.78
2014-02-21,352.44,354.14,346.75,346.76,1.1422072436,346.76
2014-02-20,348.8,350.46,344.38,349.8,0.955130627677,349.8
2014-02-19,352.64,354.54,346.1,347.38,1.1492753783,347.38
2014-02-18,355.28,355.73,349.45,353.65,1.39550935254,353.65
2014-02-14,359.34,359.34,353.35,357.35,0.997609839955,357.35
2014-02-13,347.7,357.2,346.5,357.2,1.1819534534,357.2
2014-02-12,356.43,357.75,346.32,349.25,1.85932079204,349.25
2014-02-11,361.84,363.61,356.25,361.79,0.931395135736,361.79
2014-02-10,361.61,365.0,359.35,360.87,1.00270725436,360.87
2014-02-07,358.98,361.8,352.49,361.08,1.264054783,361.08
2014-02-06,347.4,354.82,347.4,354.59,0.981458880354,354.59
2014-02-05,346.0,349.37,337.73,346.45,1.30787140788,346.45
2014-02-04,349.59,354.0,344.02,347.95,1.44017049005,347.95
2014-02-03,358.98,360.85,340.1,346.15,3.13336998806,346.15
2014-01-31,371.76,375.45,357.76,358.69,5.18855016849,358.69
2014-01-30,393.77,406.25,387.7,403.01,3.68125263602,403.01
2014-01-29,392.16,392.85,383.24,384.2,1.24095871885,384.2
2014-01-28,387.4,394.74,387.12,394.43,1.05596139366,394.43
2014-01-27,390.5,394.1,380.49,386.28,1.43748083018,386.28
2014-01-24,398.16,400.2,387.27,387.6,1.64710732871,387.6
2014-01-23,401.0,406.17,397.79,399.87,1.13614172968,399.87
2014-01-22,408.0,408.06,402.0,404.54,0.775936150679,404.54
2014-01-21,403.0,407.8,401.6,407.05,1.15666833876,407.05
2014-01-17,394.26,403.49,393.66,399.61,1.67948965524,399.61
2014-01-16,393.68,399.29,389.41,395.8,0.988124424968,395.8
2014-01-15,398.94,399.31,392.53,395.87,1.02256179926,395.87
2014-01-14,392.13,398.63,391.29,397.54,0.889007924749,397.54
2014-01-13,397.98,399.78,388.45,390.98,1.07974285656,390.98
2014-01-10,402.53,403.76,393.8,397.66,1.00433293103,397.66
2014-01-09,403.71,406.89,398.44,401.01,0.791179124007,401.01
2014-01-08,398.47,403.0,396.04,401.92,0.861564301744,401.92
2014-01-07,395.04,398.47,394.29,398.03,0.664557840118,398.03
2014-01-06,395.85,397.0,388.42,393.63,1.07024689333,393.63
2014-01-03,398.29,402.71,396.22,396.44,0.747839750752,396.44
2014-01-02,398.8,399.36,394.02,397.97,0.714994755769,397.97
2013-12-31,394.58,398.83,393.8,398.79,0.666023494467,398.79
2013-12-30,399.41,399.92,392.45,393.37,0.808258923639,393.37
2013-12-27,404.65,405.63,396.25,398.08,0.645027454815,398.08
2013-12-26,401.79,404.52,396.81,404.39,0.605867036748,404.39
2013-12-24,402.52,403.72,396.37,399.2,0.446462358281,399.2
2013-12-23,403.69,405.0,399.2,402.92,0.857063856172,402.92
2013-12-20,396.55,404.72,395.78,402.2,1.62745691389,402.2
2013-12-19,394.27,397.29,392.6,395.19,0.797494489954,395.19
2013-12-18,389.23,396.3,383.1,395.96,1.14025260659,395.96
2013-12-17,390.65,391.36,386.5,387.65,0.767616468827,387.65
2013-12-16,385.03,391.7,385.0,388.97,0.738682738765,388.97
2013-12-13,385.32,389.42,383.8,384.24,0.99521965567,384.24
2013-12-12,381.26,385.0,379.5,381.25,0.700307268594,381.25
2013-12-11,387.34,388.98,382.0,382.19,0.80783680464,382.19
2013-12-10,383.74,389.06,383.02,387.78,0.902251078198,387.78
2013-12-09,388.11,388.21,382.57,384.89,0.917225222664,384.89
2013-12-06,388.35,388.35,383.83,386.95,0.664012001531,386.95
2013-12-05,386.65,386.65,381.37,384.49,0.637826792138,384.49
2013-12-04,383.5,389.69,381.49,385.96,0.787436586832,385.96
2013-12-03,390.11,390.95,383.1,384.66,1.24064216274,384.66
2013-12-02,399.0,399.0,389.1,392.3,1.59888532526,392.3
2013-11-29,389.1,394.1,388.62,393.62,0.812818615776,393.62
2013-11-27,383.5,387.0,382.61,386.71,0.767057974267,386.71
2013-11-26,377.61,382.5,374.82,381.37,0.916534286604,381.37
2013-11-25,373.82,377.79,373.18,376.64,1.00281921656,376.64
2013-11-22,370.0,374.5,366.31,372.31,1.00844502572,372.31
2013-11-21,364.05,369.25,363.3,368.92,0.675499111529,368.92
2013-11-20,367.56,367.56,360.45,362.57,0.610609403006,362.57
2013-11-19,365.82,368.78,362.5,364.94,0.656686738224,364.94
2013-11-18,370.28,373.49,364.67,366.18,0.944551833032,366.18
2013-11-15,367.63,372.9,365.55,369.17,1.56163406251,369.17
2013-11-14,357.39,368.94,356.43,367.4,1.46873872353,367.4
2013-11-13,347.4,356.22,345.68,356.22,0.995669503641,356.22
2013-11-12,352.99,355.48,347.28,349.53,0.8432457566,349.53
2013-11-11,350.59,355.37,348.06,354.38,0.810715481415,354.38
2013-11-08,345.95,351.05,344.04,350.31,0.95736623213,350.31
2013-11-07,355.86,357.9,341.88,343.56,1.54219788713,343.56
2013-11-06,360.45,362.87,354.5,356.18,0.846040812211,356.18
2013-11-05,356.78,360.17,354.84,358.89,0.742958166173,358.89
2013-11-04,360.12,361.0,354.4,358.74,0.719100456672,358.74
2013-11-01,365.63,365.77,356.1,359.0,1.23550662819,359.0
2013-10-31,361.73,366.0,359.0,364.03,0.928103925968,364.03
2013-10-30,362.62,365.0,358.65,361.08,1.70224382217,361.08
2013-10-29,358.96,362.89,356.29,362.7,0.844911201975,362.7
2013-10-28,359.92,362.75,357.2,358.16,1.40249284057,358.16
2013-10-25,358.6,368.4,352.62,363.39,4.6870120454,363.39
2013-10-24,329.63,332.65,326.75,332.21,2.48026435023,332.21
2013-10-23,330.84,331.72,324.06,326.76,1.23431160258,326.76
2013-10-22,327.72,337.11,325.68,332.54,1.73076500209,332.54
2013-10-21,329.89,330.0,323.8,326.44,1.13350080666,326.44
2013-10-18,319.36,331.89,316.75,328.93,2.69664240962,328.93
2013-10-17,307.07,311.0,305.24,310.77,1.23684070422,310.77
2013-10-16,308.38,310.8,305.55,310.49,1.02029880884,310.49
2013-10-15,309.87,310.79,305.26,306.4,1.06601354027,306.4
2013-10-14,309.22,311.65,307.0,310.7,0.914444650893,310.7
2013-10-11,304.77,310.93,303.84,310.89,1.01468623581,310.89
2013-10-10,304.63,306.7,302.59,305.17,1.18954507617,305.17
2013-10-09,303.42,303.5,296.5,298.23,1.5212527545,298.23
2013-10-08,311.5,311.55,300.27,303.23,1.48591520212,303.23
2013-10-07,315.24,315.34,309.74,310.03,0.977239037022,310.03
2013-10-04,315.13,319.2,312.62,319.04,0.800827389267,319.04
2013-10-03,320.39,322.92,313.02,314.76,1.14394612659,314.76
2013-10-02,318.04,321.73,317.52,320.51,0.953828735822,320.51
2013-10-01,314.22,321.0,313.65,320.95,1.03276187521,320.95
2013-09-30,313.41,315.31,311.06,312.64,0.698964124491,312.64
2013-09-27,316.92,317.21,313.35,316.01,0.705362371141,316.01
2013-09-26,313.9,319.37,313.26,318.12,0.836801960654,318.12
2013-09-25,314.53,316.71,310.75,312.65,0.844383124445,312.65
2013-09-24,312.43,318.08,311.28,314.13,0.85023475945,314.13
2013-09-23,314.01,315.9,308.77,311.49,0.786669727259,311.49
2013-09-20,312.54,320.57,312.41,316.34,2.16496579613,316.34
2013-09-19,313.77,314.54,311.04,312.06,0.970148206656,312.06
2013-09-18,304.06,312.74,302.91,312.03,1.22134417499,312.03
2013-09-17,297.63,304.65,296.01,304.17,0.953296958748,304.17
2013-09-16,299.82,301.0,295.26,296.06,0.746035910713,296.06
2013-09-13,300.14,300.22,296.2,297.92,0.556362953296,297.92
2013-09-12,299.39,302.0,297.66,298.86,0.661532125206,298.86
2013-09-11,298.91,301.86,297.84,299.64,0.708189739255,299.64
2013-09-10,300.55,301.0,297.22,300.36,0.716071175478,300.36
2013-09-09,297.22,299.96,296.6,299.71,0.654338435814,299.71
2013-09-06,295.33,298.88,290.8,295.86,0.906155213476,295.86
2013-09-05,293.63,297.0,292.71,294.1,0.714039207301,294.1
2013-09-04,288.33,295.23,287.58,293.64,0.953778544715,293.64
2013-09-03,284.73,291.39,284.17,288.8,1.12080616351,288.8
2013-08-30,284.59,284.87,280.0,280.98,0.587703678174,280.98
2013-08-29,281.45,285.98,280.0,283.98,0.593257827792,283.98
2013-08-28,280.36,283.0,279.33,281.58,0.546639765482,281.58
2013-08-27,283.87,285.28,279.74,280.93,0.924108865697,280.93
2013-08-26,290.43,291.05,285.62,286.21,0.636912101888,286.21
2013-08-23,291.21,291.5,287.9,290.01,0.727632145029,290.01
2013-08-22,284.8,289.87,284.8,289.73,0.524937288702,289.73
2013-08-21,285.09,288.5,283.83,284.57,0.665831855174,284.57
2013-08-20,285.88,289.51,285.74,287.09,0.576414218823,287.09
2013-08-19,285.19,289.56,283.48,285.57,0.890504662443,285.57
2013-08-16,286.55,288.33,284.5,284.82,0.857485092679,284.82
2013-08-15,288.79,289.3,285.15,286.47,0.800156252322,286.47
2013-08-14,294.29,294.29,290.54,291.34,0.496279482158,291.34
2013-08-13,295.88,296.37,290.67,293.97,0.820298755048,293.97
2013-08-12,295.79,299.08,295.26,296.69,0.524477718499,296.69
2013-08-09,295.68,299.27,294.3,297.26,0.671137013397,297.26
2013-08-08,298.52,298.52,292.55,295.74,0.807983152134,295.74
2013-08-07,300.15,300.99,296.15,296.91,0.678192832252,296.91
2013-08-06,300.51,301.36,297.52,300.75,0.63284900476,300.75
2013-08-05,303.4,303.62,298.3,300.99,0.765147221973,300.99
2013-08-02,304.63,305.33,301.5,304.21,0.858820670996,304.21
2013-08-01,303.08,306.21,298.9,305.57,1.01402996809,305.57
2013-07-31,303.91,305.15,301.0,301.22,0.65083170049,301.22
2013-07-30,307.72,309.78,301.57,302.41,1.04843959884,302.41
2013-07-29,311.07,313.0,305.9,306.1,1.10682795473,306.1
2013-07-26,299.55,313.62,295.55,312.01,3.07182870919,312.01
2013-07-25,299.0,304.5,296.75,303.4,1.96681826451,303.4
2013-07-24,303.02,303.84,298.04,298.94,0.742470264075,298.94
2013-07-23,303.16,305.06,300.56,301.06,0.741316336987,301.06
2013-07-22,309.25,309.25,302.0,303.48,0.926633233809,303.48
2013-07-19,304.39,305.79,301.91,305.23,1.09094578479,305.23
2013-07-18,306.27,306.34,301.87,304.11,1.12667541393,304.11
2013-07-17,306.97,308.8,305.69,308.69,0.74601411535,308.69
2013-07-16,307.3,309.39,305.51,306.87,0.975472738687,306.87
2013-07-15,307.27,307.99,304.35,306.57,0.818318438694,306.57
2013-07-12,298.69,307.55,298.5,307.55,1.63403139552,307.55
2013-07-11,294.99,300.69,292.1,299.66,1.44406270518,299.66
