Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,73.74,77.17,73.74,76.71,1.9703629581,76.71
2014-12-01,74.95,75.48,73.33,75.03,2.03336247071,75.03
2014-11-28,79.07,79.5,76.23,76.99,1.86278790525,76.99
2014-11-26,82.53,82.83,80.94,81.11,0.889657255429,81.11
2014-11-25,82.8,83.55,82.24,82.76,1.19293686884,82.76
2014-11-24,82.9,83.38,82.28,83.12,0.784711665966,82.72
2014-11-21,83.04,83.49,82.41,82.7,1.12563510232,82.3
2014-11-20,80.41,82.31,80.16,81.9,0.731643323733,81.51
2014-11-19,80.55,80.8,80.06,80.69,0.476077237143,80.3
2014-11-18,80.74,81.39,80.53,80.71,0.695428218706,80.32
2014-11-17,80.26,81.09,79.89,80.87,0.69429941143,80.48
2014-11-14,80.03,80.77,80.0,80.21,0.777805844029,79.82
2014-11-13,81.09,81.13,79.58,80.25,1.41326155929,79.86
2014-11-12,80.38,81.41,80.31,81.09,0.658166321435,80.7
2014-11-11,81.35,81.5,80.19,80.75,0.82718445649,80.36
2014-11-10,81.59,81.74,80.87,81.39,0.738657328872,81.0
2014-11-07,81.15,81.75,80.77,81.53,0.836358646157,81.14
2014-11-06,81.24,81.66,80.32,80.97,1.48994142758,80.58
2014-11-05,80.32,81.43,79.15,81.25,2.4018918326,80.86
2014-11-04,80.33,80.52,78.78,79.09,6.09716086454,78.71
2014-11-03,79.55,80.81,79.17,79.78,1.86663738369,79.4
2014-10-31,80.61,80.75,78.96,79.44,1.86937159667,79.06
2014-10-30,78.57,79.91,78.3,79.44,0.747782839995,79.06
2014-10-29,79.68,79.99,78.17,78.97,1.11464813611,78.59
2014-10-28,77.63,79.56,77.63,79.51,1.06427675773,79.13
2014-10-27,78.34,78.38,77.03,77.58,1.47999364405,77.21
2014-10-24,78.27,79.18,77.95,79.09,0.933941583616,78.71
2014-10-23,77.22,78.88,77.19,78.36,1.54360762126,77.98
2014-10-22,76.79,77.68,76.19,76.25,1.79861832854,75.88
2014-10-21,75.46,76.74,75.25,76.64,1.41571754394,76.27
2014-10-20,74.56,74.8,73.96,74.59,1.29987080669,74.23
2014-10-17,74.47,75.31,73.91,74.51,2.54847625041,74.15
2014-10-16,72.06,74.02,70.77,73.44,3.06754162128,73.09
2014-10-15,71.15,72.36,70.0,72.06,2.2415723249,71.71
2014-10-14,72.87,73.61,71.55,72.02,2.83021771695,71.67
2014-10-13,75.33,75.93,72.32,72.43,2.27013546207,72.08
2014-10-10,76.17,76.78,74.75,75.76,1.55233963812,75.4
2014-10-09,78.12,78.2,76.08,76.12,1.37617685681,75.75
2014-10-08,76.88,78.44,76.41,78.39,2.37137177812,78.01
2014-10-07,79.19,79.19,76.69,76.76,2.14770703851,76.39
2014-10-06,80.12,80.27,78.9,79.35,1.36150441657,78.97
2014-10-03,80.13,80.5,79.75,79.79,1.96774178483,79.41
2014-10-02,79.29,80.21,78.74,79.61,1.48904563883,79.23
2014-10-01,80.21,80.5,79.16,79.44,2.09315952777,79.06
2014-09-30,81.32,81.62,80.25,80.33,1.22508346186,79.94
2014-09-29,80.7,81.54,80.33,81.32,1.12593084684,80.93
2014-09-26,80.75,81.75,80.46,81.51,1.08296368594,81.12
2014-09-25,81.5,81.52,80.67,80.67,1.27694392229,80.28
2014-09-24,81.84,82.35,80.95,81.94,2.06607076579,81.55
2014-09-23,83.9,83.9,81.95,82.37,2.36328960545,81.97
2014-09-22,85.03,85.21,83.68,84.0,0.890497106191,83.6
2014-09-19,85.93,86.13,85.05,85.33,1.03757890101,84.92
2014-09-18,85.01,85.63,84.79,85.4,0.644609695954,84.99
2014-09-17,85.6,85.98,84.63,84.72,1.08574697606,84.31
2014-09-16,84.97,85.65,84.31,85.27,0.755816777578,84.86
2014-09-15,85.46,85.73,84.88,85.04,1.1757621778,84.63
2014-09-12,87.06,87.06,85.6,85.78,0.91349105219,85.37
2014-09-11,86.44,87.13,86.38,87.03,0.950930418228,86.61
2014-09-10,86.94,87.21,86.3,86.66,1.0411444356,86.24
2014-09-09,87.19,87.39,86.63,86.76,1.07670549613,86.34
2014-09-08,87.85,88.11,87.15,87.33,1.01716856499,86.91
2014-09-05,87.86,88.21,87.26,88.15,0.885037062789,87.73
2014-09-04,88.26,89.4,87.93,88.1,0.819424278849,87.68
2014-09-03,88.58,88.63,88.01,88.25,1.1803728783,87.83
2014-09-02,88.16,88.82,87.84,88.12,0.762842357693,87.7
2014-08-29,88.22,88.41,87.68,87.87,0.734125944936,87.45
2014-08-28,88.22,88.23,87.46,88.1,0.47881710157,87.68
2014-08-27,88.58,88.92,88.11,88.5,0.803196971082,88.07
2014-08-26,89.71,90.05,89.07,89.12,0.366393221664,88.29
2014-08-25,89.43,90.29,89.07,89.73,0.652108606612,88.9
2014-08-22,89.92,89.92,88.45,88.88,0.711451137157,88.06
2014-08-21,90.65,90.65,89.51,89.6,0.865972298429,88.77
2014-08-20,89.45,90.58,89.31,90.26,0.837029686398,89.42
2014-08-19,89.13,89.64,88.83,89.46,0.858464222558,88.63
2014-08-18,87.99,88.94,87.87,88.94,0.64752338508,88.11
2014-08-15,88.2,88.31,86.8,87.38,0.575996746653,86.57
2014-08-14,87.3,87.83,87.15,87.76,0.484937957841,86.95
2014-08-13,86.51,87.71,86.38,87.24,0.727071704394,86.43
2014-08-12,85.72,86.78,85.7,86.31,0.782129310486,85.51
2014-08-11,86.16,86.61,85.73,86.06,0.617823367997,85.26
2014-08-08,84.71,85.66,84.11,85.59,1.14011686992,84.8
2014-08-07,84.93,85.29,84.07,84.25,0.789311951519,83.47
2014-08-06,84.36,84.92,84.01,84.36,1.07714189252,83.58
2014-08-05,85.94,86.13,84.73,85.01,1.25166120369,84.22
2014-08-04,85.4,86.48,84.98,86.19,1.146864626,85.39
2014-08-01,85.08,85.51,84.3,85.02,1.28382947852,84.23
2014-07-31,86.54,87.42,85.75,85.76,1.69731029915,84.96
2014-07-30,87.17,87.71,86.48,87.27,1.28749460441,86.46
2014-07-29,87.65,88.49,86.93,86.98,1.0530874986,86.17
2014-07-28,88.31,88.33,87.4,88.11,1.02379508942,87.29
2014-07-25,88.5,88.94,88.31,88.56,1.11896601332,87.74
2014-07-24,89.83,90.08,88.67,88.82,1.43971668907,88.0
2014-07-23,90.11,90.36,89.49,89.57,0.796529988588,88.74
2014-07-22,90.03,90.55,89.89,90.07,1.37410331994,89.23
2014-07-21,88.69,89.83,88.44,89.54,1.24147294353,88.71
2014-07-18,87.48,88.84,87.15,88.72,1.507776818,87.9
2014-07-17,87.76,88.49,86.5,87.14,2.12088772846,86.33
2014-07-16,88.53,89.31,88.1,88.94,1.93958311601,88.11
2014-07-15,88.95,89.14,87.97,88.12,1.76125859192,87.3
2014-07-14,89.69,89.69,88.78,88.95,1.16875088363,88.12
2014-07-11,88.56,89.19,88.06,88.74,1.23988438502,87.92
2014-07-10,88.58,88.63,87.74,88.45,1.92190844631,87.63
2014-07-09,89.98,90.12,89.32,89.58,0.79484989818,88.75
2014-07-08,89.97,90.17,89.33,89.56,0.912912216826,88.73
2014-07-07,90.89,91.0,89.75,89.97,1.1138172911,89.14
2014-07-03,90.88,91.51,90.75,91.07,0.701372346364,90.22
2014-07-02,90.66,90.92,90.24,90.61,0.777492456651,89.77
2014-07-01,91.04,91.84,90.92,90.99,1.01820537774,90.15
2014-06-30,90.06,91.37,89.56,90.95,1.41873895048,90.11
2014-06-27,89.49,89.98,89.17,89.87,0.724253865924,89.04
2014-06-26,89.89,90.11,88.74,89.62,0.569499302403,88.79
2014-06-25,89.34,90.07,89.1,89.77,0.555987398265,88.94
2014-06-24,89.99,90.51,89.39,89.42,0.743693619427,88.59
2014-06-23,90.69,90.72,89.75,90.0,0.659958925552,89.16
2014-06-20,90.71,90.91,90.01,90.71,1.2447813743,89.87
2014-06-19,89.85,90.63,89.36,90.47,0.78837678482,89.63
2014-06-18,89.4,90.06,88.55,89.9,0.746715885657,89.07
2014-06-17,88.93,89.75,88.66,89.41,0.700887670738,88.58
2014-06-16,88.86,89.28,88.62,89.15,0.879068843845,88.32
2014-06-13,88.84,89.59,88.57,89.15,0.87868822784,88.32
2014-06-12,88.89,89.01,88.04,88.81,1.35293495505,87.99
2014-06-11,88.6,89.19,88.29,89.06,0.671335276569,88.23
2014-06-10,88.66,89.06,87.9,89.05,1.1197057278,88.22
2014-06-09,88.29,89.55,87.93,88.87,1.02498493291,88.05
2014-06-06,87.75,88.76,87.74,88.3,0.960233010038,87.48
2014-06-05,86.95,88.07,86.59,87.94,0.542460866675,87.12
2014-06-04,86.66,87.21,86.46,86.81,0.396294421756,86.0
2014-06-03,87.24,87.38,86.59,86.81,0.577880636791,86.0
2014-06-02,87.3,87.83,86.61,87.55,0.37293998943,86.74
