Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,51.51,53.44,51.51,52.94,783200,52.94
2014-11-17,51.42,52.70,51.12,51.64,422700,51.64
2014-11-14,53.11,53.11,51.01,51.47,571100,51.47
2014-11-13,53.06,53.38,52.39,53.22,833600,53.22
2014-11-12,52.67,53.12,52.29,53.00,612000,53.00
2014-11-11,52.36,53.60,52.07,52.87,1287500,52.87
2014-11-10,50.81,53.00,50.41,52.64,939800,52.64
2014-11-07,50.90,51.21,49.52,51.00,677800,51.00
2014-11-06,49.75,51.66,49.68,51.03,531700,51.03
2014-11-05,51.03,51.46,49.61,49.86,750500,49.86
2014-11-04,50.47,51.33,50.18,50.36,631400,50.36
2014-11-03,50.05,51.07,49.89,50.88,668200,50.88
2014-10-31,51.48,52.50,50.47,50.55,925700,50.55
2014-10-30,49.40,51.44,48.15,51.29,1077700,51.29
2014-10-29,47.14,49.63,46.05,49.61,1742300,49.61
2014-10-28,46.98,48.19,46.84,47.62,1151400,47.62
2014-10-27,45.51,46.57,45.10,46.52,575100,46.52
2014-10-24,45.57,46.39,45.27,45.91,760900,45.91
2014-10-23,45.00,45.95,44.86,45.28,910700,45.28
2014-10-22,44.28,44.79,43.38,44.66,716700,44.66
2014-10-21,43.78,44.18,43.14,43.80,749800,43.80
2014-10-20,42.88,43.94,42.83,43.17,596300,43.17
2014-10-17,42.68,43.80,42.03,43.08,2414000,43.08
2014-10-16,40.15,42.73,40.12,41.95,1132700,41.95
2014-10-15,41.57,41.81,39.49,41.13,1094800,41.13
2014-10-14,40.59,42.50,39.50,42.50,1765300,42.50
2014-10-13,40.13,40.61,38.49,40.25,1211700,40.25
2014-10-10,41.34,42.00,40.22,40.23,681400,40.23
2014-10-09,42.43,42.64,41.32,41.52,508700,41.52
2014-10-08,41.08,42.48,40.74,42.42,652700,42.42
2014-10-07,41.64,41.81,40.90,41.08,628900,41.08
2014-10-06,42.13,42.41,41.53,41.91,597400,41.91
2014-10-03,41.52,42.08,41.08,42.00,1634600,42.00
2014-10-02,41.24,41.46,39.80,41.08,1125200,41.08
2014-10-01,42.59,42.86,41.01,41.47,846000,41.47
2014-09-30,43.76,43.85,42.61,42.87,712500,42.87
2014-09-29,42.75,44.31,42.26,43.75,657100,43.75
2014-09-26,42.97,43.73,42.16,43.23,705800,43.23
2014-09-25,45.18,45.61,42.75,42.81,1206300,42.81
2014-09-24,45.44,45.76,44.86,45.22,1870300,45.22
2014-09-23,44.52,45.66,44.39,45.22,918000,45.22
2014-09-22,46.56,46.56,44.52,45.33,916200,45.33
2014-09-19,46.40,46.86,46.21,46.73,1375000,46.73
2014-09-18,45.41,46.20,45.24,46.10,807300,46.10
2014-09-17,44.64,45.41,44.51,45.18,955900,45.18
2014-09-16,43.66,44.56,43.39,44.45,535700,44.45
2014-09-15,44.40,44.50,43.50,43.68,758400,43.68
2014-09-12,44.50,44.77,44.10,44.35,602200,44.35
2014-09-11,44.09,44.61,43.80,44.59,992300,44.59
2014-09-10,42.87,44.23,42.65,44.15,731500,44.15
2014-09-09,42.49,43.11,42.34,42.67,838200,42.67
2014-09-08,42.37,42.82,42.11,42.67,682100,42.67
2014-09-05,42.72,42.76,41.33,42.49,747100,42.49
2014-09-04,44.49,44.72,42.65,42.81,1044600,42.81
2014-09-03,44.73,44.83,43.87,44.00,517100,44.00
2014-09-02,45.12,45.24,43.88,44.07,779500,44.07
2014-08-29,44.74,45.07,44.37,44.73,374900,44.73
2014-08-28,45.04,45.54,44.43,44.48,323800,44.48
2014-08-27,45.00,45.50,44.96,45.37,490300,45.37
2014-08-26,44.47,45.65,44.46,45.07,723800,45.07
2014-08-25,43.49,44.63,43.35,44.22,399100,44.22
2014-08-22,43.08,43.34,42.54,43.24,507800,43.24
2014-08-21,44.29,44.29,42.80,43.14,623000,43.14
2014-08-20,43.78,44.36,43.57,44.12,450100,44.12
2014-08-19,44.06,46.08,43.81,44.04,562700,44.04
2014-08-18,43.59,44.40,43.13,43.99,836200,43.99
2014-08-15,43.53,43.80,42.24,42.95,857900,42.95
2014-08-14,42.21,43.95,42.00,43.41,1169800,43.41
2014-08-13,41.71,42.32,41.02,42.31,798700,42.31
2014-08-12,41.71,42.13,41.26,41.54,718400,41.54
2014-08-11,42.19,42.19,41.41,41.78,681700,41.78
2014-08-08,42.02,42.11,41.50,41.91,519500,41.91
2014-08-07,42.31,42.41,41.54,41.81,626400,41.81
2014-08-06,42.39,42.98,41.70,41.99,1158900,41.99
2014-08-05,42.72,43.73,42.68,43.25,920200,43.25
2014-08-04,43.00,43.41,42.27,42.81,915200,42.81
2014-08-01,42.53,43.83,42.39,42.97,1259800,42.97
2014-07-31,43.02,44.70,42.30,42.76,2298100,42.76
2014-07-30,45.29,46.47,44.99,46.32,1212900,46.32
2014-07-29,44.35,45.20,44.12,44.69,586400,44.69
2014-07-28,45.12,45.40,43.83,44.11,579500,44.11
2014-07-25,45.19,45.89,44.76,44.94,399300,44.94
2014-07-24,46.07,46.09,44.98,45.71,630200,45.71
2014-07-23,45.62,46.44,45.41,46.21,527400,46.21
2014-07-22,46.16,46.50,45.09,45.42,541700,45.42
2014-07-21,45.88,46.04,45.00,45.91,384900,45.91
2014-07-18,44.45,46.25,44.18,46.15,757700,46.15
2014-07-17,45.03,45.37,44.16,44.39,926800,44.39
2014-07-16,46.85,47.23,45.11,45.25,894200,45.25
2014-07-15,48.61,48.61,46.54,46.80,689300,46.80
2014-07-14,48.69,49.02,47.94,48.40,511900,48.40
2014-07-11,47.77,48.45,47.26,48.38,374200,48.38
2014-07-10,47.74,48.69,47.49,47.80,519500,47.80
2014-07-09,48.47,48.85,46.77,48.71,655500,48.71
2014-07-08,49.21,49.21,47.34,47.94,605300,47.94
2014-07-07,50.51,50.96,48.88,49.15,567500,49.15
2014-07-03,51.69,51.83,50.69,50.97,472500,50.97
2014-07-02,51.86,52.50,51.01,51.52,714000,51.52
2014-07-01,50.57,51.83,50.45,51.75,539600,51.75
2014-06-30,50.54,50.75,49.72,50.33,683200,50.33
2014-06-27,50.04,50.95,49.15,50.94,1985800,50.94
2014-06-26,50.21,50.58,49.56,50.10,270000,50.10
2014-06-25,50.05,50.84,49.60,50.42,821600,50.42
2014-06-24,50.07,51.39,50.02,50.54,746100,50.54
2014-06-23,51.03,51.81,50.39,50.50,674800,50.50
2014-06-20,48.25,51.78,48.17,50.88,2464300,50.88
2014-06-19,47.36,48.23,46.65,48.13,818700,48.13
2014-06-18,47.66,48.00,46.27,47.23,662900,47.23
2014-06-17,47.34,47.72,46.80,47.00,486600,47.00
2014-06-16,46.40,47.72,46.13,47.31,598800,47.31
2014-06-13,46.65,46.88,45.73,46.38,730900,46.38
2014-06-12,47.26,47.29,46.46,46.65,647500,46.65
2014-06-11,47.87,48.28,46.73,47.79,861800,47.79
2014-06-10,48.33,48.84,47.78,48.37,450800,48.37
2014-06-09,48.40,48.53,47.65,48.32,679800,48.32
2014-06-06,47.57,48.90,47.17,48.38,833200,48.38
2014-06-05,47.46,47.68,46.72,47.54,353500,47.54
2014-06-04,46.77,47.63,46.26,47.28,390500,47.28
