Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,53.92,54.23,53.74,53.75,484900,53.75
2014-11-17,53.16,53.93,53.05,53.91,428200,53.91
2014-11-14,52.80,53.29,52.69,53.17,224400,53.17
2014-11-13,53.40,53.61,52.76,52.92,187900,52.92
2014-11-12,53.30,53.73,53.22,53.43,227300,53.43
2014-11-11,53.44,53.77,53.33,53.63,231000,53.63
2014-11-10,53.49,53.80,53.34,53.52,331000,53.52
2014-11-07,53.17,53.49,53.04,53.40,272500,53.40
2014-11-06,52.52,53.22,52.25,53.14,525900,53.14
2014-11-05,52.74,52.87,52.41,52.52,375400,52.52
2014-11-04,53.19,53.45,52.40,52.45,573800,52.45
2014-11-03,53.35,53.83,52.99,53.28,544800,53.28
2014-10-31,53.32,53.46,52.79,53.35,563200,53.35
2014-10-30,52.16,52.80,51.98,52.69,351500,52.69
2014-10-29,52.51,52.75,51.94,52.37,465900,52.37
2014-10-28,51.32,52.66,51.32,52.62,548400,52.47
2014-10-27,50.90,51.43,50.61,51.38,480900,51.23
2014-10-24,50.82,51.09,50.55,51.07,311000,50.92
2014-10-23,50.28,50.94,50.07,50.72,545600,50.58
2014-10-22,49.99,50.23,49.66,49.68,741600,49.54
2014-10-21,48.00,49.96,48.00,49.94,837900,49.80
2014-10-20,47.04,47.88,46.91,47.85,810400,47.71
2014-10-17,47.06,47.38,46.64,47.26,657000,47.13
2014-10-16,45.46,46.66,45.40,46.50,929000,46.37
2014-10-15,45.00,46.68,44.60,46.24,735100,46.11
2014-10-14,45.35,46.15,45.16,45.60,661000,45.47
2014-10-13,45.96,46.41,45.07,45.19,871500,45.06
2014-10-10,46.55,46.86,45.75,45.85,960600,45.72
2014-10-09,47.49,47.64,46.48,46.72,670100,46.59
2014-10-08,46.89,47.61,46.33,47.60,965100,47.46
2014-10-07,47.09,47.21,46.72,46.79,582500,46.66
2014-10-06,47.04,47.55,46.91,47.33,445800,47.20
2014-10-03,47.15,47.25,46.66,46.88,460400,46.75
2014-10-02,46.58,46.91,46.15,46.81,559600,46.68
2014-10-01,47.15,47.25,46.48,46.74,750500,46.61
2014-09-30,48.13,48.34,47.04,47.28,1166100,47.15
2014-09-29,48.03,48.27,47.88,48.05,387900,47.91
2014-09-26,48.40,48.56,48.11,48.50,448300,48.36
2014-09-25,48.57,48.68,48.25,48.42,585800,48.28
2014-09-24,48.20,48.79,48.08,48.59,410900,48.45
2014-09-23,48.39,48.62,47.99,48.33,395200,48.19
2014-09-22,49.11,49.11,48.49,48.55,397400,48.41
2014-09-19,50.00,50.18,48.96,49.24,755400,49.10
2014-09-18,50.01,50.07,49.70,49.91,371500,49.77
2014-09-17,50.00,50.45,49.64,49.91,536800,49.77
2014-09-16,48.88,50.00,48.84,49.96,832800,49.82
2014-09-15,48.95,49.18,48.75,48.98,396600,48.84
2014-09-12,49.14,49.23,48.76,49.07,475200,48.93
2014-09-11,48.71,49.24,48.58,49.15,348600,49.01
2014-09-10,48.94,49.15,48.64,49.02,262100,48.88
2014-09-09,49.39,49.44,48.93,49.00,408900,48.86
2014-09-08,49.38,49.67,49.17,49.40,262900,49.26
2014-09-05,49.57,49.66,49.22,49.48,456500,49.34
2014-09-04,49.40,49.92,49.36,49.70,515100,49.56
2014-09-03,49.62,49.86,49.22,49.36,611400,49.22
2014-09-02,49.29,49.77,49.09,49.40,430800,49.26
2014-08-29,49.04,49.32,48.86,49.08,189300,48.94
2014-08-28,48.81,49.20,48.57,49.04,230600,48.90
2014-08-27,49.10,49.35,48.90,49.12,174100,48.98
