Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,65.55,65.81,64.87,64.99,384800,64.99
2014-11-17,64.96,65.61,64.81,65.48,298700,65.48
2014-11-14,64.91,65.25,64.60,64.83,294300,64.83
2014-11-13,65.40,65.75,64.72,64.95,119100,64.95
2014-11-12,64.95,65.23,64.76,65.17,177900,65.17
2014-11-11,65.50,65.87,65.05,65.26,291800,65.26
2014-11-10,64.84,65.57,64.78,65.55,326100,65.55
2014-11-07,63.97,64.85,63.86,64.77,432000,64.77
2014-11-06,63.59,64.03,63.16,63.80,215800,63.80
2014-11-05,62.80,63.69,62.29,63.64,445300,63.64
2014-11-04,61.51,62.36,61.34,62.31,335800,62.31
2014-11-03,61.73,62.29,61.42,61.73,536000,61.73
2014-10-31,58.36,62.69,58.36,62.24,1044500,61.96
2014-10-30,60.70,61.85,60.38,61.71,335300,61.43
2014-10-29,61.34,61.56,60.50,61.03,244100,60.76
2014-10-28,60.79,61.50,60.51,61.25,254300,60.97
2014-10-27,61.37,61.37,60.01,60.37,397600,60.10
2014-10-24,61.72,62.08,61.48,61.92,156100,61.64
2014-10-23,61.18,62.37,60.79,61.78,440900,61.50
2014-10-22,61.42,61.85,60.55,60.59,277000,60.32
2014-10-21,60.28,61.30,60.28,61.25,350400,60.97
2014-10-20,58.71,60.08,58.46,60.04,492600,59.77
2014-10-17,58.30,59.07,58.05,58.70,1066900,58.44
2014-10-16,55.74,57.78,55.66,57.65,608900,57.39
2014-10-15,55.60,57.09,55.59,56.64,647400,56.39
2014-10-14,56.56,56.76,56.01,56.39,631600,56.14
2014-10-13,57.41,58.12,56.03,56.18,552600,55.93
2014-10-10,58.72,59.14,57.44,57.50,404600,57.24
2014-10-09,59.89,60.12,58.22,58.56,364700,58.30
2014-10-08,59.02,60.02,58.33,59.92,265100,59.65
2014-10-07,60.08,60.08,58.92,58.95,368300,58.68
2014-10-06,60.25,60.65,59.90,60.23,208000,59.96
2014-10-03,59.60,60.21,59.50,60.11,281400,59.84
2014-10-02,59.36,59.67,58.91,59.33,212200,59.06
2014-10-01,60.40,60.74,59.11,59.26,523900,58.99
2014-09-30,61.58,61.58,60.59,60.70,329300,60.43
2014-09-29,60.86,61.84,60.70,61.75,310700,61.47
2014-09-26,60.88,61.50,60.65,61.38,381500,61.10
2014-09-25,60.73,61.01,60.57,60.84,379600,60.57
2014-09-24,60.75,61.23,60.60,61.00,234200,60.73
2014-09-23,61.11,61.48,60.93,60.94,276900,60.67
2014-09-22,61.10,61.35,60.73,61.20,295300,60.92
2014-09-19,61.61,62.00,61.14,61.16,585300,60.88
2014-09-18,61.95,62.19,61.54,61.60,306400,61.32
2014-09-17,62.53,62.64,61.45,61.49,342800,61.21
2014-09-16,62.74,63.04,62.41,62.59,263800,62.31
2014-09-15,62.88,62.88,62.28,62.76,184900,62.48
2014-09-12,63.54,63.74,62.48,62.70,209900,62.42
2014-09-11,63.44,63.88,63.24,63.79,136600,63.50
2014-09-10,63.87,63.87,63.31,63.54,189000,63.25
2014-09-09,64.50,64.50,63.52,63.88,260500,63.59
2014-09-08,65.01,65.37,64.37,64.71,181800,64.42
2014-09-05,64.86,65.20,64.51,65.20,162500,64.91
2014-09-04,64.50,64.95,63.92,64.74,235600,64.45
2014-09-03,64.66,64.69,64.02,64.17,140900,63.88
2014-09-02,64.38,64.88,64.15,64.54,272300,64.25
2014-08-29,64.02,64.21,63.62,64.15,119200,63.86
2014-08-28,63.93,64.22,63.65,64.02,89600,63.73
2014-08-27,64.06,64.19,63.66,64.00,88100,63.71
2014-08-26,63.75,64.23,63.67,63.96,135300,63.67
2014-08-25,64.01,64.14,63.38,63.72,183600,63.43
2014-08-22,64.04,64.23,63.59,63.62,205300,63.33
2014-08-21,64.12,64.39,63.77,63.93,240300,63.64
2014-08-20,63.99,64.11,63.65,63.75,220600,63.46
2014-08-19,63.80,64.14,63.66,64.13,158600,63.84
2014-08-18,63.60,63.72,63.34,63.68,154800,63.39
2014-08-15,63.31,63.43,62.88,63.30,282800,63.02
2014-08-14,63.22,63.70,63.03,63.14,193000,62.86
2014-08-13,62.64,63.15,62.23,63.11,219000,62.83
2014-08-12,62.03,62.48,61.77,62.35,185500,62.07
2014-08-11,62.68,63.05,62.10,62.16,143500,61.88
2014-08-08,61.77,62.42,61.24,62.36,188800,62.08
2014-08-07,61.87,62.05,61.30,61.58,336800,61.30
2014-08-06,60.79,62.07,60.52,61.52,363800,61.24
2014-08-05,61.00,61.52,60.66,60.97,199100,60.70
