Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,14.47,14.63,14.47,14.63,5700,14.63
2014-11-17,14.68,14.76,14.47,14.57,6700,14.57
2014-11-14,14.66,14.68,14.56,14.66,3800,14.66
2014-11-13,14.60,14.64,14.56,14.64,1700,14.64
2014-11-12,14.56,14.56,14.56,14.56,1300,14.56
2014-11-11,14.67,14.76,14.66,14.68,2200,14.61
2014-11-10,14.72,14.80,14.62,14.77,1500,14.69
2014-11-07,14.95,14.97,14.70,14.70,10600,14.62
2014-11-06,14.83,14.99,14.75,14.86,1900,14.78
2014-11-05,14.87,14.97,14.71,14.81,3400,14.73
2014-11-04,14.53,14.97,14.52,14.97,5300,14.89
2014-11-03,14.59,14.66,14.52,14.54,2900,14.47
2014-10-31,14.74,14.74,14.55,14.60,6700,14.53
2014-10-30,14.81,14.83,14.75,14.75,2200,14.67
2014-10-29,14.79,14.85,14.75,14.80,5000,14.72
2014-10-28,14.81,14.92,14.68,14.84,11300,14.76
2014-10-27,14.77,14.89,14.77,14.88,1700,14.80
2014-10-24,14.75,14.85,14.75,14.77,2200,14.69
2014-10-23,14.88,14.88,14.75,14.75,2200,14.67
2014-10-22,14.93,14.95,14.79,14.80,4100,14.72
2014-10-21,15.01,15.01,14.84,14.93,700,14.85
2014-10-20,14.98,15.00,14.92,14.92,1100,14.84
2014-10-17,14.84,15.01,14.84,14.90,2100,14.82
2014-10-16,14.72,14.86,14.72,14.86,800,14.78
2014-10-15,14.66,14.72,14.63,14.71,4700,14.63
2014-10-14,14.60,14.60,14.56,14.56,1600,14.49
2014-10-13,14.85,14.85,14.59,14.60,4700,14.53
2014-10-10,15.03,15.03,14.76,14.76,5900,14.68
2014-10-09,15.16,15.16,15.03,15.03,1000,14.88
2014-10-08,15.15,15.50,15.15,15.20,3800,15.05
2014-10-07,15.35,15.44,15.15,15.15,4300,15.00
2014-10-06,15.34,15.50,15.16,15.34,6300,15.19
2014-10-03,15.45,15.45,15.10,15.12,2800,14.97
2014-10-02,14.95,15.45,14.90,15.45,5700,15.29
2014-10-01,15.13,15.13,14.93,15.05,2200,14.90
2014-09-30,15.00,15.05,14.77,15.05,3500,14.90
2014-09-29,14.75,15.00,14.75,15.00,3000,14.85
2014-09-26,14.73,14.93,14.58,14.93,1800,14.78
2014-09-25,14.85,14.85,14.61,14.79,8100,14.64
2014-09-24,14.56,14.81,14.56,14.74,4800,14.59
2014-09-23,14.76,14.76,14.54,14.57,2300,14.42
2014-09-22,14.69,14.89,14.52,14.66,8800,14.51
2014-09-19,14.48,14.67,14.46,14.55,12400,14.40
2014-09-18,14.42,14.63,14.35,14.35,6100,14.21
2014-09-17,14.29,14.47,14.29,14.32,3600,14.18
2014-09-16,14.35,14.59,14.30,14.30,10500,14.16
2014-09-15,14.59,14.60,14.35,14.35,3400,14.21
2014-09-12,14.34,14.75,14.33,14.70,20600,14.55
2014-09-11,14.33,14.50,14.33,14.38,7800,14.24
2014-09-10,14.46,14.56,14.42,14.42,3900,14.20
2014-09-09,14.43,14.58,14.43,14.47,2500,14.25
2014-09-08,14.61,14.69,14.53,14.56,6800,14.34
2014-09-05,14.74,14.74,14.67,14.71,1500,14.49
2014-09-04,14.64,14.77,14.56,14.62,2500,14.40
2014-09-03,14.68,14.82,14.51,14.65,1600,14.43
2014-09-02,14.62,14.67,14.49,14.61,2100,14.39
2014-08-29,14.55,14.68,14.55,14.68,5400,14.46
2014-08-28,14.62,14.63,14.52,14.63,2100,14.41
2014-08-27,14.56,14.56,14.54,14.55,2000,14.33
2014-08-26,14.46,14.51,14.45,14.46,1500,14.24
2014-08-25,14.46,14.61,14.46,14.50,1000,14.28
2014-08-22,14.50,14.51,14.50,14.51,3000,14.29
2014-08-21,14.67,14.73,14.53,14.63,2900,14.41
2014-08-20,14.52,14.59,14.50,14.59,900,14.37
2014-08-19,14.56,14.56,14.45,14.45,1100,14.23
2014-08-18,14.49,14.52,14.46,14.49,11000,14.27
2014-08-15,14.51,14.59,14.48,14.51,3000,14.29
2014-08-14,14.54,14.61,14.54,14.58,2300,14.36
2014-08-13,14.60,14.61,14.60,14.61,1800,14.39
2014-08-12,14.67,14.67,14.58,14.61,24800,14.31
2014-08-11,14.56,14.67,14.56,14.67,2700,14.37
2014-08-08,14.55,14.68,14.55,14.60,1200,14.30
2014-08-07,14.53,14.62,14.51,14.62,8000,14.32
2014-08-06,14.68,14.68,14.54,14.54,1100,14.25
2014-08-05,14.51,14.61,14.49,14.60,4900,14.30
2014-08-04,14.68,14.75,14.54,14.54,5300,14.25
2014-08-01,14.64,14.69,14.55,14.57,6300,14.27
2014-07-31,14.74,14.79,14.66,14.72,4900,14.42
2014-07-30,14.84,14.86,14.73,14.73,2300,14.43
2014-07-29,14.84,14.90,14.83,14.83,10300,14.53
2014-07-28,14.70,14.84,14.65,14.76,5600,14.46
2014-07-25,14.54,14.69,14.52,14.69,3400,14.39
2014-07-24,14.59,14.62,14.52,14.52,10800,14.23
2014-07-23,14.65,14.65,14.53,14.58,4200,14.28
2014-07-22,14.56,14.68,14.56,14.57,7700,14.27
2014-07-21,14.51,14.63,14.51,14.55,2900,14.25
2014-07-18,14.50,14.55,14.49,14.50,3800,14.21
2014-07-17,14.51,14.51,14.49,14.50,2600,14.21
2014-07-16,14.58,14.62,14.51,14.54,8900,14.25
2014-07-15,14.70,14.70,14.61,14.61,4700,14.31
2014-07-14,14.70,14.74,14.64,14.71,5000,14.41
2014-07-11,14.66,14.77,14.61,14.68,6500,14.38
2014-07-10,14.66,14.76,14.66,14.67,3200,14.30
2014-07-09,14.82,14.82,14.70,14.71,5000,14.34
2014-07-08,14.79,14.83,14.73,14.75,5000,14.38
2014-07-07,14.73,14.85,14.73,14.73,5200,14.36
2014-07-03,14.90,14.90,14.74,14.79,4200,14.42
2014-07-02,15.08,15.13,14.78,14.97,6300,14.59
2014-07-01,15.10,15.44,14.96,15.18,10300,14.80
2014-06-30,15.25,15.43,15.10,15.10,6100,14.72
2014-06-27,15.09,15.28,15.09,15.27,5900,14.88
2014-06-26,15.45,15.45,15.19,15.19,6900,14.81
2014-06-25,15.28,15.28,15.28,15.28,1800,14.89
2014-06-24,15.20,15.27,15.18,15.27,3200,14.88
2014-06-23,15.07,15.23,15.07,15.20,6400,14.82
2014-06-20,14.99,15.09,14.99,15.06,6000,14.68
2014-06-19,14.89,15.07,14.89,15.04,4200,14.66
2014-06-18,14.89,14.89,14.78,14.81,1200,14.44
2014-06-17,14.91,14.97,14.86,14.91,2200,14.53
2014-06-16,14.95,14.95,14.88,14.88,800,14.50
2014-06-13,14.94,14.95,14.94,14.95,1900,14.57
2014-06-12,14.92,14.95,14.78,14.95,5000,14.57
2014-06-11,14.89,14.93,14.86,14.93,2500,14.48
2014-06-10,14.89,14.90,14.81,14.90,3200,14.45
2014-06-09,14.81,14.88,14.81,14.85,5400,14.40
2014-06-06,14.82,14.92,14.81,14.81,7900,14.36
2014-06-05,14.81,14.86,14.81,14.83,3800,14.38
2014-06-04,14.92,14.92,14.81,14.84,8600,14.39
2014-06-03,14.88,14.88,14.80,14.82,3400,14.37
2014-06-02,14.92,14.92,14.80,14.83,12300,14.38
2014-05-30,14.83,14.88,14.83,14.84,2000,14.39
2014-05-29,14.91,14.95,14.84,14.85,7200,14.40
2014-05-28,14.95,14.95,14.86,14.91,4000,14.46
2014-05-27,15.00,15.00,14.85,14.91,7000,14.46
2014-05-23,15.00,15.00,14.86,14.91,2500,14.46
2014-05-22,14.90,14.95,14.90,14.95,4000,14.50
2014-05-21,14.96,14.96,14.82,14.95,3200,14.50
2014-05-20,14.96,14.96,14.90,14.96,7600,14.51
2014-05-19,14.78,14.96,14.78,14.92,4500,14.47
2014-05-16,14.81,14.90,14.80,14.83,3100,14.38
2014-05-15,14.66,14.85,14.66,14.80,5300,14.35
