Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,30.97,31.18,30.96,31.05,179300,31.05
2014-11-17,30.87,30.87,30.75,30.80,207700,30.80
2014-11-14,31.19,31.33,31.11,31.27,171800,31.27
2014-11-13,31.08,31.20,30.99,31.05,168600,31.05
2014-11-12,30.61,30.97,30.61,30.91,248400,30.91
2014-11-11,31.05,31.14,30.99,30.99,266000,30.99
2014-11-10,30.79,30.96,30.77,30.88,259200,30.88
2014-11-07,30.87,30.93,30.76,30.88,194100,30.88
2014-11-06,30.95,31.03,30.83,30.84,150000,30.84
2014-11-05,30.86,31.13,30.86,31.03,215300,31.03
2014-11-04,30.75,30.75,30.54,30.72,335000,30.72
2014-11-03,30.88,31.10,30.83,31.09,362200,31.09
2014-10-31,30.85,31.11,30.75,31.02,302500,31.02
2014-10-30,30.28,30.49,30.23,30.40,416800,30.40
2014-10-29,29.74,29.92,29.70,29.77,393200,29.77
2014-10-28,30.02,30.11,29.60,29.78,423200,29.78
2014-10-27,30.32,30.47,30.12,30.28,518000,30.28
2014-10-24,30.32,30.42,30.21,30.35,400000,30.35
2014-10-23,30.42,30.59,30.38,30.45,193900,30.45
2014-10-22,30.46,30.61,30.33,30.35,260200,30.35
2014-10-21,30.44,30.68,30.40,30.68,226400,30.68
2014-10-20,30.45,30.63,30.37,30.59,241900,30.59
2014-10-17,30.30,30.40,30.18,30.36,395600,30.36
2014-10-16,30.16,30.60,30.09,30.49,266800,30.49
2014-10-15,30.54,30.54,30.15,30.48,402900,30.48
2014-10-14,30.78,30.93,30.54,30.54,602000,30.54
2014-10-13,31.18,31.20,30.76,30.79,275300,30.79
2014-10-10,31.30,31.37,31.00,31.05,155000,31.05
2014-10-09,31.72,31.74,31.41,31.44,235600,31.44
2014-10-08,31.75,32.27,31.62,32.22,569900,32.22
2014-10-07,32.10,32.20,31.90,31.92,261600,31.92
2014-10-06,32.23,32.28,32.09,32.17,164800,32.17
2014-10-03,32.14,32.24,32.03,32.07,195100,32.07
2014-10-02,32.14,32.22,31.91,32.19,343400,32.19
2014-10-01,32.50,32.56,32.26,32.33,193300,32.33
2014-09-30,32.65,32.68,32.51,32.59,492200,32.59
2014-09-29,32.70,32.85,32.69,32.83,130300,32.83
2014-09-26,32.64,32.85,32.61,32.79,113400,32.79
2014-09-25,33.05,33.05,32.67,32.67,308900,32.67
2014-09-24,33.07,33.22,33.00,33.10,168300,33.10
2014-09-23,33.35,33.36,33.10,33.13,166400,33.13
2014-09-22,33.27,33.37,33.19,33.36,190800,33.36
2014-09-19,33.01,33.05,32.85,32.90,131000,32.90
2014-09-18,32.80,32.94,32.78,32.85,377400,32.85
2014-09-17,32.76,32.93,32.76,32.81,334400,32.81
2014-09-16,32.88,33.14,32.84,33.08,977100,33.08
2014-09-15,32.80,32.90,32.76,32.82,91200,32.82
2014-09-12,32.78,32.87,32.76,32.81,92200,32.81
2014-09-11,32.84,32.88,32.78,32.86,161300,32.86
2014-09-10,32.80,32.98,32.80,32.94,138500,32.94
2014-09-09,32.75,32.77,32.53,32.59,282400,32.59
2014-09-08,32.96,33.11,32.90,32.96,136500,32.96
2014-09-05,33.12,33.14,32.98,33.11,466800,33.11
2014-09-04,33.08,33.28,33.03,33.14,373000,33.14
2014-09-03,33.00,33.02,32.85,32.97,336600,32.97
2014-09-02,32.78,32.91,32.76,32.82,519400,32.82
2014-08-29,32.86,32.86,32.63,32.67,153000,32.67
2014-08-28,32.85,32.93,32.79,32.89,103500,32.89
2014-08-27,32.91,32.91,32.80,32.84,294300,32.84
2014-08-26,32.81,33.04,32.81,32.96,168200,32.96
2014-08-25,32.83,32.89,32.78,32.80,152000,32.80
2014-08-22,32.90,32.96,32.72,32.80,114900,32.80
2014-08-21,33.00,33.12,33.00,33.05,218100,33.05
2014-08-20,33.12,33.15,33.02,33.04,165900,33.04
2014-08-19,33.31,33.39,33.27,33.36,147100,33.36
2014-08-18,33.32,33.34,33.22,33.27,144300,33.27
2014-08-15,33.21,33.39,33.17,33.32,93600,33.32
2014-08-14,33.20,33.32,33.20,33.31,92600,33.31
2014-08-13,33.10,33.17,33.03,33.14,113900,33.14
2014-08-12,33.05,33.09,32.90,33.03,124900,33.03
2014-08-11,33.08,33.19,32.98,33.08,371500,33.08
2014-08-08,32.78,33.06,32.75,33.05,162000,33.05
2014-08-07,33.09,33.10,32.71,32.78,123000,32.78
2014-08-06,32.77,32.96,32.77,32.87,107700,32.87
2014-08-05,33.10,33.10,32.81,32.86,140200,32.86
2014-08-04,33.14,33.32,33.05,33.30,206600,33.30
2014-08-01,32.90,33.10,32.87,33.03,259500,33.03
2014-07-31,33.15,33.15,32.79,32.79,591600,32.79
2014-07-30,33.59,33.60,33.44,33.46,531100,33.46
2014-07-29,33.77,33.83,33.61,33.61,383900,33.61
2014-07-28,33.63,33.96,33.53,33.77,553800,33.77
2014-07-25,33.93,33.93,33.55,33.63,206100,33.63
2014-07-24,33.66,33.91,33.45,33.72,112200,33.72
2014-07-23,33.56,33.61,33.47,33.48,151000,33.48
2014-07-22,33.57,33.73,33.51,33.67,143800,33.67
2014-07-21,33.56,33.56,33.37,33.49,88900,33.49
2014-07-18,33.40,33.61,33.40,33.56,99800,33.56
2014-07-17,33.50,33.58,33.18,33.22,211600,33.22
2014-07-16,33.47,33.61,33.41,33.50,234800,33.50
2014-07-15,33.30,33.36,33.17,33.27,135600,33.27
2014-07-14,33.23,33.35,33.23,33.29,192500,33.29
2014-07-11,33.14,33.24,33.03,33.09,197200,33.09
2014-07-10,32.08,33.48,32.00,33.25,757900,33.25
2014-07-09,32.59,32.71,32.52,32.61,139600,32.61
2014-07-08,32.53,32.57,32.47,32.49,196700,32.49
2014-07-07,32.43,32.52,32.38,32.43,232700,32.43
2014-07-03,32.55,32.68,32.54,32.62,182600,32.62
2014-07-02,32.80,32.89,32.70,32.80,189900,32.80
