Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,4.24,4.29,4.17,4.25,169000,4.25
2014-11-17,4.22,4.28,4.21,4.24,166400,4.24
2014-11-14,4.29,4.32,4.21,4.24,191400,4.24
2014-11-13,4.34,4.36,4.27,4.27,35700,4.27
2014-11-12,4.23,4.37,4.23,4.35,54200,4.35
2014-11-11,4.38,4.38,4.20,4.27,98000,4.27
2014-11-10,4.36,4.51,4.32,4.40,53300,4.40
2014-11-07,4.31,4.37,4.02,4.37,63800,4.37
2014-11-06,4.39,4.39,4.26,4.32,83000,4.32
2014-11-05,4.29,4.42,4.20,4.38,75500,4.38
2014-11-04,4.39,4.39,4.17,4.26,128000,4.26
2014-11-03,4.49,4.52,4.34,4.39,85200,4.39
2014-10-31,4.56,4.56,4.37,4.50,237200,4.50
2014-10-30,4.26,4.45,4.18,4.45,165600,4.45
2014-10-29,4.28,4.29,4.15,4.26,113600,4.26
2014-10-28,4.03,4.25,4.03,4.25,115300,4.25
2014-10-27,4.06,4.10,3.95,3.98,108700,3.98
2014-10-24,4.20,4.22,4.02,4.11,207400,4.11
2014-10-23,4.15,4.25,4.07,4.18,58200,4.18
2014-10-22,4.20,4.21,4.10,4.10,78700,4.10
2014-10-21,4.16,4.28,4.00,4.17,67400,4.17
2014-10-20,4.14,4.20,4.01,4.16,109300,4.16
2014-10-17,4.28,4.28,4.04,4.17,207600,4.17
2014-10-16,4.09,4.38,4.07,4.21,184000,4.21
2014-10-15,4.01,4.16,3.96,4.14,177500,4.14
2014-10-14,4.00,4.10,3.95,4.07,190700,4.07
2014-10-13,3.83,3.98,3.80,3.96,360800,3.96
2014-10-10,3.70,3.85,3.67,3.81,171700,3.81
2014-10-09,3.90,3.90,3.73,3.74,102300,3.74
2014-10-08,3.76,3.95,3.70,3.92,205400,3.92
2014-10-07,3.71,3.79,3.67,3.78,513600,3.78
2014-10-06,3.79,3.80,3.67,3.75,327600,3.75
2014-10-03,3.72,3.79,3.68,3.76,239300,3.76
2014-10-02,3.75,3.83,3.60,3.67,710300,3.67
2014-10-01,3.87,3.87,3.72,3.75,253400,3.75
2014-09-30,3.88,3.94,3.84,3.85,218500,3.85
2014-09-29,3.87,3.93,3.85,3.89,163900,3.89
2014-09-26,3.85,4.00,3.85,3.92,162700,3.92
2014-09-25,3.96,4.01,3.84,3.85,213300,3.85
2014-09-24,4.05,4.05,3.94,3.95,370200,3.95
2014-09-23,4.05,4.09,4.02,4.05,117700,4.05
2014-09-22,4.12,4.20,4.05,4.05,79400,4.05
2014-09-19,4.17,4.24,4.10,4.15,265600,4.15
2014-09-18,4.23,4.23,4.11,4.17,260200,4.17
2014-09-17,4.14,4.21,4.12,4.20,151600,4.20
2014-09-16,4.15,4.18,4.13,4.16,78200,4.16
2014-09-15,4.13,4.22,4.12,4.15,124400,4.15
2014-09-12,4.24,4.27,4.13,4.16,87700,4.16
2014-09-11,4.27,4.29,4.20,4.23,95700,4.23
2014-09-10,4.37,4.38,4.27,4.30,48500,4.30
2014-09-09,4.44,4.45,4.33,4.38,118900,4.38
2014-09-08,4.38,4.45,4.32,4.42,191500,4.42
2014-09-05,4.37,4.42,4.35,4.38,148300,4.38
2014-09-04,4.29,4.40,4.29,4.37,284600,4.37
2014-09-03,4.43,4.43,4.26,4.26,134500,4.26
2014-09-02,4.48,4.48,4.33,4.43,217400,4.43
2014-08-29,4.41,4.53,4.33,4.46,248500,4.46
2014-08-28,4.60,4.80,4.50,4.50,200000,4.50
2014-08-27,4.71,4.77,4.67,4.75,75500,4.75
2014-08-26,4.67,4.81,4.50,4.68,289600,4.68
2014-08-25,4.80,4.84,4.54,4.70,220600,4.70
2014-08-22,4.88,4.88,4.77,4.79,79200,4.79
2014-08-21,4.81,4.89,4.79,4.87,72700,4.87
2014-08-20,4.87,4.90,4.79,4.83,80200,4.83
2014-08-19,4.94,4.97,4.90,4.91,59700,4.91
2014-08-18,4.95,4.99,4.93,4.96,70900,4.96
2014-08-15,4.94,4.94,4.86,4.92,64100,4.92
2014-08-14,4.89,4.90,4.86,4.89,73100,4.89
2014-08-13,4.91,4.91,4.88,4.90,55200,4.90
2014-08-12,4.86,4.89,4.78,4.87,78300,4.87
2014-08-11,4.93,4.94,4.87,4.90,50500,4.90
2014-08-08,4.81,4.92,4.72,4.90,86100,4.90
2014-08-07,4.87,4.89,4.82,4.83,38300,4.83
2014-08-06,4.82,4.89,4.77,4.83,36500,4.83
2014-08-05,4.85,4.88,4.72,4.83,111200,4.83
2014-08-04,4.68,4.95,4.67,4.85,146700,4.85
2014-08-01,4.70,4.74,4.61,4.68,113000,4.68
2014-07-31,4.74,4.76,4.64,4.72,176400,4.72
2014-07-30,4.86,4.93,4.75,4.80,43600,4.80
2014-07-29,4.82,4.87,4.79,4.81,54000,4.81
2014-07-28,4.85,4.87,4.78,4.82,120800,4.82
2014-07-25,4.94,4.99,4.85,4.86,91100,4.86
2014-07-24,4.98,5.05,4.91,4.99,142500,4.99
2014-07-23,4.94,5.03,4.93,5.00,83200,5.00
2014-07-22,4.90,4.97,4.90,4.95,65600,4.95
2014-07-21,4.85,4.90,4.84,4.86,75600,4.86
2014-07-18,4.85,4.92,4.81,4.90,79100,4.90
2014-07-17,4.95,4.98,4.86,4.87,95600,4.87
2014-07-16,5.01,5.06,4.93,5.01,103300,5.01
2014-07-15,5.06,5.06,4.94,4.97,91200,4.97
2014-07-14,4.96,5.12,4.86,5.06,327100,5.06
2014-07-11,5.02,5.15,4.63,4.96,384800,4.96
2014-07-10,5.01,5.16,4.97,5.05,137300,5.05
2014-07-09,5.17,5.17,5.09,5.09,68400,5.09
2014-07-08,5.15,5.25,5.05,5.16,198300,5.16
2014-07-07,5.15,5.20,5.08,5.16,289800,5.16
2014-07-03,5.09,5.16,5.00,5.15,140700,5.15
2014-07-02,5.00,5.13,4.93,5.09,213100,5.09
2014-07-01,5.00,5.06,4.92,4.99,210600,4.99
2014-06-30,5.11,5.12,4.90,5.01,163800,5.01
2014-06-27,5.03,5.15,5.03,5.14,250400,5.14
2014-06-26,5.25,5.30,5.00,5.07,188900,5.07
2014-06-25,5.28,5.45,5.25,5.30,287800,5.30
2014-06-24,5.33,5.40,5.14,5.28,93400,5.28
2014-06-23,5.26,5.42,5.26,5.36,124500,5.36
2014-06-20,5.50,5.50,5.46,5.50,239400,5.50
2014-06-19,5.51,5.51,5.47,5.48,44700,5.48
2014-06-18,5.48,5.50,5.44,5.48,74000,5.48
2014-06-17,5.44,5.49,5.29,5.49,89100,5.49
2014-06-16,5.49,5.49,5.44,5.46,30500,5.46
2014-06-13,5.50,5.51,5.43,5.49,75200,5.49
2014-06-12,5.49,5.55,5.41,5.49,140800,5.49
2014-06-11,5.50,5.52,5.35,5.48,119700,5.48
2014-06-10,5.52,5.58,5.46,5.50,157400,5.50
2014-06-09,5.50,5.55,5.49,5.52,129600,5.52
2014-06-06,5.50,5.52,5.45,5.50,174500,5.50
2014-06-05,5.49,5.50,5.44,5.50,82200,5.50
2014-06-04,5.46,5.50,5.44,5.46,64400,5.46
2014-06-03,5.45,5.50,5.36,5.45,115900,5.45
2014-06-02,5.50,5.51,5.35,5.46,95800,5.46
2014-05-30,5.50,5.55,5.45,5.50,149200,5.50
2014-05-29,5.50,5.52,5.45,5.49,97000,5.49
2014-05-28,5.50,5.50,5.34,5.47,156700,5.47
2014-05-27,5.45,5.51,5.31,5.49,175800,5.49
