Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,6.40,6.59,6.28,6.39,962800,6.39
2014-11-17,6.97,6.97,6.41,6.43,1790400,6.43
2014-11-14,6.97,7.34,6.95,7.06,1592900,7.06
2014-11-13,6.98,7.19,6.91,7.01,2090500,7.01
2014-11-12,7.06,7.25,6.94,7.03,1798000,7.03
2014-11-11,6.94,7.24,6.54,7.19,2080600,7.19
2014-11-10,7.23,7.35,6.84,6.99,2030300,6.99
2014-11-07,7.04,7.35,7.04,7.22,1580300,7.22
2014-11-06,6.93,7.07,6.74,7.03,1084300,7.03
2014-11-05,6.89,7.25,6.80,7.08,1447900,7.08
2014-11-04,6.95,7.05,6.70,6.90,1836500,6.90
2014-11-03,7.40,7.75,6.95,7.05,1563100,7.05
2014-10-31,7.49,7.49,6.80,7.42,1715500,7.42
2014-10-30,7.48,7.50,7.08,7.38,992000,7.38
2014-10-29,7.34,7.69,7.27,7.54,1482000,7.54
2014-10-28,6.86,7.27,6.76,7.22,1733800,7.22
2014-10-27,7.48,7.48,6.88,6.93,1412000,6.93
2014-10-24,8.12,8.12,7.52,7.54,1285700,7.54
2014-10-23,7.89,8.50,7.82,8.31,1605100,8.31
2014-10-22,8.16,8.46,7.65,7.67,1876100,7.67
2014-10-21,7.85,8.20,7.85,8.09,1376300,8.09
2014-10-20,7.81,8.00,7.53,7.86,1303800,7.86
2014-10-17,8.34,8.48,7.71,7.81,1887300,7.81
2014-10-16,7.11,8.33,6.98,8.25,2230700,8.25
2014-10-15,6.81,7.50,6.78,7.48,2268700,7.48
2014-10-14,7.18,7.40,6.87,7.01,2497200,7.01
2014-10-13,7.34,7.68,7.02,7.05,1983700,7.05
2014-10-10,7.68,7.83,7.32,7.39,2252100,7.39
2014-10-09,7.89,7.95,7.58,7.70,1178400,7.70
2014-10-08,7.92,8.00,7.54,8.00,2219300,8.00
2014-10-07,8.36,8.48,7.94,7.99,1225900,7.99
2014-10-06,8.40,8.57,8.16,8.41,1234900,8.41
2014-10-03,8.70,8.73,8.30,8.35,1337000,8.35
2014-10-02,8.26,8.87,8.05,8.68,1848500,8.68
2014-10-01,8.53,8.90,8.45,8.60,1472700,8.60
2014-09-30,8.89,9.19,8.40,8.50,2219800,8.50
2014-09-29,8.75,8.89,8.56,8.83,950000,8.83
2014-09-26,8.64,8.91,8.40,8.85,962000,8.85
2014-09-25,8.96,8.96,8.53,8.61,991900,8.61
2014-09-24,8.60,9.15,8.56,8.99,1094000,8.99
2014-09-23,8.48,8.92,8.48,8.58,987500,8.58
