Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,10.33,10.33,10.23,10.29,19300,10.29
2014-11-17,10.27,10.32,10.24,10.27,21500,10.27
2014-11-14,10.28,10.38,10.27,10.28,13300,10.28
2014-11-13,10.32,10.36,10.26,10.31,36100,10.31
2014-11-12,10.33,10.37,10.30,10.37,14200,10.37
2014-11-11,10.31,10.40,10.30,10.36,17500,10.36
2014-11-10,10.36,10.50,10.35,10.35,29800,10.35
2014-11-07,10.46,10.46,10.39,10.40,15700,10.40
2014-11-06,10.43,10.45,10.40,10.41,12500,10.41
2014-11-05,10.44,10.52,10.42,10.42,20100,10.42
2014-11-04,10.46,10.53,10.43,10.44,8700,10.44
2014-11-03,10.54,10.54,10.48,10.50,13900,10.50
2014-10-31,10.67,10.67,10.49,10.58,16100,10.58
2014-10-30,10.69,10.70,10.57,10.64,8900,10.64
2014-10-29,10.55,10.75,10.49,10.69,46600,10.69
2014-10-28,10.46,10.53,10.41,10.52,14800,10.52
2014-10-27,10.46,10.46,10.40,10.40,16300,10.40
2014-10-24,10.51,10.70,10.46,10.49,18100,10.49
2014-10-23,10.49,10.57,10.48,10.56,19100,10.56
2014-10-22,10.52,10.55,10.44,10.48,14800,10.48
2014-10-21,10.41,10.52,10.35,10.51,14400,10.51
2014-10-20,10.28,10.44,10.28,10.39,26700,10.39
2014-10-17,10.33,10.39,10.30,10.34,16800,10.34
2014-10-16,10.24,10.40,10.07,10.38,33800,10.31
2014-10-15,10.34,10.41,10.25,10.30,40200,10.23
2014-10-14,10.38,10.42,10.38,10.39,14600,10.32
2014-10-13,10.55,10.55,10.41,10.41,25900,10.34
2014-10-10,10.53,10.54,10.45,10.54,8100,10.47
2014-10-09,10.62,10.62,10.52,10.56,12900,10.49
2014-10-08,10.59,10.64,10.48,10.60,28100,10.53
2014-10-07,10.60,10.63,10.52,10.55,12300,10.48
2014-10-06,10.71,10.71,10.55,10.59,24200,10.52
2014-10-03,10.72,10.72,10.64,10.70,15400,10.63
2014-10-02,10.68,10.78,10.60,10.67,32100,10.60
2014-10-01,10.74,10.76,10.68,10.76,15600,10.69
2014-09-30,10.69,10.77,10.62,10.70,23700,10.63
2014-09-29,10.78,10.83,10.63,10.66,30200,10.59
2014-09-26,10.91,10.92,10.84,10.84,17900,10.77
2014-09-25,11.03,11.03,10.91,10.94,19400,10.87
2014-09-24,10.98,11.03,10.95,11.03,15000,10.96
2014-09-23,10.84,11.01,10.81,10.97,26500,10.90
2014-09-22,10.95,11.00,10.88,10.90,17200,10.83
2014-09-19,11.00,11.09,10.97,11.01,28600,10.94
2014-09-18,11.05,11.07,10.95,10.96,20800,10.89
2014-09-17,11.14,11.15,11.10,11.14,8000,11.00
2014-09-16,11.10,11.15,11.08,11.14,27700,11.00
2014-09-15,11.14,11.19,11.07,11.14,19600,11.00
2014-09-12,11.21,11.21,11.12,11.20,38000,11.05
2014-09-11,11.22,11.22,11.19,11.22,6400,11.07
2014-09-10,11.25,11.25,11.22,11.24,9600,11.09
2014-09-09,11.18,11.28,11.06,11.25,35300,11.10
2014-09-08,11.26,11.28,11.13,11.15,6800,11.01
2014-09-05,11.25,11.25,11.17,11.21,10900,11.06
2014-09-04,11.48,11.48,11.13,11.23,71800,11.08
2014-09-03,11.49,11.50,11.44,11.48,28100,11.33
2014-09-02,11.38,11.55,11.34,11.49,29500,11.34
2014-08-29,11.30,11.41,11.29,11.35,28100,11.20
2014-08-28,11.25,11.28,11.19,11.26,22600,11.11
2014-08-27,11.15,11.23,11.14,11.23,16800,11.08
2014-08-26,11.19,11.25,11.12,11.12,21000,10.98
2014-08-25,11.17,11.17,11.04,11.09,23300,10.95
2014-08-22,11.18,11.21,11.11,11.13,16300,10.99
2014-08-21,11.22,11.23,11.16,11.19,24300,11.04
2014-08-20,11.24,11.31,11.17,11.26,30000,11.11
2014-08-19,11.30,11.32,11.27,11.32,17600,11.10
2014-08-18,11.22,11.27,11.20,11.25,10600,11.04
2014-08-15,11.22,11.22,11.08,11.20,14900,10.99
2014-08-14,11.13,11.22,11.08,11.21,34800,11.00
2014-08-13,11.21,11.28,11.17,11.23,9200,11.02
2014-08-12,11.07,11.20,11.07,11.20,19000,10.99
2014-08-11,11.09,11.15,11.07,11.15,26600,10.94
2014-08-08,10.95,11.09,10.95,11.08,1900,10.87
2014-08-07,11.13,11.17,10.89,10.93,129100,10.72
2014-08-06,11.15,11.20,11.03,11.11,24500,10.90
2014-08-05,11.23,11.29,11.08,11.15,19800,10.94
2014-08-04,11.29,11.29,11.16,11.23,32200,11.02
2014-08-01,11.28,11.32,11.14,11.23,32400,11.02
2014-07-31,11.47,11.47,11.29,11.31,30700,11.09
2014-07-30,11.65,11.66,11.54,11.56,13900,11.34
2014-07-29,11.63,11.65,11.54,11.65,25600,11.43
2014-07-28,11.75,11.77,11.56,11.65,31200,11.43
2014-07-25,11.68,11.74,11.62,11.74,25300,11.52
2014-07-24,11.74,11.74,11.58,11.73,27800,11.51
2014-07-23,11.58,11.69,11.58,11.68,32900,11.46
2014-07-22,11.51,11.56,11.48,11.54,26400,11.32
2014-07-21,11.49,11.70,11.45,11.52,53800,11.30
2014-07-18,11.55,11.67,11.46,11.53,50600,11.31
2014-07-17,11.70,11.70,11.47,11.57,80400,11.35
2014-07-16,11.84,11.89,11.76,11.83,35000,11.54
2014-07-15,11.88,11.92,11.80,11.87,21900,11.57
2014-07-14,11.86,11.94,11.75,11.86,12900,11.56
2014-07-11,11.80,11.87,11.68,11.86,16400,11.56
2014-07-10,11.84,11.95,11.78,11.85,42400,11.56
2014-07-09,11.91,11.95,11.83,11.83,21300,11.54
2014-07-08,11.96,11.98,11.81,11.92,16900,11.62
2014-07-07,11.93,11.99,11.91,11.95,19700,11.65
2014-07-03,11.95,12.00,11.86,11.88,10000,11.58
2014-07-02,11.98,12.00,11.92,11.96,17700,11.66
2014-07-01,11.94,11.98,11.92,11.98,28600,11.68
2014-06-30,11.90,11.98,11.87,11.98,24500,11.68
2014-06-27,11.85,11.90,11.80,11.90,7800,11.60
2014-06-26,11.72,11.84,11.72,11.84,21400,11.55
2014-06-25,11.75,11.80,11.72,11.79,55700,11.50
2014-06-24,11.78,11.80,11.69,11.80,54400,11.51
2014-06-23,11.80,11.80,11.67,11.75,29200,11.46
2014-06-20,11.78,11.81,11.69,11.79,24000,11.50
2014-06-19,11.75,11.79,11.70,11.78,25000,11.49
2014-06-18,11.81,11.81,11.49,11.76,42600,11.40
2014-06-17,11.80,11.81,11.75,11.81,17600,11.45
2014-06-16,11.81,11.82,11.71,11.81,34200,11.45
2014-06-13,11.78,11.79,11.72,11.79,17300,11.43
2014-06-12,11.67,11.79,11.67,11.77,25000,11.41
2014-06-11,11.58,11.70,11.49,11.70,31500,11.34
2014-06-10,11.49,11.60,11.49,11.57,30700,11.21
2014-06-09,11.43,11.48,11.42,11.44,19400,11.09
2014-06-06,11.35,11.50,11.35,11.49,31400,11.14
2014-06-05,11.53,11.53,11.35,11.41,47800,11.06
2014-06-04,11.48,11.49,11.37,11.47,16400,11.12
