Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,33.48,33.61,33.40,33.45,143300,33.45
2014-11-17,33.57,33.62,33.44,33.51,89000,33.51
2014-11-14,33.40,33.66,33.40,33.56,116500,33.56
2014-11-13,33.66,33.74,33.29,33.44,151800,33.44
2014-11-12,33.25,33.70,33.00,33.59,150300,33.59
2014-11-11,33.79,33.88,33.20,33.39,194700,33.39
2014-11-10,33.75,33.84,33.54,33.79,120500,33.79
2014-11-07,33.43,33.75,33.35,33.74,137300,33.74
2014-11-06,33.37,33.68,33.27,33.60,122500,33.47
2014-11-05,33.29,33.43,33.13,33.29,199200,33.17
2014-11-04,33.01,33.14,32.92,33.13,163700,33.01
2014-11-03,33.01,33.20,32.76,32.98,295500,32.86
2014-10-31,32.25,32.27,31.88,32.11,176400,31.99
2014-10-30,31.30,31.92,31.09,31.81,160200,31.69
2014-10-29,31.07,31.46,31.03,31.29,205700,31.17
2014-10-28,29.84,31.23,29.51,31.08,257600,30.96
2014-10-27,30.38,30.58,29.40,29.68,331300,29.57
2014-10-24,30.59,30.94,30.41,30.58,254600,30.47
2014-10-23,30.40,30.72,30.18,30.52,167900,30.41
2014-10-22,30.74,30.82,30.19,30.20,239100,30.09
2014-10-21,30.71,30.98,30.60,30.77,220600,30.66
2014-10-20,30.30,30.88,30.30,30.61,208000,30.50
2014-10-17,30.55,30.80,30.40,30.46,154800,30.35
2014-10-16,30.46,30.79,30.15,30.35,244600,30.24
2014-10-15,30.67,31.11,30.28,30.75,251400,30.64
2014-10-14,31.88,32.12,30.67,30.87,328400,30.76
2014-10-13,31.44,31.99,31.36,31.60,119600,31.48
2014-10-10,31.61,32.00,31.40,31.50,122900,31.38
2014-10-09,32.13,32.35,31.69,31.80,137000,31.68
2014-10-08,31.92,32.21,31.82,32.20,125100,32.08
2014-10-07,32.43,33.05,31.99,32.04,182100,31.92
2014-10-06,32.66,32.78,32.44,32.46,81300,32.34
2014-10-03,32.57,32.81,32.38,32.66,101400,32.54
2014-10-02,31.82,32.45,31.65,32.29,119300,32.17
2014-10-01,31.77,32.08,31.62,31.77,156700,31.65
2014-09-30,32.07,32.25,31.90,31.90,161000,31.78
2014-09-29,32.13,32.13,31.83,32.04,155600,31.92
2014-09-26,32.06,32.54,32.04,32.47,99900,32.35
2014-09-25,32.20,32.20,31.81,32.04,150200,31.92
2014-09-24,32.25,32.42,32.16,32.28,143700,32.16
2014-09-23,32.44,32.46,32.16,32.17,213500,32.05
2014-09-22,32.55,32.76,32.18,32.44,111000,32.32
2014-09-19,33.40,33.54,32.62,32.64,466600,32.52
2014-09-18,33.22,33.58,33.19,33.47,91500,33.35
2014-09-17,32.90,33.36,32.90,33.19,127900,33.07
2014-09-16,33.00,33.23,32.88,32.91,242200,32.79
2014-09-15,33.10,33.27,33.04,33.08,201100,32.96
2014-09-12,33.20,33.29,33.08,33.13,148600,33.01
2014-09-11,33.12,33.46,33.10,33.28,90600,33.16
2014-09-10,32.96,33.30,32.90,33.24,130000,33.12
2014-09-09,33.08,33.16,32.76,32.89,140500,32.77
2014-09-08,32.24,33.05,32.20,33.03,263300,32.91
2014-09-05,32.17,32.43,32.17,32.33,114400,32.21
2014-09-04,32.22,32.56,32.17,32.28,152400,32.16
2014-09-03,32.20,32.41,32.17,32.25,171400,32.13
2014-09-02,31.91,32.23,31.50,32.14,206300,32.02
2014-08-29,31.78,32.00,31.60,31.94,122200,31.82
2014-08-28,31.25,31.90,31.17,31.80,220500,31.68
2014-08-27,31.39,31.49,31.27,31.28,279700,31.16
2014-08-26,31.39,31.49,31.27,31.30,151800,31.18
2014-08-25,30.83,31.39,30.83,31.30,163100,31.18
2014-08-22,30.79,30.99,30.48,30.80,451100,30.69
2014-08-21,31.12,31.12,30.60,30.87,232600,30.76
2014-08-20,31.21,31.29,30.98,31.06,104000,30.94
2014-08-19,31.30,31.43,31.09,31.33,165000,31.21
2014-08-18,31.43,31.43,31.19,31.29,110700,31.17
2014-08-15,31.59,31.81,31.20,31.27,140000,31.15
2014-08-14,31.35,31.50,31.25,31.45,95900,31.33
2014-08-13,31.61,31.74,31.21,31.27,174700,31.15
2014-08-12,31.50,31.72,31.30,31.61,301000,31.49
2014-08-11,31.05,31.74,31.02,31.50,259300,31.38
2014-08-08,30.71,31.33,30.71,31.03,283500,30.79
2014-08-07,30.45,30.89,30.17,30.79,274600,30.55
