Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,27.35,27.68,27.27,27.39,88000,27.39
2014-11-17,27.15,27.47,27.15,27.35,181800,27.35
2014-11-14,27.04,27.27,26.94,27.08,122000,27.08
2014-11-13,27.46,27.65,27.16,27.19,131100,27.19
2014-11-12,27.45,27.58,27.16,27.52,81000,27.52
2014-11-11,27.57,27.68,27.16,27.68,85500,27.68
2014-11-10,27.64,27.76,27.29,27.53,128200,27.53
2014-11-07,27.39,27.69,27.35,27.64,89700,27.64
2014-11-06,27.46,27.50,27.12,27.46,148300,27.46
2014-11-05,27.10,27.41,26.94,27.36,84100,27.36
2014-11-04,27.10,27.51,26.73,26.94,112700,26.94
2014-11-03,26.94,27.74,26.75,27.45,153200,27.45
2014-10-31,27.58,27.58,26.83,26.99,146800,26.99
2014-10-30,27.37,27.59,27.12,27.32,51800,27.32
2014-10-29,27.70,27.74,27.12,27.49,105300,27.49
2014-10-28,26.64,27.74,26.40,27.72,248400,27.72
2014-10-27,26.51,26.60,26.11,26.52,105200,26.52
2014-10-24,26.72,26.92,26.58,26.63,99200,26.63
2014-10-23,26.68,26.93,26.49,26.68,82100,26.68
2014-10-22,26.76,26.79,26.30,26.57,101900,26.57
2014-10-21,26.20,26.79,25.96,26.65,204600,26.65
2014-10-20,25.81,26.20,25.67,25.98,82700,25.98
2014-10-17,26.25,26.56,25.74,25.93,184500,25.93
2014-10-16,24.76,26.13,24.76,26.02,283200,26.02
2014-10-15,25.11,25.42,24.79,25.18,416900,25.18
2014-10-14,25.88,26.00,25.35,25.50,352000,25.50
2014-10-13,26.12,26.30,25.56,25.88,244800,25.88
2014-10-10,26.65,26.79,26.15,26.20,301700,26.20
2014-10-09,26.48,26.73,26.29,26.63,152000,26.63
2014-10-08,26.50,26.87,26.05,26.59,185300,26.59
2014-10-07,26.85,27.10,26.52,26.54,123900,26.54
2014-10-06,27.08,27.49,26.71,26.99,127300,26.99
2014-10-03,27.20,27.24,26.90,27.10,108700,27.10
2014-10-02,27.18,27.32,26.36,26.98,285700,26.98
2014-10-01,26.62,27.10,26.17,27.01,190400,27.01
2014-09-30,27.53,27.68,26.68,26.87,279500,26.87
2014-09-29,27.33,27.85,27.33,27.84,114100,27.84
2014-09-26,27.54,28.15,27.43,28.14,107900,28.14
2014-09-25,27.76,27.80,27.40,27.74,133500,27.74
2014-09-24,27.82,28.00,27.76,27.86,78600,27.86
2014-09-23,27.83,28.11,27.80,27.93,133700,27.93
2014-09-22,27.95,28.12,27.73,28.06,88500,28.06
2014-09-19,27.87,28.14,27.81,28.06,139900,28.06
2014-09-18,27.67,28.13,27.47,27.86,115200,27.86
2014-09-17,27.76,27.92,27.46,27.71,126600,27.71
2014-09-16,27.80,27.96,27.70,27.79,71400,27.79
2014-09-15,28.10,28.10,27.62,27.82,200800,27.82
2014-09-12,28.26,28.30,27.90,28.17,196000,28.17
2014-09-11,27.86,28.40,27.67,28.32,119000,28.32
2014-09-10,27.99,28.20,27.92,28.04,107700,28.04
2014-09-09,27.89,28.11,27.71,27.94,161400,27.94
2014-09-08,27.96,28.05,27.61,27.78,161200,27.78
2014-09-05,27.84,28.11,27.72,28.11,145600,28.11
2014-09-04,27.87,28.10,27.87,28.03,129900,28.03
2014-09-03,27.82,28.17,27.76,27.96,217800,27.96
2014-09-02,28.52,28.70,28.40,28.68,321600,28.18
2014-08-29,28.46,28.50,28.30,28.50,113700,28.00
2014-08-28,28.25,28.49,28.14,28.41,150700,27.91
2014-08-27,28.13,28.49,28.05,28.41,171100,27.91
2014-08-26,28.53,28.70,27.91,28.06,287100,27.57
2014-08-25,28.25,28.62,28.12,28.53,218500,28.03
2014-08-22,28.05,28.25,27.97,28.23,146600,27.74
2014-08-21,28.10,28.20,27.91,28.09,183100,27.60
2014-08-20,27.99,28.17,27.90,28.01,196300,27.52
2014-08-19,27.73,28.20,27.57,27.94,293400,27.45
2014-08-18,27.50,27.70,27.30,27.64,188600,27.16
2014-08-15,27.15,27.47,26.93,27.47,299300,26.99
2014-08-14,26.82,27.15,26.68,27.15,123600,26.68
2014-08-13,26.50,26.98,26.39,26.82,191900,26.35
2014-08-12,26.50,26.60,26.15,26.44,111200,25.98
2014-08-11,25.74,26.50,25.72,26.41,224200,25.95
2014-08-08,25.60,25.85,25.50,25.76,119100,25.31
2014-08-07,25.38,25.63,25.26,25.57,73800,25.12
2014-08-06,25.20,25.61,25.20,25.38,105200,24.94
2014-08-05,25.54,25.79,25.20,25.26,84700,24.82
2014-08-04,24.78,25.69,24.54,25.64,281600,25.19
2014-08-01,25.15,25.35,24.50,24.87,292900,24.44
2014-07-31,25.61,25.69,25.27,25.40,111600,24.96
2014-07-30,26.05,26.12,25.61,25.71,112800,25.26
2014-07-29,25.53,26.19,25.53,26.05,180400,25.60
2014-07-28,25.52,25.69,25.50,25.59,77600,25.14
2014-07-25,25.59,25.80,25.50,25.62,76800,25.17
2014-07-24,25.51,25.80,25.46,25.68,106600,25.23
2014-07-23,25.40,25.58,25.31,25.46,85900,25.02
2014-07-22,25.25,25.47,25.20,25.40,91100,24.96
2014-07-21,25.54,25.71,25.20,25.25,165500,24.81
2014-07-18,25.36,25.73,25.30,25.56,73800,25.11
2014-07-17,25.52,25.70,25.27,25.43,81700,24.99
2014-07-16,25.61,25.84,25.46,25.67,141800,25.22
2014-07-15,25.27,25.72,24.88,25.66,248800,25.21
2014-07-14,26.15,26.29,25.09,25.23,346600,24.79
2014-07-11,26.23,26.40,26.02,26.20,123600,25.74
2014-07-10,26.35,26.50,26.18,26.25,124200,25.79
2014-07-09,26.83,26.83,26.36,26.59,102400,26.13
2014-07-08,26.52,26.84,26.41,26.70,97200,26.23
2014-07-07,26.14,26.56,26.12,26.56,150000,26.10
2014-07-03,26.95,27.11,26.10,26.19,275200,25.73
2014-07-02,27.35,27.44,26.85,26.94,184000,26.47
2014-07-01,27.30,27.49,27.30,27.37,159500,26.89
2014-06-30,27.35,27.40,27.24,27.36,78700,26.88
2014-06-27,27.42,27.54,27.13,27.35,61100,26.87
2014-06-26,27.53,27.65,27.23,27.33,106600,26.85
2014-06-25,27.37,27.58,27.02,27.37,105200,26.89
2014-06-24,27.31,27.70,27.23,27.23,86300,26.76
2014-06-23,27.11,27.31,27.04,27.22,124900,26.75
2014-06-20,27.06,27.29,26.89,27.11,178100,26.64
2014-06-19,27.89,28.05,27.06,27.15,196800,26.68
2014-06-18,27.75,28.02,27.70,27.98,201600,27.49
2014-06-17,28.00,28.24,27.70,27.76,187800,27.28
2014-06-16,27.44,28.25,27.33,28.25,470800,27.76
2014-06-13,26.70,27.46,26.53,27.43,288600,26.95
2014-06-12,26.98,27.00,26.40,26.72,236400,26.25
2014-06-11,26.88,27.06,26.85,27.04,149800,26.57
2014-06-10,26.58,27.05,26.50,26.93,225600,26.46
2014-06-09,26.90,26.93,25.89,26.45,297700,25.99
2014-06-06,26.23,26.71,26.23,26.71,148300,26.24
2014-06-05,26.73,26.99,26.08,26.29,366700,25.83
2014-06-04,26.75,27.19,26.55,26.80,257500,26.33
2014-06-03,27.50,27.86,27.46,27.65,259200,26.68
2014-06-02,27.40,27.74,27.25,27.51,268800,26.54
2014-05-30,27.58,27.76,26.50,27.76,302700,26.78
2014-05-29,27.34,27.75,27.26,27.71,285600,26.73
2014-05-28,27.32,27.40,27.12,27.30,231000,26.34
2014-05-27,27.02,27.34,27.00,27.25,234300,26.29
2014-05-23,26.78,27.04,26.66,26.98,230200,26.03
2014-05-22,26.63,26.80,26.51,26.68,157000,25.74
2014-05-21,26.53,26.62,26.50,26.59,144900,25.65
2014-05-20,26.22,26.59,26.12,26.45,156100,25.52
2014-05-19,26.05,26.53,26.05,26.32,189000,25.39
2014-05-16,26.00,26.62,25.94,26.33,291100,25.40
2014-05-15,25.69,26.02,25.57,26.00,208700,25.08
2014-05-14,25.30,25.74,25.30,25.70,118400,24.80
2014-05-13,25.71,25.76,25.30,25.40,137300,24.51
2014-05-12,25.82,25.90,25.67,25.83,138000,24.92
2014-05-09,25.54,25.80,25.44,25.80,263100,24.89
2014-05-08,25.48,25.55,25.35,25.55,153700,24.65
2014-05-07,25.35,25.45,25.27,25.43,93600,24.53
2014-05-06,25.49,25.49,25.26,25.41,161700,24.52
2014-05-05,25.15,25.50,24.95,25.50,170900,24.60
2014-05-02,25.17,25.20,25.01,25.17,111500,24.28
2014-05-01,24.95,25.23,24.79,25.18,208400,24.29
2014-04-30,24.78,24.89,24.69,24.85,219100,23.98
2014-04-29,24.63,24.89,24.52,24.72,166000,23.85
2014-04-28,24.35,24.57,24.27,24.52,132500,23.66
2014-04-25,24.25,24.41,24.00,24.25,107000,23.40
2014-04-24,24.72,24.72,24.30,24.41,108200,23.55
2014-04-23,24.54,24.67,24.43,24.56,102900,23.70
2014-04-22,24.39,24.72,24.39,24.53,244200,23.67
2014-04-21,24.45,24.45,23.85,24.33,123700,23.47
2014-04-17,23.99,24.38,23.89,24.34,151000,23.48
2014-04-16,23.87,23.97,23.75,23.92,92300,23.08
2014-04-15,23.79,23.85,23.71,23.81,99600,22.97
2014-04-14,23.74,23.85,23.58,23.85,148100,23.01
2014-04-11,23.66,23.74,23.42,23.73,138600,22.89
2014-04-10,23.60,23.69,23.51,23.63,134400,22.80
2014-04-09,23.56,23.66,23.36,23.66,125500,22.83
2014-04-08,23.10,23.62,23.03,23.58,223800,22.75
2014-04-07,23.25,23.25,23.03,23.17,142700,22.35
2014-04-04,23.21,23.44,23.04,23.15,150800,22.34
2014-04-03,22.93,23.14,22.78,23.05,163500,22.24
2014-04-02,23.16,23.39,22.87,22.91,150200,22.10
2014-04-01,23.09,23.20,22.85,23.16,142300,22.34
2014-03-31,22.98,23.14,22.67,23.09,156100,22.28
2014-03-28,23.04,23.04,22.40,22.66,223300,21.86
2014-03-27,22.96,23.13,22.82,23.03,234200,22.22
2014-03-26,22.70,22.88,22.59,22.79,166200,21.99
2014-03-25,22.69,22.87,22.41,22.60,189500,21.80
2014-03-24,21.89,22.65,21.89,22.48,355800,21.69
2014-03-21,22.07,22.23,21.24,21.84,559100,21.07
2014-03-20,22.74,23.07,22.11,22.14,342700,21.36
2014-03-19,23.30,23.35,22.66,22.72,357200,21.92
2014-03-18,23.72,23.75,23.39,23.49,176300,22.66
2014-03-17,23.95,23.99,23.39,23.72,233100,22.89
2014-03-14,23.25,23.59,23.25,23.51,142000,22.68
2014-03-13,23.42,23.50,23.21,23.29,136700,22.47
2014-03-12,23.25,23.50,23.11,23.41,241000,22.59
2014-03-11,24.11,24.22,23.06,23.17,632100,22.35
2014-03-10,24.74,25.15,24.01,24.13,315400,23.28
2014-03-07,24.81,24.99,24.50,24.93,209100,24.05
2014-03-06,25.49,25.49,24.46,24.61,285000,23.74
2014-03-05,25.39,25.69,25.39,25.63,263700,24.25
2014-03-04,24.68,25.65,24.68,25.42,238400,24.05
2014-03-03,25.56,25.62,25.36,25.48,235300,24.10
2014-02-28,25.33,25.67,25.27,25.51,324100,24.13
2014-02-27,25.31,25.40,25.05,25.22,179800,23.86
2014-02-26,25.06,25.37,25.03,25.36,210600,23.99
2014-02-25,24.93,25.18,24.92,25.00,164900,23.65
2014-02-24,25.00,25.35,24.98,24.98,189400,23.63
2014-02-21,25.11,25.20,24.91,25.00,151100,23.65
2014-02-20,25.00,25.20,24.80,25.11,224700,23.75
2014-02-19,25.08,25.17,24.60,24.73,179700,23.39
2014-02-18,25.03,25.24,24.89,25.02,222400,23.67
2014-02-14,24.78,25.09,24.67,25.05,139000,23.70
2014-02-13,24.49,24.87,24.49,24.77,98900,23.43
2014-02-12,24.23,24.61,24.16,24.58,183300,23.25
2014-02-11,24.69,24.80,24.09,24.26,212900,22.95
2014-02-10,24.31,24.71,24.31,24.61,112500,23.28
2014-02-07,24.21,24.50,24.21,24.40,96500,23.08
2014-02-06,24.45,24.65,24.17,24.26,151600,22.95
2014-02-05,23.88,24.56,23.83,24.46,113900,23.14
2014-02-04,24.05,24.48,23.83,23.99,161200,22.69
2014-02-03,24.57,24.62,23.93,24.10,249700,22.80
2014-01-31,24.80,25.00,24.42,24.49,184300,23.17
2014-01-30,25.27,25.44,24.86,24.88,203900,23.54
2014-01-29,25.00,25.46,24.80,25.27,462600,23.90
2014-01-28,24.80,25.13,24.72,25.01,496700,23.66
2014-01-27,23.85,24.74,23.85,24.63,381200,23.30
2014-01-24,24.18,24.18,23.50,23.83,339300,22.54
2014-01-23,24.43,24.49,24.05,24.10,187700,22.80
2014-01-22,24.07,24.50,24.07,24.45,202000,23.13
2014-01-21,23.70,24.20,23.70,24.07,188000,22.77
2014-01-17,23.90,23.90,23.60,23.63,94700,22.35
2014-01-16,23.60,23.85,23.54,23.76,94400,22.48
2014-01-15,23.83,23.83,23.51,23.70,79400,22.42
2014-01-14,23.35,23.85,23.35,23.72,131000,22.44
2014-01-13,23.35,23.50,23.24,23.30,64900,22.04
