Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,17.66,17.95,17.60,17.62,19800,17.62
2014-11-17,17.75,17.80,17.63,17.63,7000,17.63
2014-11-14,17.80,17.97,17.75,17.77,7300,17.77
2014-11-13,17.85,17.89,17.70,17.74,13800,17.74
2014-11-12,17.78,17.85,17.76,17.82,12000,17.82
2014-11-11,17.85,17.85,17.79,17.80,12900,17.80
2014-11-10,17.74,17.96,17.72,17.85,23400,17.85
2014-11-07,17.98,17.98,17.70,17.96,9900,17.96
2014-11-06,17.77,17.99,17.65,17.94,13100,17.94
2014-11-05,17.85,17.85,17.82,17.84,10200,17.84
2014-11-04,17.63,17.85,17.63,17.83,8600,17.83
2014-11-03,17.61,17.85,17.60,17.76,12100,17.76
2014-10-31,18.00,18.00,17.57,17.69,38000,17.69
2014-10-30,17.84,18.00,17.20,17.98,18600,17.98
2014-10-29,17.81,17.89,17.03,17.85,14600,17.85
2014-10-28,17.29,17.85,17.01,17.84,23000,17.84
2014-10-27,17.12,17.48,17.12,17.17,4100,17.17
2014-10-24,17.37,17.54,17.22,17.26,6200,17.26
2014-10-23,17.07,17.46,16.98,17.42,16100,17.42
2014-10-22,17.08,17.11,16.80,16.87,11000,16.87
2014-10-21,17.31,17.35,17.04,17.04,26200,17.04
2014-10-20,16.90,17.24,16.88,17.03,13200,17.03
2014-10-17,17.73,17.73,17.06,17.12,21800,17.12
2014-10-16,17.25,17.69,17.10,17.50,21600,17.50
2014-10-15,16.70,17.63,16.70,17.52,25200,17.52
2014-10-14,17.30,17.67,16.94,17.19,27900,17.19
2014-10-13,16.88,17.38,16.51,17.18,27900,17.18
2014-10-10,16.63,17.08,16.63,16.80,9300,16.80
2014-10-09,17.24,17.29,16.64,16.75,13500,16.75
2014-10-08,16.84,17.29,16.68,17.15,15200,17.15
2014-10-07,16.79,16.94,16.55,16.82,17400,16.82
2014-10-06,16.98,17.00,16.75,16.88,6700,16.88
2014-10-03,16.92,17.00,16.76,16.86,12500,16.86
2014-10-02,16.48,16.75,16.29,16.74,8900,16.74
2014-10-01,16.65,16.93,16.65,16.75,21800,16.54
2014-09-30,16.73,17.10,16.61,16.67,28400,16.46
2014-09-29,16.76,16.93,16.52,16.83,11300,16.62
2014-09-26,16.74,16.90,16.63,16.76,14100,16.55
2014-09-25,16.77,16.93,16.60,16.74,15400,16.53
2014-09-24,16.75,17.10,16.71,16.84,13900,16.63
2014-09-23,16.92,16.92,16.69,16.69,12500,16.48
2014-09-22,17.18,17.20,16.89,17.00,10400,16.79
2014-09-19,17.22,17.29,16.93,17.11,28000,16.90
2014-09-18,16.90,17.25,16.76,17.18,18100,16.96
2014-09-17,16.84,16.85,16.61,16.78,7100,16.57
2014-09-16,16.67,16.99,16.67,16.79,33900,16.58
2014-09-15,17.10,17.10,16.80,16.81,7600,16.60
2014-09-12,16.96,17.10,16.79,17.00,13100,16.79
2014-09-11,16.86,17.02,16.71,16.91,8700,16.70
2014-09-10,16.72,16.94,16.71,16.93,11000,16.72
2014-09-09,16.76,16.79,16.60,16.64,6300,16.43
2014-09-08,16.73,16.81,16.63,16.78,8700,16.57
2014-09-05,16.69,16.82,16.69,16.77,5700,16.56
2014-09-04,16.77,16.79,16.69,16.69,6600,16.48
2014-09-03,16.77,16.79,16.62,16.72,9800,16.51
2014-09-02,16.95,16.97,16.72,16.75,9000,16.54
2014-08-29,16.78,16.95,16.73,16.88,5900,16.67
2014-08-28,16.71,16.81,16.69,16.76,6000,16.55
2014-08-27,16.89,16.89,16.75,16.80,5100,16.59
2014-08-26,16.75,16.81,16.67,16.80,25300,16.59
2014-08-25,16.72,16.74,16.61,16.74,8700,16.53
2014-08-22,16.70,16.73,16.52,16.61,6500,16.40
2014-08-21,16.64,16.75,16.54,16.69,9200,16.48
2014-08-20,16.70,16.73,16.55,16.67,8800,16.46
2014-08-19,16.75,16.75,16.60,16.74,9500,16.53
2014-08-18,16.73,16.75,16.60,16.74,15900,16.53
2014-08-15,16.70,16.70,16.42,16.57,14100,16.36
2014-08-14,16.41,16.57,16.41,16.54,7800,16.33
2014-08-13,16.59,16.62,16.43,16.60,5400,16.39
2014-08-12,16.53,16.53,16.41,16.46,5000,16.25
2014-08-11,16.50,16.71,16.41,16.62,6900,16.41
2014-08-08,16.42,16.50,16.40,16.49,8100,16.28
2014-08-07,16.66,16.75,16.42,16.43,6000,16.22
2014-08-06,16.49,16.73,16.49,16.70,7600,16.49
2014-08-05,16.45,16.68,16.40,16.48,7200,16.27
2014-08-04,16.54,16.65,16.28,16.48,16400,16.27
2014-08-01,16.49,16.59,16.40,16.51,17600,16.30
2014-07-31,16.50,16.55,16.25,16.41,16500,16.20
2014-07-30,16.49,16.52,16.40,16.52,11800,16.31
2014-07-29,16.40,16.50,16.35,16.41,10600,16.20
2014-07-28,16.50,16.50,16.35,16.40,10300,16.19
2014-07-25,16.40,16.42,16.35,16.40,13100,16.19
2014-07-24,16.30,16.45,16.30,16.40,21000,16.19
2014-07-23,16.18,16.26,16.10,16.25,13100,16.05
2014-07-22,16.05,16.21,16.03,16.07,6100,15.87
2014-07-21,16.04,16.18,16.02,16.06,6200,15.86
2014-07-18,15.88,16.57,15.88,16.11,24400,15.91
2014-07-17,16.60,17.39,15.98,16.02,39800,15.82
2014-07-16,16.72,17.13,16.51,16.66,28800,16.45
2014-07-15,17.38,17.38,16.61,16.66,22300,16.45
2014-07-14,17.00,17.44,17.00,17.33,23700,17.11
2014-07-11,17.02,17.02,16.71,16.79,6500,16.58
2014-07-10,17.04,17.23,16.93,16.95,13900,16.74
2014-07-09,17.42,17.45,17.21,17.28,11700,17.06
2014-07-08,17.40,17.44,17.22,17.29,25300,17.07
2014-07-07,17.41,17.61,17.40,17.43,35100,17.21
2014-07-03,17.45,17.60,17.37,17.49,11500,17.27
2014-07-02,17.64,17.64,17.34,17.43,15900,17.21
2014-07-01,17.50,18.20,17.46,17.84,89300,17.41
2014-06-30,17.39,17.50,17.28,17.46,25300,17.04
2014-06-27,16.78,17.50,16.78,17.50,97500,17.08
2014-06-26,16.78,16.98,16.75,16.90,8700,16.49
2014-06-25,16.58,16.80,16.45,16.63,31000,16.23
2014-06-24,16.58,16.89,16.57,16.62,26300,16.22
2014-06-23,16.68,16.75,16.32,16.61,23500,16.21
2014-06-20,16.64,16.65,16.29,16.64,47200,16.24
2014-06-19,16.45,16.53,16.25,16.43,6900,16.03
2014-06-18,16.38,16.44,16.20,16.44,5100,16.04
2014-06-17,16.32,16.40,16.21,16.40,10300,16.00
2014-06-16,16.43,16.54,16.15,16.24,17800,15.85
2014-06-13,16.65,16.65,16.41,16.52,9300,16.12
2014-06-12,16.41,16.74,16.41,16.56,9800,16.16
2014-06-11,16.77,16.77,16.37,16.41,9500,16.01
2014-06-10,16.88,16.88,16.45,16.79,6000,16.38
2014-06-09,16.49,16.90,16.25,16.90,17500,16.49
2014-06-06,16.30,16.50,16.13,16.46,18700,16.06
2014-06-05,15.95,16.30,15.95,16.29,19400,15.90
2014-06-04,15.92,16.10,15.85,15.89,7600,15.51
2014-06-03,16.00,16.09,15.86,15.90,10800,15.52
2014-06-02,16.11,16.22,16.04,16.05,8600,15.66
2014-05-30,16.23,16.23,16.07,16.16,5400,15.77
2014-05-29,16.25,16.26,16.11,16.18,8200,15.79
2014-05-28,16.21,16.27,16.03,16.16,7600,15.77
2014-05-27,16.26,16.30,16.22,16.30,5300,15.91
2014-05-23,16.07,16.28,15.96,16.18,19700,15.79
2014-05-22,15.96,16.09,15.88,16.03,9100,15.64
2014-05-21,15.96,16.05,15.80,15.85,11400,15.47
2014-05-20,16.07,16.29,15.85,15.87,29800,15.49
2014-05-19,15.97,16.25,15.92,16.17,16700,15.78
2014-05-16,15.81,15.99,15.80,15.94,15500,15.55
2014-05-15,15.79,16.21,15.75,15.80,24600,15.42
2014-05-14,16.06,16.23,15.74,15.80,23300,15.42
2014-05-13,16.28,16.28,16.06,16.13,16100,15.74
2014-05-12,16.15,16.50,16.00,16.34,21100,15.95
2014-05-09,15.64,16.13,15.60,15.97,11900,15.58
2014-05-08,15.70,15.89,15.66,15.67,13900,15.29
2014-05-07,15.69,15.74,15.51,15.70,29000,15.32
2014-05-06,15.90,16.17,15.61,15.61,29900,15.23
2014-05-05,16.00,16.35,15.88,15.91,16000,15.53
2014-05-02,16.30,16.30,15.88,16.03,16700,15.64
2014-05-01,15.92,16.05,15.82,15.90,50300,15.52
2014-04-30,16.06,16.07,15.91,15.93,26400,15.55
2014-04-29,16.09,16.20,16.05,16.06,26200,15.67
2014-04-28,15.92,16.30,15.92,16.01,21300,15.62
2014-04-25,15.97,16.11,15.90,15.90,36100,15.52
2014-04-24,16.06,16.32,15.95,15.98,16500,15.59
2014-04-23,16.06,16.41,16.02,16.05,11900,15.66
2014-04-22,16.13,16.34,16.06,16.13,10300,15.74
2014-04-21,16.38,16.39,16.02,16.16,6900,15.77
2014-04-17,15.96,16.37,15.96,16.23,13300,15.84
2014-04-16,16.25,16.41,15.96,15.96,20700,15.57
2014-04-15,16.19,16.19,15.90,16.04,11600,15.65
2014-04-14,16.25,16.25,16.00,16.10,20100,15.71
2014-04-11,16.18,16.53,16.05,16.06,19500,15.67
2014-04-10,16.50,16.56,16.25,16.25,34900,15.86
2014-04-09,16.40,16.49,16.30,16.45,17500,16.05
2014-04-08,16.24,16.58,16.24,16.29,13300,15.90
2014-04-07,16.69,16.69,16.13,16.22,10500,15.83
2014-04-04,16.56,16.65,16.38,16.43,24600,16.03
2014-04-03,16.44,16.50,16.31,16.40,11100,16.00
2014-04-02,16.51,16.67,16.21,16.37,34300,15.97
2014-04-01,16.29,16.77,16.29,16.73,16900,16.13
2014-03-31,16.31,16.52,16.30,16.30,29600,15.72
2014-03-28,16.23,16.45,16.23,16.28,13700,15.70
2014-03-27,16.30,16.46,16.15,16.23,10600,15.65
2014-03-26,16.69,16.75,16.22,16.24,14200,15.66
2014-03-25,16.93,16.93,16.53,16.53,10000,15.94
2014-03-24,16.73,16.88,16.52,16.76,8600,16.16
2014-03-21,16.97,16.97,16.57,16.63,53200,16.03
2014-03-20,16.52,16.92,16.52,16.88,4800,16.28
2014-03-19,16.28,16.79,16.28,16.57,17900,15.98
2014-03-18,16.20,16.39,16.18,16.35,9200,15.76
2014-03-17,16.33,16.35,16.12,16.30,3700,15.72
2014-03-14,16.10,16.35,16.10,16.25,12800,15.67
2014-03-13,16.38,16.38,16.10,16.13,26400,15.55
2014-03-12,16.10,16.33,16.10,16.18,8200,15.60
2014-03-11,16.27,16.29,16.12,16.13,28700,15.55
2014-03-10,16.31,16.39,16.20,16.32,16500,15.74
2014-03-07,16.47,16.47,16.31,16.40,10200,15.81
2014-03-06,16.45,16.45,16.25,16.38,11100,15.79
2014-03-05,16.42,16.50,16.30,16.46,10700,15.87
2014-03-04,16.53,16.55,16.35,16.49,33900,15.90
2014-03-03,16.26,16.35,16.17,16.31,7300,15.73
2014-02-28,16.44,16.45,16.23,16.37,16800,15.78
2014-02-27,16.33,16.39,16.18,16.39,3900,15.80
2014-02-26,16.47,16.50,16.20,16.36,3900,15.77
2014-02-25,16.51,16.55,16.30,16.31,6500,15.73
2014-02-24,16.40,16.57,16.21,16.51,19100,15.92
2014-02-21,16.38,16.54,16.23,16.34,17500,15.75
2014-02-20,16.07,16.30,16.07,16.28,7800,15.70
2014-02-19,16.31,16.41,16.01,16.02,24300,15.45
2014-02-18,16.06,16.31,16.06,16.26,7400,15.68
2014-02-14,16.13,16.40,16.02,16.10,8300,15.52
2014-02-13,16.37,16.37,16.11,16.25,4600,15.67
2014-02-12,16.19,16.44,16.02,16.11,8700,15.53
2014-02-11,16.09,16.45,16.09,16.25,7900,15.67
2014-02-10,16.25,16.54,15.86,16.02,18800,15.45
2014-02-07,16.37,16.46,16.25,16.36,13500,15.77
2014-02-06,16.55,16.98,16.28,16.37,17300,15.78
2014-02-05,16.50,16.55,16.26,16.31,26900,15.73
2014-02-04,16.94,17.19,16.51,16.57,9100,15.98
2014-02-03,16.89,17.15,16.60,16.61,22400,16.01
2014-01-31,16.92,17.11,16.92,16.99,19800,16.38
2014-01-30,17.04,17.15,16.96,17.08,13200,16.47
2014-01-29,16.95,16.99,16.85,16.99,17100,16.38
2014-01-28,16.99,17.08,16.95,17.00,18800,16.39
2014-01-27,17.10,17.15,16.90,16.97,12100,16.36
2014-01-24,16.87,17.13,16.87,17.01,13100,16.40
2014-01-23,17.02,17.17,17.01,17.02,5200,16.41
2014-01-22,17.24,17.24,17.05,17.14,5700,16.53
2014-01-21,17.12,17.20,17.00,17.20,7300,16.58
