Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,21.82,22.00,21.65,21.80,41200,21.80
2014-11-17,22.05,22.15,21.80,21.99,32900,21.99
2014-11-14,21.75,21.95,21.54,21.91,24500,21.91
2014-11-13,21.71,21.98,21.71,21.75,44100,21.75
2014-11-12,21.78,21.96,21.70,21.76,34600,21.76
2014-11-11,22.00,22.02,21.80,21.81,30000,21.81
2014-11-10,21.65,21.97,21.65,21.91,46000,21.91
2014-11-07,21.58,21.78,21.58,21.70,17800,21.70
2014-11-06,21.67,21.68,21.51,21.56,12500,21.56
2014-11-05,21.78,21.83,21.67,21.68,15600,21.68
2014-11-04,21.61,21.79,21.57,21.75,16000,21.75
2014-11-03,21.55,21.83,21.40,21.65,35200,21.65
2014-10-31,21.55,21.55,21.39,21.55,10400,21.55
2014-10-30,21.35,21.54,21.30,21.46,15900,21.46
2014-10-29,21.55,21.55,21.32,21.39,13300,21.39
2014-10-28,21.54,21.62,21.15,21.39,52700,21.39
2014-10-27,21.42,21.55,21.15,21.55,36600,21.55
2014-10-24,21.53,21.65,21.43,21.46,22800,21.46
2014-10-23,21.41,21.55,21.25,21.51,38500,21.51
2014-10-22,21.10,21.70,20.87,21.45,46600,21.45
2014-10-21,20.91,21.21,20.67,21.06,58700,21.06
2014-10-20,20.91,21.22,20.65,20.78,98300,20.78
2014-10-17,21.23,21.45,20.71,20.92,116600,20.92
2014-10-16,21.53,21.72,21.01,21.08,86000,21.08
2014-10-15,21.51,21.89,21.51,21.75,13100,21.75
2014-10-14,21.69,21.83,21.57,21.62,11900,21.62
2014-10-13,21.80,21.80,21.54,21.55,10000,21.55
2014-10-10,21.75,21.81,21.51,21.80,5600,21.80
2014-10-09,21.77,21.90,21.58,21.60,14000,21.60
2014-10-08,21.66,21.96,21.55,21.85,23900,21.85
2014-10-07,21.74,21.74,21.50,21.61,9200,21.61
2014-10-06,21.69,21.74,21.67,21.68,17500,21.68
2014-10-03,21.54,21.60,21.45,21.60,11400,21.60
2014-10-02,21.60,21.75,21.45,21.51,16300,21.51
2014-10-01,21.71,21.71,21.50,21.52,23800,21.52
2014-09-30,21.62,21.85,21.58,21.75,19000,21.75
2014-09-29,21.50,21.70,21.48,21.67,18100,21.67
2014-09-26,21.67,21.75,21.47,21.71,21900,21.71
2014-09-25,21.83,21.83,21.51,21.76,17700,21.76
2014-09-24,21.84,21.94,21.76,21.82,13800,21.82
2014-09-23,21.91,22.00,21.79,21.89,13100,21.89
2014-09-22,21.87,22.03,21.79,21.98,12900,21.98
2014-09-19,22.10,22.10,21.87,21.87,13700,21.87
2014-09-18,21.84,22.00,21.65,21.89,22100,21.89
2014-09-17,21.55,21.85,21.55,21.82,24300,21.82
2014-09-16,21.63,21.87,21.53,21.69,28200,21.69
2014-09-15,21.96,21.96,21.62,21.79,27800,21.79
2014-09-12,21.96,21.97,21.78,21.86,17000,21.86
2014-09-11,21.77,22.00,21.77,22.00,21800,22.00
2014-09-10,21.75,21.94,21.62,21.77,29900,21.77
2014-09-09,21.79,21.96,21.50,21.86,35100,21.86
2014-09-08,22.03,22.12,21.65,21.87,16200,21.87
2014-09-05,22.07,22.07,21.88,21.93,25400,21.93
2014-09-04,21.95,22.08,21.82,21.92,23300,21.92
2014-09-03,22.17,22.24,22.01,22.04,36500,22.04
2014-09-02,22.05,22.13,21.91,22.13,20600,22.13
2014-08-29,22.08,22.08,21.96,22.06,21800,22.06
2014-08-28,21.96,22.06,21.96,22.04,28600,22.04
2014-08-27,21.83,21.99,21.83,21.94,39100,21.94
2014-08-26,22.11,22.25,22.05,22.12,36900,21.75
2014-08-25,22.48,22.48,22.07,22.16,44400,21.78
2014-08-22,21.97,22.46,21.97,22.43,21400,22.05
2014-08-21,21.98,22.15,21.98,22.04,44300,21.67
2014-08-20,22.01,22.15,21.96,22.05,55700,21.68
2014-08-19,22.02,22.14,21.85,22.01,23900,21.64
2014-08-18,22.17,22.17,21.94,22.11,52600,21.74
2014-08-15,21.91,22.11,21.90,22.04,31000,21.67
2014-08-14,22.09,22.13,21.90,21.99,39700,21.62
2014-08-13,22.00,22.33,22.00,22.33,26400,21.95
2014-08-12,22.08,22.08,21.97,21.97,29200,21.60
2014-08-11,21.95,22.14,21.95,21.97,10000,21.60
2014-08-08,21.92,22.12,21.87,21.94,23500,21.57
2014-08-07,22.00,22.00,21.88,22.00,54400,21.63
2014-08-06,21.82,22.07,21.80,21.85,15600,21.48
2014-08-05,22.24,22.30,21.89,21.91,47700,21.54
2014-08-04,22.03,22.30,22.00,22.23,35500,21.85
2014-08-01,21.99,22.07,21.80,21.97,10200,21.60
2014-07-31,22.00,22.12,21.70,21.99,32700,21.62
2014-07-30,22.15,22.19,22.02,22.02,23700,21.65
2014-07-29,22.25,22.25,21.93,21.93,18400,21.56
2014-07-28,22.30,22.30,22.00,22.02,30900,21.65
2014-07-25,22.03,22.25,22.03,22.25,15700,21.87
2014-07-24,22.15,22.22,22.00,22.04,26900,21.67
2014-07-23,22.32,22.32,22.04,22.23,11200,21.85
2014-07-22,21.98,22.28,21.94,22.21,16600,21.83
2014-07-21,22.05,22.20,21.86,22.00,22900,21.63
2014-07-18,22.00,22.04,21.78,22.02,31000,21.65
2014-07-17,22.31,22.48,21.85,21.86,23900,21.49
2014-07-16,22.27,22.48,22.23,22.28,28200,21.90
2014-07-15,22.28,22.48,22.21,22.43,19500,22.05
2014-07-14,22.41,22.62,22.20,22.23,28800,21.85
2014-07-11,22.45,22.70,22.20,22.53,26200,22.15
2014-07-10,22.28,22.51,22.20,22.26,40300,21.88
2014-07-09,22.23,22.36,22.06,22.36,41200,21.98
2014-07-08,22.22,22.25,22.15,22.24,18300,21.86
2014-07-07,22.23,22.23,22.09,22.18,6500,21.80
2014-07-03,22.15,22.20,21.92,22.15,10400,21.77
2014-07-02,22.05,22.21,22.05,22.15,21300,21.77
2014-07-01,22.23,22.26,21.99,22.20,28100,21.82
2014-06-30,22.12,22.31,21.93,22.19,47200,21.81
2014-06-27,22.04,22.26,22.04,22.26,32100,21.88
2014-06-26,22.00,22.20,21.94,22.15,29700,21.77
2014-06-25,21.76,22.05,21.64,22.03,38200,21.66
2014-06-24,21.77,21.90,21.60,21.77,23100,21.40
2014-06-23,21.81,21.94,21.70,21.89,13100,21.52
2014-06-20,21.73,21.98,21.56,21.90,34800,21.53
2014-06-19,21.60,21.76,21.50,21.67,13900,21.30
2014-06-18,21.42,21.74,21.42,21.62,32400,21.25
2014-06-17,21.51,21.60,21.17,21.51,29600,21.15
2014-06-16,21.53,21.61,21.20,21.51,26000,21.15
2014-06-13,21.49,21.69,21.15,21.48,51400,21.12
2014-06-12,21.74,21.74,21.46,21.57,42200,21.20
2014-06-11,21.54,21.68,21.54,21.58,10600,21.21
2014-06-10,21.65,21.88,21.41,21.67,33100,21.30
2014-06-09,21.51,21.73,21.47,21.70,39600,21.33
2014-06-06,21.60,21.84,21.55,21.71,22300,21.34
2014-06-05,21.64,21.82,21.50,21.72,30800,21.35
2014-06-04,21.75,21.81,21.31,21.64,42200,21.27
2014-06-03,21.77,22.19,21.77,21.93,19500,21.56
2014-06-02,21.63,21.97,21.49,21.97,30500,21.60
2014-05-30,21.38,21.79,21.31,21.50,110200,21.14
2014-05-29,22.23,22.41,21.43,21.73,126600,21.36
2014-05-28,22.19,22.37,22.19,22.26,40600,21.88
2014-05-27,22.43,22.52,22.31,22.46,26600,21.71
2014-05-23,22.66,22.66,22.42,22.47,17500,21.72
2014-05-22,22.45,22.60,22.41,22.55,24200,21.80
2014-05-21,22.55,22.58,22.40,22.58,29600,21.83
2014-05-20,22.47,22.67,22.36,22.55,35400,21.80
2014-05-19,22.41,22.69,22.41,22.61,20400,21.86
2014-05-16,22.40,22.50,22.32,22.49,16000,21.74
2014-05-15,22.36,22.48,22.35,22.44,24700,21.69
2014-05-14,22.41,22.48,22.26,22.48,34400,21.73
2014-05-13,22.29,22.50,22.26,22.29,34500,21.55
2014-05-12,22.25,22.51,22.14,22.18,48200,21.44
2014-05-09,21.91,22.26,21.91,22.24,45700,21.50
2014-05-08,22.00,22.19,21.87,21.97,63700,21.24
2014-05-07,21.47,21.99,21.43,21.90,43100,21.17
2014-05-06,21.56,21.81,21.34,21.57,54600,20.85
2014-05-05,22.11,22.29,21.68,21.70,60700,20.98
2014-05-02,22.41,22.41,22.11,22.12,38000,21.38
2014-05-01,22.30,22.40,22.11,22.40,55800,21.65
2014-04-30,22.30,22.43,22.19,22.42,59200,21.67
2014-04-29,22.20,22.44,22.19,22.30,26000,21.56
2014-04-28,22.25,22.45,22.20,22.26,32300,21.52
2014-04-25,22.20,22.43,22.20,22.27,6600,21.53
2014-04-24,22.10,22.40,22.10,22.24,14000,21.50
2014-04-23,22.07,22.27,22.07,22.14,15100,21.40
2014-04-22,22.12,22.36,22.04,22.11,23100,21.37
2014-04-21,22.25,22.36,22.06,22.18,31400,21.44
2014-04-17,21.86,22.45,21.83,22.33,143300,21.58
2014-04-16,22.19,22.19,21.77,21.91,39100,21.18
2014-04-15,22.08,22.19,21.78,22.02,16300,21.29
2014-04-14,21.95,22.20,21.76,21.86,21100,21.13
2014-04-11,21.85,22.00,21.77,21.79,13200,21.06
2014-04-10,21.99,21.99,21.69,21.89,40300,21.16
2014-04-09,21.74,21.95,21.34,21.83,32600,21.10
2014-04-08,21.90,22.00,21.59,21.60,29000,20.88
2014-04-07,22.18,22.25,21.87,21.88,19400,21.15
2014-04-04,21.95,22.30,21.95,22.25,72100,21.51
2014-04-03,21.93,22.30,21.93,21.98,44700,21.25
2014-04-02,21.84,22.15,21.77,22.03,38400,21.29
2014-04-01,21.94,21.99,21.57,21.85,38000,21.12
2014-03-31,21.48,21.76,21.43,21.76,21500,21.03
2014-03-28,21.56,21.58,21.36,21.47,24000,20.75
2014-03-27,21.68,21.70,21.50,21.57,25800,20.85
2014-03-26,21.12,21.70,21.12,21.70,20100,20.98
