Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,11.27,11.31,11.10,11.20,50800,11.20
2014-11-17,11.35,11.35,11.05,11.20,70800,11.20
2014-11-14,11.37,11.42,11.24,11.33,122100,11.33
2014-11-13,11.43,11.43,11.11,11.31,84500,11.31
2014-11-12,10.62,11.38,10.62,11.36,130700,11.36
2014-11-11,10.75,10.82,10.69,10.70,135100,10.70
2014-11-10,10.82,10.82,10.64,10.69,119000,10.69
2014-11-07,10.88,10.88,10.68,10.75,52200,10.75
2014-11-06,11.08,11.18,10.85,10.90,66200,10.90
2014-11-05,11.08,11.18,10.92,11.04,37700,11.04
2014-11-04,10.83,11.06,10.67,11.03,35600,11.03
2014-11-03,10.99,11.14,10.88,10.90,54300,10.90
2014-10-31,11.15,11.22,10.92,10.99,123100,10.99
2014-10-30,10.76,11.00,10.76,10.97,100900,10.97
2014-10-29,10.91,11.00,10.75,10.89,71000,10.82
2014-10-28,10.33,10.94,10.33,10.93,126300,10.85
2014-10-27,10.31,10.38,10.24,10.24,38300,10.17
2014-10-24,10.46,10.48,10.30,10.40,69600,10.33
2014-10-23,10.26,10.57,10.23,10.42,61900,10.35
2014-10-22,10.53,10.56,10.13,10.13,57100,10.06
2014-10-21,10.55,10.83,10.33,10.47,61200,10.40
2014-10-20,10.43,10.55,10.37,10.53,31900,10.46
2014-10-17,10.98,10.98,10.43,10.46,56100,10.39
2014-10-16,10.39,10.85,10.39,10.79,49300,10.72
2014-10-15,10.34,10.60,10.24,10.55,88000,10.48
2014-10-14,10.50,10.73,10.41,10.54,122600,10.47
2014-10-13,10.05,10.44,9.77,10.35,67800,10.28
2014-10-10,9.83,10.23,9.83,10.01,55100,9.94
2014-10-09,10.15,10.15,9.82,9.90,73100,9.83
2014-10-08,9.81,10.26,9.80,10.17,53400,10.10
2014-10-07,9.87,10.04,9.85,9.85,45300,9.78
2014-10-06,10.06,10.16,9.97,9.97,31900,9.90
2014-10-03,10.18,10.25,10.06,10.06,59500,9.99
2014-10-02,9.75,10.06,9.75,10.03,33700,9.96
2014-10-01,9.76,9.93,9.67,9.78,99300,9.71
2014-09-30,9.92,10.02,9.75,9.76,97800,9.69
2014-09-29,9.85,9.98,9.83,9.89,81700,9.82
2014-09-26,9.81,10.04,9.81,10.00,34600,9.93
2014-09-25,10.02,10.02,9.79,9.81,80900,9.74
2014-09-24,10.06,10.08,9.93,10.03,53900,9.96
2014-09-23,10.01,10.30,10.00,10.00,61600,9.93
2014-09-22,10.10,10.22,10.06,10.08,70400,10.01
2014-09-19,10.21,10.26,10.08,10.20,90800,10.13
2014-09-18,10.11,10.29,10.10,10.18,48700,10.11
2014-09-17,10.03,10.15,10.00,10.11,64400,10.04
2014-09-16,10.12,10.14,10.00,10.05,55600,9.98
2014-09-15,10.28,10.28,10.10,10.10,40500,10.03
2014-09-12,10.38,10.38,10.20,10.25,79800,10.18
2014-09-11,10.23,10.43,10.19,10.35,24600,10.28
2014-09-10,10.11,10.37,10.11,10.32,26600,10.25
2014-09-09,10.34,10.34,10.14,10.14,50900,10.07
2014-09-08,10.35,10.40,10.31,10.36,26600,10.29
2014-09-05,10.18,10.37,10.17,10.34,41300,10.27
2014-09-04,10.37,10.43,10.24,10.25,31800,10.18
2014-09-03,10.47,10.52,10.27,10.30,39900,10.23
2014-09-02,10.41,10.54,10.39,10.45,57300,10.38
2014-08-29,10.30,10.38,10.26,10.33,28600,10.26
2014-08-28,10.33,10.46,10.25,10.30,58000,10.23
2014-08-27,10.47,10.49,10.30,10.41,22400,10.34
2014-08-26,10.35,10.51,10.35,10.48,43800,10.41
2014-08-25,10.39,10.50,10.31,10.37,33800,10.30
2014-08-22,10.36,10.43,10.24,10.34,45000,10.27
2014-08-21,10.20,10.39,10.09,10.34,32800,10.27
2014-08-20,10.32,10.32,10.17,10.24,29100,10.17
2014-08-19,10.55,10.55,10.34,10.40,36700,10.33
2014-08-18,10.34,10.49,10.26,10.49,50700,10.42
2014-08-15,10.26,10.27,10.03,10.21,94600,10.14
2014-08-14,10.19,10.25,10.05,10.12,74800,10.05
2014-08-13,10.05,10.25,10.05,10.19,33700,10.12
2014-08-12,10.17,10.22,10.03,10.05,26100,9.98
2014-08-11,10.14,10.30,9.91,10.18,22700,10.11
2014-08-08,9.95,10.12,9.91,10.07,66000,10.00
2014-08-07,10.08,10.10,9.93,9.96,44000,9.89
2014-08-06,9.92,10.17,9.92,10.08,51400,10.01
2014-08-05,9.93,10.12,9.88,10.03,51200,9.96
2014-08-04,10.12,10.22,9.90,10.02,87000,9.95
2014-08-01,10.08,10.29,9.91,10.04,63200,9.97
2014-07-31,10.08,10.25,10.01,10.04,79800,9.97
2014-07-30,10.30,10.40,10.22,10.29,26300,10.14
2014-07-29,10.21,10.29,10.15,10.25,50500,10.11
2014-07-28,10.30,10.30,10.07,10.19,88800,10.05
2014-07-25,10.25,10.37,10.17,10.25,100300,10.11
2014-07-24,10.54,10.54,10.32,10.37,58200,10.22
2014-07-23,10.48,10.54,10.40,10.51,42300,10.36
2014-07-22,10.28,10.53,10.17,10.42,68400,10.27
2014-07-21,10.18,10.37,10.02,10.26,70900,10.12
2014-07-18,10.00,10.36,10.00,10.31,72800,10.16
2014-07-17,10.20,10.27,10.03,10.05,68600,9.91
2014-07-16,10.48,10.48,10.25,10.26,37300,10.12
2014-07-15,10.49,10.55,10.31,10.41,32900,10.26
2014-07-14,10.48,10.53,10.40,10.45,108600,10.30
2014-07-11,10.35,10.49,10.30,10.38,37100,10.23
2014-07-10,10.41,10.56,10.38,10.40,39000,10.25
2014-07-09,10.71,10.72,10.58,10.63,30800,10.48
2014-07-08,10.77,10.77,10.58,10.63,50900,10.48
2014-07-07,11.04,11.09,10.72,10.78,59900,10.63
