Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,28.83,29.18,28.71,28.96,1274700,28.96
2014-11-17,28.85,29.04,28.65,28.77,831600,28.77
2014-11-14,29.12,29.32,28.91,28.98,607800,28.98
2014-11-13,29.30,29.44,29.00,29.07,653900,29.07
2014-11-12,28.76,29.35,28.76,29.25,839600,29.25
2014-11-11,29.18,29.22,28.90,29.12,719000,29.12
2014-11-10,29.19,29.56,28.98,29.23,1232300,29.23
2014-11-07,28.97,29.13,28.58,29.12,1169100,29.12
2014-11-06,28.74,29.06,28.59,28.94,920400,28.94
2014-11-05,28.31,28.82,28.22,28.76,1543100,28.76
2014-11-04,28.78,28.89,28.16,28.18,1238900,28.18
2014-11-03,28.55,28.98,28.32,28.79,1886500,28.79
2014-10-31,27.21,28.95,27.06,28.57,3862500,28.57
2014-10-30,26.55,27.15,25.92,26.86,3522200,26.86
2014-10-29,27.94,27.97,27.45,27.64,1509900,27.64
2014-10-28,27.49,27.87,27.27,27.83,1090000,27.83
2014-10-27,27.06,27.31,26.94,27.28,771600,27.28
2014-10-24,27.09,27.25,26.81,27.23,602800,27.23
2014-10-23,27.15,27.31,26.80,27.15,1203500,27.15
2014-10-22,26.97,27.39,26.77,26.84,1269000,26.84
2014-10-21,26.72,27.16,26.48,26.98,1216200,26.98
2014-10-20,26.13,26.62,26.13,26.48,965300,26.48
2014-10-17,26.53,26.54,26.05,26.25,1561700,26.25
2014-10-16,25.38,26.34,25.27,26.29,2086500,26.29
2014-10-15,25.53,26.10,25.04,25.86,1580800,25.86
2014-10-14,25.24,26.09,25.18,25.97,1929200,25.97
2014-10-13,25.70,25.81,25.10,25.13,1352500,25.13
2014-10-10,26.17,26.27,25.70,25.70,1204600,25.70
2014-10-09,26.59,26.67,26.01,26.10,1091000,26.10
2014-10-08,26.41,26.71,26.14,26.66,956900,26.66
2014-10-07,26.97,26.97,26.38,26.39,1296500,26.39
2014-10-06,27.45,27.59,27.08,27.10,1621800,27.10
2014-10-03,27.25,27.69,27.14,27.38,1941100,27.38
2014-10-02,26.70,27.19,26.51,27.07,1390500,27.07
2014-10-01,26.51,26.98,26.51,26.63,2787800,26.63
2014-09-30,26.55,26.72,26.44,26.59,1814300,26.59
2014-09-29,26.31,26.66,26.21,26.59,1244400,26.59
2014-09-26,26.22,26.60,26.18,26.57,1261500,26.57
2014-09-25,26.50,26.57,26.13,26.26,1485300,26.26
2014-09-24,26.45,26.69,26.25,26.63,882700,26.63
2014-09-23,26.64,26.79,26.43,26.43,1471000,26.43
2014-09-22,27.23,27.30,26.74,26.81,1048900,26.81
2014-09-19,27.57,27.58,27.07,27.33,2191200,27.33
2014-09-18,27.82,27.97,27.48,27.49,1534100,27.49
2014-09-17,28.17,28.19,27.73,27.80,1310700,27.80
2014-09-16,27.93,28.15,27.75,28.06,1824500,28.06
2014-09-15,27.90,28.25,27.79,27.97,1050500,27.97
2014-09-12,28.21,28.23,27.85,27.95,951000,27.95
2014-09-11,27.90,28.23,27.78,28.20,1095800,28.20
2014-09-10,28.21,28.26,27.71,27.97,1309900,27.97
2014-09-09,28.29,28.39,28.08,28.25,1386600,28.25
2014-09-08,28.53,28.61,28.22,28.44,1243300,28.44
2014-09-05,28.72,28.94,28.49,28.63,1422500,28.63
2014-09-04,28.77,29.09,28.60,28.75,2450500,28.75
2014-09-03,28.95,29.21,28.77,28.80,2997100,28.80
2014-09-02,28.37,28.96,28.35,28.95,2903700,28.95
2014-08-29,27.78,28.53,27.75,28.40,1760700,28.40
2014-08-28,27.68,27.84,27.44,27.77,820700,27.77
2014-08-27,27.94,28.02,27.68,27.75,1052700,27.75
2014-08-26,28.17,28.21,27.70,27.90,1904300,27.90
2014-08-25,27.49,28.06,27.30,28.05,2334700,28.05
2014-08-22,27.26,27.42,27.08,27.30,1417600,27.30
2014-08-21,27.34,27.34,27.04,27.21,1682700,27.21
2014-08-20,27.01,27.34,26.82,27.32,2033600,27.32
2014-08-19,27.31,27.39,27.03,27.11,1097800,27.11
2014-08-18,26.66,27.30,26.56,27.23,1570000,27.23
2014-08-15,26.55,26.59,26.04,26.51,1320500,26.51
2014-08-14,26.26,26.55,26.17,26.46,1385200,26.46
2014-08-13,26.35,26.54,26.12,26.18,937200,26.18
2014-08-12,26.49,26.72,26.15,26.32,1070100,26.32
2014-08-11,26.62,26.83,26.35,26.60,1296400,26.60
2014-08-08,25.93,26.57,25.90,26.55,1649300,26.55
2014-08-07,26.18,26.25,25.82,25.98,1473900,25.98
2014-08-06,26.04,26.36,25.92,26.11,1017700,26.11
2014-08-05,26.31,26.53,26.04,26.15,1701200,26.15
2014-08-04,25.64,26.59,25.59,26.46,2721100,26.46
2014-08-01,26.08,26.30,25.16,25.57,5655200,25.57
2014-07-31,25.70,26.45,25.54,26.16,4501800,26.16
2014-07-30,25.54,25.60,25.22,25.33,2694100,25.33
2014-07-29,25.43,25.62,25.16,25.41,3079400,25.41
2014-07-28,25.45,25.65,25.15,25.48,1746500,25.48
2014-07-25,25.61,25.79,25.29,25.35,1318300,25.35
2014-07-24,25.85,25.90,25.64,25.71,1441700,25.71
2014-07-23,25.64,25.89,25.58,25.74,1290500,25.74
2014-07-22,25.85,25.97,25.50,25.55,1549200,25.55
2014-07-21,25.77,26.07,25.70,25.76,1059200,25.76
2014-07-18,25.78,26.03,25.53,25.88,1015700,25.88
2014-07-17,26.10,26.27,25.72,25.74,1180400,25.74
2014-07-16,26.75,27.00,26.11,26.25,2157900,26.25
2014-07-15,26.70,27.00,26.50,26.62,1296400,26.62
2014-07-14,26.82,26.94,26.55,26.73,1214600,26.73
2014-07-11,26.49,26.84,26.26,26.60,1718100,26.60
2014-07-10,26.59,26.90,26.35,26.57,1999400,26.57
2014-07-09,26.21,27.05,26.21,27.03,1444300,27.03
2014-07-08,26.98,26.98,26.46,26.49,2039400,26.49
2014-07-07,27.00,27.48,26.69,27.11,1670800,27.11
2014-07-03,26.73,27.07,26.62,27.06,618500,27.06
2014-07-02,26.95,27.10,26.70,26.73,939600,26.73
2014-07-01,26.81,27.38,26.74,27.02,2091500,27.02
2014-06-30,26.68,26.73,26.25,26.69,2048000,26.69
