Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,46.73,48.11,46.70,47.45,311600,47.45
2014-11-17,45.74,46.69,45.47,46.32,360900,46.32
2014-11-14,46.39,46.62,45.21,45.73,767300,45.73
2014-11-13,47.61,47.97,46.09,46.48,779300,46.48
2014-11-12,47.70,48.08,46.64,47.63,586200,47.63
2014-11-11,48.50,48.90,47.79,48.22,343000,48.22
2014-11-10,48.42,49.00,48.03,48.50,571900,48.50
2014-11-07,49.02,49.32,48.15,48.48,652800,48.48
2014-11-06,49.45,50.06,48.63,49.18,636400,49.18
2014-11-05,49.58,50.15,48.48,49.78,415400,49.78
2014-11-04,50.39,50.55,48.42,48.77,527900,48.77
2014-11-03,50.01,50.84,49.45,50.42,484000,50.42
2014-10-31,50.41,50.54,49.29,49.97,443200,49.97
2014-10-30,48.48,49.77,48.38,49.62,624000,49.62
2014-10-29,49.24,49.24,48.02,48.69,552800,48.69
2014-10-28,47.84,49.07,47.61,49.05,501000,49.05
2014-10-27,47.14,47.78,46.79,47.43,443200,47.43
2014-10-24,46.82,47.61,46.03,47.37,302300,47.37
2014-10-23,46.78,47.59,45.91,46.60,362800,46.60
2014-10-22,46.29,47.16,46.11,46.49,656300,46.49
2014-10-21,45.08,46.13,44.85,46.05,816900,46.05
2014-10-20,44.99,45.30,44.40,44.83,734900,44.83
2014-10-17,44.28,47.07,44.28,45.02,1241700,45.02
2014-10-16,41.19,44.89,40.95,43.57,1109500,43.57
2014-10-15,41.27,41.89,39.63,41.86,1036900,41.86
2014-10-14,43.18,43.54,41.93,42.08,898900,42.08
2014-10-13,43.57,44.44,43.11,43.14,570800,43.14
2014-10-10,43.97,44.84,42.91,43.53,1493700,43.53
2014-10-09,45.65,46.06,43.75,43.99,842200,43.99
2014-10-08,46.49,46.49,45.43,45.86,739900,45.86
2014-10-07,46.45,46.90,46.17,46.30,365800,46.30
2014-10-06,47.34,47.45,45.97,46.71,450800,46.71
2014-10-03,47.51,47.90,46.90,47.32,354900,47.32
2014-10-02,46.93,47.45,45.32,47.10,1362600,47.10
2014-10-01,47.08,47.77,46.51,46.82,945300,46.82
2014-09-30,48.07,48.51,46.89,47.05,506100,47.05
2014-09-29,47.48,48.14,47.41,48.01,192600,48.01
2014-09-26,47.78,48.17,47.52,47.97,274200,47.97
2014-09-25,49.23,49.38,47.71,47.75,239000,47.75
2014-09-24,48.80,49.55,48.53,49.43,481600,49.43
2014-09-23,48.74,49.57,48.50,48.74,437500,48.74
2014-09-22,50.52,50.57,49.06,49.07,460700,49.07
2014-09-19,50.90,51.01,50.05,50.57,548100,50.57
2014-09-18,51.59,51.66,50.46,50.68,272700,50.68
2014-09-17,51.20,51.50,50.89,51.29,188900,51.29
2014-09-16,50.68,51.33,50.64,51.19,269900,51.19
2014-09-15,51.17,51.57,50.36,50.61,329400,50.61
2014-09-12,52.56,52.78,51.11,51.13,264200,51.13
2014-09-11,51.93,52.88,51.74,52.63,174400,52.63
2014-09-10,52.32,52.35,51.90,51.97,223500,51.97
2014-09-09,52.72,52.72,52.17,52.29,457900,52.29
2014-09-08,53.00,53.29,52.67,52.98,355800,52.98
2014-09-05,52.13,53.20,51.53,53.00,235300,53.00
2014-09-04,53.23,53.47,52.09,52.24,255700,52.24
2014-09-03,53.08,53.47,52.84,53.30,204700,53.30
2014-09-02,54.50,54.66,52.54,52.88,441000,52.88
2014-08-29,54.14,54.53,53.86,54.39,592200,54.39
2014-08-28,53.14,54.16,53.14,54.03,319200,54.03
2014-08-27,54.37,54.67,53.65,53.94,333700,53.57
2014-08-26,54.13,54.59,53.67,53.95,406200,53.58
2014-08-25,55.00,55.00,53.88,53.92,313800,53.56
2014-08-22,54.17,54.62,53.67,54.49,377300,54.12
2014-08-21,54.57,54.94,53.82,53.98,316200,53.61
2014-08-20,53.78,54.87,53.66,54.65,241500,54.28
2014-08-19,53.91,54.32,53.27,53.88,353000,53.52
2014-08-18,53.87,54.39,53.50,54.01,299100,53.64
2014-08-15,53.80,53.88,52.84,53.34,224800,52.98
2014-08-14,53.36,53.50,53.06,53.37,248400,53.01
2014-08-13,52.59,53.48,52.53,53.20,396700,52.84
2014-08-12,51.85,52.98,51.58,52.71,385200,52.35
2014-08-11,53.08,53.49,51.62,51.74,270900,51.39
2014-08-08,51.20,52.90,51.20,52.76,321700,52.40
2014-08-07,50.39,52.33,50.02,51.55,1049900,51.20
2014-08-06,52.00,52.59,51.60,52.14,447100,51.79
2014-08-05,52.71,53.22,52.23,52.66,302100,52.30
2014-08-04,51.53,53.57,51.29,52.85,618400,52.49
2014-08-01,52.25,52.50,51.12,51.22,1023800,50.87
2014-07-31,52.23,52.71,51.95,52.25,633800,51.90
2014-07-30,54.00,54.34,52.40,52.70,769000,52.34
2014-07-29,54.48,54.70,53.64,54.00,717800,53.63
