Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,3.50,3.58,3.48,3.49,10500,3.49
2014-11-17,3.71,3.71,3.38,3.46,17000,3.46
2014-11-14,3.50,3.74,3.50,3.68,25200,3.68
2014-11-13,3.53,3.59,3.40,3.40,5800,3.40
2014-11-12,3.49,3.57,3.49,3.53,2500,3.53
2014-11-11,3.25,3.53,3.06,3.46,85800,3.46
2014-11-10,3.48,3.48,3.26,3.30,21800,3.30
2014-11-07,3.38,3.62,3.36,3.48,5200,3.48
2014-11-06,3.51,3.51,3.39,3.45,15200,3.45
2014-11-05,3.67,3.67,3.44,3.54,14100,3.54
2014-11-04,3.72,3.80,3.56,3.67,6500,3.67
2014-11-03,3.63,3.86,3.55,3.70,16200,3.70
2014-10-31,3.72,3.80,3.65,3.73,7400,3.73
2014-10-30,3.68,3.88,3.64,3.71,38600,3.71
2014-10-29,3.80,3.90,3.39,3.47,67300,3.47
2014-10-28,4.08,4.16,3.85,3.85,25000,3.85
2014-10-27,4.21,4.35,4.10,4.11,26600,4.11
2014-10-24,4.21,4.56,4.08,4.22,18000,4.22
2014-10-23,4.32,4.50,4.06,4.28,24400,4.28
2014-10-22,4.43,4.43,4.00,4.19,38100,4.19
2014-10-21,4.20,4.49,4.18,4.41,17100,4.41
2014-10-20,4.50,4.50,4.04,4.20,53500,4.20
2014-10-17,4.27,4.65,4.02,4.49,90500,4.49
2014-10-16,3.96,4.80,3.96,4.26,220700,4.26
2014-10-15,4.45,4.51,3.86,4.09,172400,4.09
2014-10-14,4.75,4.75,4.01,4.49,143000,4.49
2014-10-13,6.00,6.18,4.50,4.92,361100,4.92
2014-10-10,5.92,6.98,5.22,5.56,1302700,5.56
2014-10-09,4.48,5.25,4.40,5.10,891200,5.10
2014-10-08,3.62,4.46,3.62,4.45,233200,4.45
2014-10-07,3.56,3.74,3.38,3.62,13000,3.62
2014-10-06,3.83,3.89,3.78,3.85,7900,3.85
2014-10-03,3.75,3.96,3.70,3.74,6900,3.74
2014-10-02,3.95,3.95,3.51,3.70,19600,3.70
2014-10-01,4.21,4.67,3.90,4.05,84600,4.05
2014-09-30,3.70,4.21,3.70,4.09,44000,4.09
2014-09-29,3.49,3.75,3.49,3.70,21400,3.70
2014-09-26,3.35,3.54,3.27,3.48,22500,3.48
2014-09-25,3.75,3.76,3.15,3.35,106200,3.35
2014-09-24,3.27,4.85,3.27,3.57,708800,3.57
2014-09-23,3.03,3.03,3.03,3.03,200,3.03
2014-09-22,3.03,3.03,3.03,3.03,000,3.03
2014-09-19,3.04,3.14,3.02,3.03,6400,3.03
2014-09-18,3.09,3.09,3.05,3.05,1000,3.05
2014-09-17,3.13,3.13,3.06,3.06,500,3.06
2014-09-16,3.08,3.12,3.08,3.12,7900,3.12
2014-09-15,3.13,3.13,3.03,3.12,2300,3.12
2014-09-12,3.16,3.16,3.13,3.13,800,3.13
2014-09-11,3.02,3.18,3.02,3.15,2400,3.15
2014-09-10,3.14,3.18,3.04,3.18,4700,3.18
2014-09-09,3.05,3.09,3.02,3.09,9400,3.09
2014-09-08,3.00,3.08,3.00,3.08,700,3.08
2014-09-05,3.03,3.03,3.03,3.03,000,3.03
2014-09-04,3.01,3.03,3.01,3.03,3400,3.03
2014-09-03,3.06,3.14,3.03,3.03,3600,3.03
2014-09-02,3.00,3.10,3.00,3.04,5000,3.04
2014-08-29,3.09,3.09,3.06,3.07,2000,3.07
2014-08-28,3.10,3.10,3.10,3.10,200,3.10
2014-08-27,3.28,3.28,3.06,3.09,5400,3.09
2014-08-26,3.08,3.20,3.06,3.20,16000,3.20
2014-08-25,3.20,3.20,3.02,3.10,4900,3.10
2014-08-22,3.30,3.33,3.16,3.17,6700,3.17
2014-08-21,3.18,3.32,3.04,3.32,11100,3.32
2014-08-20,3.06,3.15,3.06,3.14,5400,3.14
2014-08-19,3.00,3.10,3.00,3.02,7100,3.02
2014-08-18,3.15,3.15,3.00,3.00,7200,3.00
2014-08-15,3.12,3.16,3.09,3.09,7200,3.09
2014-08-14,3.14,3.27,3.14,3.16,37800,3.16
2014-08-13,3.07,3.13,3.03,3.07,17400,3.07
2014-08-12,3.14,3.14,3.04,3.06,21100,3.06
2014-08-11,3.04,3.13,3.00,3.11,15400,3.11
2014-08-08,3.15,3.15,3.00,3.04,7100,3.04
2014-08-07,3.05,3.14,3.03,3.11,3300,3.11
2014-08-06,3.13,3.13,3.00,3.09,8000,3.09
2014-08-05,3.06,3.13,3.05,3.10,7200,3.10
2014-08-04,3.00,3.15,3.00,3.06,26200,3.06
2014-08-01,3.00,3.03,3.00,3.02,11500,3.02
2014-07-31,3.00,3.00,3.00,3.00,1200,3.00
2014-07-30,3.01,3.02,3.00,3.00,2000,3.00
2014-07-29,3.03,3.03,3.00,3.02,4700,3.02
2014-07-28,3.03,3.03,3.00,3.00,800,3.00
2014-07-25,3.02,3.09,3.00,3.09,7700,3.09
2014-07-24,3.00,3.11,3.00,3.04,1600,3.04
2014-07-23,3.00,3.13,3.00,3.12,4000,3.12
2014-07-22,3.14,3.14,3.00,3.06,5800,3.06
2014-07-21,3.15,3.15,3.05,3.12,15300,3.12
2014-07-18,2.98,3.07,2.98,3.06,10400,3.06
2014-07-17,2.92,2.92,2.92,2.92,3300,2.92
2014-07-16,3.04,3.04,2.90,2.94,1700,2.94
2014-07-15,3.01,3.05,2.92,3.00,5400,3.00
2014-07-14,3.00,3.06,3.00,3.06,1100,3.06
2014-07-11,2.90,3.07,2.90,3.07,200,3.07
2014-07-10,2.97,2.97,2.89,2.89,3800,2.89
