Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,73.62,73.75,72.75,73.62,883700,73.62
2014-11-17,72.70,73.69,72.65,73.61,1267000,73.61
2014-11-14,72.81,73.25,72.52,72.84,364800,72.84
2014-11-13,72.39,73.17,72.39,72.85,598100,72.85
2014-11-12,72.51,72.98,72.46,72.77,725900,72.77
2014-11-11,72.70,72.73,72.11,72.57,317200,72.57
2014-11-10,72.75,72.86,72.29,72.74,470200,72.74
2014-11-07,72.26,72.94,72.26,72.54,853000,72.54
2014-11-06,70.28,71.70,70.05,71.64,523100,71.64
2014-11-05,71.26,71.84,70.10,70.40,1162100,70.40
2014-11-04,71.40,71.59,70.57,70.70,806500,70.70
2014-11-03,72.60,72.96,71.28,71.70,862600,71.70
2014-10-31,72.74,72.80,72.22,72.35,867800,72.35
2014-10-30,71.21,72.12,71.10,72.02,583800,72.02
2014-10-29,69.99,73.00,69.86,71.48,2297800,71.48
2014-10-28,69.41,70.28,69.16,70.06,706800,69.86
2014-10-27,69.20,69.50,68.70,69.41,557000,69.22
2014-10-24,68.82,69.59,68.29,69.45,349800,69.26
2014-10-23,69.69,70.41,68.38,68.64,942000,68.45
2014-10-22,68.97,70.09,68.84,68.88,579100,68.69
2014-10-21,68.06,69.10,67.77,69.01,710700,68.82
2014-10-20,66.70,67.96,66.63,67.63,767000,67.44
2014-10-17,66.21,66.95,65.59,66.77,910300,66.58
2014-10-16,63.80,65.83,63.39,65.61,833300,65.43
2014-10-15,65.19,65.85,64.17,64.69,1292700,64.51
2014-10-14,64.97,66.03,64.97,65.86,796800,65.68
2014-10-13,64.90,65.60,64.64,64.73,946800,64.55
2014-10-10,66.25,66.44,64.82,64.83,1120500,64.65
2014-10-09,67.23,67.73,66.33,66.51,716200,66.32
2014-10-08,66.73,67.66,66.44,67.46,825200,67.27
2014-10-07,67.33,68.19,66.66,66.66,906700,66.47
2014-10-06,67.67,68.14,67.33,67.63,907600,67.44
2014-10-03,68.19,68.70,67.73,68.00,1228700,67.81
2014-10-02,67.82,68.47,66.50,67.88,1000800,67.69
2014-10-01,69.94,69.97,67.54,67.86,1109500,67.67
2014-09-30,70.15,70.30,69.57,70.09,596900,69.89
2014-09-29,70.25,70.77,69.61,70.19,429400,69.99
2014-09-26,70.17,70.64,69.77,70.59,489300,70.39
2014-09-25,70.65,70.95,69.77,70.20,598400,70.00
2014-09-24,70.16,70.89,70.02,70.73,442100,70.53
2014-09-23,69.67,70.21,69.57,70.01,618300,69.82
2014-09-22,70.38,70.38,69.56,70.06,635800,69.86
2014-09-19,71.20,71.42,70.42,70.53,1081100,70.33
2014-09-18,70.86,71.51,70.71,71.00,500200,70.80
2014-09-17,70.71,71.13,70.47,70.98,508000,70.78
2014-09-16,69.94,71.15,69.69,70.87,510000,70.67
2014-09-15,70.66,70.75,70.12,70.36,752400,70.16
2014-09-12,70.50,70.72,70.27,70.50,691400,70.30
2014-09-11,70.10,70.69,70.04,70.50,550700,70.30
2014-09-10,70.52,70.68,70.06,70.30,516600,70.10
2014-09-09,71.00,71.04,69.96,70.41,854600,70.21
2014-09-08,71.36,71.73,70.87,71.26,788400,71.06
2014-09-05,72.01,72.29,71.55,71.83,819800,71.63
2014-09-04,71.98,72.55,71.90,72.27,587100,72.07
2014-09-03,71.96,72.40,71.67,71.88,1032000,71.68
2014-09-02,72.08,72.08,71.46,71.85,1137400,71.65
2014-08-29,71.75,71.82,71.14,71.57,1264600,71.37
2014-08-28,70.90,71.75,70.53,71.55,1111300,71.35
2014-08-27,71.00,71.81,70.99,71.32,1124500,71.12
2014-08-26,70.43,71.41,70.36,70.87,1236400,70.67
2014-08-25,70.16,70.53,69.98,70.50,1008500,70.30
2014-08-22,69.66,70.43,69.43,69.92,2394300,69.73
2014-08-21,70.29,70.38,69.41,69.67,1372100,69.48
2014-08-20,71.71,71.75,69.00,70.52,3826500,70.32
