Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,62.61,63.24,62.57,62.66,152400,62.66
2014-11-17,62.23,62.74,62.23,62.53,96000,62.53
2014-11-14,62.78,63.05,62.07,62.51,116000,62.51
2014-11-13,62.93,63.29,62.53,62.73,306900,62.73
2014-11-12,62.58,63.50,62.58,63.22,109000,63.22
2014-11-11,63.10,63.30,62.50,62.94,144700,62.94
2014-11-10,63.07,63.34,62.51,62.95,139600,62.95
2014-11-07,62.32,63.14,62.27,62.96,172900,62.96
2014-11-06,62.21,62.60,62.04,62.59,120800,62.59
2014-11-05,62.34,62.51,61.72,62.23,135600,62.23
2014-11-04,61.60,61.99,61.23,61.88,109500,61.88
2014-11-03,61.84,61.89,61.24,61.72,129700,61.72
2014-10-31,62.01,62.25,61.30,61.73,149900,61.73
2014-10-30,60.92,61.64,60.59,61.37,85000,61.37
2014-10-29,61.28,61.95,60.61,60.98,182300,60.98
2014-10-28,59.89,60.94,59.69,60.92,165500,60.92
2014-10-27,59.66,59.72,59.17,59.50,83800,59.50
2014-10-24,59.71,59.90,59.15,59.78,85100,59.78
2014-10-23,59.19,59.90,59.19,59.61,129500,59.61
2014-10-22,59.31,59.76,58.73,58.79,127400,58.79
2014-10-21,58.51,59.56,58.15,59.30,146100,59.30
2014-10-20,57.91,58.16,57.45,58.07,121500,58.07
2014-10-17,57.92,58.19,57.53,57.99,186300,57.99
2014-10-16,56.07,57.55,55.82,57.42,239700,57.42
2014-10-15,56.02,57.18,55.77,56.86,170800,56.86
2014-10-14,56.08,57.14,56.08,56.79,145100,56.79
2014-10-13,57.10,57.17,55.86,56.15,221700,56.15
2014-10-10,58.00,58.18,57.02,57.09,169700,57.09
2014-10-09,58.97,59.03,57.77,57.99,126000,57.99
2014-10-08,57.84,59.15,57.84,59.10,163400,59.10
2014-10-07,58.52,58.52,57.73,57.80,144900,57.80
2014-10-06,59.53,59.59,58.72,58.88,124100,58.88
2014-10-03,59.20,59.66,59.07,59.25,176800,59.25
2014-10-02,58.51,59.21,58.34,58.95,183000,58.95
2014-10-01,59.06,59.43,58.29,58.73,297900,58.73
2014-09-30,59.60,59.60,58.93,59.23,221100,59.23
2014-09-29,59.46,59.78,59.13,59.69,110900,59.69
2014-09-26,59.49,59.86,59.02,59.81,249600,59.81
2014-09-25,59.21,59.60,58.80,59.37,302500,59.37
2014-09-24,59.37,59.88,58.94,59.66,263400,59.46
2014-09-23,59.49,59.90,59.21,59.55,259500,59.35
2014-09-22,58.38,60.42,58.18,59.70,542000,59.50
2014-09-19,58.91,58.92,57.35,57.66,423600,57.47
2014-09-18,59.00,59.04,58.54,58.96,147200,58.76
2014-09-17,59.05,59.47,58.50,58.95,133400,58.75
2014-09-16,58.99,59.50,58.75,59.16,200400,58.96
2014-09-15,59.49,59.55,58.97,59.24,127200,59.04
2014-09-12,59.87,59.91,59.27,59.61,172900,59.41
2014-09-11,59.45,59.98,59.44,59.89,166400,59.69
2014-09-10,60.27,60.64,59.65,59.72,219000,59.52
2014-09-09,60.82,60.82,60.14,60.40,114100,60.20
2014-09-08,61.02,61.56,60.66,60.99,125100,60.79
2014-09-05,61.35,61.70,61.06,61.32,114400,61.11
2014-09-04,61.19,61.93,61.00,61.54,178400,61.33
2014-09-03,62.21,62.27,61.16,61.30,129800,61.09
2014-09-02,61.53,62.39,61.53,61.69,111700,61.48
2014-08-29,61.60,61.73,61.30,61.53,121400,61.32
2014-08-28,61.48,62.06,61.32,61.61,105900,61.40
2014-08-27,62.03,62.30,61.67,62.02,145200,61.81
2014-08-26,62.37,62.67,62.09,62.19,114300,61.98
2014-08-25,62.83,63.19,62.33,62.36,154100,62.15
