Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,6.97,7.19,6.90,7.04,677600,7.04
2014-11-17,7.35,7.37,6.90,6.92,939900,6.92
2014-11-14,6.90,7.36,6.78,7.35,642200,7.35
2014-11-13,7.47,7.47,6.76,6.78,1217000,6.78
2014-11-12,7.61,7.69,7.49,7.53,373500,7.53
2014-11-11,7.74,7.85,7.45,7.64,643500,7.64
2014-11-10,7.91,8.41,7.62,7.74,727700,7.74
2014-11-07,7.43,7.96,7.43,7.92,521100,7.92
2014-11-06,7.31,7.80,7.22,7.43,759300,7.43
2014-11-05,7.69,7.85,7.22,7.25,813500,7.25
2014-11-04,8.19,8.20,7.54,7.73,1014800,7.73
2014-11-03,8.74,8.74,8.28,8.28,608500,8.28
2014-10-31,9.12,9.12,8.53,8.78,1051400,8.78
2014-10-30,8.60,8.99,8.50,8.89,821900,8.89
2014-10-29,8.66,8.97,8.43,8.94,1069700,8.94
2014-10-28,8.15,8.82,8.08,8.68,1052400,8.68
2014-10-27,7.78,8.14,7.67,8.02,639800,8.02
2014-10-24,7.82,7.98,7.35,7.90,885500,7.90
2014-10-23,7.89,8.06,7.72,7.75,625000,7.75
2014-10-22,8.14,8.40,7.72,7.85,876000,7.85
2014-10-21,7.87,8.38,7.81,8.04,1781800,8.04
2014-10-20,7.10,7.71,7.10,7.68,1215900,7.68
2014-10-17,7.40,7.79,6.91,6.96,1223800,6.96
2014-10-16,6.29,7.34,6.25,7.25,1366000,7.25
2014-10-15,6.17,6.56,5.79,6.38,1319100,6.38
2014-10-14,6.75,6.83,6.25,6.33,1362400,6.33
2014-10-13,7.03,7.37,6.48,6.50,1247800,6.50
2014-10-10,7.45,7.62,7.00,7.03,1354500,7.03
2014-10-09,7.80,8.01,6.97,7.19,1845000,7.19
2014-10-08,8.00,8.07,7.29,7.48,1303700,7.48
2014-10-07,8.77,8.77,7.64,7.85,1394300,7.85
2014-10-06,8.95,8.95,8.36,8.49,1054800,8.49
2014-10-03,9.05,9.24,8.76,8.95,618700,8.95
2014-10-02,8.79,9.22,8.60,9.03,1254100,9.03
2014-10-01,8.81,8.87,8.66,8.76,687000,8.76
2014-09-30,8.96,8.96,8.70,8.85,822700,8.85
2014-09-29,9.02,9.17,8.80,8.95,576900,8.95
2014-09-26,8.78,9.20,8.71,9.15,864600,9.15
2014-09-25,9.12,9.20,8.66,8.79,789800,8.79
2014-09-24,9.20,9.41,9.01,9.16,621600,9.16
2014-09-23,9.37,9.54,9.10,9.17,777600,9.17
2014-09-22,9.91,10.00,9.14,9.39,1486300,9.39
