Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,13.45,13.56,13.45,13.48,6700,13.48
2014-11-17,13.51,13.56,13.44,13.45,11900,13.45
2014-11-14,13.50,13.54,13.50,13.51,8300,13.51
2014-11-13,13.55,13.59,13.50,13.50,28200,13.50
2014-11-12,13.53,13.61,13.51,13.54,8000,13.54
2014-11-11,13.51,13.61,13.51,13.61,16200,13.55
2014-11-10,13.62,13.62,13.52,13.54,15500,13.48
2014-11-07,13.54,13.65,13.53,13.59,9300,13.53
2014-11-06,13.57,13.62,13.54,13.56,13800,13.50
2014-11-05,13.51,13.60,13.51,13.59,12100,13.53
2014-11-04,13.51,13.56,13.51,13.52,5600,13.46
2014-11-03,13.58,13.65,13.53,13.53,7800,13.47
2014-10-31,13.72,13.72,13.53,13.61,19300,13.55
2014-10-30,13.62,13.66,13.48,13.65,9300,13.59
2014-10-29,13.61,13.63,13.61,13.62,2200,13.56
2014-10-28,13.66,13.66,13.57,13.64,8700,13.58
2014-10-27,13.56,13.63,13.55,13.57,18900,13.51
2014-10-24,13.55,13.70,13.55,13.58,23500,13.52
2014-10-23,13.65,13.67,13.51,13.51,10900,13.45
2014-10-22,13.59,13.65,13.55,13.59,17800,13.53
2014-10-21,13.56,13.64,13.56,13.59,18400,13.53
2014-10-20,13.59,13.63,13.54,13.55,16200,13.49
2014-10-17,13.64,13.65,13.59,13.62,6900,13.56
2014-10-16,13.56,13.66,13.52,13.63,12900,13.57
2014-10-15,13.59,13.70,13.59,13.61,27700,13.55
2014-10-14,13.60,13.75,13.56,13.74,14700,13.62
2014-10-13,13.72,13.72,13.59,13.60,9100,13.48
2014-10-10,13.57,13.75,13.57,13.62,13500,13.50
2014-10-09,13.55,13.70,13.55,13.58,21200,13.47
2014-10-08,13.59,13.61,13.51,13.56,31000,13.45
2014-10-07,13.53,13.59,13.53,13.54,49400,13.43
2014-10-06,13.59,13.65,13.52,13.54,14400,13.43
2014-10-03,13.56,13.61,13.49,13.59,11800,13.47
2014-10-02,13.55,13.67,13.52,13.63,8700,13.51
2014-10-01,13.55,13.62,13.49,13.62,8400,13.50
2014-09-30,13.49,13.56,13.47,13.50,16500,13.39
2014-09-29,13.49,13.53,13.49,13.51,10800,13.40
2014-09-26,13.60,13.60,13.47,13.54,14100,13.43
2014-09-25,13.56,13.60,13.49,13.56,11300,13.45
2014-09-24,13.53,13.59,13.47,13.47,35700,13.36
2014-09-23,13.52,13.56,13.48,13.51,8300,13.40
2014-09-22,13.46,13.50,13.45,13.48,17400,13.37
2014-09-19,13.46,13.51,13.45,13.45,6000,13.34
2014-09-18,13.48,13.59,13.46,13.48,15800,13.37
2014-09-17,13.48,13.57,13.46,13.57,8600,13.46
2014-09-16,13.45,13.55,13.45,13.51,13800,13.40
2014-09-15,13.53,13.56,13.45,13.45,7400,13.34
2014-09-12,13.51,13.54,13.48,13.53,8900,13.42
2014-09-11,13.52,13.59,13.49,13.55,6600,13.44
2014-09-10,13.44,13.54,13.44,13.53,18200,13.42
2014-09-09,13.48,13.62,13.40,13.56,28000,13.39
2014-09-08,13.54,13.65,13.50,13.50,22400,13.33
2014-09-05,13.61,13.71,13.54,13.55,25000,13.38
2014-09-04,13.61,13.69,13.60,13.62,11600,13.45
2014-09-03,13.65,13.69,13.60,13.66,17400,13.49
2014-09-02,13.62,13.68,13.57,13.64,25400,13.47
2014-08-29,13.70,13.72,13.62,13.69,15400,13.52
2014-08-28,13.65,13.70,13.61,13.64,10300,13.47
2014-08-27,13.62,13.71,13.59,13.63,17300,13.46
2014-08-26,13.74,13.74,13.57,13.61,29200,13.44
2014-08-25,13.74,13.78,13.60,13.65,41300,13.48
2014-08-22,13.70,13.79,13.68,13.79,10800,13.61
2014-08-21,13.80,13.80,13.70,13.77,39900,13.60
2014-08-20,13.82,13.85,13.77,13.78,8300,13.60
