Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,49.82,50.12,49.14,49.26,642800,49.26
2014-11-17,49.89,50.03,49.63,49.76,464200,49.76
2014-11-14,50.27,50.50,49.99,50.04,314900,50.04
2014-11-13,50.56,50.69,50.21,50.29,307500,50.29
2014-11-12,50.00,50.73,50.00,50.46,422200,50.46
2014-11-11,50.33,50.50,50.12,50.22,478900,50.22
2014-11-10,49.67,50.37,49.63,50.34,492300,50.34
2014-11-07,49.64,50.14,49.45,49.71,481900,49.71
2014-11-06,49.35,49.84,49.21,49.58,397500,49.58
2014-11-05,49.49,49.69,49.08,49.20,540000,49.20
2014-11-04,49.54,49.71,49.05,49.20,678500,49.20
2014-11-03,49.80,49.84,49.43,49.59,553600,49.59
2014-10-31,50.26,50.48,49.66,49.90,387900,49.90
2014-10-30,49.31,50.11,49.28,49.92,249400,49.79
2014-10-29,49.65,49.83,49.09,49.38,372000,49.25
2014-10-28,49.40,49.76,49.30,49.71,376700,49.58
2014-10-27,48.97,49.18,48.61,49.15,550300,49.02
2014-10-24,49.46,49.46,48.93,48.99,261600,48.86
2014-10-23,49.34,49.67,49.28,49.38,574200,49.25
2014-10-22,49.10,49.14,48.05,48.71,553900,48.58
2014-10-21,47.64,48.38,47.64,48.37,724700,48.24
2014-10-20,46.90,47.54,46.63,47.54,474900,47.42
2014-10-17,46.69,47.19,46.46,47.05,315600,46.93
2014-10-16,45.44,46.42,45.29,46.28,616400,46.16
2014-10-15,45.62,46.21,45.03,45.89,662000,45.77
2014-10-14,46.34,46.50,45.82,46.19,724200,46.07
2014-10-13,46.68,46.97,45.96,46.00,743600,45.88
2014-10-10,47.40,47.56,46.72,46.74,659200,46.62
2014-10-09,47.98,48.17,47.12,47.29,533000,47.17
2014-10-08,47.60,48.14,47.44,48.06,424200,47.93
2014-10-07,47.86,48.00,47.42,47.56,481000,47.44
2014-10-06,48.39,48.66,47.75,48.14,530800,48.01
2014-10-03,48.27,48.40,48.02,48.26,331700,48.13
2014-10-02,47.66,48.24,47.63,47.98,503200,47.86
2014-10-01,48.50,48.74,47.29,47.63,981800,47.51
2014-09-30,48.52,48.78,48.36,48.52,980900,48.39
2014-09-29,48.11,48.62,47.93,48.52,620500,48.39
2014-09-26,48.74,48.89,48.42,48.55,363300,48.42
2014-09-25,48.88,48.97,48.50,48.70,389200,48.57
2014-09-24,48.81,49.23,48.61,49.04,400100,48.91
2014-09-23,48.99,49.35,48.88,48.95,294200,48.82
2014-09-22,49.99,49.99,49.16,49.27,435500,49.14
2014-09-19,50.50,50.61,49.89,49.99,637900,49.86
2014-09-18,49.89,50.93,49.51,50.45,540300,50.32
2014-09-17,49.61,49.95,49.50,49.73,391000,49.60
2014-09-16,49.76,49.91,49.30,49.69,750900,49.56
2014-09-15,49.87,49.99,49.71,49.91,373500,49.78
2014-09-12,49.99,50.08,49.49,49.85,290900,49.72
2014-09-11,49.50,49.98,49.42,49.93,195600,49.80
2014-09-10,49.57,49.80,49.37,49.73,156000,49.60
2014-09-09,49.66,49.70,49.36,49.54,250200,49.41
2014-09-08,49.88,50.02,49.56,49.82,199900,49.69
2014-09-05,49.78,50.12,49.61,49.95,187900,49.82
2014-09-04,49.65,50.34,49.65,50.00,343100,49.87
2014-09-03,50.11,50.13,49.54,49.70,326200,49.57
2014-09-02,49.24,50.17,49.24,50.05,794200,49.92
2014-08-29,48.87,49.13,48.72,49.06,477300,48.93
2014-08-28,48.88,49.00,48.70,48.87,214100,48.74
2014-08-27,48.87,49.19,48.84,48.94,231300,48.81
2014-08-26,48.89,48.95,48.66,48.75,345000,48.62
2014-08-25,48.78,48.80,48.52,48.67,185800,48.54
2014-08-22,48.63,48.76,48.26,48.57,258700,48.44
2014-08-21,49.02,49.15,48.69,48.74,344900,48.61
2014-08-20,48.97,49.30,48.85,49.15,219900,49.02
2014-08-19,49.00,49.18,48.86,49.06,220300,48.93
2014-08-18,48.62,49.16,48.36,49.04,437700,48.91
2014-08-15,48.41,48.54,47.87,48.27,162500,48.14
2014-08-14,48.05,48.37,47.88,48.31,166400,48.18
2014-08-13,47.92,48.27,47.85,47.91,169200,47.79
2014-08-12,47.63,47.88,47.53,47.73,198500,47.61
2014-08-11,48.00,48.19,47.68,47.73,230900,47.61
2014-08-08,47.07,47.95,46.95,47.87,226400,47.75
2014-08-07,47.30,47.38,46.94,47.07,243400,46.95
