Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,1.43,1.47,1.41,1.45,221800,1.45
2014-11-17,1.43,1.49,1.42,1.44,443800,1.44
2014-11-14,1.49,1.52,1.42,1.45,1190100,1.45
2014-11-13,1.58,1.59,1.56,1.58,301500,1.58
2014-11-12,1.59,1.59,1.57,1.58,208200,1.58
2014-11-11,1.60,1.60,1.56,1.58,205600,1.58
2014-11-10,1.57,1.60,1.56,1.59,325800,1.59
2014-11-07,1.55,1.55,1.50,1.53,95600,1.53
2014-11-06,1.51,1.52,1.49,1.51,164900,1.51
2014-11-05,1.51,1.55,1.49,1.52,292400,1.52
2014-11-04,1.53,1.56,1.50,1.50,347000,1.50
2014-11-03,1.56,1.56,1.54,1.55,190700,1.55
2014-10-31,1.58,1.58,1.55,1.56,230700,1.56
2014-10-30,1.58,1.59,1.55,1.56,238000,1.56
2014-10-29,1.61,1.61,1.57,1.59,91700,1.59
2014-10-28,1.56,1.60,1.55,1.60,157300,1.60
2014-10-27,1.58,1.58,1.54,1.56,304400,1.56
2014-10-24,1.65,1.65,1.55,1.55,285700,1.55
2014-10-23,1.50,1.65,1.50,1.64,3187500,1.64
2014-10-22,1.64,1.65,1.61,1.61,228900,1.61
2014-10-21,1.63,1.69,1.60,1.62,382600,1.62
2014-10-20,1.63,1.69,1.61,1.61,541200,1.61
2014-10-17,1.63,1.65,1.61,1.64,377800,1.64
2014-10-16,1.59,1.63,1.58,1.61,312300,1.61
2014-10-15,1.59,1.64,1.59,1.63,338900,1.63
2014-10-14,1.65,1.65,1.58,1.61,275000,1.61
2014-10-13,1.63,1.65,1.62,1.63,344800,1.63
2014-10-10,1.63,1.65,1.63,1.65,122700,1.65
2014-10-09,1.62,1.66,1.61,1.66,176800,1.66
2014-10-08,1.62,1.63,1.58,1.62,625600,1.62
2014-10-07,1.67,1.67,1.63,1.63,249000,1.63
2014-10-06,1.65,1.70,1.63,1.69,148100,1.69
2014-10-03,1.64,1.69,1.64,1.65,244000,1.65
2014-10-02,1.67,1.69,1.63,1.65,327300,1.65
2014-10-01,1.72,1.74,1.66,1.66,454300,1.66
2014-09-30,1.80,1.90,1.70,1.72,1798900,1.72
2014-09-29,1.68,1.71,1.62,1.69,300300,1.69
2014-09-26,1.70,1.70,1.67,1.68,202100,1.68
2014-09-25,1.71,1.71,1.66,1.70,388200,1.70
2014-09-24,1.72,1.74,1.69,1.71,164000,1.71
2014-09-23,1.69,1.72,1.68,1.70,107500,1.70
2014-09-22,1.68,1.70,1.68,1.69,151100,1.69
2014-09-19,1.74,1.75,1.65,1.65,568800,1.65
2014-09-18,1.71,1.80,1.68,1.71,1023000,1.71
2014-09-17,1.62,1.71,1.61,1.68,522800,1.68
2014-09-16,1.63,1.66,1.61,1.63,110700,1.63
2014-09-15,1.65,1.66,1.57,1.63,289600,1.63
2014-09-12,1.67,1.67,1.63,1.65,403700,1.65
2014-09-11,1.62,1.67,1.62,1.66,653900,1.66
2014-09-10,1.58,1.62,1.58,1.61,376000,1.61
2014-09-09,1.58,1.59,1.53,1.58,235900,1.58
2014-09-08,1.57,1.61,1.52,1.56,204000,1.56
2014-09-05,1.56,1.56,1.50,1.56,243500,1.56
2014-09-04,1.58,1.60,1.55,1.56,143400,1.56
2014-09-03,1.59,1.62,1.56,1.56,179100,1.56
2014-09-02,1.64,1.72,1.58,1.61,768500,1.61
2014-08-29,1.57,1.65,1.56,1.62,313800,1.62
2014-08-28,1.60,1.63,1.56,1.57,249900,1.57
2014-08-27,1.62,1.63,1.57,1.63,225800,1.63
2014-08-26,1.59,1.61,1.54,1.60,222600,1.60
2014-08-25,1.58,1.62,1.57,1.57,189400,1.57
2014-08-22,1.56,1.61,1.55,1.58,141700,1.58
2014-08-21,1.57,1.63,1.54,1.57,228300,1.57
2014-08-20,1.56,1.57,1.54,1.56,194100,1.56
2014-08-19,1.64,1.65,1.55,1.58,276000,1.58
2014-08-18,1.65,1.65,1.60,1.62,380000,1.62
2014-08-15,1.55,1.67,1.53,1.62,1101000,1.62
2014-08-14,1.47,1.50,1.46,1.48,318200,1.48
2014-08-13,1.47,1.50,1.47,1.48,319700,1.48
2014-08-12,1.50,1.52,1.48,1.50,174800,1.50
2014-08-11,1.54,1.55,1.48,1.50,254600,1.50
2014-08-08,1.53,1.55,1.50,1.52,92500,1.52
2014-08-07,1.54,1.55,1.51,1.51,102300,1.51
2014-08-06,1.59,1.60,1.52,1.53,206300,1.53
2014-08-05,1.56,1.61,1.56,1.59,140100,1.59
2014-08-04,1.49,1.60,1.49,1.56,363800,1.56
2014-08-01,1.48,1.51,1.46,1.50,488600,1.50
2014-07-31,1.53,1.56,1.45,1.48,593200,1.48
2014-07-30,1.59,1.61,1.53,1.55,570200,1.55
2014-07-29,1.61,1.62,1.58,1.58,197400,1.58
2014-07-28,1.65,1.66,1.60,1.61,170200,1.61
2014-07-25,1.64,1.66,1.61,1.65,142200,1.65
2014-07-24,1.63,1.66,1.63,1.65,116300,1.65
2014-07-23,1.65,1.68,1.61,1.63,139600,1.63
2014-07-22,1.60,1.65,1.60,1.64,306900,1.64
2014-07-21,1.60,1.60,1.56,1.59,220900,1.59
2014-07-18,1.55,1.60,1.55,1.59,258500,1.59
2014-07-17,1.60,1.61,1.55,1.55,413200,1.55
2014-07-16,1.67,1.68,1.56,1.57,412700,1.57
2014-07-15,1.66,1.71,1.63,1.64,272400,1.64
2014-07-14,1.65,1.69,1.65,1.67,99700,1.67
2014-07-11,1.67,1.72,1.65,1.66,296200,1.66
2014-07-10,1.68,1.76,1.65,1.69,283200,1.69
2014-07-09,1.74,1.77,1.66,1.73,605200,1.73
2014-07-08,1.81,1.81,1.75,1.77,515700,1.77
2014-07-07,1.87,1.87,1.81,1.82,524600,1.82
2014-07-03,1.79,1.87,1.73,1.81,530300,1.81
2014-07-02,1.72,1.81,1.72,1.81,701600,1.81
2014-07-01,1.80,1.80,1.71,1.71,941500,1.71
2014-06-30,1.85,1.87,1.75,1.76,1043100,1.76
2014-06-27,1.73,1.83,1.71,1.82,2746900,1.82
2014-06-26,1.69,1.73,1.63,1.70,514900,1.70
2014-06-25,1.59,1.71,1.57,1.69,956200,1.69
2014-06-24,1.57,1.60,1.56,1.59,151700,1.59
2014-06-23,1.63,1.65,1.56,1.57,335300,1.57
2014-06-20,1.64,1.64,1.58,1.63,246200,1.63
2014-06-19,1.59,1.65,1.55,1.62,463800,1.62
2014-06-18,1.58,1.60,1.52,1.59,315800,1.59
2014-06-17,1.51,1.56,1.51,1.56,176700,1.56
2014-06-16,1.44,1.53,1.43,1.50,244900,1.50
2014-06-13,1.43,1.48,1.43,1.47,163100,1.47
2014-06-12,1.43,1.45,1.42,1.42,231000,1.42
2014-06-11,1.52,1.53,1.42,1.44,971800,1.44
2014-06-10,1.53,1.56,1.51,1.52,248200,1.52
2014-06-09,1.53,1.59,1.53,1.53,243400,1.53
2014-06-06,1.54,1.58,1.51,1.56,363600,1.56
2014-06-05,1.64,1.64,1.55,1.55,620200,1.55
2014-06-04,1.51,1.71,1.50,1.62,1733400,1.62
2014-06-03,1.58,1.62,1.51,1.54,372900,1.54
2014-06-02,1.62,1.63,1.58,1.58,234900,1.58
2014-05-30,1.60,1.62,1.57,1.59,203400,1.59
2014-05-29,1.65,1.69,1.54,1.60,918200,1.60
2014-05-28,1.59,1.74,1.56,1.65,2928800,1.65
2014-05-27,1.46,1.60,1.46,1.58,1272000,1.58
2014-05-23,1.43,1.48,1.41,1.42,335300,1.42
2014-05-22,1.46,1.50,1.44,1.46,266700,1.46
2014-05-21,1.50,1.52,1.42,1.45,421900,1.45
2014-05-20,1.45,1.49,1.42,1.49,558200,1.49
2014-05-19,1.36,1.45,1.35,1.43,634900,1.43
2014-05-16,1.32,1.37,1.28,1.36,626800,1.36
2014-05-15,1.41,1.41,1.32,1.34,332800,1.34
2014-05-14,1.39,1.43,1.35,1.38,289300,1.38
2014-05-13,1.40,1.40,1.35,1.39,213900,1.39
2014-05-12,1.33,1.42,1.30,1.40,662900,1.40
2014-05-09,1.32,1.32,1.29,1.32,259400,1.32
2014-05-08,1.28,1.34,1.28,1.32,357500,1.32
2014-05-07,1.35,1.40,1.31,1.32,566400,1.32
2014-05-06,1.34,1.40,1.33,1.38,172300,1.38
2014-05-05,1.37,1.38,1.32,1.36,614000,1.36
2014-05-02,1.41,1.41,1.36,1.39,229200,1.39
2014-05-01,1.38,1.44,1.38,1.43,310800,1.43
2014-04-30,1.39,1.42,1.36,1.38,212300,1.38
2014-04-29,1.42,1.45,1.37,1.40,499500,1.40
2014-04-28,1.50,1.50,1.35,1.42,316500,1.42
2014-04-25,1.50,1.51,1.46,1.47,97000,1.47
2014-04-24,1.52,1.54,1.48,1.50,123000,1.50
2014-04-23,1.52,1.53,1.49,1.52,107300,1.52
2014-04-22,1.50,1.52,1.45,1.51,343200,1.51
2014-04-21,1.50,1.52,1.45,1.49,496900,1.49
2014-04-17,1.40,1.45,1.38,1.43,396600,1.43
2014-04-16,1.37,1.43,1.36,1.37,405000,1.37
2014-04-15,1.40,1.41,1.30,1.37,687100,1.37
2014-04-14,1.43,1.44,1.36,1.40,352500,1.40
2014-04-11,1.40,1.45,1.35,1.40,641700,1.40
2014-04-10,1.52,1.53,1.40,1.40,705900,1.40
