,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,12.74,13.33,12.69,13.29,25996700,13.29,14187116.0,12.7743333333,12.3145,13.8474,16.4324,13.9761675359,12.3145,10.6528324641,-0.466198438659,-0.702422200456,0.236223761797,55.3261151457,82.8911475126,59.363559851
1,2014-11-17,12.31,12.63,12.09,12.47,15598300,12.47,13830220.0,12.7866666667,12.331,13.9192,16.4659333333,14.0370468927,12.331,10.6249531073,-0.6105915973,-0.761478140906,0.150886543606,47.4533184835,68.2786316848,46.9728898065
2,2014-11-14,11.42,12.35,11.3,12.28,17843700,12.28,13721512.0,12.8456666667,12.3915,14.0046,16.5064,14.1959531027,12.3915,10.5870468973,-0.702517532913,-0.799199776807,0.0966822438941,45.3824000616,52.9320402544,36.7636631671
3,2014-11-13,11.85,11.91,11.45,11.51,12109800,11.51,13567978.0,12.9083333333,12.448,14.1022,16.5500666667,14.3049501878,12.448,10.5910498122,-0.790284562981,-0.823370337781,0.0330857748,35.8715102477,33.3524199522,28.7148578341
4,2014-11-12,11.93,11.94,11.49,11.73,11830100,11.73,13623766.0,13.0146666667,12.5615,14.2124,16.5974666667,14.4524286079,12.5615,10.6705713921,-0.812412160442,-0.831641781481,0.0192296210389,37.6090224185,33.3284673348,24.8489733447
5,2014-11-11,11.5,11.8,11.4,11.64,18942900,11.64,13488294.0,13.1153333333,12.6525,14.3328,16.6445333333,14.5497704077,12.6525,10.7552295923,-0.851238117049,-0.83644918674,-0.014788930309,36.4395216923,27.4417251272,19.491410461
6,2014-11-10,11.93,11.99,11.26,11.35,17330100,11.35,13281674.0,13.216,12.754,14.4572,16.6931333333,14.6409170623,12.754,10.8670829377,-0.879248874508,-0.832751954163,-0.0464969203447,32.662895985,20.7368189223,15.9119684539
7,2014-11-07,11.57,12.19,11.55,12.16,20838400,12.16,13036602.0,13.3376666667,12.859,14.598,16.7427333333,14.653156069,12.859,11.064843931,-0.872684439489,-0.821127724077,-0.0515567154122,38.6134553529,17.8888819947,14.1844835176
8,2014-11-06,11.15,11.53,11.09,11.34,19088000,11.34,12716414.0,13.4403333333,12.925,14.7192,16.784,14.7085302072,12.925,11.1414697928,-0.934084968764,-0.808238545224,-0.12584642354,25.928166898,11.8982157999,12.9838462585
9,2014-11-05,11.17,11.48,10.9,10.97,26788000,10.97,12406128.0,13.5763333333,13.0545,14.8548,16.8316,14.7318368773,13.0545,11.3771631227,-0.915376772038,-0.776776939339,-0.138599832699,18.9069218068,13.1239570989,14.5076753232
10,2014-11-04,11.98,12.03,11.4,11.46,16736600,11.46,12000836.0,13.7216666667,13.2245,15.0004,16.8808,14.6992674393,13.2245,11.7497325607,-0.840511011532,-0.742126981164,-0.0983840303678,21.4016157697,13.8268791769,15.4379955722
11,2014-11-03,11.82,12.0,11.51,11.92,18582200,11.92,11779494.0,13.8576666667,13.3345,15.1314,16.9285333333,14.5761839372,13.3345,12.0928160628,-0.782620371592,-0.717530973572,-0.0650893980195,24.1831643082,13.0863329584,18.5363353018
12,2014-10-31,11.97,12.12,11.33,11.87,33658100,11.87,11570676.0,13.974,13.4505,15.2578,16.9683333333,14.5693292989,13.4505,12.3316707011,-0.744183658481,-0.701258624067,-0.0429250344139,23.1753790635,17.9935320585,23.723220677
