,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,281.6,283.04,280.54,282.0,356500,282.0,669250.0,269.705666667,280.4795,261.2318,260.752866667,290.040116037,280.4795,270.918883963,6.46737554408,7.40408461827,-0.936709074196,60.0238695622,63.3986066517,73.0360693964
1,2014-11-17,285.46,286.0,279.5,280.88,501200,280.88,688006.0,268.412666667,279.7865,260.5046,260.633333333,290.716946057,279.7865,268.856053943,6.93961368214,7.63826188682,-0.698648204678,58.8514479031,70.9870182245,77.1485812116
2,2014-11-14,284.2,286.56,283.28,285.46,904500,285.46,690470.0,267.365666667,278.795,260.016,260.476533333,292.415370773,278.795,265.174629227,7.55545779754,7.81292393799,-0.257466140456,66.2267400715,79.2397063965,80.5115228307
3,2014-11-13,284.46,284.8,281.26,284.23,382900,284.23,682686.0,266.245666667,277.508,259.5462,260.251933333,293.08926131,277.508,261.92673869,7.7652739914,7.87729047311,-0.112016481707,65.1372101406,78.5189463129,82.0857516914
4,2014-11-12,282.4,284.91,281.4,283.23,351100,283.23,684356.0,264.893666667,275.904,259.0962,259.9996,294.667075867,275.904,257.140924133,8.04536267533,7.90529459353,0.140068081795,64.2669553756,79.8486539125,81.8691703249
5,2014-11-11,284.59,285.94,282.66,284.28,362500,284.28,685442.0,263.540666667,273.6765,258.701,259.803133333,298.142745544,273.6765,249.210254456,8.38765241118,7.87027757308,0.517374838091,65.8701170525,84.4387847009,81.1795309492
6,2014-11-10,282.85,285.59,281.29,284.99,565100,284.99,689334.0,262.340333333,271.426,258.3016,259.675133333,299.579379477,271.426,243.272620523,8.59562727531,7.74093386356,0.854693411749,66.9182553084,85.5366218392,79.2657585027
7,2014-11-07,285.6,285.6,282.25,283.61,353000,283.61,685120.0,261.206,268.9075,257.8946,259.483333333,300.552109573,268.9075,237.262890427,8.66376061426,7.52726051062,1.13650010363,65.9400959557,77.652620847,78.0086848876
8,2014-11-06,283.59,285.06,282.27,284.98,309100,284.98,681654.0,260.031,266.5755,257.5164,259.302133333,300.345257165,266.5755,232.805742835,8.76521428522,7.24313548472,1.5220788005,67.7877874631,77.0900964097,80.9392763361
9,2014-11-05,279.6,284.17,278.85,284.02,504600,284.02,684424.0,258.634666667,264.4265,257.1284,259.153533333,298.70432973,264.4265,230.14867027,8.62772112654,6.86261578459,1.76510534195,67.1895718159,76.783694915,85.2464822133
10,2014-11-04,281.1,281.75,275.91,278.11,537000,278.11,684728.0,257.435666667,262.6745,256.775,259.0356,296.343913701,262.6745,229.005086299,8.42448118763,6.4213394491,2.00314173853,63.2926488239,80.5083273786,89.8758953992
