,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,6.98,6.98,6.43,6.89,18300,6.89,12872.0,7.87,7.6625,8.5946,7.21073333333,8.39231847058,7.6625,6.93268152942,-0.374851062931,-0.334991229189,-0.0398598337418,24.7089342357,18.280075188,25.1744144014
1,2014-11-17,7.35,7.92,6.84,6.84,35700,6.84,13130.0,7.93433333333,7.734,8.6454,7.16626666667,8.42631206836,7.734,7.04168793164,-0.351877594861,-0.325026270754,-0.0268513241072,22.7311076787,19.6428571429,29.5116705
2,2014-11-14,7.5,7.5,7.4,7.4,5200,7.4,13396.0,8.00466666667,7.807,8.6926,7.12206666667,8.40883386412,7.807,7.20516613588,-0.312345966963,-0.318313439727,0.00596747276426,31.2755319152,28.5714285714,33.0687239117
3,2014-11-13,7.52,7.52,7.4,7.4,2200,7.4,13716.0,8.06266666667,7.846,8.728,7.07433333333,8.43829722268,7.846,7.25370277732,-0.31436420238,-0.319805307918,0.00544110553763,31.2755319152,34.2032967033,34.3901737797
4,2014-11-12,7.3,7.65,7.3,7.5,12800,7.5,16386.0,8.10866666667,7.8705,8.764,7.02653333333,8.42639477422,7.8705,7.31460522578,-0.312367634461,-0.321165584302,0.00879794984172,33.1968613434,35.6290995826,32.5894617187
5,2014-11-11,7.6,7.6,7.39,7.5,8300,7.5,16400.0,8.16166666667,7.897,8.7918,6.9782,8.42977011928,7.897,7.36422988072,-0.315457576724,-0.323365071763,0.00790749503907,33.1968613434,33.8710707897,29.4414497218
6,2014-11-10,7.6,7.79,7.6,7.65,3000,7.65,16736.0,8.23133333333,7.929,8.8226,6.92986666667,8.43893725104,7.929,7.41906274896,-0.314812992823,-0.325341945522,0.010528952699,36.0621661792,33.8572280433,25.9271513695
7,2014-11-07,7.8,7.9,7.54,7.6,3900,7.6,16786.0,8.30366666667,7.957,8.8566,6.88053333333,8.4640739591,7.957,7.4499260409,-0.324683898568,-0.327974183697,0.00329028512925,34.3071298659,27.0004484592,20.610563864
8,2014-11-06,7.63,7.89,7.62,7.62,3500,7.62,16812.0,8.37233333333,8.004,8.8862,6.83146666667,8.54323649728,8.004,7.46476350272,-0.327469179739,-0.328796754979,0.00132757524046,34.6605069697,23.037051595,16.2100758094
9,2014-11-05,7.95,7.95,7.25,7.71,9500,7.71,16758.0,8.44,8.043,8.913,6.78226666667,8.57831672868,8.043,7.50768327132,-0.32829738691,-0.32912864879,0.000831261879296,36.2194254584,19.8138773804,12.3908253433
10,2014-11-04,7.8,7.94,7.8,7.8,1800,7.8,16680.0,8.492,8.0995,8.9382,6.7326,8.71485274437,8.0995,7.48414725563,-0.333742882072,-0.329336464259,-0.00440641781262,37.7980286009,12.5908780215,10.0145420736
11,2014-11-03,7.81,7.83,7.7,7.75,7600,7.75,16674.0,8.537,8.1505,8.961,6.6824,8.82439836029,8.1505,7.47660163971,-0.345002508521,-0.328234859806,-0.0167676487148,36.3673090662,9.3984962406,11.9898263128
12,2014-10-31,7.72,7.94,7.72,7.81,1300,7.81,16558.0,8.587,8.2105,8.9864,6.63246666667,8.94227797179,8.2105,7.47872202821,-0.349264758883,-0.324042947628,-0.0252218112554,37.3239173548,7.76004973063,17.4969935913
