,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,4.35,4.4,4.33,4.34,32000,4.34,112388.0,4.11966666667,4.3405,4.01,4.93366666667,4.46722410978,4.3405,4.21377589022,0.10310475528,0.113605842609,-0.010501087329,59.8160223923,45.4954954955,55.9492731368
1,2014-11-17,4.32,4.35,4.26,4.35,61400,4.35,127432.0,4.095,4.321,4.009,4.94206666667,4.53321687021,4.321,4.10878312979,0.11008404772,0.116231114441,-0.00614706672085,60.7329847564,52.5030712531,62.1645450309
2,2014-11-14,4.38,4.42,4.32,4.36,18100,4.36,129016.0,4.06966666667,4.3005,4.0026,4.9508,4.56923592986,4.3005,4.03176407014,0.116372758468,0.117767881121,-0.00139512265303,61.6099864059,59.6590909091,65.6773110976
3,2014-11-13,4.34,4.44,4.32,4.35,45800,4.35,129178.0,4.043,4.2675,3.997,4.9604,4.64069565914,4.2675,3.89430434086,0.1216885637,0.118116661785,0.00357190191529,61.0882247663,66.1394348894,64.5907575649
4,2014-11-12,4.47,4.48,4.36,4.37,61500,4.37,128684.0,4.01766666667,4.2325,3.992,4.96986666667,4.68996584572,4.2325,3.77503415428,0.127721630542,0.117223686306,0.0104979442359,62.6700527446,70.3565830721,58.9776495057
5,2014-11-11,4.48,4.52,4.31,4.44,87900,4.44,128452.0,3.99033333333,4.192,3.9868,4.97906666667,4.72994423503,4.192,3.65405576497,0.131527884866,0.114599200247,0.0169286846196,68.4287423023,66.5541355197,51.1521738025
6,2014-11-10,4.3,4.54,4.25,4.44,141700,4.44,127644.0,3.96533333333,4.1475,3.9806,4.98793333333,4.74045446705,4.1475,3.55454553295,0.127345643879,0.110367029092,0.0169786147872,68.4287423023,55.3128767784,45.0831707933
7,2014-11-07,4.28,4.33,4.25,4.29,30100,4.29,125574.0,3.93966666667,4.1035,3.9742,4.997,4.73260333015,4.1035,3.47439666985,0.12015528329,0.106122375395,0.0140329078947,61.9724030728,43.6870026525,43.4416153366
8,2014-11-06,4.3,4.3,4.24,4.28,47900,4.28,125924.0,3.921,4.07,3.9704,5.00673333333,4.72656682828,4.07,3.41343317172,0.124502782563,0.102614148421,0.0218886341412,61.4848179222,39.0546802595,46.7149031012
9,2014-11-05,4.33,4.35,4.31,4.31,33500,4.31,125556.0,3.898,4.0385,3.9668,5.01653333333,4.7119767999,4.0385,3.3650232001,0.129259004797,0.0971419898862,0.032117014911,63.76228459,42.2781234829,52.1409760889
10,2014-11-04,4.33,4.38,4.17,4.3,57900,4.3,125800.0,3.87933333333,4.003,3.9636,5.0264,4.69020011641,4.003,3.31579988359,0.13039499747,0.0891127361584,0.041282261312,63.3419965732,48.7466549515,56.9013572417
11,2014-11-03,4.31,4.32,4.2,4.31,84600,4.31,125410.0,3.863,3.968,3.96,5.0364,4.66239470044,3.968,3.27360529956,0.130966464519,0.0787921708304,0.0521742936888,64.0315943135,56.7801537108,60.3900967296
12,2014-10-31,4.32,4.33,4.22,4.32,54200,4.32,124324.0,3.845,3.932,3.957,5.0462,4.62639470044,3.932,3.23760529956,0.128772715705,0.0657485974082,0.0630241182966,64.6855170713,60.7589722106,63.0297357213
13,2014-10-30,4.25,4.32,4.1,4.29,26600,4.29,124932.0,3.83066666667,3.894,3.954,5.056,4.58245914911,3.894,3.20554085089,0.12308145499,0.0499925678341,0.0730888871555,63.651432624,61.3196480938,66.5942823049
14,2014-10-29,4.32,4.33,4.24,4.29,65000,4.29,124810.0,3.82466666667,3.859,3.9504,5.0658,4.53442283053,3.859,3.18357716947,0.117081606513,0.0317203460452,0.0853612604681,63.651432624,62.7016129032,72.1662756259
15,2014-10-28,4.31,4.35,4.24,4.29,70100,4.29,124648.0,3.81833333333,3.822,3.9486,5.0756,4.47977199697,3.822,3.16422800303,0.107720612909,0.0103800309281,0.0973405819807,63.651432624,67.3387096774,79.5188774514
16,2014-10-27,4.26,4.39,4.22,4.27,52900,4.27,124422.0,3.81233333333,3.792,3.9468,5.0854,4.41549338409,3.792,3.16850661591,0.0942057357932,-0.013955114567,0.10816085036,63.0742852068,75.017158545,83.9200903879
17,2014-10-24,4.49,4.49,4.26,4.3,93400,4.3,125142.0,3.809,3.762,3.9454,5.09526666667,4.34717006075,3.762,3.17682993925,0.0776219364813,-0.0409953271571,0.118617263638,64.5007827187,83.6076213781,84.9256272778
18,2014-10-23,4.4,4.75,4.4,4.52,256800,4.52,123900.0,3.804,3.7335,3.9444,5.10493333333,4.26405725421,3.7335,3.20294274579,0.0522713862834,-0.0706496430667,0.12292102935,76.2425298147,92.112020205,80.3052875899
19,2014-10-22,4.4,4.45,4.28,4.39,155100,4.39,120966.0,3.79133333333,3.687,3.9396,5.11346666667,4.07846391915,3.687,3.29553608085,-0.00324544522408,-0.101379900404,0.0981344551801,73.6061601729,84.9435614237,69.4598222212
20,2014-10-21,3.96,3.97,3.92,3.95,58100,3.95,118680.0,3.78966666667,3.655,3.9378,5.12273333333,3.88105309111,3.655,3.42894690889,-0.0608215400541,-0.125913514199,0.0650919741451,59.471204705,79.0393061045,58.9460957308
21,2014-10-20,3.72,3.95,3.7,3.94,62500,3.94,118712.0,3.801,3.648,3.9458,5.13473333333,3.84371407716,3.648,3.45228592284,-0.0886248968726,-0.142186507736,0.0535616108629,59.0079129857,65.1262626263,48.4746095408
22,2014-10-17,3.7,3.87,3.65,3.7,37300,3.7,118482.0,3.804,3.6395,3.953,5.14806666667,3.79422233194,3.6395,3.48477766806,-0.121804819257,-0.155576910451,0.0337720911937,44.9953833648,48.7301587302,42.4740312792
23,2014-10-16,3.51,3.7,3.51,3.65,47400,3.65,119354.0,3.81666666667,3.649,3.9652,5.16193333333,3.83713824704,3.649,3.46086175296,-0.137946395549,-0.16401993325,0.0260735377011,41.1004256301,42.8886554622,40.9941059757
24,2014-10-15,3.53,3.6,3.51,3.56,45600,3.56,119898.0,3.83166666667,3.672,3.9772,5.17686666667,3.94728893912,3.672,3.39671106088,-0.151451514443,-0.170538317675,0.0190868032319,33.193448485,37.1533613445,41.2704675366
25,2014-10-14,3.6,3.6,3.52,3.55,35700,3.55,120446.0,3.85,3.699,3.99,5.19146666667,4.02610243044,3.699,3.37189756956,-0.157322389622,-0.175310018483,0.017987628861,32.2551359682,41.1239495798,41.9739999658
26,2014-10-13,3.59,3.65,3.54,3.56,77300,3.56,122032.0,3.86933333333,3.727,4.0044,5.20706666667,4.09197123174,3.727,3.36202876826,-0.161509253728,-0.179806925698,0.0182976719698,32.6813659264,42.8104575163,39.5811271663
27,2014-10-10,3.62,3.69,3.55,3.62,57800,3.62,121586.0,3.888,3.7575,4.0182,5.2222,4.1614244979,3.7575,3.3535755021,-0.165522171134,-0.184381343691,0.0188591725569,35.2786769003,43.9941017057,35.5487583943
28,2014-10-09,3.59,3.71,3.58,3.65,53400,3.65,123640.0,3.904,3.784,4.0316,5.23733333333,4.21686949534,3.784,3.35113050466,-0.174345608678,-0.18909613683,0.0147505281517,36.6302804235,39.9674910615,29.4335544556
29,2014-10-08,3.6,3.63,3.55,3.6,49100,3.6,125422.0,3.919,3.8085,4.0478,5.25153333333,4.26317680829,3.8085,3.35382319171,-0.186126132836,-0.192783768868,0.00665763603174,32.6360937796,31.5524583817,23.709923813
30,2014-10-07,3.6,3.64,3.51,3.6,31400,3.6,129994.0,3.93733333333,3.8455,4.065,5.2658,4.34455811285,3.8455,3.34644188715,-0.193364167193,-0.194448177876,0.00108401068309,32.6360937796,26.6809824282,19.8817180069
31,2014-10-06,3.56,3.63,3.51,3.59,39400,3.59,135304.0,3.95466666667,3.88,4.0858,5.28013333333,4.40130605214,3.88,3.35869394786,-0.199789961339,-0.194719180546,-0.005070780793,31.8958396451,19.5332859512,17.4021525661
32,2014-10-03,3.6,3.6,3.51,3.56,57500,3.56,150914.0,3.97366666667,3.902,4.114,5.2942,4.40944851956,3.902,3.39455148044,-0.204067393704,-0.193451485348,-0.0106159083556,29.7452076378,17.0729684909,16.8879899568
33,2014-10-02,3.51,3.65,3.46,3.59,93800,3.59,152364.0,3.994,3.928,4.1754,5.30853333333,4.41558999169,3.928,3.44041000831,-0.203504154377,-0.190797508259,-0.0127066461174,30.6437737285,16.2396351575,16.1610353018
34,2014-10-01,3.66,3.74,3.52,3.55,89200,3.55,155784.0,4.01133333333,3.9535,4.2366,5.32233333333,4.42063060272,3.9535,3.48636939728,-0.202879741208,-0.18762084673,-0.0152588944785,27.9489691751,16.7627206646,15.3171215825
35,2014-09-30,3.71,3.8,3.68,3.69,54800,3.69,157396.0,4.033,3.9815,4.299,5.33733333333,4.41440992135,3.9815,3.54859007865,-0.19505905762,-0.18380612311,-0.0112529345093,31.9883736151,17.476635514,13.5910838057
36,2014-09-29,3.72,3.72,3.64,3.67,28800,3.67,157814.0,4.05,4.0035,4.3584,5.35193333333,4.4193016354,4.0035,3.5876983646,-0.196494344274,-0.180992889483,-0.0155014547906,30.6589629673,14.1651498711,11.4813792025
37,2014-09-26,3.57,3.74,3.56,3.73,76100,3.73,160802.0,4.06766666667,4.026,4.4186,5.3668,4.41501927973,4.026,3.63698072027,-0.193431828777,-0.177117525785,-0.0163143029917,32.4245387819,12.8639802804,11.1785612116
38,2014-09-25,3.75,3.82,3.5,3.59,174800,3.59,160578.0,4.085,4.0445,4.4768,5.38193333333,4.40992988384,4.0445,3.67907011616,-0.192818482397,-0.173038950037,-0.01977953236,22.7909216942,9.85856955736,11.724448931
39,2014-09-24,3.82,3.87,3.7,3.75,80200,3.75,159822.0,4.108,4.07,4.5382,5.39846666667,4.37039973369,4.07,3.76960026631,-0.174976451456,-0.168094066947,-0.00688238450883,26.8535747127,9.03781710109,13.9001723034
40,2014-09-23,3.79,3.88,3.76,3.81,83500,3.81,159892.0,4.12633333333,4.09,4.5962,5.41473333333,4.35351470547,4.09,3.82648529453,-0.165949329034,-0.16637347082,0.000424141786435,28.6307364164,12.9538779074,17.9826297928
41,2014-09-22,3.9,3.91,3.68,3.77,173300,3.77,159450.0,4.14433333333,4.1055,4.654,5.43226666667,4.33567167506,4.1055,3.87532832494,-0.15812272072,-0.166479506267,0.00835678554731,25.5819486675,15.0475311582,21.4537191395
42,2014-09-19,4.1,4.13,3.85,3.89,293600,3.89,157262.0,4.162,4.125,4.7126,5.45073333333,4.29687204543,4.125,3.95312795457,-0.141760428352,-0.168568702654,0.0268082743021,29.0374496082,18.5614630468,24.7690422323
