,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,48.28,48.68,48.05,48.39,765700,48.39,1063044.0,46.9173333333,47.916,46.6628,47.9195333333,49.4989643079,47.916,46.3330356921,0.584068062845,0.618761539221,-0.034693476376,56.2182602252,40.0381491659,58.4802247144
1,2014-11-17,47.54,48.46,47.54,48.29,1120900,48.29,1062452.0,46.7773333333,47.881,46.6906,47.9071333333,49.4513999491,47.881,46.3106000509,0.608649842115,0.627434908315,-0.0187850661992,55.6011107152,50.528093539,72.2954545323
2,2014-11-14,47.9,48.47,47.46,47.54,883400,47.54,1067808.0,46.6543333333,47.8025,46.7234,47.8914666667,49.4388480681,47.8025,46.1661519319,0.641353860863,0.632131174864,0.00922268599843,50.7680655481,61.7254049995,83.8635189698
3,2014-11-13,49.08,49.13,47.64,48.02,1063400,48.02,1072234.0,46.5343333333,47.7365,46.7824,47.8725333333,49.5105605965,47.7365,45.9624394035,0.750130934088,0.629825503365,0.120305430723,54.2794594697,81.6292511533,92.6869285149
4,2014-11-12,49.23,49.39,48.46,49.18,818500,49.18,1078200.0,46.403,47.579,46.817,47.847,49.741257154,47.579,45.416742846,0.829186312145,0.599749145684,0.229437166461,64.2520501952,95.2990684376,94.1312443815
5,2014-11-11,49.14,49.43,49.04,49.3,581200,49.3,1082940.0,46.242,47.3125,46.8352,47.8174666667,49.8931423619,47.3125,44.7318576381,0.799919739234,0.542389854069,0.257529885165,65.4063834069,96.800351289,89.3338306937
6,2014-11-10,48.78,49.18,48.78,49.15,375100,49.15,1134144.0,46.0826666667,47.007,46.8516,47.7914,49.9895096815,47.007,44.0244903185,0.738711571784,0.478007382777,0.260704189006,64.6696376863,97.01904318,84.1314748979
7,2014-11-07,48.72,48.97,48.41,48.85,1001700,48.85,1140160.0,45.9413333333,46.6985,46.834,47.7626,49.9908443016,46.6985,43.4061556984,0.665115524285,0.412831335526,0.252284188759,63.2147108987,87.4065146194,76.1048608759
8,2014-11-06,48.31,48.72,48.03,48.65,759300,48.65,1159446.0,45.8123333333,46.446,46.82,47.7341333333,49.8133396027,46.446,43.0786603973,0.592051252397,0.349760288336,0.242290964061,62.2524203584,76.1094136863,71.9883166597
9,2014-11-05,47.62,48.36,47.38,48.28,702700,48.28,1156654.0,45.7013333333,46.2405,46.8026,47.7119333333,49.5458137521,46.2405,42.9351862479,0.510546654426,0.289187547321,0.221359107105,60.4762816303,75.9909281059,73.2996873746
