,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,61.47,62.11,60.49,60.69,51900,60.69,77956.0,61.883,62.489,60.8492,62.4208666667,64.4949002966,62.489,60.4830997034,0.0605842340817,0.355555462236,-0.294971228154,43.7533005,24.5351634937,32.8255487147
1,2014-11-17,61.41,61.99,60.82,61.14,78100,61.14,78022.0,61.8563333333,62.5315,60.8792,62.43,64.4154455937,62.5315,60.6475544063,0.184790377234,0.429298269274,-0.24450789204,45.9386848654,34.0503791544,33.6358144499
2,2014-11-14,62.61,62.65,61.17,61.52,122800,61.52,77246.0,61.8423333333,62.4745,60.9014,62.436,64.5794225639,62.4745,60.3695774361,0.294816539917,0.490425242284,-0.195608702367,47.8112346402,36.0405734341,32.1761105644
3,2014-11-13,62.75,63.04,61.87,62.39,84800,62.39,75606.0,61.7833333333,62.3885,60.9174,62.4426666667,64.7653657934,62.3885,60.0116342066,0.392270783341,0.539327417876,-0.147056634534,52.3475375002,36.6760787768,29.7959056765
4,2014-11-12,61.67,62.82,61.46,62.69,87900,62.69,74828.0,61.654,62.2825,60.9178,62.4397333333,64.8324323521,62.2825,59.7325676479,0.422370260828,0.57609157651,-0.153721315682,53.9876896775,27.7762264343,29.0657365155
5,2014-11-11,61.97,61.97,61.08,61.74,81900,61.74,74332.0,61.4713333333,62.207,60.9068,62.4335333333,64.7933572839,62.207,59.6206427161,0.424099117389,0.61452190543,-0.190422788041,49.3183401434,28.2115636126,32.8394647411
6,2014-11-10,61.57,62.05,60.92,61.94,41400,61.94,74206.0,61.3296666667,62.182,60.9182,62.4419333333,64.795454419,62.182,59.568545581,0.516864325329,0.66212760244,-0.145263277111,50.3165337114,26.5197538824,37.717723284
7,2014-11-07,63.04,63.04,61.12,61.84,104200,61.27,74472.0,61.2096666667,62.1215,60.9082,62.4394666667,64.8095199032,62.1215,59.4334800968,0.60738480055,0.698443421718,-0.0910586211681,49.8452266916,33.7554021327,48.3239209696
8,2014-11-06,62.05,63.31,62.05,63.15,52700,62.57,73100.0,61.0903333333,62.015,60.8968,62.4305333333,64.9007061528,62.015,59.1292938472,0.724268973642,0.72120807701,0.00306089663158,56.3472979995,42.8711393367,58.8578046914
9,2014-11-05,63.21,63.27,61.68,61.8,64100,61.23,72982.0,60.919,61.885,60.864,62.4244,64.7886700915,61.885,58.9813299085,0.729539042226,0.720442852852,0.00909618937348,50.1211019374,47.7245977841,69.7785704387
10,2014-11-04,62.68,63.13,62.22,62.99,48900,62.41,73048.0,60.808,61.8795,60.8564,62.4426,64.7842097962,61.8795,58.9747902038,0.863108634604,0.718168805509,0.144939829095,56.7459348007,68.9445446248,80.5959955569
11,2014-11-03,63.12,63.49,62.01,62.69,113700,62.11,72892.0,60.652,61.7245,60.8156,62.4526666667,64.7054761824,61.7245,58.7435238176,0.899874061464,0.681933848235,0.217940213229,55.3648481025,75.89093702,85.877229778
12,2014-10-31,63.6,63.6,61.64,62.98,197100,62.4,71382.0,60.4946666667,61.626,60.7746,62.4684666667,64.6030414844,61.626,58.6489585156,0.964256492671,0.627448794928,0.336807697743,56.9984611847,86.5542023261,89.6491710138
13,2014-10-30,63.99,64.84,63.0,64.8,81500,64.2,68586.0,60.3343333333,61.4645,60.7362,62.4792666667,64.4804010262,61.4645,58.4485989738,1.00287906497,0.543246870492,0.459632194481,68.8346177639,90.9942982569,88.8901236247
14,2014-10-29,64.43,64.86,62.92,63.89,51300,63.3,68104.0,60.1446666667,61.15,60.664,62.4700666667,64.017179799,61.15,58.282820201,0.852279089038,0.428338821872,0.423940267166,65.5092851877,90.069481509,87.0969517164
15,2014-10-28,63.17,64.18,61.98,64.1,66500,63.51,68628.0,60.0206666667,60.816,60.6174,62.4718,63.8783024018,60.816,57.7536975982,0.740316514823,0.32235375508,0.417962759743,67.0421497351,90.9787019632,82.9197451401
16,2014-10-27,62.71,63.36,62.54,62.71,38300,62.13,68412.0,59.901,60.4855,60.58,62.47,63.4848831032,60.4855,57.4861168968,0.565261498063,0.217863065144,0.347398432919,61.5060453291,83.5180127695,76.1588181607
17,2014-10-24,62.66,63.05,62.06,62.87,52800,62.29,70308.0,59.825,60.267,60.5628,62.4784666667,63.2227205551,60.267,57.3112794449,0.47513292761,0.131013456915,0.344119470695,62.6305258924,83.8216106238,70.7242379471
18,2014-10-23,62.06,62.99,61.3,62.48,32800,61.9,70038.0,59.7733333333,60.0365,60.5408,62.4851333333,62.8603716331,60.0365,57.2126283669,0.336894164193,0.0449835892408,0.291910574952,61.0174130594,73.360655204,65.1362291651
