,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,28.15,28.29,26.77,26.9,141700,26.9,187246.0,23.3406666667,24.785,22.8622,22.3176,29.2823836839,24.785,20.2876163161,1.46229942575,1.23657724406,0.225722181689,66.1394277814,86.2894459295,92.2156369925
1,2014-11-17,27.24,28.05,27.03,27.85,275700,27.85,187716.0,23.1406666667,24.4805,22.7852,22.3016,29.1838029883,24.4805,19.7771970117,1.49986675497,1.18014669864,0.319720056333,75.4200951002,93.9709150241,93.1102374102
2,2014-11-14,27.2,27.63,26.96,27.38,198100,27.38,187010.0,22.927,24.0995,22.6982,22.2804,28.8831240446,24.0995,19.3158759554,1.42927281147,1.10021668455,0.329056126915,73.7264304571,95.0102478595,91.4674802288
3,2014-11-13,27.35,27.5,26.93,27.2,253400,27.2,185390.0,22.728,23.746,22.599,22.2645333333,28.5525513625,23.746,18.9394486375,1.36623439178,1.01795265283,0.348281738953,73.0664504504,93.5919391567,88.3336083194
4,2014-11-12,26.04,27.5,25.81,27.4,506700,27.4,182392.0,22.5276666667,23.403,22.5016,22.2524,28.1534193499,23.403,18.6525806501,1.28422921767,0.930882218087,0.353346999587,75.0104964919,89.8678476004,86.2577960464
5,2014-11-11,25.35,26.18,25.16,26.15,198600,26.15,173900.0,22.313,23.0625,22.3976,22.2443333333,27.5891008218,23.0625,18.5358991782,1.14051746138,0.84254546819,0.297971993189,70.4471525593,87.3998862985,86.3185599414
6,2014-11-10,24.54,25.42,24.34,25.41,117100,25.41,173408.0,22.1413333333,22.752,22.3256,22.2508666667,27.240646121,22.752,18.263353879,1.06777238391,0.768052469893,0.299719914013,67.1495026543,82.4747602221,87.7119660764
7,2014-11-07,25.19,25.5,24.15,24.6,153300,24.6,173584.0,22.0086666667,22.5015,22.268,22.257,26.9275965873,22.5015,18.0754034127,1.03473743217,0.69312249139,0.341614940776,62.9471177569,85.2886900645,91.3131943006
8,2014-11-06,24.86,25.39,24.56,25.23,142000,25.23,173072.0,21.9026666667,22.288,22.2222,22.2694666667,26.7005212747,22.288,17.8754787253,1.05999482202,0.607718756196,0.452276065826,69.3548045832,90.1109031804,93.9481258063
9,2014-11-05,25.94,25.95,24.68,24.78,188800,24.78,173326.0,21.7856666667,22.054,22.1708,22.2915333333,26.3112733058,22.054,17.7967266942,1.01266887493,0.494649739739,0.518019135196,67.1359228729,92.9735108388,95.5612552575
10,2014-11-04,25.28,25.91,25.21,25.82,145900,25.82,172760.0,21.694,21.866,22.1314,22.3225333333,25.9538620329,21.866,17.7781379671,0.983352209746,0.36514495594,0.618207253806,79.4869720495,96.8796731188,95.988970703
11,2014-11-03,25.27,25.54,24.92,25.3,152500,25.3,173760.0,21.5713333333,21.62,22.0672,22.3478,25.2980918966,21.62,17.9419081034,0.825739270399,0.210593142489,0.61514612791,77.5712172951,95.8284160874,94.4226277507
12,2014-10-31,25.36,25.36,24.76,25.29,220600,25.29,171686.0,21.4933333333,21.427,22.0142,22.3764666667,24.6946236013,21.427,18.1593763987,0.665502547518,0.0568066105113,0.608695937007,77.533749969,96.5634209849,92.6229975426
13,2014-10-30,24.23,25.2,23.99,24.93,247800,24.93,169392.0,21.4233333333,21.233,21.9684,22.4032,23.9793291864,21.233,18.4866708136,0.452320365986,-0.0953673737405,0.547687739727,76.2049764838,94.6843726209,89.337974764
14,2014-10-29,23.98,24.5,23.09,24.23,264000,24.23,167154.0,21.3643333333,21.046,21.919,22.4273333333,23.2068461306,21.046,18.8851538694,0.210297721689,-0.232289308672,0.442587030361,73.3600970933,90.6143013094,85.8964185408
15,2014-10-28,21.9,23.97,21.75,23.89,600900,23.89,165600.0,21.319,20.8825,21.8884,22.4553333333,22.4750561215,20.8825,19.2899438785,-0.0303973293472,-0.342936066263,0.312538736915,71.8417185428,88.6298952553,81.7750155037
16,2014-10-27,20.69,21.43,20.29,21.22,423000,21.22,159044.0,21.28,20.738,21.8646,22.4862666667,21.5420298502,20.738,19.9339701498,-0.302551415152,-0.421070750491,0.118519335339,51.8152247025,83.4233298705,75.4585486514
17,2014-10-24,20.91,21.14,20.58,20.7,154700,20.7,153746.0,21.3376666667,20.7485,21.8918,22.5388666667,21.582365097,20.7485,19.914634903,-0.37366370045,-0.450700584326,0.0770368838758,44.7029572285,80.9181477278,68.3603898121
18,2014-10-23,20.78,21.15,20.61,20.86,105300,20.86,154564.0,21.4213333333,20.7845,21.9342,22.5924,21.6675962575,20.7845,19.9014037425,-0.406048272588,-0.469959805295,0.0639115327071,46.6712023702,74.1286891611,60.1090532512
19,2014-10-22,20.92,21.0,20.52,20.56,163200,20.56,154390.0,21.4986666667,20.8275,21.9614,22.6448666667,21.8003077919,20.8275,19.8546922081,-0.457767515242,-0.485937688472,0.0281701732296,42.2436990712,63.3640278463,50.5139557908
20,2014-10-21,20.29,20.9,20.28,20.81,95500,20.81,154888.0,21.5803333333,20.901,21.9826,22.703,21.9962789599,20.901,19.8057210401,-0.486576184736,-0.492980231779,0.00640404704363,45.1439154144,55.030694513,41.9075341527
21,2014-10-20,20.16,20.57,19.85,20.23,180300,20.23,155506.0,21.655,20.9675,22.012,22.7598,22.1870552468,20.9675,19.7479447532,-0.541723596566,-0.49458124354,-0.0471423530254,35.6223880575,47.9128014842,33.3854680654
22,2014-10-17,20.62,20.72,20.11,20.31,155600,20.31,154704.0,21.764,21.104,22.048,22.8249333333,22.5524529678,21.104,19.6555470322,-0.54517758626,-0.482795655284,-0.0623819309766,36.432315087,35.7482993197,23.5589558566
23,2014-10-16,20.26,20.79,20.01,20.34,257500,20.34,154648.0,21.8343333333,21.248,22.0866,22.8870666667,22.9091032478,21.248,19.5868967522,-0.549801731852,-0.46720017254,-0.0826015593128,36.723057425,28.938341294,18.4332330546
24,2014-10-15,19.7,20.69,19.04,20.59,234200,20.59,152018.0,21.9006666667,21.389,22.1354,22.9506666667,23.1906647857,21.389,19.5873352143,-0.55076125249,-0.446549782711,-0.104211469779,39.140059726,20.9424301636,14.9093984639
25,2014-10-14,20.66,20.7,19.88,19.94,158800,19.94,151568.0,21.9543333333,21.503,22.1794,23.0109333333,23.375165591,21.503,19.630834409,-0.569429422432,-0.420496915267,-0.148932507165,27.6423496814,8.60675264931,14.9239394199
