,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,14.9,15.11,14.8,14.92,300400,14.92,356430.0,14.1866666667,14.219,14.031,13.6856,14.9655895794,14.219,13.4724104206,0.166185525112,0.0751698440988,0.0910156810132,61.3935417711,81.1236014984,66.8985214421
1,2014-11-17,14.41,15.06,14.41,15.04,364100,15.04,355310.0,14.1643333333,14.199,14.008,13.6696,14.8886636862,14.199,13.5093363138,0.126900756988,0.0524159238455,0.0744848331422,63.7388843725,72.3400494875,62.4237804878
2,2014-11-14,14.28,14.54,14.13,14.5,373000,14.5,355548.0,14.1426666667,14.16,13.9828,13.6536666667,14.7334457254,14.16,13.5865542746,0.0626950964802,0.0337947155599,0.0289003809202,56.8510694228,60.6884057971,58.0327023988
3,2014-11-13,14.15,14.33,14.11,14.23,335200,14.23,352618.0,14.135,14.145,13.9702,13.6448666667,14.6973947864,14.145,13.5926052136,0.0348152156653,0.0265696203299,0.00824559533547,52.6776510498,53.4420289855,53.527310527
4,2014-11-12,14.15,14.32,13.92,14.16,175100,14.16,350924.0,14.136,14.144,13.9584,13.6377333333,14.6958478051,14.144,13.5921521949,0.0262148555611,0.024508221496,0.00170663406513,51.5494933747,63.2246376812,49.8371360465
5,2014-11-11,14.08,14.27,13.95,14.14,236800,14.14,350646.0,14.1456666667,14.149,13.943,13.6309333333,14.7031443855,14.149,13.5948556145,0.0219836344018,0.0240815629797,-0.00209792857795,51.2411002566,54.7757371314,40.073738097
6,2014-11-10,14.72,14.74,14.1,14.1,351200,14.1,349214.0,14.149,14.1205,13.9258,13.6265333333,14.7294819373,14.1205,13.5115180627,0.018299659258,0.0246060451242,-0.00630638586621,50.657829888,42.6668383098,33.6026959858
7,2014-11-07,13.77,14.8,13.77,14.77,813000,14.77,344802.0,14.1376666667,14.1045,13.9144,13.622,14.7313484665,14.1045,13.4776515335,0.017404117758,0.0261826415908,-0.00877852383277,62.2375686927,38.6813310634,30.0085670535
8,2014-11-06,13.55,13.79,13.42,13.65,312700,13.65,333840.0,14.0993333333,14.065,13.8892,13.613,14.6138351301,14.065,13.5161648699,-0.0522102514694,0.028377272549,-0.0805875240183,41.4697341207,24.1710458834,26.4993565995
9,2014-11-05,13.92,14.08,13.51,13.55,505700,13.55,329770.0,14.0953333333,14.089,13.8866,13.6116666667,14.6040883419,14.089,13.5739116581,-0.0262677154437,0.0485241535535,-0.0747918689972,38.673478344,28.8915686866,27.8076288889
10,2014-11-04,13.96,14.03,13.84,13.96,169000,13.96,322152.0,14.0933333333,14.127,13.8856,13.6107333333,14.5865693636,14.127,13.6674306364,0.0174082882174,0.0672221208029,-0.0498138325855,47.2714133539,28.2903225806,28.8458548912
11,2014-11-03,14.01,14.08,13.81,14.02,199100,14.02,320848.0,14.0733333333,14.1415,13.873,13.6079333333,14.597362918,14.1415,13.685637082,0.0311560850616,0.0796755789492,-0.0485194938876,48.7440137785,24.6444892473,35.3833020772
12,2014-10-31,13.85,14.09,13.65,14.01,338000,14.01,319114.0,14.046,14.16,13.863,13.6038666667,14.6245858371,14.16,13.6954141629,0.0421410027055,0.0918054524211,-0.0496644497156,48.495703981,29.4041350411,47.0769992633
13,2014-10-30,14.06,14.06,13.83,13.84,247600,13.84,315648.0,14.0276666667,14.173,13.854,13.5999333333,14.6346102252,14.173,13.7113897748,0.0565669739135,0.10422156485,-0.0476545909366,44.2308142901,33.0444726956,58.7852667936
14,2014-10-29,14.15,14.23,13.94,14.06,337200,14.06,316500.0,14.0196666667,14.194,13.853,13.5972666667,14.6306417296,14.194,13.7573582704,0.0914660575438,0.116135212584,-0.0246691550404,49.1184406004,54.4401113249,72.2659154199
15,2014-10-28,14.11,14.26,14.03,14.16,315000,14.16,315670.0,14.0036666667,14.2135,13.8462,13.593,14.6592028158,14.2135,13.7677971842,0.11227956345,0.122302501344,-0.0100229378947,51.5214401481,71.4192779916,79.2658701138
16,2014-10-27,14.41,14.44,14.03,14.08,237800,14.08,312342.0,13.9833333333,14.2175,13.8388,13.5879333333,14.6626460435,14.2175,13.7723539565,0.127030190065,0.124808235818,0.00222195424655,49.6931656058,76.2372051624,80.1104640353
17,2014-10-24,14.51,14.58,14.43,14.44,302600,14.44,309298.0,13.969,14.2015,13.8348,13.5842666667,14.6864855668,14.2015,13.7165144332,0.152155096179,0.124252747256,0.0279023489231,58.9890556036,86.9670672007,78.4265343523
18,2014-10-23,14.38,14.47,14.17,14.42,291700,14.42,307828.0,13.946,14.1605,13.8272,13.5785333333,14.6941094077,14.1605,13.6268905923,0.145355902222,0.117277160026,0.028078742196,58.5894346205,82.4399301005,71.8592100076
19,2014-10-22,14.49,14.55,14.31,14.33,220000,14.33,305682.0,13.925,14.116,13.8224,13.5731333333,14.7015390679,14.116,13.5304609321,0.136599754265,0.110257474477,0.0263422797884,56.8317506988,74.7976536777,62.4280892711
20,2014-10-21,14.38,14.56,14.25,14.52,405200,14.52,305386.0,13.9056666667,14.074,13.8188,13.5689333333,14.7104086737,14.074,13.4375913263,0.132600456266,0.103671904529,0.0289285517361,61.9896804879,69.5014864303,51.5908340187
21,2014-10-20,14.07,14.34,14.07,14.26,315800,14.26,300402.0,13.8806666667,14.016,13.8112,13.5626,14.6895992874,14.016,13.3424007126,0.106221709273,0.0964397665954,0.00978194267794,57.0347599037,60.6977698217,40.7108809492
22,2014-10-17,14.25,14.27,14.03,14.2,239500,14.2,296302.0,13.8646666667,13.963,13.8056,13.5596,14.7138421938,13.963,13.2121578062,0.0974805200684,0.0939942809259,0.00348623914249,55.8000931585,44.7154471545,31.4208814221
23,2014-10-16,13.94,14.22,13.94,14.21,278100,14.21,294752.0,13.8536666667,13.926,13.804,13.5558,14.6990821431,13.926,13.1529178569,0.0910147764641,0.0931227211403,-0.00210794467626,56.0493615689,31.4486326681,30.2678932379
24,2014-10-15,13.56,14.28,13.56,14.26,543300,14.26,292444.0,13.8346666667,13.8955,13.8026,13.5518,14.669489018,13.8955,13.121510982,0.0804201033332,0.0936497073094,-0.0132296039762,57.2364702597,25.9816741524,36.4368456083
25,2014-10-14,13.77,13.93,13.51,13.57,334500,13.57,284600.0,13.8056666667,13.8615,13.798,13.5475333333,14.6281622464,13.8615,13.0948377536,0.0606367917613,0.0969571083034,-0.0363203165422,41.3070406615,23.5377717134,46.6736710154
26,2014-10-13,14.08,14.24,13.75,13.78,166900,13.78,280298.0,13.796,13.8605,13.8076,13.5482666667,14.628731085,13.8605,13.092268915,0.10475864802,0.106037187439,-0.00127853941872,46.16714032,40.1034944176,58.9805629413
27,2014-10-10,14.01,14.22,13.89,13.98,476300,13.98,280164.0,13.7876666667,13.854,13.8102,13.5468,14.6270304004,13.854,13.0809695996,0.138168600583,0.106356822294,0.0318117782896,51.5287709847,56.1244421499,67.3209275875
28,2014-10-09,14.31,14.4,14.0,14.13,247100,14.13,274482.0,13.772,13.8425,13.8106,13.5462,14.6145330304,13.8425,13.0704669696,0.158438487664,0.0984038777212,0.060034609943,56.0631520104,66.9289757806,72.802333519
29,2014-10-08,14.27,14.4,13.88,14.31,1166500,14.31,272760.0,13.7516666667,13.8255,13.8136,13.5450666667,14.5863541253,13.8255,13.0646458747,0.166732947354,0.0833952252355,0.0833377221188,62.15798356,72.7653394169,75.2367562405
30,2014-10-07,14.51,14.6,14.18,14.25,602500,14.25,251398.0,13.7246666667,13.7975,13.814,13.5445333333,14.5254800821,13.7975,13.0695199179,0.156567214852,0.0625607947058,0.094006420146,60.840279635,73.4649530024,77.5529971439
31,2014-10-06,14.4,14.74,14.27,14.39,969700,14.39,242506.0,13.694,13.7735,13.8146,13.5454666667,14.4712470889,13.7735,13.0757529111,0.147423793151,0.0390591896693,0.108364603481,65.8049971902,78.0500658762,79.493854237
32,2014-10-03,14.26,14.37,14.11,14.27,645500,14.27,225948.0,13.665,13.743,13.8164,13.5444,14.3810626928,13.743,13.1049373072,0.119354570643,0.011968038799,0.107386531844,63.429802711,76.6666666667,78.6372830568
33,2014-10-02,14.46,14.5,14.2,14.26,311300,14.26,217982.0,13.6413333333,13.723,13.818,13.5449333333,14.3173096836,13.723,13.1286903164,0.0940101510687,-0.014878594162,0.108888745231,63.2321792542,82.0303030303,76.9696613505
34,2014-10-01,14.25,14.56,14.25,14.45,359500,14.45,214308.0,13.6256666667,13.692,13.8174,13.5448,14.2333538584,13.692,13.1506461416,0.0613122169786,-0.0421007804696,0.103412997448,69.8961547285,81.2283813747,70.3707691075
