,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,5.64,5.72,5.42,5.65,208300,5.65,236576.0,6.88133333333,6.578,7.8572,6.47486666667,7.81259467033,6.578,5.34340532967,-0.581708796518,-0.509546379268,-0.0721624172508,29.8744182586,20.0,20.6056772175
1,2014-11-17,5.65,5.75,5.41,5.68,285200,5.68,236224.0,6.97066666667,6.6565,7.9282,6.46573333333,7.84383777839,6.6565,5.46916222161,-0.577037343897,-0.491505774955,-0.0855315689416,30.1770355655,15.4183535762,27.4331038426
2,2014-11-14,5.36,5.92,5.36,5.65,333900,5.65,235196.0,7.06833333333,6.733,8.0,6.45653333333,7.85412621948,6.733,5.61187378052,-0.565736146639,-0.470122882719,-0.0956132639193,29.5140375079,14.2349865047,36.7019947051
3,2014-11-13,5.65,5.75,5.19,5.34,496900,5.34,233636.0,7.17533333333,6.8055,8.0648,6.44813333333,7.81953106461,6.8055,5.79146893539,-0.540028274551,-0.44621956674,-0.0938087078118,22.4482364301,32.7693687891,46.5793578702
4,2014-11-12,5.84,6.02,5.67,5.7,263800,5.7,228090.0,7.287,6.9235,8.1364,6.44186666667,7.76198136533,6.9235,6.08501863467,-0.467797088367,-0.422767389787,-0.0450296985798,25.1689301297,47.3097065002,47.4729834188
5,2014-11-11,6.63,6.7,5.62,5.93,827300,5.93,228498.0,7.39133333333,7.0205,8.1988,6.4338,7.70511595074,7.0205,6.33588404926,-0.405454053078,-0.411509965142,0.00605591206389,27.1188140998,52.4939170265,41.9828583811
6,2014-11-10,7.0,7.14,6.86,7.13,168500,7.13,219000.0,7.48866666667,7.0745,8.2604,6.4256,7.54270828699,7.0745,6.60629171301,-0.343402338174,-0.413023943158,0.069621604984,43.4129923053,53.7444391652,36.840911481
7,2014-11-07,6.85,6.99,6.79,6.97,79300,6.97,219292.0,7.55166666667,7.0725,8.2976,6.40926666667,7.54008421701,7.0725,6.60491578299,-0.381388660777,-0.430429344404,0.0490406836265,38.8651582057,36.3438709834,31.3177240477
8,2014-11-06,6.85,6.88,6.76,6.83,60600,6.83,220854.0,7.62833333333,7.1005,8.3404,6.39393333333,7.60573163005,7.1005,6.59526836995,-0.408034641107,-0.44268951531,0.0346548742032,34.5941769098,25.3492063492,28.8000893004
9,2014-11-05,6.93,6.93,6.75,6.86,125500,6.86,226084.0,7.702,7.157,8.3894,6.37986666667,7.76986540121,7.157,6.54413459879,-0.421855006676,-0.451353233861,0.0294982271855,35.0818512616,31.9261294261,28.4387266
10,2014-11-04,6.84,6.94,6.75,6.88,70900,6.88,238984.0,7.781,7.235,8.4306,6.36726666667,8.04287375251,7.235,6.42712624749,-0.436413291359,-0.458727790658,0.0223144992987,35.3906959051,31.6516894321,23.5771255017
11,2014-11-03,6.98,7.05,6.8,6.84,118000,6.84,241550.0,7.864,7.3075,8.4774,6.35633333333,8.22741032172,7.3075,6.38758967828,-0.45068349048,-0.464306415482,0.0136229250021,34.3168125707,26.273331994,18.3523993348
12,2014-10-31,7.07,7.11,6.89,7.04,225500,7.04,248102.0,7.952,7.396,8.5296,6.345,8.44980074018,7.396,6.34219925982,-0.458269330224,-0.467712146733,0.00944281650839,37.1864861765,23.9037555478,15.8032254335
13,2014-10-30,6.88,7.03,6.7,6.96,165000,6.96,247512.0,8.03933333333,7.487,8.5734,6.3304,8.70383359586,7.487,6.27016640414,-0.481649520876,-0.47007285086,-0.0115766700165,35.1729610492,12.4797250328,14.0243961577
14,2014-10-29,6.93,7.08,6.82,6.88,182800,6.88,250410.0,8.13833333333,7.5735,8.6202,6.316,8.87144106184,7.5735,6.27555893816,-0.496339880278,-0.467178683356,-0.029161196922,33.1841251964,10.7527847646,16.0603025897
15,2014-10-28,6.88,7.08,6.83,6.95,706800,6.95,251502.0,8.25433333333,7.671,8.6652,6.30033333333,9.03708784491,7.671,6.30491215509,-0.499725177109,-0.459888384125,-0.0398367929843,34.0324443403,16.0766363887,18.6699201513
16,2014-10-27,7.01,7.08,6.8,6.88,117000,6.88,241704.0,8.35633333333,7.766,8.7084,6.28513333333,9.18167510397,7.766,6.35032489603,-0.503904589762,-0.449929185879,-0.0539754038832,32.4284300974,16.7884384447,18.9152892343
17,2014-10-24,7.2,7.2,7.03,7.06,81200,7.06,244042.0,8.453,7.873,8.7518,6.2712,9.32759410146,7.873,6.41840589854,-0.494782246061,-0.436435334908,-0.0583469111524,34.4272318138,20.6233507608,20.5181155596
18,2014-10-23,7.17,7.33,7.14,7.22,175700,7.22,248688.0,8.553,7.9835,8.7908,6.25673333333,9.50833802419,7.9835,6.45866197581,-0.494269258339,-0.42184860712,-0.0724206512189,36.2726100325,21.1912550109,22.1006891266
19,2014-10-22,7.25,7.34,7.02,7.11,187800,7.11,248100.0,8.63233333333,8.0745,8.8272,6.2406,9.62326047212,8.0745,6.52573952788,-0.502716037526,-0.403743444315,-0.0989725932102,34.0146361118,17.0581127206,22.3748540469
20,2014-10-21,7.26,7.28,7.07,7.22,209200,7.22,250652.0,8.71,8.1805,8.8674,6.2252,9.74085220383,8.1805,6.62014779617,-0.494984966051,-0.379000296013,-0.115984670038,35.1718215707,23.1997437459,23.1797373991
21,2014-10-20,7.1,7.35,7.09,7.21,194300,7.21,255530.0,8.776,8.288,8.9024,6.2092,9.86500475586,8.288,6.71099524414,-0.489117526226,-0.350004128503,-0.139113397722,34.9851094095,26.953645029,20.2988991741
22,2014-10-17,7.75,7.77,7.08,7.1,131800,7.1,259760.0,8.84466666667,8.4015,8.9536,6.19353333333,9.9785767261,8.4015,6.8244232739,-0.473495920831,-0.315225779073,-0.158270141758,33.0145138369,22.2879146919,14.3060204019
23,2014-10-16,7.47,8.01,7.47,7.7,206800,7.7,262486.0,8.90433333333,8.5295,9.024,6.17733333333,10.0785703664,8.5295,6.98042963362,-0.43546985837,-0.275658243633,-0.159811614737,39.0020147187,20.2776461295,10.6670742139
24,2014-10-15,7.01,7.7,6.86,7.64,240500,7.64,264538.0,8.945,8.641,9.0888,6.1564,10.2548636869,8.641,7.02713631307,-0.441691577071,-0.235705339949,-0.205986237122,37.9571801597,11.6763908458,7.38424302136
25,2014-10-14,7.19,7.44,6.99,7.01,436000,7.01,270602.0,8.98433333333,8.777,9.158,6.1364,10.4861413049,8.777,7.06785869513,-0.43709905691,-0.184208780669,-0.252890276241,25.5181297756,2.98212994016,6.11769215972
26,2014-10-13,7.57,7.62,7.02,7.09,398600,7.09,277702.0,9.051,8.927,9.2166,6.12046666667,10.5115390497,8.927,7.34246095031,-0.360734072167,-0.120986211608,-0.239747860559,26.1360033625,7.73212994016,8.52335922932
27,2014-10-10,7.93,8.15,7.43,7.53,315700,7.53,276072.0,9.11433333333,9.0615,9.1798,6.10446666667,10.4431696421,9.0615,7.67983035786,-0.266162996046,-0.0610492464686,-0.205113749577,29.8240403969,7.1463213593,8.99335111643
28,2014-10-09,8.4,8.5,7.93,7.96,320700,7.96,275264.0,9.167,9.188,9.1378,6.08566666667,10.4431111505,9.188,7.93288884954,-0.186384451672,-0.00977080907442,-0.176613642597,34.2039304251,6.61018739925,10.0656654399
29,2014-10-08,8.34,8.5,8.2,8.42,214500,8.42,273204.0,9.211,9.27,9.0866,6.06413333333,10.4017066758,9.27,8.13829332422,-0.125628790283,0.0343826015749,-0.160011391858,40.0459029567,12.6047982185,11.1448960222
