,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,15.37,15.37,15.37,15.37,200,15.37,2516.0,14.8286666667,14.981,14.686,14.4752666667,15.5600993006,14.981,14.4019006994,0.191755217241,0.164930996238,0.0268242210031,67.6379583539,69.8863636364,64.8887147335
1,2014-11-17,15.4,15.4,15.4,15.4,800,15.4,2524.0,14.798,14.94,14.6636,14.4710666667,15.5192408825,14.94,14.3607591175,0.184441155097,0.158224940987,0.0262162141095,69.2403607542,63.6363636364,65.458217788
2,2014-11-14,15.15,15.19,15.13,15.19,1300,15.19,2584.0,14.764,14.8975,14.6408,14.4657333333,15.4599899999,14.8975,14.3350100001,0.169368426249,0.15167088746,0.0176975387894,63.6414886524,61.0501567398,68.4919006843
3,2014-11-13,15.21,15.25,15.11,15.11,7400,15.11,2560.0,14.7343333333,14.8655,14.623,14.4601333333,15.430600876,14.8655,14.300399124,0.169048420684,0.147246502762,0.0218019179214,61.1393253273,64.9819749216,71.7317305071
4,2014-11-12,15.4,15.4,15.2,15.26,6600,15.26,2418.0,14.707,14.83,14.6064,14.4561333333,15.4179455757,14.83,14.2420544243,0.174326545643,0.141796023282,0.0325305223612,69.4622289311,72.164375854,74.9016492628
5,2014-11-11,15.22,15.22,15.22,15.22,300,15.22,2288.0,14.6856666667,14.802,14.5862,14.4511333333,15.3578273113,14.802,14.2461726887,0.163254966291,0.133663392692,0.0295915735994,68.3969400184,75.7710952216,78.5996857341
6,2014-11-10,15.09,15.09,15.09,15.09,100,15.09,2384.0,14.66,14.7675,14.571,14.446,15.3004493409,14.7675,14.2345506591,0.15082171459,0.126265499292,0.0245562152984,64.6784319821,74.0094760312,81.9789666271
7,2014-11-07,15.25,15.25,14.96,14.96,900,14.96,2484.0,14.639,14.7395,14.5606,14.4422,15.2604404956,14.7395,14.2185595044,0.14599495748,0.120126445467,0.0258685120125,60.3458862717,77.6616499443,86.7848023879
8,2014-11-06,15.0,15.0,15.0,15.0,0,15.0,2504.0,14.6303333333,14.718,14.5464,14.4388,15.2362509045,14.718,14.1997490955,0.150947060841,0.113659317464,0.0372877433768,62.5375608633,86.9565217391,91.668397346
9,2014-11-05,15.0,15.0,15.0,15.0,0,14.96,2510.0,14.608,14.6905,14.5364,14.4334,15.2043277922,14.6905,14.1766722078,0.15099942461,0.10433738162,0.0466620429897,62.5375608633,89.2882187938,93.9306553078
