,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,30.39,30.73,30.38,30.54,773900,30.54,1454772.0,28.7636666667,29.5125,28.3722,29.7794666667,30.4485101495,29.5125,28.5764898505,0.519173338919,0.460185037104,0.0589883018149,67.7132294879,88.4707267578,74.4030221775
1,2014-11-17,29.77,30.4,29.67,30.39,1054100,30.39,1465122.0,28.6443333333,29.423,28.3176,29.7866666667,30.288565711,29.423,28.557434289,0.477520053696,0.44543796165,0.0320820920456,66.5019072816,85.0905661224,64.2101871139
2,2014-11-14,29.84,30.0,29.68,29.85,655900,29.85,1519246.0,28.5496666667,29.3185,28.265,29.7962666667,30.1964128658,29.3185,28.4405871342,0.432682296139,0.437417438639,-0.00473514249947,61.6982564277,66.8293363079,53.9804903685
3,2014-11-13,29.69,29.94,29.56,29.81,771500,29.81,1529996.0,28.471,29.228,28.2196,29.8061333333,30.2321832502,29.228,28.2238167498,0.424141270369,0.438601224264,-0.0144599538949,61.3167020911,57.2214595221,52.1888004633
4,2014-11-12,28.83,29.75,28.66,29.72,1330700,29.72,1537380.0,28.3926666667,29.1045,28.1742,29.8171333333,30.3664583987,29.1045,27.8425416013,0.411143215362,0.442216212737,-0.0310729973756,60.4944716356,47.6993865031,54.1396103896
5,2014-11-11,29.26,29.36,28.72,28.89,1595900,28.89,1535508.0,28.3206666667,28.9675,28.1372,29.8296666667,30.4986417309,28.9675,27.4363582691,0.39773634202,0.449984462081,-0.052248120061,51.7035062753,44.1717791411,61.5134352964
6,2014-11-10,29.1,29.29,29.05,29.19,822700,29.19,1532972.0,28.2823333333,28.8355,28.1222,29.8483333333,30.7721101828,28.8355,26.8988898172,0.459348131435,0.463046492097,-0.00369836066144,55.8766935288,59.6625766871,71.8551832658
7,2014-11-07,29.95,29.97,29.01,29.15,1268700,29.15,1548976.0,28.238,28.6865,28.1046,29.8637333333,30.9259577469,28.6865,26.4470422531,0.500760297104,0.463971082262,0.0367892148417,55.4313124375,65.0246992272,77.2670451705
8,2014-11-06,29.84,29.85,29.44,29.49,967500,29.49,1571600.0,28.2076666667,28.5625,28.087,29.8768,30.95497884,28.5625,26.17002116,0.550406220599,0.454773778551,0.0956324420475,60.22986021,77.19468613,82.6016274963
9,2014-11-05,29.5,30.09,29.48,29.9,1401500,29.9,1577486.0,28.16,28.4225,28.0618,29.8916666667,30.9074054308,28.4225,25.9375945692,0.571148381561,0.43086566804,0.140282713521,66.6948396893,85.538771019,84.7660624079
10,2014-11-04,29.78,30.0,29.42,29.48,1516900,29.48,1571256.0,28.1013333333,28.299,28.0318,29.9054,30.7226658185,28.299,25.8753341815,0.547569854184,0.395794989659,0.151774864525,62.9076175941,81.3100243056,84.9616657746
11,2014-11-03,29.5,29.96,29.45,29.8,1523400,29.8,1587804.0,28.024,28.173,28.01,29.9234,30.5999907293,28.173,25.7460092707,0.55227406318,0.357851273528,0.194422789652,68.4112962661,86.3630285303,87.7699069474
12,2014-10-31,29.42,29.92,29.38,29.84,1769100,29.84,1598908.0,27.949,28.0605,27.9818,29.9392666667,30.3816762105,28.0605,25.7393237895,0.517663449016,0.309245576115,0.208417872901,69.1131324235,85.8524257766,89.6140904128
13,2014-10-30,29.2,29.45,28.46,29.14,2296200,29.14,1593406.0,27.8803333333,27.943,27.9468,29.9499333333,30.1257514746,27.943,25.7602485254,0.461885342225,0.25714110789,0.204744234335,62.9338377375,86.3211844857,91.4007374393
14,2014-10-29,29.36,29.81,29.15,29.37,1510200,29.37,1564026.0,27.847,27.859,27.9264,29.9632666667,29.9794424067,27.859,25.7385575933,0.455246590034,0.205955049306,0.249291540728,67.0250027225,92.542988997,93.0103646816
15,2014-10-28,29.61,29.82,29.27,29.36,1291500,29.36,1551978.0,27.805,27.7685,27.9008,29.9743333333,29.774683192,27.7685,25.762316808,0.416733177745,0.143632164124,0.273101013621,66.9382313753,93.7397623919,93.1564275702
16,2014-10-27,29.25,29.5,29.13,29.44,653200,29.44,1554606.0,27.7553333333,27.6875,27.8756,29.9852,29.5562201503,27.6875,25.8187798497,0.362532667112,0.075356910719,0.287175756393,68.2728115331,92.9990138828,93.0464346233
17,2014-10-24,29.0,29.45,28.91,29.31,825900,29.31,1555730.0,27.7023333333,27.6085,27.851,29.9981333333,29.2993137094,27.6085,25.9176862906,0.279934449291,0.00356297162073,0.276371477671,67.2887173006,92.7596934548,92.7521885427
18,2014-10-23,28.82,29.3,28.81,28.98,1439500,28.98,1547212.0,27.6503333333,27.555,27.8248,30.0095333333,29.0873641865,27.555,26.0226358135,0.183673677465,-0.0655298977969,0.249203575262,64.7084689952,93.1272405514,90.4213995043
19,2014-10-22,28.8,29.08,28.55,28.6,1477200,28.6,1533706.0,27.6233333333,27.509,27.8048,30.0252,28.9177427018,27.509,26.1002572982,0.0917383115703,-0.127830791612,0.219569103183,61.4576965742,93.2997906041,82.7132495008
20,2014-10-21,28.37,28.83,28.18,28.75,1651000,28.75,1525086.0,27.612,27.486,27.791,30.0454,28.8365613648,27.486,26.1354386352,0.0117518872968,-0.182723067408,0.194474954705,63.6051887605,91.8220295606,69.2902990883
21,2014-10-20,27.87,28.36,27.59,28.3,2458900,28.3,1509688.0,27.5806666667,27.4065,27.7766,30.0612666667,28.6314289775,27.4065,26.1815710225,-0.105783539864,-0.231341806084,0.12555826622,59.6804819699,83.4365373013,51.6315057916
22,2014-10-17,27.51,28.25,27.44,28.04,1958600,28.04,1491160.0,27.5626666667,27.369,27.7708,30.0846,28.5262709277,27.369,26.2117290723,-0.208444633587,-0.262731372639,0.0542867390518,57.2045331408,62.2946405375,32.072691329
23,2014-10-16,26.68,27.76,26.5,27.34,2007200,27.34,1488434.0,27.5473333333,27.356,27.7744,30.109,28.4884027552,27.356,26.2235972448,-0.30997287127,-0.276303057402,-0.0336698138675,49.4429974517,39.6079889537,19.4894353982
24,2014-10-15,25.93,27.2,25.65,26.98,3493700,26.98,1481640.0,27.554,27.396,27.7902,30.139,28.5787155195,27.396,26.2132844805,-0.363778398329,-0.267885603935,-0.0958927943939,44.649032143,21.1868563738,12.5489558088
25,2014-10-14,26.27,26.57,26.02,26.25,1522800,26.25,1454946.0,27.5836666667,27.4525,27.8116,30.1690666667,28.6580683307,27.4525,26.2469316693,-0.390507948891,-0.243912405337,-0.146595543554,32.6183286044,5.20127945077,12.3037198425
26,2014-10-13,26.68,26.93,26.19,26.21,1373000,26.21,1454738.0,27.6466666667,27.5335,27.845,30.2084666667,28.6164639883,27.5335,26.4505360117,-0.344617186898,-0.207263519448,-0.137353667449,31.8648174645,11.9616168146,18.2635247235
