,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,6.22,6.51,6.21,6.5,239200,6.5,291732.0,6.953,6.7645,7.1608,9.262,7.82318739484,6.7645,5.70581260516,-0.3137126972,-0.299263105204,-0.0144495919961,44.0962829938,36.4471338775,34.3540669856
1,2014-11-17,6.1,6.21,6.05,6.12,259500,6.12,290808.0,6.973,6.819,7.198,9.28193333333,7.92861074256,6.819,5.70938925744,-0.341141039928,-0.295650707205,-0.0454903327226,35.4716852582,29.40613566,33.8912734153
2,2014-11-14,6.28,6.28,6.04,6.08,287200,6.08,286940.0,7.00766666667,6.8805,7.2474,9.30166666667,7.96437222494,6.8805,5.79662777506,-0.33249661861,-0.284278124025,-0.0482184945855,34.4837259313,35.7044125465,34.0208001063
3,2014-11-13,6.6,6.6,6.24,6.26,205000,6.26,283116.0,7.041,6.9455,7.3018,9.3208,7.98454715966,6.9455,5.90645284034,-0.312554151858,-0.272223500378,-0.0403306514793,36.8406399445,35.8585858586,32.4179292929
4,2014-11-12,6.52,6.69,6.5,6.59,241900,6.59,281906.0,7.07133333333,7.009,7.3518,9.339,8.02774236193,7.009,5.99025763807,-0.300881342994,-0.262140837508,-0.0387405054852,41.6916906214,34.595959596,30.303030303
5,2014-11-11,6.45,6.55,6.4,6.54,153900,6.54,279006.0,7.087,7.058,7.3992,9.3566,8.08564974578,7.058,6.03035025422,-0.315206138327,-0.252455711137,-0.0627504271902,40.5910852033,29.9242424242,29.6085858586
6,2014-11-10,6.2,6.65,6.2,6.45,270200,6.45,277816.0,7.09433333333,7.0975,7.4514,9.37733333333,8.10296258011,7.0975,6.09203741989,-0.323814060541,-0.23676810434,-0.0870459562016,38.6557192465,29.2929292929,32.4446386946
7,2014-11-07,6.2,6.2,6.02,6.16,286800,6.16,273850.0,7.11633333333,7.132,7.5042,9.39733333333,8.0925748279,7.132,6.1714251721,-0.320927240377,-0.215006615289,-0.105920625088,32.0305658591,27.398989899,37.3034808998
8,2014-11-06,6.55,6.59,6.14,6.22,207900,6.22,269276.0,7.15433333333,7.169,7.5626,9.41913333333,8.02867203049,7.169,6.30932796951,-0.283047302781,-0.188526459017,-0.0945208437635,32.7092393289,31.8181818182,43.7489615482
9,2014-11-05,6.33,6.7,6.05,6.49,373700,6.49,266218.0,7.19066666667,7.216,7.6218,9.44166666667,7.95768456907,7.216,6.47431543093,-0.236690767117,-0.164896248076,-0.0717945190407,35.8865188506,41.2684537685,51.6538896119
10,2014-11-04,6.42,6.47,6.09,6.3,340700,6.3,260338.0,7.22966666667,7.259,7.6736,9.46426666667,7.92298493959,7.259,6.59501506041,-0.201571104985,-0.146947618316,-0.0546234866685,31.5412238757,48.7282981135,54.912595842
11,2014-11-03,5.75,6.51,5.75,6.51,717600,6.51,254840.0,7.279,7.299,7.7306,9.48893333333,7.80456503044,7.299,6.79343496956,-0.134468247427,-0.133291746649,-0.00117650077766,33.89920561,53.1809124926,55.3358583922
12,2014-10-31,7.73,7.73,7.45,7.48,175600,7.48,241884.0,7.31566666667,7.3315,7.7832,9.51366666667,7.6930674211,7.3315,6.9699325789,-0.0682465165447,-0.132997621455,0.0647511049099,49.899384616,63.4378940731,54.5050359752
