,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,18.04,18.07,18.02,18.07,400,18.07,1196.0,18.0353333333,18.0715,18.0482,17.7372666667,18.3552093583,18.0715,17.7877906417,0.0580380744201,0.0333999491685,0.0246381252516,49.4983345594,57.3232323232,43.9750768555
1,2014-11-17,18.47,18.47,18.47,18.47,0,18.47,1292.0,18.0346666667,18.0665,18.0468,17.7308,18.3536428216,18.0665,17.7793571784,0.0699129963471,0.0272404178556,0.0426725784915,76.867771091,59.0909090909,34.8567193676
2,2014-11-14,18.47,18.47,18.47,18.47,200,18.47,1294.0,18.0206666667,18.0415,18.0376,17.7216666667,18.2634256632,18.0415,17.8195743368,0.0433255258417,0.0165722732327,0.026753252609,76.867771091,39.5256916996,28.6739679403
3,2014-11-13,18.02,18.02,18.02,18.02,0,18.02,1368.0,18.0066666667,18.0165,18.0284,17.7126666667,18.1216237366,18.0165,17.9113762634,0.00876005583894,0.00988396008049,-0.00112390424155,50.1070770079,19.9604743083,30.5377140975
4,2014-11-12,18.02,18.02,18.02,18.02,800,18.02,1370.0,18.0076666667,18.013,18.0298,17.7092,18.1220137606,18.013,17.9039862394,0.0103327096777,0.0101649361409,0.000167773536856,50.1070770079,20.8498023715,40.4479578393
5,2014-11-11,18.02,18.02,18.02,18.02,0,18.0,1402.0,18.0086666667,18.0095,18.0274,17.7057333333,18.1218343224,18.0095,17.8971656776,0.0121896938912,0.0101229927567,0.00206670113454,50.1070770079,34.3599033816,49.1243961353
6,2014-11-10,18.02,18.02,18.02,18.02,0,18.0,1462.0,18.0083333333,18.0065,18.0272,17.7042666667,18.1207409734,18.0065,17.8922590266,0.0143825763762,0.00960631747302,0.00477625890314,50.1070770079,46.9806763285,50.2566425121
7,2014-11-07,18.05,18.2,18.02,18.02,900,18.0,1472.0,18.008,18.0035,18.027,17.7028,18.119305872,18.0035,17.887694128,0.0169722907279,0.00841225274724,0.00856003798062,50.1070770079,59.6014492754,49.9698067633
8,2014-11-06,18.1,18.1,18.1,18.1,0,18.08,1488.0,18.0076666667,18.0005,18.0268,17.7018666667,18.1175427272,18.0005,17.8834572728,0.0200308382716,0.00627224325209,0.0137585950195,58.3986461696,55.5555555556,44.5138888889
9,2014-11-05,18.1,18.1,18.1,18.1,0,18.08,1496.0,18.0046666667,17.992,18.0278,17.7004,18.1034629983,17.992,17.8805370017,0.0154978449435,0.0028325944972,0.0126652504463,58.3986461696,38.8888888889,45.9722222222
10,2014-11-04,18.15,18.15,18.1,18.1,4800,18.08,1530.0,18.0016666667,17.9875,18.0288,17.6920666667,18.0878742995,17.9875,17.8871257005,0.00948667389647,-0.000333718114375,0.00982039201085,58.3986461696,45.8333333333,54.375
11,2014-11-03,17.98,17.98,17.98,17.98,0,17.96,1434.0,17.9986666667,17.985,18.0308,17.6829333333,18.0761043358,17.985,17.8938956642,0.00167624577611,-0.00278881611709,0.0044650618932,48.0803904937,37.7777777778,57.9166666667
12,2014-10-31,17.98,17.98,17.98,17.98,200,17.96,1434.0,17.9996666667,17.9885,18.0352,17.6746,18.0838467357,17.9885,17.8931532643,0.0039010994003,-0.00390508159039,0.00780618099068,48.0803904937,61.3888888889,62.2222222222
13,2014-10-30,18.14,18.15,18.12,18.15,6300,18.13,1430.0,18.0006666667,17.992,18.0396,17.6686,18.0909141042,17.992,17.8930858958,0.00668407839843,-0.00585662683806,0.0125407052365,68.9787675131,72.5,57.2916666667
14,2014-10-29,17.97,17.97,17.97,17.97,1600,17.95,1308.0,17.9993333333,17.987,18.0406,17.6614666667,18.0602393337,17.987,17.9137606663,-0.00717014227521,-0.00899180314718,0.00182166087197,45.8286562521,60.0,49.375
15,2014-10-28,18.0,18.0,18.0,18.0,1000,17.98,1312.0,18.004,17.991,18.0356,17.6554666667,18.0686916984,17.991,17.9133083016,-0.00642160004737,-0.00944721836517,0.0030256183178,51.8126932195,55.0,44.375
16,2014-10-27,18.0,18.0,18.0,18.0,0,17.98,1480.0,18.004,17.9915,18.0306,17.6492666667,18.0695448589,17.9915,17.9134551411,-0.00842732833042,-0.0102036229446,0.0017762946142,51.8126932195,41.6666666667,42.2916666667
17,2014-10-24,18.0,18.0,18.0,18.0,1000,17.98,1480.0,18.0076666667,17.992,18.027,17.6430666667,18.0703836718,17.992,17.9136163282,-0.0108647876542,-0.0106476965982,-0.000217091055997,51.8126932195,40.8333333333,42.7083333333
18,2014-10-23,17.97,17.97,17.97,17.97,500,17.95,1460.0,18.0153333333,17.9925,18.0234,17.6354,18.0712083223,17.9925,17.9137916777,-0.0138178388251,-0.0105934238342,-0.00322441499097,46.1867938163,40.0,42.5
19,2014-10-22,17.97,17.97,17.97,17.97,0,17.95,1456.0,18.024,17.9945,18.0204,17.6279333333,18.0728517709,17.9945,17.9161482291,-0.014331473755,-0.00978732008643,-0.00454415366858,46.1867938163,46.6666666667,42.0833333333
20,2014-10-21,17.97,17.97,17.97,17.97,0,17.95,1456.0,18.0326666667,17.9965,18.0134,17.6191333333,18.0742881739,17.9965,17.9187118261,-0.0147786009018,-0.00865128166929,-0.00612731923249,46.1867938163,43.3333333333,39.5833333333
21,2014-10-20,17.97,17.97,17.97,17.97,0,17.95,1464.0,18.0336666667,17.9985,18.0064,17.611,18.0755129859,17.9985,17.9214870141,-0.0151343362651,-0.00711945186117,-0.00801488440391,46.1867938163,40.0,38.3333333333
22,2014-10-17,17.97,17.97,17.97,17.97,500,17.95,1508.0,18.035,18.0005,18.0034,17.6028666667,18.0765197343,18.0005,17.9244802657,-0.0153682481467,-0.00511573076019,-0.0102525173866,46.1867938163,38.3333333333,37.0833333333
23,2014-10-16,17.95,17.95,17.95,17.95,0,17.93,1516.0,18.0363333333,18.0025,18.0,17.5957333333,18.0772997326,18.0025,17.9277002674,-0.0154432666118,-0.00255260141355,-0.0128906651982,43.1310284326,36.6666666667,33.75
24,2014-10-15,17.96,17.96,17.95,17.95,2000,17.93,1518.0,18.041,18.0105,17.995,17.5887333333,18.0947555636,18.0105,17.9262444364,-0.0132780244837,0.000670064886006,-0.0139480893697,43.1310284326,38.3333333333,34.5833333333
25,2014-10-14,17.96,18.05,17.96,17.96,2000,17.94,1478.0,18.0393333333,18.0185,17.9884,17.5817333333,18.1084499861,18.0185,17.9285500139,-0.0103212532659,0.00415708722842,-0.0144783404943,44.2134237966,35.0,37.5
26,2014-10-13,17.96,17.96,17.96,17.96,0,17.94,1438.0,18.041,18.0205,17.9816,17.5746666667,18.1068655024,18.0205,17.9341344976,-0.00741539250036,0.007776672352,-0.0151920648524,44.2134237966,25.0,45.0
27,2014-10-10,17.96,17.96,17.96,17.96,100,17.94,1456.0,18.0426666667,18.028,17.9748,17.5676,18.1180222195,18.028,17.9379777805,-0.00359859723238,0.0115746885651,-0.0151732857975,44.2134237966,40.0,60.0
28,2014-10-09,18.01,18.03,17.9,17.93,1800,17.91,1454.0,18.0443333333,18.0415,17.9654,17.5605333333,18.1623759695,18.0415,17.9206240305,0.00132536468759,0.0153680100144,-0.0140426453269,40.6349823478,50.0,66.0416666667
29,2014-10-08,18.05,18.05,18.01,18.01,1000,17.97,1418.0,18.0516666667,18.0565,17.9566,17.5536666667,18.1918920234,18.0565,17.9211079766,0.0106453980518,0.0188786713462,-0.00823327329437,48.3080234526,65.0,64.5833333333
30,2014-10-07,18.05,18.05,18.05,18.05,100,18.01,1418.0,18.0563333333,18.0675,17.9462,17.5446,18.2205849437,18.0675,17.9144150563,0.0142408530286,0.0209369896698,-0.00669613664113,52.9501850263,85.0,55.2678571429
31,2014-10-06,18.05,18.05,18.05,18.05,0,18.01,1416.0,18.0613333333,18.065,17.9442,17.5356,18.2207562198,18.065,17.9092437802,0.0145500940641,0.02261102383,-0.00806092976595,52.9501850263,64.1666666667,36.8452380952
32,2014-10-03,18.05,18.05,18.05,18.05,700,18.01,1432.0,18.0663333333,18.063,17.9422,17.5266,18.220492857,18.063,17.905507143,0.0147331603448,0.0246262562715,-0.00989309592674,52.9501850263,44.1666666667,23.4821428571
33,2014-10-02,18.05,18.05,18.05,18.05,0,18.01,1418.0,18.0713333333,18.061,17.9358,17.5176,18.2201100248,18.061,17.9018899752,0.0147525189744,0.0270995302532,-0.0123470112788,52.9501850263,27.7380952381,16.0119047619
34,2014-10-01,18.05,18.05,18.05,18.05,100,18.01,1438.0,18.0763333333,18.063,17.9294,17.5089333333,18.2225117551,18.063,17.9034882449,0.0145626455311,0.0301862830729,-0.0156236375418,52.9501850263,11.3095238095,12.6488095238
35,2014-09-30,18.01,18.01,18.01,18.01,0,17.97,1454.0,18.0653333333,18.0555,17.9264,17.5002666667,18.230139629,18.0555,17.880860371,0.014108477674,0.0340921924584,-0.0199837147844,49.6071041521,10.7142857143,13.3928571429
36,2014-09-29,18.01,18.01,18.01,18.01,0,17.97,1454.0,18.0566666667,18.0555,17.9242,17.4918666667,18.230139629,18.0555,17.880860371,0.0173963073884,0.0390881211545,-0.0216918137661,49.6071041521,14.2857142857,14.2857142857
37,2014-09-26,18.01,18.01,18.01,18.01,0,17.97,1454.0,18.0503333333,18.0555,17.922,17.4834666667,18.230139629,18.0555,17.880860371,0.0213397364799,0.044511074596,-0.023171338116,49.6071041521,14.2857142857,16.5178571429
38,2014-09-25,18.01,18.01,18.01,18.01,300,17.97,1454.0,18.044,18.0555,17.9198,17.4747333333,18.230139629,18.0555,17.880860371,0.026062589808,0.050303909125,-0.0242413193169,49.6071041521,14.2857142857,21.2225274725
39,2014-09-24,18.01,18.01,18.01,18.01,0,17.97,1640.0,18.0376666667,18.0625,17.9176,17.4666666667,18.2404747173,18.0625,17.8845252827,0.0317115758405,0.0563642389542,-0.0246526631137,49.6071041521,14.2857142857,27.0563994829
40,2014-09-23,18.06,18.06,18.01,18.01,9900,17.97,1640.0,18.0246666667,18.0695,17.9114,17.4579333333,18.2496638143,18.0695,17.8893361857,0.0384604769097,0.0625274047327,-0.0240669278229,49.6071041521,23.2142857143,34.289081017
41,2014-09-22,18.01,18.01,18.01,18.01,0,17.97,1442.0,18.0116666667,18.079,17.9052,17.4492,18.2655368596,18.079,17.8924631404,0.0465151037012,0.0685441366884,-0.0220290329872,49.6071041521,33.1043956044,39.7062863607
42,2014-09-19,18.02,18.05,18.01,18.01,2100,17.97,1442.0,18.0053333333,18.0885,17.899,17.4404666667,18.2793166659,18.0885,17.8976833341,0.0561191531158,0.0740513949352,-0.0179322418194,49.6071041521,37.6212023271,42.8272462831
43,2014-09-18,18.22,18.25,18.11,18.11,3700,18.07,1400.0,17.9983333333,18.098,17.8928,17.4337333333,18.2911424345,18.098,17.9048575655,0.0675611339596,0.07853445539,-0.0109733214304,55.0081593796,43.2164404223,46.338612368
44,2014-09-17,18.1,18.12,18.09,18.11,5600,18.07,1326.0,17.9846666667,18.1025,17.8846,17.4263333333,18.3006792118,18.1025,17.9043207882,0.0710007366517,0.0812777857476,-0.0102770490959,55.0081593796,44.883107089,47.3053355958
45,2014-09-16,18.0,18.0,17.97,18.0,7200,17.96,1214.0,17.9683333333,18.083,17.8764,17.4178,18.3418513087,18.083,17.8241486913,0.0743581824639,0.0838470480216,-0.00948886555774,49.8269843199,45.5882352941,45.5637254902
46,2014-09-15,18.01,18.11,17.99,18.11,2300,18.07,1082.0,17.9556666667,18.0705,17.8704,17.41,18.3657609016,18.0705,17.7752390984,0.0887619306464,0.086219264411,0.00254266623538,55.7930791579,51.6666666667,41.3541666667
47,2014-09-12,18.23,18.23,18.23,18.23,0,18.19,1036.0,17.9393333333,18.056,17.8622,17.4024666667,18.3699681513,18.056,17.7420318487,0.0946552684264,0.0855835978522,0.0090716705742,63.4943926123,47.0833333333,34.1666666667
48,2014-09-11,18.23,18.23,18.23,18.23,0,18.19,1036.0,17.9146666667,18.0355,17.8516,17.3935333333,18.35484151,18.0355,17.71615849,0.088582324743,0.0833156802087,0.00526664453434,63.4943926123,37.9166666667,27.0833333333
49,2014-09-10,18.01,18.23,18.01,18.23,2700,18.19,1036.0,17.89,18.015,17.841,17.3828666667,18.3344056981,18.015,17.6955943019,0.0795425700817,0.0819990190751,-0.00245644899333,63.4943926123,28.75,23.3955627706
