,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,50.24,50.42,48.46,48.54,43633900,48.54,15739346.0,53.391,53.3435,57.9308,64.1902666667,57.0500740246,53.3435,49.6369259754,-1.680054334,-1.62136647477,-0.0586878592358,33.5881128533,28.3718123184,45.640846309
1,2014-11-17,51.47,51.78,49.01,49.23,80304900,49.23,14984918.0,53.8133333333,53.6995,58.2766,64.27,56.8124180844,53.6995,50.5865819156,-1.41843835056,-1.60669450996,0.1882561594,34.8747667771,41.640059869,53.6414306443
2,2014-11-14,56.03,56.26,53.69,55.08,25489200,55.08,13555158.0,54.2283333333,53.884,58.6182,64.3416,56.2673455477,53.884,51.5006544523,-1.1341439375,-1.65375854981,0.519614612309,49.9335896489,56.58949348,58.0704642773
3,2014-11-13,52.83,58.0,50.77,53.79,35967800,53.79,13224916.0,54.4543333333,53.76,58.8656,64.3682666667,56.1395966045,53.76,51.3804033955,-1.35042061119,-1.78366220288,0.433241591691,45.0775922933,55.9620195685,57.1635000517
4,2014-11-12,53.22,54.54,52.85,53.23,9590600,53.23,12709268.0,54.7093333333,53.629,59.1208,64.3937333333,56.2624912189,53.629,50.9955087811,-1.47548035673,-1.89197260081,0.416492244078,42.8429103093,60.3741496599,53.7040327647
5,2014-11-11,53.94,54.03,52.28,53.72,10705200,53.72,12679686.0,55.0173333333,53.4995,59.4078,64.4249333333,56.4360249871,53.4995,50.5629750129,-1.55662235402,-1.99609566183,0.439473307802,44.3076771929,59.3561944008,47.8326100281
6,2014-11-10,55.01,55.6,53.26,53.63,10217200,53.63,12678472.0,55.377,53.295,59.6832,64.4587333333,56.677422209,53.295,49.912577791,-1.68743817815,-2.10596398878,0.418525810628,43.9810243388,52.9616365777,43.6032431523
7,2014-11-07,53.35,54.47,53.25,53.86,10990300,53.86,12579126.0,55.7763333333,53.1265,59.9628,64.4912666667,56.7523807206,53.1265,49.5006192794,-1.82069854744,-2.21059544143,0.389896893992,44.6018137325,42.1241504205,41.627277637
8,2014-11-06,51.8,53.22,51.4,53.17,13579800,53.17,12507906.0,56.177,53.148,60.2332,64.5146,56.7960548241,53.148,49.4999451759,-1.98772253083,-2.30806966493,0.320347134102,42.3343915104,36.8884587134,45.8885075813
9,2014-11-05,51.75,52.96,51.38,52.37,13049200,52.37,12547230.0,56.5266666667,53.3535,60.5394,64.5555333333,57.4221571495,53.3535,49.2848428505,-2.10173899645,-2.38815644846,0.286417452006,39.676228876,42.4387268976,52.5429161741
10,2014-11-04,52.84,52.87,50.06,51.18,20019200,51.18,12442702.0,56.9383333333,53.7555,60.8882,64.6050666667,58.8223470472,53.7555,48.6886529528,-2.13524017262,-2.45976081146,0.324520638835,35.5742194928,45.0577745166,56.4696767245
11,2014-11-03,55.5,55.94,53.67,53.88,11962100,53.88,12143586.0,57.3923333333,54.257,61.2356,64.6634,60.1267703533,54.257,48.3872296467,-2.02577818043,-2.54089097117,0.515112790741,41.5230170068,59.1690701977,62.4981844486
12,2014-10-31,53.52,55.19,53.02,55.14,11120300,55.14,12006818.0,57.7523333333,54.647,61.5074,64.7017333333,61.3430857223,54.647,47.9509142777,-2.13150810049,-2.66966916885,0.538161068363,44.7669623666,63.5060930847,65.7191063476
13,2014-10-30,54.06,54.53,53.11,53.92,7249700,53.92,11878582.0,58.1313333333,54.983,61.7714,64.7267333333,62.38184072,54.983,47.58415928,-2.36374508064,-2.80420943594,0.440464355307,40.5942575883,58.145769099,67.3654532255
14,2014-10-29,54.52,55.17,53.82,54.42,10994700,54.42,11822480.0,58.545,55.359,62.0686,64.7636666667,63.2513960874,55.359,47.4666039126,-2.50156398867,-2.91432552477,0.412761536102,41.7959075607,69.1718054128,70.884162457
15,2014-10-28,52.74,53.63,52.51,53.26,13853100,53.26,11718832.0,58.939,55.7615,62.3556,64.7881333333,64.2219261713,55.7615,47.3010738287,-2.6919937369,-3.0175159088,0.325522171893,37.8314144682,72.0527577938,67.9979232302
16,2014-10-27,54.2,54.2,51.84,52.39,18783400,52.39,11542100.0,59.4066666667,56.324,62.6678,64.8222,65.5092564472,56.324,47.1387435528,-2.77778597939,-3.09889645177,0.321110472384,34.7355090916,70.0914805963,60.944182057
17,2014-10-24,56.3,56.3,54.45,55.78,11425800,55.78,11303208.0,59.8696666667,56.985,62.9884,64.8672,66.8222729961,56.985,47.1477270039,-2.75830210009,-3.17917406987,0.420871969775,42.369803502,72.2206060253,52.3338789977
18,2014-10-23,55.39,56.36,54.8,55.85,10908000,55.85,11241856.0,60.2056666667,57.49,63.2196,64.8805333333,68.0392009176,57.49,46.9407990824,-3.03847646361,-3.28439206231,0.245915598702,42.5491113874,57.6268485053,40.5481440174
19,2014-10-22,56.07,56.51,54.35,54.43,17167100,54.43,11101612.0,60.5796666667,57.8805,63.4934,64.8952666667,68.7318381202,57.8805,47.0291618798,-3.35901208448,-3.34587096198,-0.0131411224955,37.5726148752,43.8377931011,30.6381284816
20,2014-10-21,54.41,55.87,53.92,55.66,18924500,55.66,10859616.0,60.989,58.395,63.7852,64.9148,69.5155782224,58.395,47.2744217776,-3.57469191935,-3.34258568136,-0.232106237986,40.3864226352,35.6502683592,22.4381168384
