,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,13.43,13.46,13.3,13.3,1500,13.3,1518.0,14.3183333333,13.8875,14.914,14.9158666667,14.9319687645,13.8875,12.8430312355,-0.406016419024,-0.400072286453,-0.00594413257134,36.2958672148,34.3959731544,31.0402684564
1,2014-11-17,13.5,13.74,13.36,13.65,3400,13.65,1488.0,14.3753333333,13.9845,14.953,14.9406,15.1464376059,13.9845,12.8225623941,-0.400859126262,-0.39858625331,-0.00227287295201,40.8511809874,39.4295302013,26.8623505663
2,2014-11-14,13.55,13.58,13.38,13.4,2000,13.4,1426.0,14.4206666667,14.064,14.985,14.963,15.3358867874,14.064,12.7921132126,-0.424082230755,-0.398018035072,-0.0260641956825,35.4803646071,28.5234899329,20.2709967345
3,2014-11-13,13.55,13.72,13.5,13.7,15800,13.7,1388.0,14.4743333333,14.154,15.0224,14.9870666667,15.4788456514,14.154,12.8291543486,-0.422100342587,-0.391501986152,-0.0305983564352,39.4743428887,21.8120805369,17.7678848134
4,2014-11-12,13.0,13.99,13.0,13.6,20300,13.6,1104.0,14.518,14.2315,15.0534,15.0091333333,15.6208203374,14.2315,12.8421796626,-0.443976545797,-0.383852397043,-0.060124148754,37.2893345641,17.684301594,20.7603592315
5,2014-11-11,13.13,13.13,13.1,13.1,400,13.1,738.0,14.565,14.314,15.0876,15.0296666667,15.7390249121,14.314,12.8889750879,-0.455258877228,-0.368821359854,-0.0864375173733,24.6619544803,13.0641148743,26.6982155005
6,2014-11-10,13.6,13.6,13.6,13.6,0,13.6,736.0,14.6766666667,14.419,15.1306,15.0544666667,15.7787190886,14.419,13.0592809114,-0.412128196585,-0.347211980511,-0.0649162160743,30.3336327118,18.5110422486,36.2284062136
7,2014-11-07,13.6,13.6,13.6,13.6,0,13.6,758.0,14.7733333333,14.4985,15.1636,15.0770666667,15.8432271099,14.4985,13.1537728901,-0.40199226316,-0.330982926492,-0.071009336668,30.3336327118,33.7819782092,44.6895450043
8,2014-11-06,13.6,13.6,13.6,13.6,1900,13.6,758.0,14.87,14.578,15.1966,15.0976666667,15.8884136751,14.578,13.2675863249,-0.383207966125,-0.313230592325,-0.0699773737996,30.3336327118,41.4357266698,47.1696275794
9,2014-11-05,13.63,14.49,13.6,13.6,5100,13.6,728.0,14.9506666667,14.6495,15.2296,15.1214666667,15.8930027141,14.6495,13.4059972859,-0.353658438401,-0.295736248875,-0.057922189526,30.3336327118,51.1848777269,45.5729508139
10,2014-11-04,14.45,14.45,14.45,14.45,0,14.45,644.0,15.0313333333,14.72,15.2362,15.1452666667,15.8741750301,14.72,13.5658249699,-0.310798373003,-0.281255701494,-0.0295426715092,42.7635416239,52.3555974114,39.394378441
11,2014-11-03,14.45,14.45,14.45,14.45,0,14.45,654.0,15.083,14.748,15.2152,15.1634,15.9017868087,14.748,13.5942131913,-0.338118095015,-0.273870033617,-0.064248061398,42.7635416239,43.7023085096,31.2687143823
12,2014-10-31,14.45,14.45,14.45,14.45,200,14.45,664.0,15.1346666667,14.776,15.2162,15.1814666667,15.9266763229,14.776,13.6253236771,-0.368069913364,-0.257808018267,-0.110261895097,42.7635416239,35.0490196078,24.8032765738
13,2014-10-30,13.75,13.75,13.75,13.75,0,13.75,662.0,15.1863333333,14.804,15.197,15.2001333333,15.9488213834,14.804,13.6591786166,-0.400945580953,-0.230242544493,-0.17070303646,21.5735260456,26.4705882353,20.298769428
