,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,7.3,7.35,7.27,7.32,1113900,7.32,1232000.0,7.00966666667,7.2305,6.795,6.59033333333,7.58588570596,7.2305,6.87511429404,0.161809955734,0.183427346773,-0.0216173910396,63.1069693975,32.9259259259,56.6612549296
1,2014-11-17,7.27,7.38,7.26,7.27,935400,7.27,1219910.0,6.97666666667,7.207,6.7834,6.57993333333,7.59615806557,7.207,6.81784193443,0.171498548949,0.188831694533,-0.0173331455841,60.7652763644,45.7464387464,70.3239087617
2,2014-11-14,7.4,7.42,7.24,7.26,1732100,7.26,1210274.0,6.94633333333,7.179,6.7744,6.56913333333,7.62275218309,7.179,6.73524781691,0.18646110176,0.193164980929,-0.00670387916986,60.2972704849,63.2580666534,81.0014474265
3,2014-11-13,7.38,7.48,7.38,7.4,1233400,7.4,1186432.0,6.916,7.1445,6.7664,6.55826666667,7.65929996115,7.1445,6.62970003885,0.203864780412,0.194840950722,0.00902382968987,71.3635160424,84.7145883925,87.9613077311
4,2014-11-12,7.38,7.4,7.36,7.38,931600,7.38,1176364.0,6.87766666667,7.104,6.7544,6.54586666667,7.65798194916,7.104,6.55001805084,0.208858351631,0.192584993299,0.0162733583315,70.6489479851,87.5765412545,89.5771664254
5,2014-11-11,7.43,7.44,7.37,7.38,647700,7.38,1171798.0,6.84133333333,7.058,6.7444,6.53433333333,7.66309833912,7.058,6.45290166088,0.214230388327,0.188516653717,0.0257137346104,70.6489479851,88.4565934057,91.2040644749
6,2014-11-10,7.34,7.43,7.34,7.43,787600,7.43,1198906.0,6.80766666667,7.015,6.7346,6.52333333333,7.64420584867,7.015,6.38579415133,0.217970982243,0.182088220064,0.0358827621794,74.6651200859,91.0975078716,93.1151331382
7,2014-11-07,7.39,7.44,7.31,7.34,1858000,7.34,1213140.0,6.77766666667,6.9655,6.7218,6.51206666667,7.61185825979,6.9655,6.31914174021,0.214483944191,0.173117529519,0.0413664146721,72.0051782244,91.1780231695,94.4872578817
8,2014-11-06,7.38,7.41,7.28,7.37,2264900,7.37,1198414.0,6.75166666667,6.9255,6.7108,6.5012,7.57321830297,6.9255,6.27778169703,0.216077085526,0.162775925851,0.0533011596745,74.4237495674,94.0841334527,95.3716612081
9,2014-11-05,7.44,7.44,7.34,7.42,1959800,7.42,1192378.0,6.722,6.88,6.7014,6.49033333333,7.52426702539,6.88,6.23573297461,0.211913028312,0.149450635932,0.0624623923794,78.5046363433,96.100868059,95.8571361872
10,2014-11-04,7.26,7.38,7.23,7.37,1540100,7.37,1160936.0,6.689,6.836,6.6902,6.47973333333,7.44602950748,6.836,6.22597049252,0.198424896693,0.133835037838,0.0645898588553,77.3514521602,96.5860068456,96.0757692869
11,2014-11-03,7.27,7.31,7.25,7.28,1230200,7.28,1138834.0,6.657,6.784,6.6798,6.46973333333,7.38023485306,6.784,6.18776514694,0.183413864747,0.117687573124,0.0657262916234,75.1205389783,94.7156364752,95.8668720032
12,2014-10-31,7.28,7.32,7.21,7.29,2062000,7.29,1122336.0,6.63133333333,6.738,6.671,6.46006666667,7.31574042614,6.738,6.16025957386,0.170750127758,0.101256000218,0.0694941275405,75.8918154036,96.0260333691,96.014456201
13,2014-10-30,7.17,7.22,7.05,7.21,1498000,7.21,1093204.0,6.60666666667,6.691,6.663,6.45033333333,7.23332462603,6.691,6.14867537397,0.151084774325,0.0838824683328,0.0672023059926,73.9012503921,96.9754004577,94.99454687
14,2014-10-29,7.07,7.15,7.01,7.08,736400,7.08,1075782.0,6.58666666667,6.643,6.6568,6.44046666667,7.16254210609,6.643,6.12345789391,0.131932490135,0.0670818918346,0.0648505983005,70.186853043,95.7504177109,93.7372957667
15,2014-10-28,7.0,7.11,6.98,7.1,1259600,7.1,1078524.0,6.572,6.6035,6.6528,6.43113333333,7.10391083122,6.6035,6.10308916878,0.11880455664,0.0508692422595,0.06793531438,71.6434764053,95.3059732665,93.183115747
16,2014-10-27,6.92,6.99,6.89,6.99,562000,6.99,1076140.0,6.55333333333,6.567,6.6488,6.42146666667,7.02162512029,6.567,6.11237487971,0.0982841097903,0.0338854136645,0.0643986961258,68.2816083525,91.9463960448,91.5594912829
17,2014-10-24,6.93,6.95,6.85,6.94,777300,6.94,1098842.0,6.53533333333,6.544,6.6424,6.4132,6.95516420078,6.544,6.13283579922,0.0818629705786,0.017785739633,0.0640772309455,66.6108012595,91.9463960448,90.2774377262
18,2014-10-23,6.91,6.98,6.89,6.91,1378200,6.91,1114586.0,6.52133333333,6.525,6.638,6.40486666667,6.89418829884,6.525,6.15581170116,0.0648038005944,0.00176643189663,0.0630373686978,65.6012595644,93.5336976321,86.3333471325
19,2014-10-22,6.89,6.96,6.84,6.87,1285300,6.87,1161564.0,6.51333333333,6.5035,6.6352,6.39746666667,6.82786245159,6.5035,6.17913754841,0.0451420410787,-0.0139929102778,0.0591349513566,64.2634799426,88.8114754098,80.0248385494
20,2014-10-21,6.76,6.85,6.71,6.85,1214500,6.85,1150778.0,6.50466666667,6.4815,6.6324,6.39033333333,6.7598720532,6.4815,6.2031279468,0.0234626019721,-0.028776648117,0.0522392500891,63.6063473586,86.8181818182,74.007462445
21,2014-10-20,6.57,6.71,6.53,6.71,721200,6.71,1144946.0,6.501,6.4595,6.6306,6.3836,6.68180384612,6.4595,6.23719615388,-0.00251315633443,-0.0418364606392,0.0393233043048,58.6659476883,76.17003367,68.3463642839
22,2014-10-17,6.64,6.67,6.54,6.57,1199900,6.57,1145540.0,6.50466666667,6.4495,6.6316,6.37833333333,6.64179924597,6.4495,6.25720075403,-0.0213765692081,-0.0516672867154,0.0302907175073,52.7041883931,68.2996632997,65.7957985302
23,2014-10-16,6.4,6.62,6.4,6.59,1118100,6.59,1133030.0,6.51433333333,6.4485,6.6354,6.37353333333,6.63847631431,6.4485,6.25852368569,-0.0308876660875,-0.0592399660923,0.0283523000047,53.7322490718,64.741970992,66.5990226128
24,2014-10-15,6.49,6.56,6.35,6.46,1662300,6.46,1139250.0,6.52133333333,6.4495,6.6392,6.36833333333,6.64262949024,6.4495,6.25637050976,-0.0446143727796,-0.0663280410935,0.0217136683138,47.5580420087,64.1737891738,67.5499952884
25,2014-10-14,6.49,6.69,6.49,6.52,1918200,6.52,1132450.0,6.53533333333,6.4585,6.642,6.3638,6.66876411962,6.4585,6.24823588038,-0.0482493420807,-0.0717564581719,0.0235071160912,50.4429114339,65.9677706553,67.1567329306
26,2014-10-13,6.56,6.63,6.44,6.44,1726000,6.44,1105546.0,6.54766666667,6.4595,6.6452,6.35913333333,6.67111049123,6.4595,6.24788950877,-0.0582961670129,-0.0776332371947,0.0193370701818,46.418813171,71.5125596303,64.9959081735
27,2014-10-10,6.44,6.67,6.44,6.54,1664000,6.54,1087784.0,6.55933333333,6.46,6.6482,6.35486666667,6.67147103821,6.46,6.24852896179,-0.0621261702244,-0.0824675047402,0.0203413345157,51.2491177457,68.5458616941,56.9376889289
