,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,3.79,3.9,3.75,3.8,380500,3.8,735666.0,3.68266666667,3.7865,3.5812,3.5162,4.00378092415,3.7865,3.56921907585,0.0544181490431,0.0652884299938,-0.0108702809507,54.5190361773,63.2647447183,59.9876210387
1,2014-11-17,3.74,3.85,3.71,3.79,418000,3.79,736956.0,3.66733333333,3.779,3.5688,3.51746666667,4.0041133048,3.779,3.5538866952,0.0559978303802,0.0680060002315,-0.0120081698513,54.0708821437,62.5616197183,56.5933098592
2,2014-11-14,3.81,3.81,3.69,3.76,410000,3.76,739254.0,3.65833333333,3.772,3.5578,3.51773333333,4.00391377708,3.772,3.54008622292,0.0582177461175,0.0710080426943,-0.0127902965768,52.7745683029,58.4991197183,50.7966549296
3,2014-11-13,3.9,3.99,3.78,3.8,484200,3.8,743354.0,3.656,3.766,3.5468,3.518,4.00494769302,3.766,3.52705230698,0.0632589077151,0.0742056168385,-0.0109467091234,54.6855142718,55.625,43.3854166667
4,2014-11-12,3.74,3.89,3.72,3.89,411600,3.89,741212.0,3.65333333333,3.762,3.536,3.518,4.00121538412,3.762,3.52278461588,0.0647004062238,0.0769422941193,-0.0122418878955,59.1611882229,49.6875,36.3483796296
5,2014-11-11,3.75,3.79,3.67,3.77,445200,3.77,744470.0,3.64533333333,3.744,3.5248,3.51866666667,3.99582533629,3.744,3.49217466371,0.0564355493208,0.0800027660932,-0.0235672167724,54.55636153,39.375,31.3781039562
6,2014-11-10,3.64,3.74,3.52,3.72,539400,3.72,742940.0,3.64366666667,3.7225,3.5152,3.5226,4.02921648146,3.7225,3.41578351854,0.0572838876108,0.0858945702863,-0.0286106826755,52.4834080746,28.8541666667,31.3226010101
7,2014-11-07,3.53,3.68,3.42,3.61,681800,3.61,743928.0,3.64766666667,3.7035,3.5074,3.52486666667,4.05262891602,3.7035,3.35437108398,0.062624364663,0.0930472409552,-0.0304228762922,47.600462224,27.4768518519,37.9632458627
8,2014-11-06,3.65,3.71,3.35,3.56,1674200,3.56,746156.0,3.64466666667,3.6825,3.4992,3.52713333333,4.09616048881,3.6825,3.26883951119,0.0797298555236,0.100652960028,-0.0209231045047,45.2246367961,29.8063973064,48.544164502
9,2014-11-05,3.88,3.88,3.69,3.72,468300,3.72,728428.0,3.63966666667,3.6675,3.493,3.52926666667,4.1179608751,3.6675,3.2170391249,0.105493884142,0.105883736154,-0.000389852012745,52.2662788754,39.1529882155,61.5931229141
