,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,18.57,19.0,18.56,18.9,297300,18.9,250606.0,18.5283333333,18.3815,18.8494,17.8101333333,19.2861164933,18.3815,17.4768835067,-0.0869526721471,-0.18076042362,0.0938077514724,52.880014382,65.1658767773,64.8556913071
1,2014-11-17,18.45,18.77,18.01,18.37,222600,18.37,250582.0,18.5263333333,18.3515,18.8312,17.775,19.2245927786,18.3515,17.4784072214,-0.138535961266,-0.204212361488,0.0656764002216,48.6063906778,63.530190189,62.6663108025
2,2014-11-14,18.63,18.7,18.13,18.46,96600,18.46,252150.0,18.535,18.382,18.8542,17.7422,19.2971524463,18.382,17.4668475537,-0.14839629085,-0.220631461543,0.0722351706928,49.3116068142,62.6546439343,57.7770857111
3,2014-11-13,18.67,18.99,18.43,18.57,112300,18.57,252742.0,18.586,18.4085,18.8908,17.7114,19.3610812301,18.4085,17.4559187699,-0.167986801834,-0.238690254216,0.0707034523818,50.1371774571,68.072054328,53.3421367938
4,2014-11-12,18.1,19.01,17.94,18.71,242100,18.71,254856.0,18.6086666667,18.443,18.9206,17.6812666667,19.4640014691,18.443,17.4219985309,-0.201747973282,-0.256366117312,0.0546181440295,51.1492104913,56.4083547586,47.4364932867
5,2014-11-11,18.83,19.15,18.12,18.2,208800,18.2,256090.0,18.63,18.4865,18.9424,17.6572666667,19.6175044209,18.4865,17.3554955791,-0.256159534319,-0.270020653319,0.0138611190004,47.5692491058,43.9732898235,48.215356978
6,2014-11-10,17.46,19.31,17.4,18.88,491700,18.88,258202.0,18.672,18.5035,18.9862,17.6372666667,19.6269638401,18.5035,17.3800361599,-0.269955242633,-0.273485933069,0.00353069043593,52.3159867617,44.9148482651,53.7733888696
7,2014-11-07,17.63,17.94,17.2,17.36,254700,17.36,256944.0,18.6916666667,18.488,19.0324,,19.5987402937,18.488,17.3772597063,-0.352873324989,-0.274368605678,-0.0785047193111,39.8598476637,44.4494802997,56.997816865
8,2014-11-06,18.19,18.19,17.37,17.51,412500,17.51,259046.0,18.746,18.5265,19.113,,19.5259853676,18.5265,17.5270146324,-0.298810610833,-0.25474242585,-0.0440681849825,40.8373808671,59.5238095238,56.5422066245
9,2014-11-05,18.45,18.97,18.06,18.17,183100,18.17,259690.0,18.7876666667,18.595,19.1678,,19.4886106535,18.595,17.7013893465,-0.240733319516,-0.243725379605,0.00299206008909,45.3849084277,66.2054173896,50.4212591832
10,2014-11-04,18.69,18.96,18.41,18.67,311400,18.67,275686.0,18.8293333333,18.636,19.196,,19.5230715867,18.636,17.7489284133,-0.230304001223,-0.244473394627,0.0141693934037,49.2423332192,57.8125602468,40.2030719859
11,2014-11-03,18.38,18.86,18.0,18.65,248300,18.65,285768.0,18.8706666667,18.6445,19.2756,,19.5359589166,18.6445,17.7530410834,-0.264551613131,-0.248015742978,-0.0165358701527,49.0815887065,42.6270393379,33.1175122114
12,2014-10-31,17.81,18.67,17.71,18.26,325500,18.26,283496.0,18.882,18.6435,19.314,,19.5349768645,18.6435,17.7520231355,-0.302379632501,-0.24388177544,-0.0584978570615,45.9841278489,35.0400197585,32.3919119821
13,2014-10-30,18.17,18.27,17.0,17.62,316600,17.62,280570.0,18.9576666667,18.73,19.356,,19.7778549518,18.73,17.6821450482,-0.306554600753,-0.229257311174,-0.0772972895781,40.4655102506,25.3326686004,33.2501122819
14,2014-10-29,18.69,18.9,18.1,18.2,177800,18.2,275900.0,19.043,18.8115,19.4132,,19.7490985282,18.8115,17.8739014718,-0.242260766037,-0.20993298878,-0.032327777257,44.2717767909,29.4703211489,37.312673775
15,2014-10-28,18.15,18.95,18.0,18.78,245900,18.78,276642.0,19.0863333333,18.869,19.462,,19.7904532001,18.869,17.9475467999,-0.215729205857,-0.201851044466,-0.0138781613917,48.5086843507,39.7246384205,41.597103538
16,2014-10-27,18.71,18.71,17.83,18.07,396500,18.07,278376.0,19.109,18.903,19.5022,,19.8583658985,18.903,17.9476341015,-0.237781953325,-0.198381504118,-0.0394004492072,42.2234851036,38.4728209576,42.5305167972
17,2014-10-24,19.03,19.1,18.32,18.58,267100,18.58,274270.0,19.139,18.973,19.5462,,19.8777894783,18.973,18.0682105217,-0.19017972259,-0.188531391816,-0.00164833077371,45.9658628514,41.5829145729,44.700879397
18,2014-10-23,18.7,19.09,18.47,19.0,227900,19.0,275176.0,19.1576666667,18.9935,19.5802,,19.8801402878,18.9935,18.1068597122,-0.178582988486,-0.188119309123,0.00953632063626,49.3078439479,46.608040201,48.9797738693
19,2014-10-22,18.34,19.05,18.23,18.67,404900,18.67,278608.0,19.1533333333,18.9815,19.6126,,19.8739410345,18.9815,18.0890589655,-0.203947404398,-0.190503389282,-0.0134440151165,46.4682241942,43.4582914573,50.1527638191
20,2014-10-21,19.0,19.0,18.21,18.3,207000,18.3,283316.0,19.1613333333,19.019,19.6648,,19.9189311085,19.019,18.1190688915,-0.199755114825,-0.187142385502,-0.0126127293228,43.1528607814,47.1542713568,51.0481115897
21,2014-10-20,18.82,19.47,18.3,18.98,139200,18.98,292660.0,19.151,19.0995,19.7082,,20.015654463,19.0995,18.183345537,-0.153825972646,-0.183989203172,0.0301632305259,48.2527936265,58.6984924623,48.0550334911
22,2014-10-17,19.34,19.8,18.78,18.99,199400,18.99,292540.0,19.169,19.1,19.7072,,20.0159039251,19.1,18.1840960749,-0.162202580662,-0.191530010803,0.0293274301414,48.3307919343,51.3,39.9002213831
23,2014-10-16,19.3,19.55,18.18,19.26,150000,19.26,290436.0,19.2123333333,19.177,19.7048,,20.2823162443,19.177,18.0716837557,-0.171553050084,-0.198861868339,0.027308818255,50.3722141675,47.0396825397,34.2304396305
24,2014-10-15,18.35,19.8,18.12,19.58,212800,19.58,289364.0,19.239,19.223,19.6926,,20.4117320977,19.223,18.0342679023,-0.208483241235,-0.205689072902,-0.00279416833292,52.8279059429,35.1819589624,28.9020187939
25,2014-10-14,18.65,19.1,18.14,18.54,295000,18.54,287564.0,19.2463333333,19.219,19.6808,,20.4034306649,19.219,18.0345693351,-0.285168928978,-0.204990530819,-0.080178398159,44.6906045116,26.0792440303,26.3214488169
26,2014-10-13,18.18,18.6,17.81,18.57,259100,18.57,282780.0,19.308,19.265,19.6838,,20.4112198742,19.265,18.1187801258,-0.273008931457,-0.184945931279,-0.0880630001781,44.8980605409,28.6208729896,28.3910458297
27,2014-10-10,18.71,18.71,17.87,18.13,369200,18.13,279190.0,19.3953333333,19.285,19.6844,,20.3954143371,19.285,18.1745856629,-0.256571859255,-0.162930181235,-0.0936416780206,41.1794047045,25.7259991931,29.3792911729
28,2014-10-09,18.99,19.3,18.63,18.88,102200,18.88,274178.0,19.504,19.3355,19.697,,20.3154076487,19.3355,18.3555923513,-0.187060223692,-0.13951976173,-0.0475404619623,46.1041404764,24.8596790545,32.0292894206
29,2014-10-08,18.9,19.19,18.12,18.99,135900,18.99,275716.0,19.5496666667,19.335,19.699,,20.3158465731,19.335,18.3541534269,-0.171980860137,-0.127634646239,-0.0443462138983,46.8674861851,34.3576320818,36.8135198533
30,2014-10-07,18.6,19.09,18.6,18.84,99000,18.84,276078.0,19.5693333333,19.331,19.6968,,20.3180744653,19.331,18.3439255347,-0.161432569053,-0.116548092764,-0.0448844762883,45.7297085759,32.5738543622,37.0849486886
31,2014-10-06,20.17,20.31,18.5,18.63,327800,18.63,279412.0,19.6963333333,19.2885,19.7078,,20.4192214511,19.2885,18.1577785489,-0.130348276519,-0.105326973692,-0.0250213028264,44.1756622863,36.3259921839,37.0283171591
32,2014-10-03,19.32,20.29,19.32,19.99,463200,19.99,275564.0,19.761,19.333,19.7148,,20.4259794143,19.333,18.2400205857,-0.0673956227532,-0.0990716479858,0.0316760252326,53.3652307835,43.9966007853,34.6262084261
33,2014-10-02,19.34,19.35,19.0,19.25,134800,19.25,270638.0,19.7733333333,19.348,19.685,,20.4840211266,19.348,18.2119788734,-0.12453757198,-0.106990654294,-0.0175469176856,47.8880439855,35.4433474229,30.4537668948
34,2014-10-01,19.67,19.95,19.11,19.35,130100,19.35,268968.0,19.8143333333,19.3885,19.6754,,20.5647019384,19.3885,18.2122980616,-0.120314567945,-0.102603924873,-0.0177106430727,48.6043631571,32.3473282443,29.9354164063
35,2014-09-30,19.5,20.33,18.99,19.46,427400,19.46,271952.0,19.8573333333,19.411,19.6684,,20.600536044,19.411,18.221463956,-0.123356267262,-0.0981762641044,-0.0251800031579,49.3584987176,26.7175572519,31.2709719787
36,2014-09-29,18.74,19.77,18.74,19.47,165600,19.47,269112.0,19.9016666667,19.4575,19.654,,20.7214442235,19.4575,18.1935557765,-0.136644308685,-0.0918812633149,-0.04476304537,49.4232320459,27.3068346603,38.5242722143
37,2014-09-26,18.86,19.2,18.81,18.99,149000,18.99,269126.0,19.9283333333,19.5435,19.6406,,21.0159982173,19.5435,18.0710017827,-0.152635309792,-0.0806905019724,-0.07194480782,46.2832107343,33.3699454689,47.6684482131
38,2014-09-25,19.27,19.27,18.5,18.76,132800,18.76,269424.0,19.9713333333,19.6635,19.6408,,21.3161617924,19.6635,18.0108382076,-0.121952764882,-0.0627043000174,-0.0592484648645,44.7571944626,37.6895505336,54.5566997919
39,2014-09-24,19.88,19.94,19.16,19.42,218300,19.42,271440.0,20.0333333333,19.738,19.6466,,21.3549799009,19.738,18.1210200991,-0.0575986400705,-0.0478921838013,-0.00970645626922,48.4226603332,55.7307581946,61.1335636555
40,2014-09-23,19.12,19.92,19.07,19.91,268200,19.91,269288.0,20.0953333333,19.746,19.6322,,21.3581836124,19.746,18.1338163876,-0.0418215769102,-0.045465569734,0.00364399282377,51.3201486344,63.8835386552,60.2017870209
41,2014-09-22,20.44,20.57,18.47,18.99,366200,18.99,265926.0,20.114,19.883,19.6128,,21.9336886648,19.883,17.8323113352,-0.0709669024487,-0.0463765679399,-0.0245903345088,45.6502155234,60.9229517843,54.7730009287
42,2014-09-19,20.33,20.89,20.27,20.53,451000,20.53,263340.0,20.112,19.962,19.6128,,21.9906113477,19.962,17.9333886523,-0.0134619630096,-0.0402289843127,0.0267670213031,55.741758313,63.997005988,48.5664268749
43,2014-09-18,19.5,21.09,19.5,20.18,380800,20.18,257532.0,20.0566666667,19.9535,19.5914,,21.9739284199,19.9535,17.9330715801,-0.0966689390271,-0.0469207396385,-0.0497481993886,53.5759479972,52.0036516562,40.204344372
44,2014-09-17,19.39,19.61,19.1,19.5,179500,19.5,259102.0,20.0056666667,19.9685,19.5838,,21.9998569356,19.9685,17.9371430644,-0.165828840213,-0.0344836897914,-0.131345150421,49.0805726712,42.1683942863,32.9889559027
45,2014-09-16,18.9,19.73,18.74,19.46,174600,19.46,260982.0,19.9886666667,20.0255,19.571,,22.0650340154,20.0255,17.9859659846,-0.182453603686,-0.00164740218603,-0.1808062015,48.8098179848,36.0966555689,26.5302763847
46,2014-09-15,19.09,19.65,18.67,18.97,162600,18.97,261566.0,19.963,20.092,19.5592,,22.140156244,20.092,18.043843756,-0.196946249376,0.0435541481891,-0.240500397565,45.5142779836,30.5486759765,21.4158331055
47,2014-09-12,18.89,19.95,18.8,19.14,200800,19.14,266028.0,19.9506666667,20.157,19.5666,,22.1400794235,20.157,18.1739205765,-0.162688553519,0.10367924758,-0.266367801099,46.4782350688,23.142097779,17.0281734568
48,2014-09-11,18.76,19.14,18.3,18.87,169300,18.87,266702.0,19.938,20.214,19.5558,,22.1416348202,20.214,18.2863651798,-0.133905988211,0.170271197855,-0.304177186066,44.7525873345,16.3336762146,14.6980813957
