,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,20.11,20.6,19.93,20.27,4881500,20.27,7897438.0,20.3803333333,19.5575,22.3876,24.9150666667,22.3502253714,19.5575,16.7647746286,-0.711365825719,-1.0923219653,0.380956139585,49.3335697968,62.0949074074,52.6331018519
1,2014-11-17,21.12,21.8,19.96,20.16,12056000,20.16,7873480.0,20.4943333333,19.6915,22.4984,24.9622,22.8423365556,19.6915,16.5406634444,-0.835152418114,-1.1875610002,0.352408582087,48.7567655567,57.8356481481,46.7367644863
2,2014-11-14,19.13,21.87,19.02,21.51,28659800,21.51,7701190.0,20.635,19.794,22.6234,25.0024,23.127229065,19.794,16.460770935,-0.96980145178,-1.27566314572,0.305861693943,56.0253360747,52.3611111111,39.4319710126
3,2014-11-13,18.84,19.3,18.24,18.45,5230700,18.45,7221858.0,20.7413333333,19.846,22.7162,25.0274666667,23.3143967478,19.846,16.3776032522,-1.26501092454,-1.35212856921,0.0871176446665,35.9180933673,38.2407407407,31.1904915052
4,2014-11-12,18.52,18.84,18.3,18.79,4517300,18.79,7283750.0,20.9323333333,20.0235,22.865,25.0732,23.5508121495,20.0235,16.4961878505,-1.31184176542,-1.37390798037,0.0620662149558,37.6964688768,38.509557945,24.725598917
5,2014-11-11,18.52,18.77,18.38,18.59,3538400,18.59,7306324.0,21.0803333333,20.1765,23.0378,25.1256666667,23.7417785305,20.1765,16.6112214695,-1.38715179482,-1.38942453411,0.00227273929023,35.9646749694,28.6164742536,17.1573054787
6,2014-11-10,18.54,18.93,18.36,18.5,5482700,18.5,7334234.0,21.266,20.2865,23.2184,25.2002,23.7843123163,20.2865,16.7886876837,-1.44273438807,-1.38999271894,-0.0527416691298,35.2121779975,19.3951930813,12.5978385544
7,2014-11-07,17.8,18.67,17.61,18.51,7108400,18.51,7292112.0,21.4666666667,20.3815,23.3892,25.2652666667,23.7819192389,20.3815,16.9810807611,-1.48352912507,-1.37680730165,-0.106721823415,35.254922248,12.3811703881,10.5201900802
8,2014-11-06,18.11,18.22,17.55,17.78,8153300,17.78,7219542.0,21.6693333333,20.502,23.5526,25.3218,23.7977948965,20.502,17.2062051035,-1.5150376203,-1.3501268458,-0.164910774498,29.449656174,8.23638419157,10.1828688156
9,2014-11-05,19.13,19.13,18.09,18.18,10026700,18.18,7117494.0,21.894,20.749,23.7368,25.3926,23.9302381238,20.749,17.5677618762,-1.45888973428,-1.30889915218,-0.149990582101,30.8574119542,10.3786065566,10.4602763181
10,2014-11-04,19.24,19.41,18.48,18.85,8691400,18.85,7003980.0,22.1366666667,21.0335,23.9196,25.4704,24.2622290069,21.0335,17.8047709931,-1.40673167271,-1.27140150665,-0.13533016606,33.3359158732,11.0845991845,9.34033486852
11,2014-11-03,19.29,20.25,19.17,19.43,7148200,19.43,6901694.0,22.3433333333,21.2755,24.0902,25.5543333333,24.5386731489,21.2755,18.0123268511,-1.3879156498,-1.23756896514,-0.150346684663,35.6368145592,11.0318853298,8.7057035092
