,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,13.28,13.96,13.15,13.73,205500,13.73,294118.0,12.7533333333,13.0805,14.4412,18.0580666667,14.7055719984,13.0805,11.4554280016,0.0037027256008,-0.196921831584,0.200624557185,51.9452065573,60.9680737625,78.4545409446
1,2014-11-17,13.77,13.77,13.23,13.26,205200,13.26,292310.0,12.7126666667,12.994,14.567,18.0826666667,14.6553416265,12.994,11.3326583735,-0.013969915516,-0.24707797088,0.233108055365,45.9531773511,71.0527735864,87.9262373368
2,2014-11-14,14.04,14.13,13.79,13.82,133600,13.82,289536.0,12.6893333333,12.931,14.7076,18.1097333333,14.6420336057,12.931,11.2199663943,0.0115311122297,-0.305354984722,0.316886096951,53.3072707315,87.2343078593,92.0328333451
3,2014-11-13,14.33,14.37,13.97,14.0,294100,14.0,288422.0,12.654,12.836,14.84,18.1324666667,14.5500291713,12.836,11.1219708287,-0.0131062103527,-0.384576508959,0.371470298607,55.9812367145,94.5630085703,89.0730309612
4,2014-11-12,14.09,14.3,14.02,14.29,127700,14.29,285238.0,12.6136666667,12.7415,14.97,18.1548666667,14.3957705341,12.7415,11.0872294659,-0.0626890299346,-0.477444083611,0.414755053677,60.5230700026,98.8548593312,80.3478346113
5,2014-11-11,14.1,14.18,13.82,14.15,149200,14.15,287214.0,12.5603333333,12.6225,15.0918,18.1758,14.151772703,12.6225,11.093227297,-0.154590170129,-0.58113284703,0.426542676901,59.0331369131,87.4791576194,66.1286288506
6,2014-11-10,13.89,14.16,13.79,14.14,211200,14.14,288002.0,12.509,12.518,15.2164,18.2016,13.8933632248,12.518,11.1426367752,-0.255386313867,-0.687768516256,0.432382202389,58.9303277291,75.3950983238,53.8306306968
7,2014-11-07,13.49,13.93,13.36,13.89,186500,13.89,286690.0,12.6256666667,12.409,15.333,18.2242,13.5838174326,12.409,11.2341825674,-0.379305954581,-0.795864066853,0.416558112272,56.3896840516,59.6622231708,42.7059127196
8,2014-11-06,13.4,13.52,13.17,13.49,145100,13.49,283942.0,12.756,12.3105,15.4544,18.2477333333,13.2854558964,12.3105,11.3355441036,-0.506500754843,-0.900003594921,0.393502840077,51.9758331222,41.9780362885,34.0993191911
9,2014-11-05,12.96,13.44,12.8,13.34,224300,13.34,281870.0,12.891,12.25,15.586,18.2742666667,13.0610733629,12.25,11.4389266371,-0.620753016199,-0.99837930494,0.377626288741,50.2214800887,38.2871650042,29.4995984301
