,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,25.45,26.0,25.28,25.31,114400,25.31,191976.0,24.9813333333,25.674,23.3038,19.1336666667,27.5679736007,25.674,23.7800263993,0.726441984005,0.979204355625,-0.25276237162,53.0490856812,17.3343950044,33.4885191803
1,2014-11-17,25.44,25.85,25.24,25.5,128200,25.5,193964.0,24.865,25.617,23.2206,19.0669333333,27.617011,25.617,23.616989,0.83647625277,1.04239494853,-0.20591869576,55.1949596977,28.2046253295,45.2089136542
2,2014-11-14,26.16,26.16,25.34,25.63,174400,25.63,194722.0,24.6993333333,25.542,23.1356,18.9994,27.6627885326,25.542,23.4212114674,0.945407610318,1.09387462247,-0.148467012152,56.6508815287,36.4785992218,57.3051766332
3,2014-11-13,26.34,26.65,25.89,26.11,137200,26.11,193588.0,24.541,25.4555,23.0436,18.9322666667,27.6927972534,25.4555,23.2182027466,1.05745588689,1.13099137551,-0.0735354886165,62.2837069593,51.9364571655,69.4730239601
4,2014-11-12,26.22,26.48,26.06,26.34,147600,26.34,193674.0,24.365,25.354,22.942,18.8598666667,27.646818353,25.354,23.061181647,1.13621632882,1.14937524766,-0.0131589188437,65.166725492,64.2159729,77.6653360954
5,2014-11-11,26.94,27.17,26.01,26.27,221100,26.27,195346.0,24.1643333333,25.2385,22.8388,18.7894,27.5536265624,25.2385,22.9233734376,1.1967983281,1.15266497737,0.0441333507221,64.705013104,76.5896772455,81.8303753978
6,2014-11-10,27.18,27.49,26.5,27.03,240300,27.03,197132.0,23.963,25.129,22.733,18.7208,27.445781388,25.129,22.812218612,1.26384228604,1.14163163969,0.122210646344,74.6853052432,85.1499885296,81.7222859635
7,2014-11-07,27.4,27.72,26.84,27.21,415200,27.21,194642.0,23.7503333333,24.9095,22.6158,18.6478,27.2950856723,24.9095,22.5239143277,1.25364977728,1.11107897811,0.142570799177,77.3077264932,84.7057057064,80.2069953741
8,2014-11-06,26.04,27.52,25.83,27.37,172800,27.37,189182.0,23.524,24.718,22.4948,18.5729333333,26.9437007885,24.718,22.4922992115,1.20407825117,1.07543627831,0.128641972858,79.6151417613,80.8761301096,79.188274589
9,2014-11-05,26.11,26.13,25.47,25.92,265900,25.92,190584.0,23.286,24.4915,22.3684,18.4941333333,26.5032880107,24.4915,22.4797119893,1.10700218328,1.0432757851,0.0637263981794,72.7777552461,76.1573195084,80.8788119103
10,2014-11-04,25.47,26.24,25.41,25.92,169600,25.92,190064.0,23.0986666667,24.3375,22.276,18.4289333333,26.359824158,24.3375,22.315175842,1.11463233396,1.02734418555,0.0872881484025,72.7777552461,79.088826172,83.1948317964
11,2014-11-03,25.84,26.21,25.15,25.59,137400,25.59,190642.0,22.9113333333,24.1325,22.1816,18.3638666667,26.297770191,24.1325,21.967229809,1.10815834687,1.00552214845,0.10263619842,70.8597382329,80.6308225659,84.5540921387
12,2014-10-31,26.49,26.49,25.74,25.77,147100,25.77,192554.0,22.737,23.8795,22.0868,18.2942666667,26.449149587,23.8795,21.309850413,1.11737651831,0.979863098848,0.137513419467,73.4820458834,87.6382793948,84.4979611183
13,2014-10-30,25.51,26.24,25.21,25.94,130900,25.94,192500.0,22.5773333333,23.635,21.9918,18.2247333333,26.3642086765,23.635,20.9057913235,1.09456223505,0.945484743981,0.149077491071,75.9468686898,85.4213990529,80.3835301585
14,2014-10-29,25.62,25.98,25.21,25.53,109200,25.53,193308.0,22.4153333333,23.3795,21.8848,18.1506666667,26.1541097023,23.3795,20.6048902977,1.03221291736,0.908215371213,0.123997546147,73.9932451472,84.5258675412,78.0487431658
15,2014-10-28,24.18,25.45,24.18,25.43,191100,25.43,194306.0,22.2643333333,23.119,21.7992,18.0768,26.0128203123,23.119,20.2251796877,0.97936396398,0.877215984676,0.102147979303,73.5058848603,80.4062984843,76.0081071509
16,2014-10-27,24.38,24.47,23.95,24.11,122900,24.11,195264.0,22.127,22.859,21.7142,18.0054666667,25.8094094631,22.859,19.9085905369,0.907846005826,0.851678989851,0.0561670159754,65.6056423177,71.1805555556,76.0174091131
17,2014-10-24,24.17,24.6,24.17,24.48,113100,24.48,195102.0,22.0096666667,22.686,21.6432,17.9473333333,25.72707481,22.686,19.64492519,0.93775805188,0.837637235857,0.100120816023,71.1259349854,76.0822510823,80.2180419722
18,2014-10-23,24.23,24.48,23.92,24.08,172900,24.08,195538.0,21.886,22.483,21.5618,17.8871333333,25.5597781851,22.483,19.4062218149,0.924623855361,0.812607031851,0.11201682351,68.4619663489,76.3633234816,83.415574358
19,2014-10-22,24.18,24.8,23.81,23.94,196400,23.94,196750.0,21.8046666667,22.2905,21.4864,17.8322,25.4247397802,22.2905,19.1562602198,0.935138042999,0.784602825974,0.150535217025,67.4870649007,80.4435063331,87.1003869679
20,2014-10-21,24.15,24.22,23.37,24.17,273200,24.17,198778.0,21.7236666667,22.1085,21.4178,17.776,25.2611514238,22.1085,18.9558485762,0.949210507322,0.746969021717,0.202241485605,70.82701646,87.983086992,88.5178515024
21,2014-10-20,23.71,24.21,23.68,24.0,309700,24.0,199948.0,21.623,21.915,21.3324,17.7178,25.0123569378,21.915,18.8176430622,0.929947208952,0.696408650316,0.233538558636,69.801258553,88.8723806252,87.567888014
