,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,20.49,20.81,20.39,20.58,56400,20.58,67426.0,19.8433333333,20.2585,19.5878,19.1619333333,21.1407080254,20.2585,19.3762919746,0.344326214517,0.350332237351,-0.00600602283457,62.1532815529,54.8213617046,63.0526906724
1,2014-11-17,20.52,20.74,20.41,20.55,76200,20.55,67500.0,19.796,20.2345,19.565,19.145,21.1064741969,20.2345,19.3625258031,0.361630616498,0.35183374306,0.00979687343794,61.5936728102,61.3962301351,68.2972770087
2,2014-11-14,20.63,20.63,20.52,20.53,66600,20.53,66612.0,19.7503333333,20.181,19.543,19.127,21.0990610002,20.181,19.2629389998,0.381511789696,0.349384524701,0.0321272649952,61.2388784945,65.1958579267,72.9259874438
3,2014-11-13,20.84,20.93,20.58,20.72,68900,20.72,66348.0,19.701,20.1025,19.5238,19.1089333333,21.1474856458,20.1025,19.0575143542,0.403374497454,0.341352708452,0.0620217890027,66.6720934798,70.7973129233,77.8813161299
4,2014-11-12,20.7,20.79,20.52,20.7,46800,20.7,66270.0,19.6383333333,19.988,19.5006,19.0892,21.2219951378,19.988,18.7540048622,0.406066542667,0.325847261201,0.080219281466,66.3805441466,75.7997070497,82.1476386747
5,2014-11-11,20.82,20.82,20.52,20.68,98700,20.68,66306.0,19.5803333333,19.863,19.4742,19.0713333333,21.2765925863,19.863,18.4494074137,0.405632512482,0.305792440835,0.099840071647,66.1052149812,79.9110718754,84.6600037256
6,2014-11-10,20.87,20.99,20.68,20.76,64600,20.76,65222.0,19.534,19.7565,19.4496,19.0548666667,21.2276121643,19.7565,18.2853878357,0.401214786499,0.280832422923,0.120382363577,68.1791169229,85.0171726711,85.8348010304
7,2014-11-07,20.92,21.12,20.53,20.95,98800,20.95,64610.0,19.4783333333,19.6575,19.4262,19.0351333333,21.1115546757,19.6575,18.2034453243,0.381594855715,0.250736832029,0.130858023687,73.2469333326,87.8626031028,84.5988986034
8,2014-11-06,20.34,20.96,20.32,20.77,56200,20.77,63226.0,19.4186666667,19.553,19.3972,19.0154,20.9181681215,19.553,18.1878318785,0.33165676434,0.218022326107,0.113634438233,71.3751898141,85.8491672531,82.2188868169
9,2014-11-05,20.35,20.35,20.15,20.27,127300,20.27,63400.0,19.3623333333,19.4795,19.3772,18.997,20.7279626546,19.4795,18.2310373454,0.281420774776,0.189613716549,0.0918070582276,65.0720192204,84.6102610946,80.2672020644
