,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,22.5,22.59,22.28,22.5,734700,22.5,1128508.0,21.3203333333,21.7635,22.1414,,23.2321085251,21.7635,20.2948914749,0.158041717996,0.0106516955345,0.147390022461,57.784706701,80.0531596286,64.9934486373
1,2014-11-17,22.49,22.54,22.25,22.45,1082500,22.45,1123944.0,21.32,21.658,22.164,,23.201082629,21.658,20.114917371,0.124430943756,-0.0261958100808,0.150626753837,57.2773771373,72.4206349206,54.8621646299
2,2014-11-14,22.28,22.5,22.14,22.43,717500,22.43,1120966.0,21.327,21.513,22.1858,,23.2623667426,21.513,19.7636332574,0.0848123781806,-0.06385249854,0.148664876721,57.0858208205,59.2857142857,45.8719063224
3,2014-11-13,22.24,22.38,21.98,22.17,1248300,22.17,1120528.0,21.3373333333,21.362,22.2128,,23.2817458165,21.362,19.4422541835,0.0350474108001,-0.10101871772,0.13606612852,54.6301832783,48.2142857143,40.8575888328
4,2014-11-12,21.68,22.31,21.63,22.26,1061600,22.26,1112370.0,21.36,21.227,22.2394,,23.275873837,21.227,19.178126163,-0.00250783717717,-0.13503524985,0.132527412673,55.6538129262,39.5280235988,39.8042170067
5,2014-11-11,21.45,21.99,21.35,21.8,1590100,21.8,1105974.0,21.3906666667,21.1135,22.268,,23.1723761497,21.1135,19.0546238503,-0.0595691487819,-0.168167103018,0.108597954236,51.3252409024,36.4596016908,45.401844652
6,2014-11-10,21.29,21.55,21.0,21.5,1167100,21.5,1089604.0,21.445,21.0385,22.3118,,23.1011611452,21.0385,18.9758388548,-0.0846973079752,-0.195316591577,0.110619283602,48.2672763477,39.2284443272,54.4849154985
7,2014-11-07,21.58,21.77,21.0,21.32,837400,21.32,1079682.0,21.5113333333,20.991,22.3514,,23.0527167604,20.991,18.9292832396,-0.0849925612295,-0.222971412478,0.137978851249,46.3908383488,44.0007984099,65.6742930489
8,2014-11-06,21.6,21.98,21.46,21.6,1341500,21.6,1070830.0,21.5643333333,20.9705,22.3964,,23.026870346,20.9705,18.914129654,-0.0658058835834,-0.25746612529,0.191660241707,48.9557563317,61.9185341799,78.8855623409
9,2014-11-05,21.79,21.98,21.18,21.6,1484700,21.6,1049886.0,21.5973333333,20.9595,22.4402,,23.0046061097,20.9595,18.9143938903,-0.068868620354,-0.305381185717,0.236512565363,48.9557563317,72.7918850771,87.4403550114
