,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,2.96,3.04,2.95,2.99,232400,2.99,2487718.0,3.473,3.1595,3.3706,3.38993333333,3.43185822,3.1595,2.88714178,-0.148942908668,-0.124663328024,-0.0242795806434,43.2472446358,6.73076923077,4.65144230769
1,2014-11-17,3.03,3.05,2.95,2.99,235600,2.99,2483404.0,3.47233333333,3.1855,3.376,3.39593333333,3.48599792013,3.1855,2.88500207987,-0.150404833588,-0.118593432864,-0.0318114007246,43.2472446358,4.58333333333,4.97023809524
2,2014-11-14,3.0,3.0,2.95,2.99,542200,2.99,2479140.0,3.474,3.2135,3.381,3.40166666667,3.53921613408,3.2135,2.88778386592,-0.150083074725,-0.110640582682,-0.0394424920427,43.2472446358,4.25595238095,7.13839285714
3,2014-11-13,2.98,3.02,2.95,2.97,203600,2.97,2468480.0,3.48066666667,3.289,3.387,3.40753333333,3.92485847482,3.289,2.65314152518,-0.147489366871,-0.100779959672,-0.0467094071995,42.7673461714,3.03571428571,10.7202380952
4,2014-11-12,3.17,3.2,2.98,2.99,988400,2.99,2464742.0,3.48966666667,3.424,3.3938,3.41333333333,4.62603826894,3.424,2.22196173106,-0.139997188965,-0.0891026078718,-0.0508945810932,43.1058109999,8.00595238095,16.4955357143
5,2014-11-11,3.02,3.14,3.02,3.05,685800,3.05,2445252.0,3.496,3.6215,3.4008,3.41886666667,5.55117639774,3.6215,1.69182360226,-0.130434486416,-0.0763789625985,-0.0540555238178,44.0775628784,13.255952381,19.7049319728
6,2014-11-10,3.12,3.3,3.03,3.03,407300,3.03,2431718.0,3.502,3.679,3.4068,3.42466666667,5.6056644752,3.679,1.7523355248,-0.122440862633,-0.0628650816441,-0.0595757809893,43.6846097703,18.5833333333,21.1226615646
7,2014-11-07,3.19,3.24,3.09,3.15,375700,3.15,2423740.0,3.50866666667,3.7075,3.4128,3.43053333333,5.61165204225,3.7075,1.80334795775,-0.108420770276,-0.0479711363968,-0.0604496338791,45.4645017295,26.1369047619,20.0301605017
8,2014-11-06,3.18,3.23,3.16,3.19,219600,3.19,2416410.0,3.51233333333,3.704,3.4168,3.43586666667,5.61249050299,3.704,1.79550949701,-0.101167186645,-0.032858727927,-0.0683084587176,46.0451906204,20.843537415,15.2338657378
9,2014-11-05,3.31,3.34,3.1,3.22,794800,3.22,2412178.0,3.51733333333,3.697,3.4204,3.44093333333,5.61398826287,3.697,1.78001173713,-0.0945101808222,-0.0157816132476,-0.0787285675746,46.4584400715,18.9268707483,11.8311466003
10,2014-11-04,3.39,3.55,3.22,3.26,1297300,3.26,2396458.0,3.51833333333,3.681,3.4226,3.44573333333,5.61887409292,3.681,1.74312590708,-0.0876932725788,0.00390052864608,-0.0915938012248,46.9804748844,14.2133290816,8.23380720959
11,2014-11-03,3.24,3.24,3.02,3.04,555400,3.04,2371284.0,3.51733333333,3.6665,3.4234,3.45106666667,5.62102577369,3.6665,1.71197422631,-0.0817896075469,0.0267989789523,-0.108588586499,43.752610976,6.95172570611,6.22463023803
12,2014-10-31,3.34,3.53,3.22,3.25,807800,3.25,2360300.0,3.52566666667,3.6665,3.4274,3.45753333333,5.62102577369,3.6665,1.71197422631,-0.0506647171601,0.0539461255771,-0.104610842737,46.2482794535,7.23266086498,6.5622743717
13,2014-10-30,3.4,3.58,3.23,3.3,1664900,3.3,2344252.0,3.529,3.6635,3.4272,3.46253333333,5.62075598735,3.6635,1.70624401265,-0.0315829157258,0.0800988362614,-0.111681751987,46.838964849,4.53751318565,7.33578340067
14,2014-10-29,3.3,3.39,3.15,3.24,914800,3.24,2311104.0,3.52666666667,3.6605,3.427,3.4672,5.6201578783,3.6605,1.7008421217,-0.0118591194847,0.108019274258,-0.119878393743,46.0714694116,6.17662119536,9.51451190037
15,2014-10-28,3.27,3.49,3.2,3.25,1033600,3.25,2293022.0,3.52866666667,3.6575,3.4282,3.47253333333,5.61990541173,3.6575,1.69509458827,0.0195972040011,0.137988872694,-0.118391668693,46.1746385834,8.30230224079,11.4290944656
16,2014-10-27,3.38,3.54,3.12,3.3,964200,3.3,2272628.0,3.527,3.6565,3.4288,3.47753333333,5.61975520501,3.6565,1.69324479499,0.0584436793738,0.167586789867,-0.109143110493,46.6597546433,10.3266969809,14.2928392938
17,2014-10-24,3.52,3.77,3.35,3.43,3722000,3.43,2253550.0,3.52266666667,3.653,3.429,3.48273333333,5.61903255314,3.653,1.68696744686,0.102084908968,0.19487256749,-0.0927876585226,47.8740690683,13.2524271845,19.5631067961
18,2014-10-23,3.73,3.74,3.1,3.28,3985900,3.28,2179782.0,3.51566666667,3.6445,3.4272,3.48713333333,5.61577851913,3.6445,1.67322148087,0.143065752428,0.218069482121,-0.0750037296929,46.378909414,13.8349514563,29.1991126303
19,2014-10-22,3.59,3.62,3.21,3.27,1929100,3.27,2112734.0,3.51266666667,3.6475,3.4314,3.48926666667,5.61673208383,3.6475,1.67826791617,0.208563981682,0.236820414544,-0.028256432862,46.2835276639,19.7572815534,41.4057582354
20,2014-10-21,3.5,4.0,3.39,3.51,4695100,3.51,2074192.0,3.51133333333,3.6465,3.4286,3.4944,5.61651802022,3.6465,1.67648197978,0.290148063651,0.24388452276,0.0462635408914,48.1940385794,31.4077669903,53.3614241938
21,2014-10-20,3.94,4.1,3.52,3.55,5496000,3.55,1980354.0,3.503,3.6325,3.4226,3.49826666667,5.61016402607,3.6325,1.65483597393,0.365622320075,0.232318637537,0.133303682538,48.5038973353,51.7964505211,61.7567139387
22,2014-10-17,5.62,5.66,4.27,4.5,7981800,4.5,1870466.0,3.49266666667,3.6195,3.4166,3.5014,5.60257312018,3.6195,1.63642687982,0.452564046345,0.198992716902,0.253571329443,56.5175971862,62.661533877,61.4625162871
23,2014-10-16,6.79,7.84,5.28,5.67,30443900,5.67,1710840.0,3.45233333333,3.562,3.3924,3.4984,5.50591975143,3.562,1.61808024857,0.460223281747,0.135599884542,0.324623397206,69.6839978884,67.5799453871,54.830976526
