Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,484.99,506.00,478.80,506.00,7600,506.00
2014-12-01,502.51,506.00,491.95,494.00,11000,494.00
2014-11-28,537.82,537.82,495.00,495.00,1300,495.00
2014-11-26,543.05,555.00,543.05,554.50,4700,554.50
2014-11-25,535.99,550.00,530.00,549.00,12400,549.00
2014-11-24,513.05,540.00,513.00,534.99,12300,534.99
2014-11-21,493.00,526.95,493.00,505.00,12800,505.00
2014-11-20,469.73,492.64,469.73,480.00,3200,480.00
2014-11-19,493.00,494.00,467.16,474.00,20600,474.00
2014-11-18,491.05,504.00,491.02,491.02,6200,491.02
2014-11-17,480.00,498.95,480.00,490.50,4100,490.50
2014-11-14,475.00,481.00,436.03,481.00,23800,481.00
2014-11-13,520.05,532.99,479.52,491.84,14700,491.84
2014-11-12,580.05,580.05,512.20,526.00,22900,526.00
2014-11-11,535.35,582.42,514.84,582.42,14200,582.42
2014-11-10,523.43,540.00,521.00,536.99,3300,536.99
2014-11-07,512.00,523.99,504.94,523.99,3400,523.99
2014-11-06,500.00,512.00,500.00,512.00,3000,512.00
2014-11-05,507.50,507.50,493.00,501.22,9900,501.22
2014-11-04,500.00,510.00,488.05,510.00,18400,510.00
2014-11-03,541.10,542.18,520.00,538.01,11300,538.01
2014-10-31,572.50,580.00,540.00,540.00,7200,540.00
2014-10-30,537.65,574.99,534.97,574.99,10600,574.99
2014-10-29,574.00,582.15,533.56,544.50,19000,544.50
2014-10-28,566.59,569.01,550.00,569.01,5800,569.01
2014-10-27,550.00,555.00,543.00,550.00,17500,550.00
2014-10-24,550.05,564.99,549.39,553.00,12000,553.00
2014-10-23,575.00,594.49,550.00,564.99,26400,564.99
2014-10-22,601.10,621.21,575.00,575.01,31400,575.01
2014-10-21,698.45,699.00,600.00,635.00,55100,635.00
2014-10-20,690.99,690.99,690.99,690.99,900,690.99
2014-10-17,667.09,710.89,660.01,665.01,4500,665.01
2014-10-16,631.00,664.90,625.51,664.90,6100,664.90
2014-10-15,600.01,651.94,600.01,644.00,6800,644.00
2014-10-14,629.99,641.93,625.00,631.51,5000,631.51
2014-10-13,662.73,662.73,600.00,625.00,17800,625.00
