Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,5.42,5.45,5.40,5.45,562400,5.45
2014-12-01,5.40,5.44,5.39,5.41,875400,5.41
2014-11-28,5.42,5.43,5.40,5.40,329100,5.40
2014-11-26,5.39,5.42,5.39,5.41,647300,5.41
2014-11-25,5.38,5.40,5.37,5.39,1102900,5.39
2014-11-24,5.34,5.37,5.33,5.37,580000,5.37
2014-11-21,5.34,5.34,5.31,5.33,484500,5.33
2014-11-20,5.32,5.37,5.30,5.32,1272200,5.32
2014-11-19,5.33,5.34,5.31,5.32,905600,5.32
2014-11-18,5.31,5.33,5.30,5.32,1219900,5.32
2014-11-17,5.31,5.34,5.29,5.30,1210000,5.30
2014-11-14,5.28,5.33,5.27,5.30,1454300,5.30
2014-11-13,5.28,5.30,5.27,5.28,904900,5.28
2014-11-12,5.28,5.30,5.27,5.28,1694300,5.28
2014-11-11,5.24,5.30,5.24,5.28,1034900,5.28
2014-11-10,5.21,5.25,5.21,5.23,1437100,5.23
2014-11-07,5.20,5.21,5.17,5.20,1743800,5.20
2014-11-06,5.13,5.21,5.13,5.20,1253600,5.20
2014-11-05,5.16,5.16,5.10,5.11,533800,5.11
2014-11-04,5.19,5.22,5.13,5.15,863100,5.15
2014-11-03,5.17,5.20,5.15,5.19,1110100,5.19
2014-10-31,5.21,5.21,5.15,5.19,1597700,5.19
2014-10-30,5.15,5.19,5.11,5.18,1030500,5.18
2014-10-29,5.21,5.21,5.12,5.14,872700,5.14
2014-10-28,5.19,5.23,5.16,5.21,1454400,5.21
2014-10-27,5.16,5.21,5.12,5.19,1035600,5.19
2014-10-24,5.19,5.19,5.13,5.18,930000,5.18
2014-10-23,5.18,5.19,5.16,5.18,926100,5.18
2014-10-22,5.19,5.22,5.16,5.17,1129200,5.17
2014-10-21,5.15,5.21,5.09,5.20,1092100,5.20
2014-10-20,5.14,5.15,5.10,5.14,744800,5.14
2014-10-17,5.15,5.15,5.09,5.11,609300,5.11
2014-10-16,5.14,5.15,5.09,5.11,874200,5.11
2014-10-15,5.15,5.21,5.11,5.15,1352800,5.15
2014-10-14,5.18,5.19,5.15,5.16,1433900,5.16
2014-10-13,5.07,5.19,5.06,5.16,1203900,5.16
2014-10-10,5.03,5.09,5.03,5.07,1541900,5.07
2014-10-09,5.00,5.05,5.00,5.04,1082700,5.04
2014-10-08,4.90,5.01,4.89,5.00,1402700,5.00
2014-10-07,4.84,4.93,4.84,4.91,992000,4.91
2014-10-06,4.84,4.90,4.82,4.86,922000,4.86
2014-10-03,4.85,4.85,4.80,4.84,648100,4.84
2014-10-02,4.81,4.84,4.79,4.83,888900,4.83
2014-10-01,4.79,4.83,4.79,4.82,1343200,4.82
2014-09-30,4.90,4.90,4.79,4.79,1421600,4.79
2014-09-29,4.90,4.91,4.86,4.88,1023200,4.88
2014-09-26,4.91,4.91,4.84,4.91,1592000,4.91
2014-09-25,5.02,5.04,5.00,5.03,976100,4.89
2014-09-24,5.00,5.04,5.00,5.01,1194300,4.87
2014-09-23,5.05,5.05,5.01,5.01,935300,4.87
2014-09-22,5.06,5.10,5.04,5.05,885700,4.91
2014-09-19,5.05,5.09,5.04,5.08,2030700,4.94
2014-09-18,5.05,5.06,5.03,5.03,914400,4.89
2014-09-17,5.06,5.10,5.05,5.05,608000,4.91
2014-09-16,5.04,5.07,5.02,5.06,1130400,4.92
2014-09-15,5.01,5.05,5.00,5.04,993800,4.90
2014-09-12,5.13,5.13,5.01,5.02,1017900,4.88
2014-09-11,5.07,5.14,5.07,5.13,865200,4.99
2014-09-10,5.11,5.11,5.07,5.07,708300,4.93
2014-09-09,5.13,5.15,5.12,5.12,653800,4.98
2014-09-08,5.13,5.15,5.11,5.14,946500,5.00
2014-09-05,5.11,5.14,5.10,5.13,457400,4.99
2014-09-04,5.15,5.15,5.10,5.12,560800,4.98
2014-09-03,5.17,5.17,5.12,5.14,1586600,5.00
2014-09-02,5.18,5.18,5.13,5.15,507900,5.01
2014-08-29,5.17,5.19,5.14,5.19,673300,5.05
2014-08-28,5.14,5.17,5.14,5.16,429400,5.02
2014-08-27,5.12,5.16,5.12,5.15,1203500,5.01
2014-08-26,5.19,5.19,5.16,5.18,387300,5.04
2014-08-25,5.17,5.18,5.15,5.17,388400,5.03
2014-08-22,5.18,5.18,5.13,5.16,637200,5.02
2014-08-21,5.17,5.19,5.16,5.17,778900,5.03
2014-08-20,5.17,5.20,5.14,5.18,949600,5.04
