Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,10.18,10.30,9.84,9.96,60400,9.96
2014-12-01,10.80,10.80,9.72,10.14,81300,10.14
2014-11-28,10.50,10.74,10.50,10.67,40700,10.67
2014-11-26,10.44,10.70,10.26,10.56,75000,10.56
2014-11-25,10.70,10.70,10.00,10.40,95000,10.40
2014-11-24,10.70,10.74,10.32,10.62,150000,10.62
2014-11-21,10.35,10.50,10.15,10.41,117200,10.41
2014-11-20,10.02,10.17,9.89,10.10,18300,10.10
2014-11-19,9.90,10.30,9.90,10.00,29100,10.00
2014-11-18,9.94,10.15,9.78,9.97,27100,9.97
2014-11-17,10.70,10.70,9.76,9.94,43800,9.94
2014-11-14,10.15,10.70,10.15,10.59,134000,10.59
2014-11-13,9.42,10.12,9.40,10.03,73600,10.03
2014-11-12,9.45,9.52,9.15,9.38,42600,9.38
2014-11-11,9.50,9.51,9.25,9.45,19100,9.45
2014-11-10,9.00,9.72,9.00,9.40,68700,9.40
2014-11-07,8.38,9.08,8.30,8.99,44700,8.99
2014-11-06,8.70,8.70,8.20,8.45,47500,8.45
2014-11-05,8.77,8.77,8.25,8.65,39900,8.65
2014-11-04,8.95,8.96,8.55,8.64,45000,8.64
2014-11-03,8.74,9.16,8.27,9.04,53400,9.04
2014-10-31,8.81,9.21,8.76,8.87,28700,8.87
2014-10-30,8.92,9.86,8.82,8.85,50100,8.85
2014-10-29,9.25,9.25,8.87,9.04,21900,9.04
2014-10-28,9.10,9.30,8.93,9.15,22900,9.15
2014-10-27,8.85,9.35,8.09,9.22,53200,9.22
2014-10-24,8.84,9.01,8.43,8.82,29300,8.82
2014-10-23,8.71,8.98,8.71,8.81,27900,8.81
2014-10-22,9.20,9.21,8.51,8.63,61900,8.63
2014-10-21,9.11,9.11,8.83,8.88,40400,8.88
2014-10-20,8.85,8.98,8.57,8.71,47700,8.71
2014-10-17,8.60,9.40,8.28,8.82,92900,8.82
2014-10-16,7.56,8.49,7.56,8.27,58000,8.27
2014-10-15,7.80,7.87,7.38,7.82,57000,7.82
2014-10-14,8.09,8.23,7.44,7.90,120800,7.90
2014-10-13,8.50,8.57,7.72,8.10,54600,8.10
2014-10-10,8.81,8.81,8.50,8.52,66400,8.52
2014-10-09,9.16,9.50,8.45,8.65,54200,8.65
2014-10-08,8.66,9.25,8.44,9.00,146800,9.00
2014-10-07,9.16,9.16,8.07,8.21,162200,8.21
2014-10-06,9.80,9.80,9.00,9.01,50200,9.01
2014-10-03,9.62,9.92,8.84,9.69,93700,9.69
2014-10-02,9.73,9.90,9.23,9.50,59100,9.50
2014-10-01,10.05,10.13,9.60,9.70,47900,9.70
2014-09-30,9.84,10.20,9.80,9.98,86300,9.98
2014-09-29,10.00,10.07,9.66,9.90,67500,9.90
2014-09-26,10.32,10.32,10.01,10.02,34300,10.02
2014-09-25,10.40,10.40,10.15,10.15,35400,10.15
2014-09-24,10.65,10.67,10.25,10.40,54900,10.40
2014-09-23,10.65,10.90,10.65,10.67,41900,10.67
2014-09-22,10.72,10.95,10.48,10.75,18500,10.75
2014-09-19,10.75,11.24,10.25,10.87,147200,10.87
2014-09-18,11.34,11.40,10.57,10.80,79800,10.80
2014-09-17,11.14,11.64,11.14,11.36,36000,11.36
2014-09-16,11.32,11.45,11.16,11.21,43000,11.21
2014-09-15,11.67,11.67,11.05,11.51,35000,11.51
2014-09-12,11.75,11.83,11.52,11.67,33100,11.67
2014-09-11,12.22,12.40,11.75,11.76,53900,11.76
2014-09-10,11.64,12.35,11.43,12.27,52700,12.27
2014-09-09,12.17,12.23,11.35,11.76,70200,11.76
2014-09-08,12.00,12.76,12.00,12.19,54600,12.19
2014-09-05,12.14,12.19,11.86,12.00,47600,12.00
2014-09-04,12.43,12.56,12.12,12.22,32400,12.22
2014-09-03,12.44,12.60,12.30,12.33,59300,12.33
2014-09-02,12.62,12.62,12.35,12.54,20500,12.54
2014-08-29,12.24,12.55,12.16,12.55,59800,12.55
2014-08-28,12.09,12.37,12.04,12.23,15200,12.23
2014-08-27,12.08,12.46,11.99,12.31,39500,12.31
