Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,82.00,82.40,81.81,82.13,1577900,82.13
2014-12-01,81.81,82.20,81.43,82.00,1490900,82.00
2014-11-28,81.76,82.68,81.71,82.19,642500,82.19
2014-11-26,81.21,81.70,80.80,81.50,1231100,81.50
2014-11-25,80.94,81.17,80.26,80.98,1531200,80.98
2014-11-24,80.02,81.07,79.68,80.97,1842000,80.97
2014-11-21,79.81,80.00,79.30,79.55,1809100,79.55
2014-11-20,79.30,79.49,78.58,78.87,2319600,78.87
2014-11-19,81.03,81.04,79.62,79.73,1836600,79.73
2014-11-18,80.29,81.23,80.11,81.01,1219600,81.01
2014-11-17,80.42,80.86,80.11,80.36,1555000,80.36
2014-11-14,80.66,80.97,80.20,80.35,1622900,80.35
2014-11-13,80.37,81.01,80.28,80.66,2233800,80.66
2014-11-12,79.32,80.41,79.30,80.24,2618700,80.24
2014-11-11,79.12,80.06,79.12,79.60,1485400,79.60
2014-11-10,78.45,79.11,78.15,79.09,2082300,79.09
2014-11-07,79.76,79.81,77.98,78.27,2255100,78.27
2014-11-06,79.27,79.81,78.86,79.60,1544900,79.60
2014-11-05,79.81,79.99,78.51,78.91,1605800,78.91
2014-11-04,78.90,79.73,78.48,79.51,2221600,79.51
2014-11-03,78.66,78.92,78.37,78.58,1626100,78.58
2014-10-31,78.87,79.13,78.21,78.48,3228200,78.48
2014-10-30,77.93,78.60,77.34,78.19,3194400,78.19
2014-10-29,78.23,78.87,77.71,78.08,1909700,78.08
2014-10-28,78.57,78.71,77.89,78.49,1684100,78.49
2014-10-27,77.24,78.68,77.14,78.41,2371600,78.41
2014-10-24,76.46,77.20,76.34,77.10,1787900,77.10
2014-10-23,76.87,77.13,76.33,76.45,1685900,76.45
2014-10-22,76.13,76.75,75.81,76.00,1740600,76.00
2014-10-21,74.74,75.91,74.68,75.83,1761500,75.83
2014-10-20,73.31,74.27,72.90,74.11,2476800,74.11
2014-10-17,72.80,74.22,72.73,73.62,2799300,73.62
2014-10-16,71.83,73.24,71.76,72.13,3166900,72.13
2014-10-15,73.70,74.01,71.72,73.23,3758400,73.23
2014-10-14,74.30,75.53,74.07,74.58,2779000,74.58
2014-10-13,75.42,75.47,73.85,73.91,2369300,73.91
2014-10-10,75.62,76.39,75.51,75.52,2701300,75.52
2014-10-09,76.51,76.67,75.38,75.40,1457200,75.40
2014-10-08,74.73,76.69,74.52,76.66,2089600,76.66
2014-10-07,75.43,75.57,74.47,74.49,2940100,74.49
2014-10-06,76.66,76.95,75.30,75.81,1697700,75.81
2014-10-03,75.72,76.57,75.60,76.16,2334700,76.16
2014-10-02,74.78,75.61,74.32,75.05,2713400,75.05
2014-10-01,75.02,75.23,74.17,74.58,2624000,74.58
2014-09-30,75.81,75.96,74.90,74.92,1567800,74.92
2014-09-29,74.91,75.93,74.82,75.63,1372200,75.63
2014-09-26,76.17,76.41,75.18,75.68,1381400,75.34
2014-09-25,77.29,77.69,76.09,76.16,1747100,75.81
2014-09-24,75.92,77.74,75.76,77.66,2081600,77.31
2014-09-23,75.72,76.17,75.50,75.86,1565800,75.52
2014-09-22,75.80,76.09,75.49,75.87,1345100,75.53
2014-09-19,75.90,76.32,75.81,76.09,2330400,75.75
2014-09-18,75.16,75.60,74.91,75.42,1632900,75.08
2014-09-17,75.74,75.74,74.69,74.96,2139800,74.62
2014-09-16,74.94,75.87,74.88,75.55,1607400,75.21
2014-09-15,75.28,75.53,74.80,74.96,1339300,74.62
2014-09-12,75.26,75.52,74.87,75.39,1950500,75.05
